(470s) Epoch=1, Group=6loss: 52584.494902,  ess_sis: 1.000209,  density: -39932.771680
(469s) Epoch=1, Group=7loss: 52759.179023,  ess_sis: 1.000005,  density: -40202.938877
(469s) Epoch=1, Group=8loss: 53646.929004,  ess_sis: 1.000231,  density: -40798.505635
(469s) Epoch=1, Group=9loss: 53357.907734,  ess_sis: 1.000410,  density: -40730.415850
(469s) Epoch=1, Group=10loss: 52851.217715,  ess_sis: 1.000426,  density: -40215.382842
(469s) Epoch=1, Group=11loss: 53695.219082,  ess_sis: 1.000004,  density: -40660.065693
(469s) Epoch=1, Group=12loss: 52229.649336,  ess_sis: 1.000005,  density: -39623.353213
(469s) Epoch=1, Group=13loss: 53047.411055,  ess_sis: 1.000002,  density: -40495.447471
(469s) Epoch=1, Group=14loss: 53391.228574,  ess_sis: 1.001002,  density: -40619.597578
(469s) Epoch=1, Group=15loss: 52984.183809,  ess_sis: 1.000032,  density: -40311.610898
(469s) Epoch=1, Group=16loss: 52621.825703,  ess_sis: 1.000000,  density: -40361.565693
(467s) Epoch=1, Group=17loss: 53105.361699,  ess_sis: 1.000085,  density: -40473.105879
(468s) Epoch=1, Group=18loss: 52178.849961,  ess_sis: 1.001311,  density: -39668.189043
(469s) Epoch=1, Group=19loss: 52362.967793,  ess_sis: 1.000003,  density: -39739.600908
(468s) Epoch=1, Group=20loss: 53130.153750,  ess_sis: 1.000018,  density: -40287.316338
(469s) Epoch=1, Group=21loss: 52915.596582,  ess_sis: 1.000276,  density: -40190.177109
(469s) Epoch=1, Group=22loss: 52798.869707,  ess_sis: 1.000914,  density: -40252.986396
(468s) Epoch=1, Group=23loss: 53034.427910,  ess_sis: 1.000014,  density: -40427.368379
(468s) Epoch=1, Group=24loss: 53251.281074,  ess_sis: 1.000848,  density: -40558.406963
(468s) Epoch=1, Group=25loss: 52907.977578,  ess_sis: 1.000884,  density: -40148.891143
(468s) Epoch=1, Group=26loss: 52123.139355,  ess_sis: 1.000785,  density: -39742.411436
(469s) Epoch=1, Group=27loss: 52440.715195,  ess_sis: 1.000098,  density: -39927.921631
(468s) Epoch=1, Group=28loss: 52473.194375,  ess_sis: 1.000064,  density: -39797.341426
(469s) Epoch=1, Group=29loss: 52416.005293,  ess_sis: 1.000354,  density: -39781.630244
(470s) Epoch=1, Group=30loss: 52529.826367,  ess_sis: 1.000311,  density: -39800.145254
(470s) Epoch=1, Group=31loss: 52125.872949,  ess_sis: 1.000001,  density: -39658.474609
(469s) Epoch=1, Group=32loss: 53039.492168,  ess_sis: 1.000964,  density: -40160.810928
(469s) Epoch=1, Group=33loss: 52517.223750,  ess_sis: 1.000000,  density: -39684.419795
