time:4815, inckl:27.668225
time:4836, inckl:21.900475
time:4856, inckl:21.940121
time:4876, inckl:22.176595
time:4897, inckl:20.341485
time:4917, inckl:22.582235
time:4938, inckl:20.844445
time:4958, inckl:23.539179
time:4978, inckl:21.587462
time:4999, inckl:22.652512
time:5020, inckl:24.147662
time:5040, inckl:24.021085
time:5060, inckl:20.094375
time:5080, inckl:18.320216
time:5101, inckl:24.035371
time:5121, inckl:19.518489
time:5142, inckl:20.111194
time:5162, inckl:18.635485
time:5183, inckl:20.836117
time:5204, inckl:20.255759
time:5224, inckl:19.059318
time:5246, inckl:18.573562
time:5267, inckl:20.733949
time:5287, inckl:19.550431
time:5307, inckl:16.206014
time:5326, inckl:18.112992
time:5346, inckl:17.350170
time:5366, inckl:19.916329
time:5387, inckl:20.205809
time:5409, inckl:18.641467
time:5430, inckl:18.598333
time:5450, inckl:20.667613
time:5472, inckl:21.155631
time:5492, inckl:24.230561
time:5513, inckl:20.777833
time:5533, inckl:20.631916
time:5553, inckl:22.324740
time:5574, inckl:19.822625
time:5594, inckl:22.067023
time:5615, inckl:20.051069
time:5635, inckl:22.525793
time:5655, inckl:25.295653
time:5676, inckl:20.504639
time:5696, inckl:20.359205
time:5717, inckl:18.648428
time:5738, inckl:20.344411
time:5759, inckl:18.363854
time:5779, inckl:17.593944
time:5800, inckl:16.611942
time:5820, inckl:15.487127
time:5841, inckl:12.680054
time:5862, inckl:14.444056
time:5882, inckl:14.886358
time:5902, inckl:15.984899
time:5923, inckl:16.577563
time:5944, inckl:13.653584
time:5965, inckl:17.412833
time:5985, inckl:15.048357
time:6005, inckl:16.233434
time:6026, inckl:14.433547
time:6047, inckl:16.503588
time:6068, inckl:16.348975
time:6090, inckl:15.774897
time:6111, inckl:16.676089
time:6132, inckl:17.164774
time:6152, inckl:17.515657
time:6173, inckl:18.547499
time:6193, inckl:16.599916
time:6214, inckl:18.533910
time:6235, inckl:21.781659
time:6255, inckl:18.628322
time:6275, inckl:16.848347
time:6296, inckl:16.800115
time:6318, inckl:15.525483
time:6339, inckl:15.741119
time:6359, inckl:13.575495
time:6381, inckl:14.586177
time:6401, inckl:14.951891
time:6421, inckl:14.276664
time:6442, inckl:13.088460
time:6462, inckl:15.756140
time:6483, inckl:15.702085
time:6504, inckl:15.914097
time:6524, inckl:14.601557
time:6546, inckl:12.819099
time:6567, inckl:12.423793
time:6588, inckl:15.170150
time:6609, inckl:12.718685
time:6631, inckl:14.287701
time:6651, inckl:11.050689
time:6671, inckl:12.040647
time:6692, inckl:15.223623
time:6713, inckl:12.636556
time:6733, inckl:12.554994
time:6755, inckl:13.169307
time:6775, inckl:13.717293
time:6797, inckl:15.095320
time:6817, inckl:13.675549
time:6837, inckl:14.097060
time:6858, inckl:15.360793
time:6879, inckl:15.198362
time:6899, inckl:15.530012
time:6920, inckl:16.191050
time:6940, inckl:17.771379
time:6961, inckl:16.959044
time:6982, inckl:17.340761
time:7003, inckl:19.822346
time:7024, inckl:18.002260
time:7044, inckl:19.512632
time:7065, inckl:22.248878
time:7086, inckl:25.357275
time:7106, inckl:20.752681
time:7126, inckl:21.422279
time:7146, inckl:22.534264
time:7166, inckl:25.853759
time:7187, inckl:24.296453
time:7207, inckl:26.612875
time:7227, inckl:22.611833
time:7247, inckl:28.455201
time:7268, inckl:25.847811
time:7289, inckl:23.947125
time:7310, inckl:28.063758
time:7330, inckl:28.686575
time:7350, inckl:26.280185
time:7370, inckl:27.442675
time:7391, inckl:28.860860
time:7412, inckl:32.749510
time:7433, inckl:26.968744
time:7453, inckl:30.567447
time:7473, inckl:26.582775
time:7494, inckl:30.249060
time:7515, inckl:26.668097
time:7535, inckl:27.177817
time:7555, inckl:26.520646
time:7576, inckl:25.814880
time:7598, inckl:29.750477
time:7618, inckl:26.958660
time:7638, inckl:26.389131
time:7659, inckl:26.605510
time:7679, inckl:26.256488
time:7699, inckl:26.762582
time:7719, inckl:25.322015
time:7739, inckl:24.330771
time:7761, inckl:25.852721
time:7782, inckl:26.804288
time:7802, inckl:26.091285
time:7823, inckl:22.931958
time:7845, inckl:22.593527
time:7865, inckl:23.050308
time:7886, inckl:26.849023
time:7906, inckl:29.685004
time:7926, inckl:27.115224
time:7947, inckl:24.862965
time:7968, inckl:28.435147
time:7988, inckl:26.095451
time:8009, inckl:22.650413
time:8030, inckl:22.284713
time:8050, inckl:22.094718
time:8071, inckl:21.206422
time:8090, inckl:22.662551
time:8111, inckl:22.771995
time:8132, inckl:20.107669
time:8153, inckl:19.973982
time:8174, inckl:18.984625
time:8194, inckl:19.458901
time:8214, inckl:17.305792
time:8235, inckl:15.290434
time:8255, inckl:12.924924
time:8276, inckl:15.186902
time:8297, inckl:15.228176
time:8317, inckl:18.310204
time:8337, inckl:17.194146
time:8358, inckl:17.925470
time:8378, inckl:16.558085
time:8398, inckl:19.410790
time:8418, inckl:19.600208
time:8439, inckl:18.025273
time:8460, inckl:17.993581
time:8482, inckl:19.336274
time:8503, inckl:19.742670
time:8523, inckl:16.594480
time:8543, inckl:15.469417
time:8564, inckl:18.776999
time:8584, inckl:15.567626
time:8604, inckl:15.923213
time:8624, inckl:15.903260
time:8644, inckl:17.513566
time:8664, inckl:16.672937
time:8685, inckl:16.492064
time:8706, inckl:16.640619
time:8727, inckl:16.735284
time:8747, inckl:18.486976
time:8768, inckl:16.853928
time:8788, inckl:19.599381
time:8809, inckl:20.387046
time:8829, inckl:19.316187
time:8850, inckl:16.927805
time:8870, inckl:15.823611
time:8891, inckl:18.385144
time:8913, inckl:19.297706
time:8934, inckl:18.292589
time:8954, inckl:19.512662
time:8974, inckl:21.736095
time:8995, inckl:19.414682
time:9015, inckl:22.785343
time:9035, inckl:22.625458
time:9056, inckl:18.975230
time:9076, inckl:18.231697
time:9099, inckl:22.040498
time:9119, inckl:18.517527
time:9139, inckl:21.277023
time:9159, inckl:22.487133
time:9180, inckl:19.422013
time:9200, inckl:20.007823
time:9220, inckl:21.844847
time:9240, inckl:23.201420
time:9260, inckl:15.743762
time:9281, inckl:14.295625
time:9301, inckl:19.513225
time:9322, inckl:15.341491
time:9343, inckl:16.046894
time:9364, inckl:16.739974
time:9385, inckl:16.418998
time:9406, inckl:17.447867
time:9428, inckl:15.956095
time:9449, inckl:14.313308
time:9470, inckl:19.530687
time:9490, inckl:17.858989
time:9511, inckl:18.501652
time:9532, inckl:17.244138
time:9553, inckl:19.715329
time:9574, inckl:16.277262
time:9595, inckl:15.732079
time:9617, inckl:14.588934
time:9637, inckl:15.873338
time:9657, inckl:18.277948
time:9678, inckl:19.166493
time:9699, inckl:20.418910
time:9719, inckl:20.107407
time:9739, inckl:18.440975
time:9759, inckl:14.968300
time:9779, inckl:18.143211
time:9800, inckl:18.978874
time:9820, inckl:17.920260
time:9842, inckl:19.007679
time:9863, inckl:17.071972
time:9885, inckl:18.042066
time:9905, inckl:20.505123
time:9926, inckl:22.115863
time:9946, inckl:19.698813
time:9967, inckl:17.047034
time:9988, inckl:16.368836
time:10009, inckl:15.519066
time:10029, inckl:16.363837
time:10051, inckl:13.754746
time:10072, inckl:17.485208
time:10094, inckl:14.758659
time:10117, inckl:17.054248
time:10137, inckl:16.868911
time:10159, inckl:15.433510
time:10180, inckl:16.380556
time:10201, inckl:15.317757
time:10222, inckl:18.131250
time:10243, inckl:16.448595
time:10263, inckl:15.800176
time:10283, inckl:14.649647
time:10304, inckl:14.801282
time:10325, inckl:14.590346
