snr: 1.007511, var: 2.721469, inckl_gen:0.007402
snr: 1.008347, var: 2.719093, inckl_gen:0.001901
snr: 1.008085, var: 2.703840, inckl_gen:0.015062
snr: 1.008108, var: 2.922935, inckl_gen:0.014555
snr: 1.006835, var: 2.745108, inckl_gen:0.067204
snr: 1.008057, var: 2.901088, inckl_gen:0.001353
snr: 1.008964, var: 2.692006, inckl_gen:0.353426
snr: 1.006806, var: 2.592965, inckl_gen:0.010550
snr: 1.007543, var: 2.810382, inckl_gen:0.024608
snr: 1.006446, var: 2.531218, inckl_gen:0.009103
snr: 1.005475, var: 2.855756, inckl_gen:0.011002
snr: 1.006031, var: 2.893062, inckl_gen:28.670786
snr: 1.006772, var: 2.742919, inckl_gen:0.003124
snr: 1.005628, var: 2.510993, inckl_gen:0.001137
snr: 1.006819, var: 2.946440, inckl_gen:0.009476
snr: 1.006875, var: 3.282291, inckl_gen:0.012693
snr: 1.005967, var: 2.796533, inckl_gen:5.119124
snr: 1.006026, var: 2.716242, inckl_gen:0.001281
snr: 1.004868, var: 2.769492, inckl_gen:0.003629
snr: 1.005390, var: 2.750343, inckl_gen:0.002621
snr: 1.006313, var: 3.005624, inckl_gen:0.004897
snr: 1.005784, var: 2.872001, inckl_gen:0.027425
snr: 1.005260, var: 2.590568, inckl_gen:0.028739
snr: 1.005209, var: 2.511491, inckl_gen:0.004842
snr: 1.004142, var: 2.821794, inckl_gen:0.004785
snr: 1.003919, var: 2.936947, inckl_gen:0.004926
snr: 1.005058, var: 2.693896, inckl_gen:0.004650
snr: 1.005356, var: 2.625036, inckl_gen:0.001282
snr: 1.004929, var: 3.018024, inckl_gen:0.000881
snr: 1.005235, var: 2.800645, inckl_gen:0.024367
snr: 1.006268, var: 2.637248, inckl_gen:0.004804
snr: 1.005167, var: 2.788004, inckl_gen:0.003642
snr: 1.005430, var: 2.795443, inckl_gen:0.002594
snr: 1.006268, var: 2.909034, inckl_gen:0.002178
snr: 1.003978, var: 3.069637, inckl_gen:0.002404
snr: 1.006156, var: 3.004929, inckl_gen:0.001427
snr: 1.006085, var: 2.866661, inckl_gen:0.001585
snr: 1.005317, var: 3.057493, inckl_gen:0.002399
snr: 1.003465, var: 3.036042, inckl_gen:0.009926
snr: 1.005372, var: 2.762354, inckl_gen:0.036643
snr: 1.005476, var: 2.801887, inckl_gen:0.005851
snr: 1.005228, var: 2.882718, inckl_gen:0.005735
snr: 1.004190, var: 2.981934, inckl_gen:0.017298
snr: 1.004682, var: 2.855422, inckl_gen:0.011554
snr: 1.005116, var: 2.685298, inckl_gen:0.003185
snr: 1.004517, var: 2.976319, inckl_gen:0.004242
snr: 1.004684, var: 2.993358, inckl_gen:0.011747
snr: 1.005302, var: 2.873224, inckl_gen:0.001096
snr: 1.006082, var: 2.819451, inckl_gen:0.002315
snr: 1.005001, var: 2.778486, inckl_gen:0.001645
snr: 1.006413, var: 2.731370, inckl_gen:0.006446
snr: 1.004965, var: 2.943470, inckl_gen:0.004820
snr: 1.005169, var: 2.616502, inckl_gen:0.012127
snr: 1.004277, var: 2.800782, inckl_gen:0.013366
snr: 1.004227, var: 2.726572, inckl_gen:0.005521
snr: 1.004305, var: 2.840772, inckl_gen:0.050608
snr: 1.005889, var: 3.164613, inckl_gen:0.001060
snr: 1.004352, var: 2.890366, inckl_gen:0.003697
snr: 1.005582, var: 2.794243, inckl_gen:0.014806
snr: 1.005428, var: 3.182636, inckl_gen:0.001670
snr: 1.004678, var: 2.932229, inckl_gen:0.000629
snr: 1.004974, var: 2.988236, inckl_gen:0.013796
snr: 1.005214, var: 2.858315, inckl_gen:0.006252
snr: 1.005303, var: 3.030410, inckl_gen:0.002631
snr: 1.004262, var: 3.222095, inckl_gen:0.001058
snr: 1.005496, var: 3.097135, inckl_gen:0.000676
snr: 1.004522, var: 2.838857, inckl_gen:0.003454
snr: 1.005291, var: 2.766970, inckl_gen:0.001623
snr: 1.004882, var: 3.038639, inckl_gen:0.003008
snr: 1.004765, var: 3.021119, inckl_gen:0.002204
snr: 1.004157, var: 3.128692, inckl_gen:0.001988
snr: 1.005335, var: 3.251345, inckl_gen:0.001675
snr: 1.004095, var: 3.024659, inckl_gen:0.004766
snr: 1.004768, var: 2.981606, inckl_gen:0.012537
snr: 1.004282, var: 2.985635, inckl_gen:0.000811
snr: 1.004332, var: 3.119036, inckl_gen:0.001820
snr: 1.005530, var: 3.055346, inckl_gen:0.002329
snr: 1.004619, var: 2.872695, inckl_gen:0.008993
snr: 1.003928, var: 3.192489, inckl_gen:0.006880
snr: 1.005530, var: 4.205588, inckl_gen:0.007860
snr: 1.004032, var: 3.041844, inckl_gen:0.001152
snr: 1.005206, var: 2.939381, inckl_gen:0.006001
snr: 1.004437, var: 3.270883, inckl_gen:0.010205
snr: 1.004527, var: 3.117563, inckl_gen:0.113174
snr: 1.004098, var: 3.133596, inckl_gen:0.003813
snr: 1.005151, var: 3.223256, inckl_gen:0.001220
snr: 1.003440, var: 3.296500, inckl_gen:0.001119
snr: 1.003905, var: 3.089308, inckl_gen:0.001354
snr: 1.003836, var: 3.149344, inckl_gen:0.000895
snr: 1.004277, var: 3.079954, inckl_gen:0.003742
snr: 1.004724, var: 3.153611, inckl_gen:0.013416
snr: 1.004633, var: 3.113097, inckl_gen:0.009851
snr: 1.005705, var: 2.967298, inckl_gen:0.001988
snr: 1.005686, var: 3.443315, inckl_gen:0.001918
snr: 1.005304, var: 3.032307, inckl_gen:0.060740
snr: 1.005313, var: 3.208150, inckl_gen:0.002383
snr: 1.004888, var: 3.152223, inckl_gen:0.007109
snr: 1.003651, var: 3.453176, inckl_gen:0.022388
snr: 1.004203, var: 3.217465, inckl_gen:0.002199
snr: 1.004822, var: 3.408653, inckl_gen:0.003061
snr: 1.004053, var: 3.121843, inckl_gen:0.012735
snr: 1.004017, var: 3.142778, inckl_gen:0.006618
snr: 1.003849, var: 3.379212, inckl_gen:0.000978
snr: 1.003694, var: 3.266948, inckl_gen:0.003293
snr: 1.004254, var: 3.007583, inckl_gen:0.002739
snr: 1.004500, var: 3.081931, inckl_gen:0.002134
snr: 1.004654, var: 2.893718, inckl_gen:0.004925
snr: 1.003816, var: 3.175719, inckl_gen:0.025974
snr: 1.004358, var: 2.967968, inckl_gen:0.157540
snr: 1.003856, var: 2.924116, inckl_gen:0.002108
snr: 1.005958, var: 3.309637, inckl_gen:0.000978
snr: 1.004354, var: 3.064731, inckl_gen:0.000988
snr: 1.004026, var: 3.016719, inckl_gen:0.003632
snr: 1.004218, var: 3.297034, inckl_gen:0.005444
snr: 1.004672, var: 3.283308, inckl_gen:0.003640
