snr: 1.323188, var: 1.177391, inckl_gen:247.889328, inckl_eta:17.846811, inckl_z:0.030560
snr: 1.415077, var: 1.273944, inckl_gen:326.616333, inckl_eta:25.762161, inckl_z:0.035621
snr: 1.325565, var: 1.135316, inckl_gen:293.472900, inckl_eta:14.111559, inckl_z:0.025736
snr: 1.319604, var: 1.192219, inckl_gen:498.109711, inckl_eta:26.892414, inckl_z:0.207489
snr: 1.386599, var: 1.296720, inckl_gen:258.210663, inckl_eta:18.907230, inckl_z:0.031796
snr: 1.380136, var: 1.222077, inckl_gen:346.380280, inckl_eta:18.068665, inckl_z:0.032508
snr: 1.439686, var: 1.323435, inckl_gen:186.910995, inckl_eta:20.125044, inckl_z:0.023887
snr: 1.356572, var: 1.208898, inckl_gen:223.218414, inckl_eta:21.397434, inckl_z:0.030814
snr: 1.399358, var: 1.331187, inckl_gen:264.694183, inckl_eta:18.723785, inckl_z:0.035339
snr: 1.450055, var: 1.240190, inckl_gen:258.344971, inckl_eta:23.494783, inckl_z:0.032584
snr: 1.539910, var: 1.377989, inckl_gen:250.143463, inckl_eta:23.866121, inckl_z:0.025754
snr: 1.410950, var: 1.210982, inckl_gen:237.321732, inckl_eta:26.997498, inckl_z:0.028631
snr: 1.514471, var: 1.316217, inckl_gen:138.907394, inckl_eta:16.024694, inckl_z:0.024385
snr: 1.448685, var: 1.378519, inckl_gen:169.905518, inckl_eta:15.183331, inckl_z:0.020160
snr: 1.475764, var: 1.338836, inckl_gen:108.870705, inckl_eta:13.818041, inckl_z:0.019341
snr: 1.391587, var: 1.136055, inckl_gen:168.682968, inckl_eta:13.355814, inckl_z:0.028065
snr: 1.436052, var: 1.220658, inckl_gen:273.984253, inckl_eta:7.348267, inckl_z:0.049771
snr: 1.336930, var: 1.031550, inckl_gen:85.892288, inckl_eta:8.477694, inckl_z:0.021028
snr: 1.377771, var: 1.059607, inckl_gen:64.988976, inckl_eta:8.390360, inckl_z:0.015180
snr: 1.369606, var: 1.189790, inckl_gen:70.275436, inckl_eta:4.368234, inckl_z:0.019324
snr: 1.331182, var: 1.081506, inckl_gen:74.543358, inckl_eta:11.195165, inckl_z:0.021952
snr: 1.294565, var: 1.006588, inckl_gen:184.274826, inckl_eta:5.839900, inckl_z:0.024531
snr: 1.309744, var: 1.052572, inckl_gen:80.520096, inckl_eta:6.691495, inckl_z:0.020515
snr: 1.224932, var: 0.933897, inckl_gen:29.462347, inckl_eta:2.736745, inckl_z:0.047234
snr: 1.164459, var: 0.862041, inckl_gen:30.768827, inckl_eta:2.593945, inckl_z:0.047652
snr: 1.120870, var: 0.826777, inckl_gen:30.274830, inckl_eta:3.069505, inckl_z:0.016249
snr: 1.071839, var: 0.726622, inckl_gen:27.373993, inckl_eta:2.699992, inckl_z:0.032815
snr: 0.981026, var: 0.629455, inckl_gen:13.116679, inckl_eta:1.669413, inckl_z:0.033436
snr: 0.916361, var: 0.563842, inckl_gen:13.199683, inckl_eta:1.757872, inckl_z:0.027553
snr: 0.894993, var: 0.581878, inckl_gen:3.806881, inckl_eta:0.549797, inckl_z:0.025171
snr: 0.860900, var: 0.531185, inckl_gen:4.437178, inckl_eta:0.249152, inckl_z:0.049751
snr: 0.824287, var: 0.481902, inckl_gen:5.630103, inckl_eta:0.983024, inckl_z:0.216337
snr: 0.805462, var: 0.493018, inckl_gen:5.808488, inckl_eta:0.344493, inckl_z:0.118328
snr: 0.795377, var: 0.496248, inckl_gen:2.391073, inckl_eta:0.529477, inckl_z:0.026366
snr: 0.783610, var: 0.450050, inckl_gen:2.280893, inckl_eta:0.340642, inckl_z:0.269824
snr: 0.768196, var: 0.428378, inckl_gen:1.503909, inckl_eta:0.157689, inckl_z:0.063634
snr: 0.752961, var: 0.445085, inckl_gen:1.499483, inckl_eta:0.330299, inckl_z:0.019586
snr: 0.746171, var: 0.375989, inckl_gen:1.461085, inckl_eta:0.058279, inckl_z:0.015097
snr: 0.743562, var: 0.404048, inckl_gen:1.952681, inckl_eta:0.088982, inckl_z:0.454522
snr: 0.740504, var: 0.420014, inckl_gen:1.374599, inckl_eta:0.138775, inckl_z:0.032285
snr: 0.742806, var: 0.438569, inckl_gen:2.382078, inckl_eta:0.066578, inckl_z:0.657709
snr: 0.732076, var: 0.440876, inckl_gen:0.420323, inckl_eta:0.065297, inckl_z:0.011964
snr: 0.734284, var: 0.372433, inckl_gen:0.735264, inckl_eta:0.070888, inckl_z:0.054783
snr: 0.736126, var: 0.396379, inckl_gen:0.177534, inckl_eta:0.018121, inckl_z:0.089783
snr: 0.722139, var: 0.373204, inckl_gen:0.319020, inckl_eta:0.085299, inckl_z:0.043346
snr: 0.733356, var: 0.370400, inckl_gen:0.552142, inckl_eta:0.027026, inckl_z:0.209678
snr: 0.724416, var: 0.374703, inckl_gen:0.425043, inckl_eta:0.051211, inckl_z:0.266815
snr: 0.746910, var: 0.383923, inckl_gen:0.955222, inckl_eta:0.072092, inckl_z:0.377830
snr: 0.727126, var: 0.360133, inckl_gen:0.498615, inckl_eta:0.648883, inckl_z:0.370104
snr: 0.717837, var: 0.325259, inckl_gen:0.584468, inckl_eta:0.085510, inckl_z:0.133533
