EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-190.5993850708008, -243.3746775817871, 1.650247074365616, -268.9200466918945, -636.6314868164062, -179.40487976074218, -189.34013229370117, 648.5519580078125, 19.286939830780028, 15.066910285949707, 3.642919669151306, 10.145257239341737, 5.482359890937805, 0.29056028723716737, 0.14314943552017212
-190.52014755249024, -243.2402478027344, 1.6492156267166138, -268.0896771240234, -635.5537646484376, -179.50810150146484, -189.32793701171875, 654.1036941528321, 19.453643951416016, 14.396309306621552, 3.7784037613868713, 10.155727243423462, 5.4575593423843385, 0.2742764648795128, 0.14859470531344413
-190.67886672973634, -244.04874465942382, 1.6593758058547974, -269.35864990234376, -641.4738482666015, -179.4577166748047, -189.48923263549804, 654.6360238647461, 19.475621280670165, 15.644715685844421, 4.1072436261177065, 10.01873209953308, 5.37663812160492, 0.2614870777726173, 0.14845082737505436
-190.68019821166993, -242.86577880859375, 1.6523212671279908, -269.20792556762694, -631.5457061767578, -179.48755249023438, -189.3193521118164, 653.6896926879883, 19.427058181762696, 15.704715042114257, 3.8414424324035643, 10.10560796737671, 5.494593367576599, 0.2688603985309601, 0.1454728674888611
-190.48821502685547, -243.1159176635742, 1.6512169003486634, -267.84686401367185, -632.9638967895507, -179.4900230407715, -189.612998046875, 646.6585809326172, 19.247476387023926, 13.739753932952881, 3.872976155281067, 10.209872627258301, 5.479000477790833, 0.2789873181283474, 0.15018960185348987
-190.59855606079103, -242.76414642333984, 1.6629732728004456, -268.8111885070801, -631.6155181884766, -179.40845687866212, -189.3562339782715, 647.6324237060547, 19.286192893981934, 14.494583539962768, 3.9177816987037657, 10.023037939071655, 5.386579270362854, 0.26188632428646086, 0.14706273689866067
-190.50101669311525, -243.11929916381837, 1.6606542921066285, -268.4552265930176, -636.0036248779297, -179.42640014648438, -189.78491882324218, 647.0837487792969, 19.450794849395752, 14.572100834846497, 3.7920962810516357, 10.155602478981018, 5.398754444122314, 0.26710361123085025, 0.14785216428339482
-190.56196212768555, -242.76977569580077, 1.6541814637184142, -268.6345506286621, -630.6032540893555, -179.42262924194335, -189.03012878417968, 650.81748046875, 19.313804836273192, 14.855058822631836, 3.8822989153861998, 10.126263728141785, 5.377020773887634, 0.28233215272426604, 0.14855629980564117
-190.8163604736328, -243.27557403564452, 1.655510469675064, -270.7531257629395, -635.1333752441407, -179.50590698242186, -189.68998107910156, 643.9447955322265, 19.19037687301636, 14.779697194099427, 3.8920311343669893, 9.962863941192627, 5.436333031654358, 0.24797470182180403, 0.14432040467858315
-190.5871388244629, -244.10816146850587, 1.649268250465393, -268.19562789916995, -640.5032684326172, -179.46929443359375, -189.80248458862306, 647.3065673828125, 19.369845066070557, 14.79464412689209, 3.9765265822410583, 10.073114914894104, 5.465238070487976, 0.2525539268553257, 0.14822996780276299
-190.62713821411134, -243.37404647827148, 1.6514532315731048, -268.79639587402346, -635.4241619873047, -179.34327499389647, -189.6736215209961, 651.9578036499023, 19.18828832626343, 14.822161469459534, 3.7119687390327454, 10.044277510643006, 5.43562068939209, 0.2783385440707207, 0.14123118579387664
-190.8358969116211, -243.1356053161621, 1.6472268211841583, -271.0450587463379, -635.5779577636719, -179.49263732910157, -189.46034973144532, 655.7168490600586, 19.284769458770754, 15.362988636493682, 3.7278295445442198, 10.23861005783081, 5.558310074806213, 0.24191972598433495, 0.14486352398991584
-190.82995162963869, -243.21175048828124, 1.6480038332939149, -270.81948028564454, -636.2172192382812, -179.458466796875, -189.43821533203126, 647.3827114868164, 19.22493444442749, 16.01683042049408, 3.8649786257743837, 10.133043098449708, 5.438561563491821, 0.24190678372979163, 0.14350776001811028
-190.71418029785156, -243.13066055297853, 1.6651001608371734, -270.07408584594725, -635.4851611328126, -179.3965116882324, -189.44364349365233, 652.0321667480468, 19.328590908050536, 15.162506895065308, 3.8038294434547426, 10.0349063205719, 5.4789455699920655, 0.2653220032155514, 0.14159678094089032
-190.49806594848633, -243.27375762939454, 1.6610209596157075, -268.2514041137695, -635.9363916015625, -179.4528581237793, -189.6886637878418, 652.2515014648437, 19.180331687927247, 14.431486678123473, 3.9235722887516022, 10.091820998191833, 5.442627563476562, 0.2547737364470959, 0.14034867756068706
