TrueKL=0.023324, loss: 22.032800,  ess_rws: 1.147901,  ess_eta: 49.816870,  ess_z: 7.074770,  inckl_eta: 0.042247,  inckl_z: 0.742168
TrueKL=0.044803, loss: 21.839925,  ess_rws: 1.149908,  ess_eta: 49.856510,  ess_z: 7.072152,  inckl_eta: 0.045259,  inckl_z: 0.729000
TrueKL=0.080205, loss: 21.678112,  ess_rws: 1.147857,  ess_eta: 49.874930,  ess_z: 7.227200,  inckl_eta: 0.042452,  inckl_z: 0.707196
TrueKL=0.006522, loss: 21.767773,  ess_rws: 1.152665,  ess_eta: 49.890475,  ess_z: 7.319818,  inckl_eta: 0.042378,  inckl_z: 0.685216
TrueKL=0.001667, loss: 21.622706,  ess_rws: 1.152344,  ess_eta: 49.896556,  ess_z: 7.456354,  inckl_eta: 0.041196,  inckl_z: 0.666579
TrueKL=0.001727, loss: 21.577841,  ess_rws: 1.155942,  ess_eta: 49.899298,  ess_z: 7.656486,  inckl_eta: 0.041301,  inckl_z: 0.643560
TrueKL=0.290330, loss: 21.663038,  ess_rws: 1.155265,  ess_eta: 49.901830,  ess_z: 7.746159,  inckl_eta: 0.043729,  inckl_z: 0.643210
TrueKL=0.059866, loss: 21.628518,  ess_rws: 1.155299,  ess_eta: 49.906377,  ess_z: 7.836863,  inckl_eta: 0.041479,  inckl_z: 0.628882
TrueKL=0.111173, loss: 21.558744,  ess_rws: 1.150054,  ess_eta: 49.909235,  ess_z: 8.028945,  inckl_eta: 0.042986,  inckl_z: 0.606131
TrueKL=0.001192, loss: 21.551130,  ess_rws: 1.152024,  ess_eta: 49.912171,  ess_z: 8.098855,  inckl_eta: 0.042037,  inckl_z: 0.599874
TrueKL=0.001118, loss: 21.515387,  ess_rws: 1.151232,  ess_eta: 49.909485,  ess_z: 8.254536,  inckl_eta: 0.044224,  inckl_z: 0.587226
TrueKL=0.001261, loss: 21.391232,  ess_rws: 1.147236,  ess_eta: 49.911527,  ess_z: 8.358907,  inckl_eta: 0.040918,  inckl_z: 0.580725
TrueKL=0.002337, loss: 21.272864,  ess_rws: 1.153112,  ess_eta: 49.916613,  ess_z: 8.465681,  inckl_eta: 0.044225,  inckl_z: 0.562261
TrueKL=0.001094, loss: 21.271576,  ess_rws: 1.151343,  ess_eta: 49.907132,  ess_z: 8.560115,  inckl_eta: 0.043497,  inckl_z: 0.554532
TrueKL=0.110014, loss: 21.293671,  ess_rws: 1.152698,  ess_eta: 49.922366,  ess_z: 8.675755,  inckl_eta: 0.044332,  inckl_z: 0.543801
