TrueKL=26.825485, loss: 14.873592,  ess_rws: 9.921046,  inckl_eta: 0.020627,  inckl_z: 0.337860
TrueKL=26.660445, loss: 14.883452,  ess_rws: 9.976699,  inckl_eta: 0.020979,  inckl_z: 0.342325
TrueKL=25.516449, loss: 15.047029,  ess_rws: 9.889781,  inckl_eta: 0.021498,  inckl_z: 0.341471
TrueKL=23.350886, loss: 14.915468,  ess_rws: 10.009827,  inckl_eta: 0.018601,  inckl_z: 0.330920
TrueKL=26.651384, loss: 14.764889,  ess_rws: 10.135245,  inckl_eta: 0.016445,  inckl_z: 0.318893
TrueKL=24.614576, loss: 14.919724,  ess_rws: 10.184688,  inckl_eta: 0.080217,  inckl_z: 0.321391
TrueKL=24.764985, loss: 14.937358,  ess_rws: 10.151263,  inckl_eta: 0.018745,  inckl_z: 0.315522
TrueKL=24.723122, loss: 15.001920,  ess_rws: 10.073125,  inckl_eta: 0.021735,  inckl_z: 0.317156
TrueKL=28.395960, loss: 15.107619,  ess_rws: 10.071097,  inckl_eta: 0.016762,  inckl_z: 0.311473
TrueKL=29.758550, loss: 15.121526,  ess_rws: 10.103664,  inckl_eta: 0.023432,  inckl_z: 0.312300
TrueKL=31.685235, loss: 15.037813,  ess_rws: 10.292752,  inckl_eta: 0.095348,  inckl_z: 0.304027
TrueKL=31.148030, loss: 14.931864,  ess_rws: 10.316500,  inckl_eta: 0.159533,  inckl_z: 0.299106
TrueKL=45.479614, loss: 14.922137,  ess_rws: 10.391442,  inckl_eta: 0.019643,  inckl_z: 0.291561
TrueKL=31.513834, loss: 14.985667,  ess_rws: 10.457077,  inckl_eta: 0.015901,  inckl_z: 0.287898
TrueKL=29.310193, loss: 15.075125,  ess_rws: 10.433066,  inckl_eta: 0.016445,  inckl_z: 0.288234
TrueKL=24.762008, loss: 14.934754,  ess_rws: 10.440744,  inckl_eta: 0.017398,  inckl_z: 0.288205
TrueKL=26.286150, loss: 14.905889,  ess_rws: 10.564505,  inckl_eta: 0.022344,  inckl_z: 0.276906
TrueKL=30.939097, loss: 14.892363,  ess_rws: 10.572824,  inckl_eta: 0.019348,  inckl_z: 0.276153
TrueKL=30.820542, loss: 14.944728,  ess_rws: 10.685244,  inckl_eta: 0.021903,  inckl_z: 0.276578
TrueKL=28.820179, loss: 14.986769,  ess_rws: 10.682112,  inckl_eta: 0.027935,  inckl_z: 0.266757
TrueKL=28.170390, loss: 14.957918,  ess_rws: 10.657610,  inckl_eta: 0.017638,  inckl_z: 0.266879
TrueKL=24.236479, loss: 15.067370,  ess_rws: 10.613632,  inckl_eta: 0.021555,  inckl_z: 0.270195
TrueKL=23.959053, loss: 15.061299,  ess_rws: 10.685664,  inckl_eta: 0.017019,  inckl_z: 0.267383
TrueKL=24.976061, loss: 15.013390,  ess_rws: 10.694476,  inckl_eta: 0.015914,  inckl_z: 0.269408
TrueKL=23.643177, loss: 15.082990,  ess_rws: 10.667331,  inckl_eta: 0.018762,  inckl_z: 0.270776
TrueKL=22.504799, loss: 15.191369,  ess_rws: 10.641826,  inckl_eta: 0.022536,  inckl_z: 0.264332
TrueKL=22.515182, loss: 15.274284,  ess_rws: 10.570577,  inckl_eta: 0.024752,  inckl_z: 0.259724
TrueKL=23.230903, loss: 15.230765,  ess_rws: 10.589430,  inckl_eta: 0.016431,  inckl_z: 0.254907
TrueKL=22.576994, loss: 15.259360,  ess_rws: 10.576945,  inckl_eta: 0.023400,  inckl_z: 0.254598
TrueKL=22.652075, loss: 15.161971,  ess_rws: 10.662118,  inckl_eta: 0.015683,  inckl_z: 0.253544
TrueKL=0.230021, loss: 15.203868,  ess_rws: 10.692130,  inckl_eta: 0.020027,  inckl_z: 0.251669
TrueKL=0.002648, loss: 15.509694,  ess_rws: 10.429064,  inckl_eta: 0.032815,  inckl_z: 0.264298
TrueKL=0.948305, loss: 15.523570,  ess_rws: 10.403804,  inckl_eta: 0.018985,  inckl_z: 0.257516
