time:9410, inckl:1.886788
time:9449, inckl:0.943824
time:9488, inckl:1.093591
time:9523, inckl:1.001292
time:9563, inckl:0.936765
time:9599, inckl:1.505916
time:9631, inckl:0.953592
time:9663, inckl:0.857190
time:9704, inckl:1.040472
time:9744, inckl:0.945682
time:9781, inckl:0.820930
time:9820, inckl:1.193649
time:9858, inckl:0.985588
time:9899, inckl:1.256457
time:9938, inckl:0.863292
time:9972, inckl:0.764302
time:10012, inckl:1.111858
time:10055, inckl:0.789983
time:10092, inckl:1.006402
time:10129, inckl:1.131017
