snr: 1.407189, var: 0.950593, inckl_gen:153.681030, inckl_eta:6.606088, inckl_z:0.306926
snr: 1.368797, var: 0.876448, inckl_gen:183.482468, inckl_eta:7.098036, inckl_z:0.085477
snr: 1.415899, var: 0.899548, inckl_gen:212.825684, inckl_eta:14.281837, inckl_z:0.359685
snr: 1.437902, var: 0.906736, inckl_gen:119.206200, inckl_eta:6.439773, inckl_z:0.032916
snr: 1.395115, var: 0.900665, inckl_gen:174.501724, inckl_eta:4.249967, inckl_z:0.567726
snr: 1.430945, var: 0.890370, inckl_gen:57.476818, inckl_eta:3.636659, inckl_z:0.350500
snr: 1.440225, var: 0.907679, inckl_gen:165.788071, inckl_eta:2.729149, inckl_z:0.575774
snr: 1.368938, var: 0.806543, inckl_gen:119.264915, inckl_eta:2.013928, inckl_z:1.190181
snr: 1.327483, var: 0.755747, inckl_gen:128.344803, inckl_eta:2.086330, inckl_z:0.079809
snr: 1.297920, var: 0.733615, inckl_gen:73.626854, inckl_eta:1.326698, inckl_z:1.085898
snr: 1.221660, var: 0.642573, inckl_gen:16.610233, inckl_eta:0.601638, inckl_z:0.014722
snr: 1.101775, var: 0.514195, inckl_gen:137.056335, inckl_eta:5.799137, inckl_z:0.134987
snr: 1.086717, var: 0.501492, inckl_gen:30.122852, inckl_eta:0.496135, inckl_z:0.409893
snr: 0.976257, var: 0.393205, inckl_gen:17.978210, inckl_eta:0.237750, inckl_z:0.450455
snr: 0.965976, var: 0.377796, inckl_gen:3.505656, inckl_eta:0.461506, inckl_z:0.061167
snr: 0.920881, var: 0.333343, inckl_gen:121.547997, inckl_eta:0.423933, inckl_z:1.034397
snr: 0.903902, var: 0.321442, inckl_gen:77.013077, inckl_eta:0.161612, inckl_z:0.937104
snr: 0.883516, var: 0.296917, inckl_gen:19.829477, inckl_eta:0.144082, inckl_z:0.182105
snr: 0.854309, var: 0.265154, inckl_gen:10.732244, inckl_eta:0.449195, inckl_z:0.477503
snr: 0.843319, var: 0.265965, inckl_gen:5.346499, inckl_eta:0.090078, inckl_z:0.033853
snr: 0.872446, var: 0.286635, inckl_gen:21.740398, inckl_eta:0.025236, inckl_z:0.226161
snr: 0.827484, var: 0.257152, inckl_gen:4.193586, inckl_eta:0.063427, inckl_z:0.109319
snr: 0.815280, var: 0.225464, inckl_gen:13.061615, inckl_eta:0.024009, inckl_z:0.320803
snr: 0.814273, var: 0.225375, inckl_gen:24.357641, inckl_eta:0.066921, inckl_z:0.339933
snr: 0.813479, var: 0.224472, inckl_gen:8.150864, inckl_eta:0.010765, inckl_z:0.366407
snr: 0.795865, var: 0.218879, inckl_gen:6.228005, inckl_eta:0.008195, inckl_z:0.205700
snr: 0.814074, var: 0.230754, inckl_gen:1.676893, inckl_eta:0.012602, inckl_z:0.033557
snr: 0.794971, var: 0.212455, inckl_gen:1.307437, inckl_eta:0.007339, inckl_z:0.077725
snr: 0.800510, var: 0.219284, inckl_gen:2.445054, inckl_eta:0.007533, inckl_z:0.241647
snr: 0.784905, var: 0.223005, inckl_gen:3.548295, inckl_eta:0.010898, inckl_z:0.195684
snr: 0.797971, var: 0.233209, inckl_gen:0.779286, inckl_eta:0.004158, inckl_z:0.766378
snr: 0.793898, var: 0.219353, inckl_gen:0.745943, inckl_eta:0.002417, inckl_z:0.616508
snr: 0.782430, var: 0.213092, inckl_gen:0.339500, inckl_eta:0.048510, inckl_z:0.255688
snr: 0.790075, var: 0.212911, inckl_gen:0.158160, inckl_eta:0.080283, inckl_z:0.166664
snr: 0.786113, var: 0.189290, inckl_gen:0.477212, inckl_eta:0.022642, inckl_z:0.864230
snr: 0.785488, var: 0.211773, inckl_gen:0.622084, inckl_eta:0.002395, inckl_z:0.339834
snr: 0.793773, var: 0.207352, inckl_gen:3.755817, inckl_eta:0.004626, inckl_z:1.371710
snr: 0.780436, var: 0.201663, inckl_gen:16.640160, inckl_eta:0.004151, inckl_z:1.410393
snr: 0.786322, var: 0.215308, inckl_gen:0.459844, inckl_eta:0.002342, inckl_z:0.070054
snr: 0.782578, var: 0.205992, inckl_gen:0.234270, inckl_eta:0.001691, inckl_z:0.037738
snr: 0.791119, var: 0.215088, inckl_gen:0.581813, inckl_eta:0.001960, inckl_z:0.758027
snr: 0.792185, var: 0.209069, inckl_gen:0.014713, inckl_eta:0.000838, inckl_z:0.058460
snr: 0.772141, var: 0.193303, inckl_gen:0.284794, inckl_eta:0.003522, inckl_z:1.126487
snr: 0.784148, var: 0.202004, inckl_gen:0.075203, inckl_eta:0.000879, inckl_z:0.476975
snr: 0.783520, var: 0.200930, inckl_gen:5.396364, inckl_eta:0.001566, inckl_z:1.370116
snr: 0.792184, var: 0.209706, inckl_gen:0.039869, inckl_eta:0.000988, inckl_z:0.479417
snr: 0.784225, var: 0.205066, inckl_gen:0.021190, inckl_eta:0.000541, inckl_z:0.178302
snr: 0.782215, var: 0.212454, inckl_gen:0.033348, inckl_eta:0.000555, inckl_z:0.116876
snr: 0.788044, var: 0.207296, inckl_gen:0.046007, inckl_eta:0.000938, inckl_z:1.535349
snr: 0.779024, var: 0.203102, inckl_gen:0.015524, inckl_eta:0.001359, inckl_z:0.301394
snr: 0.775047, var: 0.196771, inckl_gen:0.021692, inckl_eta:0.000893, inckl_z:0.654657
snr: 0.787830, var: 0.207699, inckl_gen:4.779809, inckl_eta:0.001365, inckl_z:2.343294
snr: 0.788890, var: 0.205857, inckl_gen:0.097366, inckl_eta:0.001603, inckl_z:1.261913
snr: 0.776440, var: 0.201909, inckl_gen:0.002778, inckl_eta:0.000711, inckl_z:0.001707
snr: 0.786778, var: 0.204034, inckl_gen:0.093707, inckl_eta:0.001225, inckl_z:1.130215
snr: 0.778840, var: 0.230281, inckl_gen:0.015353, inckl_eta:0.000778, inckl_z:0.250556
snr: 0.779391, var: 0.204348, inckl_gen:2.341109, inckl_eta:0.000526, inckl_z:0.540524
snr: 0.780773, var: 0.211841, inckl_gen:0.003276, inckl_eta:0.001077, inckl_z:0.660056
snr: 0.781119, var: 0.215327, inckl_gen:0.172913, inckl_eta:0.001484, inckl_z:0.537290
snr: 0.782984, var: 0.233882, inckl_gen:0.001764, inckl_eta:0.000870, inckl_z:0.116765
snr: 0.777811, var: 0.202953, inckl_gen:0.003725, inckl_eta:0.001670, inckl_z:0.257908
snr: 0.787039, var: 0.211515, inckl_gen:0.254150, inckl_eta:0.000544, inckl_z:0.607738
snr: 0.783240, var: 0.218138, inckl_gen:0.007453, inckl_eta:0.000552, inckl_z:0.526084
snr: 0.784258, var: 0.224684, inckl_gen:0.003112, inckl_eta:0.001232, inckl_z:0.792384
snr: 0.787196, var: 0.222487, inckl_gen:0.002753, inckl_eta:0.000471, inckl_z:0.637408
snr: 0.786823, var: 0.212760, inckl_gen:0.003664, inckl_eta:0.000586, inckl_z:0.107289
snr: 0.786329, var: 0.214244, inckl_gen:0.019135, inckl_eta:0.000969, inckl_z:0.285798
snr: 0.789677, var: 0.211340, inckl_gen:0.002313, inckl_eta:0.000373, inckl_z:0.080169
snr: 0.790578, var: 0.215086, inckl_gen:0.004740, inckl_eta:0.001014, inckl_z:1.955088
snr: 0.787703, var: 0.205735, inckl_gen:0.003325, inckl_eta:0.000505, inckl_z:0.079752
snr: 0.786610, var: 0.212317, inckl_gen:0.005264, inckl_eta:0.000821, inckl_z:0.426562
snr: 0.785407, var: 0.226370, inckl_gen:0.000803, inckl_eta:0.000407, inckl_z:0.046496
snr: 0.786155, var: 0.221326, inckl_gen:0.003289, inckl_eta:0.001049, inckl_z:0.296668
snr: 0.794455, var: 0.233948, inckl_gen:0.002135, inckl_eta:0.000506, inckl_z:0.054382
snr: 0.791834, var: 0.221029, inckl_gen:0.004295, inckl_eta:0.000511, inckl_z:0.212693
snr: 0.790411, var: 0.219826, inckl_gen:0.002798, inckl_eta:0.000680, inckl_z:0.249969
snr: 0.777851, var: 0.202662, inckl_gen:0.080736, inckl_eta:0.000710, inckl_z:1.747025
snr: 0.791326, var: 0.211312, inckl_gen:0.004712, inckl_eta:0.000744, inckl_z:0.176426
snr: 0.784934, var: 0.216693, inckl_gen:0.009586, inckl_eta:0.000612, inckl_z:0.491103
snr: 0.787409, var: 0.214698, inckl_gen:0.019910, inckl_eta:0.000980, inckl_z:1.400158
snr: 0.788134, var: 0.223202, inckl_gen:0.007625, inckl_eta:0.000770, inckl_z:1.446482
snr: 0.782839, var: 0.217468, inckl_gen:0.003601, inckl_eta:0.001090, inckl_z:1.299113
snr: 0.784721, var: 0.212374, inckl_gen:0.003151, inckl_eta:0.000723, inckl_z:0.180135
snr: 0.787299, var: 0.223755, inckl_gen:0.002108, inckl_eta:0.000477, inckl_z:1.833588
snr: 0.787920, var: 0.242420, inckl_gen:0.002788, inckl_eta:0.000685, inckl_z:2.046928
snr: 0.786521, var: 0.211731, inckl_gen:0.003562, inckl_eta:0.000630, inckl_z:0.442920
snr: 0.784951, var: 0.234211, inckl_gen:0.029587, inckl_eta:0.000674, inckl_z:0.298678
snr: 0.777983, var: 0.213519, inckl_gen:0.001272, inckl_eta:0.000674, inckl_z:0.136150
snr: 0.771878, var: 0.206373, inckl_gen:0.016587, inckl_eta:0.000979, inckl_z:0.485005
snr: 0.803322, var: 0.234713, inckl_gen:0.001283, inckl_eta:0.000261, inckl_z:0.463787
snr: 0.784005, var: 0.220005, inckl_gen:0.001778, inckl_eta:0.000741, inckl_z:0.207035
snr: 0.786270, var: 0.221206, inckl_gen:0.006914, inckl_eta:0.000501, inckl_z:0.992905
snr: 0.785244, var: 0.227595, inckl_gen:0.028612, inckl_eta:0.000688, inckl_z:0.374995
snr: 0.781108, var: 0.222362, inckl_gen:0.005508, inckl_eta:0.000556, inckl_z:0.027386
snr: 0.784840, var: 0.219513, inckl_gen:0.019290, inckl_eta:0.001004, inckl_z:0.881804
snr: 0.787264, var: 0.244776, inckl_gen:0.049979, inckl_eta:0.000822, inckl_z:0.515065
snr: 0.786459, var: 0.233638, inckl_gen:0.024867, inckl_eta:0.005411, inckl_z:0.810042
snr: 0.789180, var: 0.226042, inckl_gen:0.005214, inckl_eta:0.000868, inckl_z:0.454998
snr: 0.777499, var: 0.221983, inckl_gen:0.020622, inckl_eta:0.001557, inckl_z:0.605522
snr: 0.785001, var: 0.223912, inckl_gen:0.106152, inckl_eta:0.000502, inckl_z:0.784915
snr: 0.776862, var: 0.216371, inckl_gen:0.003945, inckl_eta:0.001100, inckl_z:0.301852
snr: 0.784765, var: 0.230926, inckl_gen:0.006887, inckl_eta:0.001286, inckl_z:0.131965
