snr: 1.013410, var: 2.982012, inckl_gen:17.034208
snr: 1.012115, var: 2.856856, inckl_gen:2.660172
snr: 1.009347, var: 3.070118, inckl_gen:2.857691
snr: 1.011555, var: 2.804414, inckl_gen:0.314406
snr: 1.007047, var: 2.966215, inckl_gen:0.546999
snr: 1.008604, var: 2.940518, inckl_gen:1.322285
snr: 1.010538, var: 2.914709, inckl_gen:2.162817
snr: 1.009504, var: 2.904096, inckl_gen:0.145369
snr: 1.009897, var: 2.648219, inckl_gen:0.201142
snr: 1.007195, var: 2.859323, inckl_gen:1.836293
snr: 1.009333, var: 3.034846, inckl_gen:0.022041
snr: 1.007083, var: 2.908507, inckl_gen:0.160029
snr: 1.007606, var: 2.783960, inckl_gen:0.076675
snr: 1.006850, var: 2.785198, inckl_gen:0.004634
snr: 1.007792, var: 3.185044, inckl_gen:1.182149
snr: 1.007186, var: 2.944045, inckl_gen:0.404185
snr: 1.005458, var: 2.769919, inckl_gen:0.079060
snr: 1.004654, var: 3.161426, inckl_gen:0.295407
snr: 1.005974, var: 2.996514, inckl_gen:1.674328
snr: 1.005898, var: 2.582590, inckl_gen:0.090172
snr: 1.006374, var: 2.972401, inckl_gen:0.013201
snr: 1.006666, var: 2.680956, inckl_gen:0.002528
snr: 1.005993, var: 2.734568, inckl_gen:0.154675
snr: 1.004960, var: 2.832445, inckl_gen:0.013109
snr: 1.004648, var: 2.986320, inckl_gen:0.006019
snr: 1.006686, var: 3.307493, inckl_gen:0.048072
snr: 1.007048, var: 3.144749, inckl_gen:0.003828
snr: 1.005200, var: 2.963086, inckl_gen:0.063874
snr: 1.004629, var: 2.921175, inckl_gen:0.008261
snr: 1.005620, var: 3.195922, inckl_gen:0.029422
snr: 1.006423, var: 2.881821, inckl_gen:0.094816
snr: 1.006219, var: 2.901288, inckl_gen:0.655552
snr: 1.005516, var: 2.891358, inckl_gen:0.004072
snr: 1.004186, var: 2.776247, inckl_gen:0.005741
snr: 1.005018, var: 2.828126, inckl_gen:0.001594
snr: 1.004315, var: 3.028677, inckl_gen:0.054906
snr: 1.004620, var: 2.712817, inckl_gen:0.010529
snr: 1.006032, var: 3.223855, inckl_gen:0.356363
snr: 1.004741, var: 2.928660, inckl_gen:0.015152
snr: 1.003485, var: 2.888488, inckl_gen:0.846320
snr: 1.004315, var: 3.003023, inckl_gen:0.045706
snr: 1.004933, var: 3.170580, inckl_gen:0.032459
snr: 1.004914, var: 2.719344, inckl_gen:0.016243
snr: 1.005597, var: 3.212013, inckl_gen:0.007532
snr: 1.003361, var: 3.032737, inckl_gen:0.005406
snr: 1.003327, var: 2.896155, inckl_gen:0.019827
snr: 1.003686, var: 3.108113, inckl_gen:0.005180
snr: 1.003262, var: 2.834306, inckl_gen:0.020124
snr: 1.003428, var: 3.069399, inckl_gen:0.010932
snr: 1.003974, var: 3.202710, inckl_gen:0.004615
snr: 1.004670, var: 3.391442, inckl_gen:0.086519
snr: 1.002417, var: 3.038287, inckl_gen:0.000983
snr: 1.004884, var: 3.112106, inckl_gen:0.005738
snr: 1.004270, var: 3.021685, inckl_gen:0.018853
snr: 1.004031, var: 2.999911, inckl_gen:0.006307
snr: 1.003551, var: 2.950443, inckl_gen:0.007923
snr: 1.005291, var: 2.935639, inckl_gen:0.015982
snr: 1.003421, var: 3.086862, inckl_gen:0.005971
snr: 1.003053, var: 3.163977, inckl_gen:0.002601
snr: 1.004050, var: 3.203805, inckl_gen:1.261024
snr: 1.003548, var: 3.118734, inckl_gen:0.004452
snr: 1.003328, var: 3.034823, inckl_gen:0.776513
snr: 1.003485, var: 2.993752, inckl_gen:0.015884
snr: 1.004213, var: 3.579758, inckl_gen:0.022959
snr: 1.003792, var: 3.190821, inckl_gen:0.008791
snr: 1.003274, var: 3.348845, inckl_gen:0.057831
snr: 1.003575, var: 2.863565, inckl_gen:0.027596
snr: 1.003170, var: 3.445469, inckl_gen:0.007588
snr: 1.002419, var: 3.006779, inckl_gen:0.006428
snr: 1.003312, var: 2.912174, inckl_gen:1.308925
snr: 1.003846, var: 3.165795, inckl_gen:0.010573
snr: 1.003462, var: 3.342442, inckl_gen:0.024465
snr: 1.003075, var: 3.230088, inckl_gen:0.028668
snr: 1.003497, var: 3.678993, inckl_gen:0.001344
snr: 1.004498, var: 3.323148, inckl_gen:0.165786
snr: 1.002323, var: 3.431116, inckl_gen:0.002921
snr: 1.003389, var: 3.040305, inckl_gen:0.021521
snr: 1.004497, var: 2.843964, inckl_gen:0.002407
snr: 1.003861, var: 3.043139, inckl_gen:0.004325
snr: 1.004433, var: 3.198540, inckl_gen:0.001646
snr: 1.003792, var: 3.229146, inckl_gen:0.008008
snr: 1.004045, var: 3.322414, inckl_gen:0.008958
snr: 1.003766, var: 3.985536, inckl_gen:0.238355
snr: 1.003474, var: 3.062557, inckl_gen:0.003811
snr: 1.004166, var: 3.086329, inckl_gen:0.001607
snr: 1.002867, var: 3.057367, inckl_gen:0.003756
snr: 1.003673, var: 3.011603, inckl_gen:0.006292
snr: 1.003435, var: 2.925869, inckl_gen:0.024004
snr: 1.003264, var: 3.344978, inckl_gen:0.002371
snr: 1.003575, var: 3.078251, inckl_gen:0.080747
