snr: 1.448040, var: 0.828823, inckl_gen:283.965637, inckl_eta:29.561604, inckl_z:0.071139
snr: 1.476107, var: 0.857455, inckl_gen:344.697754, inckl_eta:23.433004, inckl_z:0.069549
snr: 1.425288, var: 0.808305, inckl_gen:440.331879, inckl_eta:61.132607, inckl_z:0.094239
snr: 1.424928, var: 0.804446, inckl_gen:402.695831, inckl_eta:62.327374, inckl_z:0.138922
snr: 1.407495, var: 0.791472, inckl_gen:391.963837, inckl_eta:29.998625, inckl_z:0.057908
snr: 1.446188, var: 0.836025, inckl_gen:288.319427, inckl_eta:21.655371, inckl_z:0.054792
snr: 1.404932, var: 0.796343, inckl_gen:387.899231, inckl_eta:17.859375, inckl_z:0.055112
snr: 1.398768, var: 0.792370, inckl_gen:525.001953, inckl_eta:69.333908, inckl_z:0.123431
snr: 1.478465, var: 0.872141, inckl_gen:388.803925, inckl_eta:26.675364, inckl_z:0.070532
snr: 1.409064, var: 0.805067, inckl_gen:512.292175, inckl_eta:45.810207, inckl_z:0.087224
snr: 1.419833, var: 0.815059, inckl_gen:343.072113, inckl_eta:43.076687, inckl_z:0.083880
snr: 1.388609, var: 0.784789, inckl_gen:441.102112, inckl_eta:40.711819, inckl_z:0.076020
snr: 1.391394, var: 0.792659, inckl_gen:347.672394, inckl_eta:34.853863, inckl_z:0.078160
snr: 1.385090, var: 0.792508, inckl_gen:375.022858, inckl_eta:25.065979, inckl_z:0.073701
snr: 1.382103, var: 0.785645, inckl_gen:331.561188, inckl_eta:25.145138, inckl_z:0.062300
snr: 1.403518, var: 0.816020, inckl_gen:515.723083, inckl_eta:65.669426, inckl_z:0.082496
snr: 1.365848, var: 0.776258, inckl_gen:341.348206, inckl_eta:27.115635, inckl_z:0.074082
snr: 1.376703, var: 0.792028, inckl_gen:328.168945, inckl_eta:22.029129, inckl_z:0.062130
snr: 1.451009, var: 0.870894, inckl_gen:386.053375, inckl_eta:40.310802, inckl_z:0.088583
snr: 1.387635, var: 0.804137, inckl_gen:416.366608, inckl_eta:28.845295, inckl_z:0.069561
snr: 1.411078, var: 0.829532, inckl_gen:339.868103, inckl_eta:22.011007, inckl_z:0.053998
snr: 1.425426, var: 0.846136, inckl_gen:285.858795, inckl_eta:24.339949, inckl_z:0.077824
snr: 1.403216, var: 0.827487, inckl_gen:465.842194, inckl_eta:60.260372, inckl_z:0.086681
snr: 1.368674, var: 0.796131, inckl_gen:261.392487, inckl_eta:47.788143, inckl_z:0.053099
snr: 1.383426, var: 0.812548, inckl_gen:239.090683, inckl_eta:29.553394, inckl_z:0.064826
snr: 1.383301, var: 0.810317, inckl_gen:333.831146, inckl_eta:56.885708, inckl_z:0.065697
snr: 1.416089, var: 0.845005, inckl_gen:226.556549, inckl_eta:40.835018, inckl_z:0.054732
snr: 1.421525, var: 0.851997, inckl_gen:423.845856, inckl_eta:100.749107, inckl_z:0.106226
snr: 1.349198, var: 0.780323, inckl_gen:261.783661, inckl_eta:32.586437, inckl_z:0.051089
snr: 1.378887, var: 0.810771, inckl_gen:266.338593, inckl_eta:36.883839, inckl_z:0.043818
snr: 1.402269, var: 0.834398, inckl_gen:509.468964, inckl_eta:35.132389, inckl_z:0.071919
snr: 1.394920, var: 0.831777, inckl_gen:441.366302, inckl_eta:40.504444, inckl_z:0.076023
snr: 1.404765, var: 0.845518, inckl_gen:437.272308, inckl_eta:41.601006, inckl_z:0.085556
snr: 1.397571, var: 0.847823, inckl_gen:299.925751, inckl_eta:17.980692, inckl_z:0.049665
snr: 1.467238, var: 0.912120, inckl_gen:442.810760, inckl_eta:48.693253, inckl_z:0.104340
snr: 1.436928, var: 0.884308, inckl_gen:399.746643, inckl_eta:54.004162, inckl_z:0.079405
snr: 1.393092, var: 0.840185, inckl_gen:384.110504, inckl_eta:47.743935, inckl_z:0.097817
snr: 1.414052, var: 0.868818, inckl_gen:350.231232, inckl_eta:40.087502, inckl_z:0.071347
snr: 1.434653, var: 0.902683, inckl_gen:344.020142, inckl_eta:48.227398, inckl_z:0.070505
