snr: 1.717178, var: 1.029300, inckl_gen:301.800385, inckl_eta:71.085632, inckl_z:0.672104
snr: 1.926764, var: 1.240603, inckl_gen:307.129333, inckl_eta:113.431763, inckl_z:0.627703
snr: 1.904353, var: 1.221771, inckl_gen:257.779510, inckl_eta:43.837337, inckl_z:0.513053
snr: 1.887044, var: 1.206670, inckl_gen:239.653198, inckl_eta:57.040821, inckl_z:0.404963
snr: 1.818484, var: 1.141024, inckl_gen:314.051208, inckl_eta:81.803787, inckl_z:0.453523
snr: 1.805059, var: 1.122914, inckl_gen:312.208099, inckl_eta:68.370926, inckl_z:0.394178
snr: 1.770793, var: 1.097444, inckl_gen:309.263763, inckl_eta:59.518829, inckl_z:0.291799
snr: 1.725660, var: 1.050454, inckl_gen:383.362671, inckl_eta:110.588844, inckl_z:0.375366
snr: 1.711540, var: 1.032552, inckl_gen:457.766205, inckl_eta:91.292274, inckl_z:0.325347
snr: 1.653092, var: 0.975743, inckl_gen:317.380341, inckl_eta:67.393860, inckl_z:0.262532
snr: 1.610609, var: 0.937923, inckl_gen:450.958984, inckl_eta:98.332352, inckl_z:0.299241
snr: 1.555299, var: 0.885820, inckl_gen:377.665985, inckl_eta:103.235329, inckl_z:0.271210
snr: 1.565665, var: 0.895535, inckl_gen:391.376434, inckl_eta:57.247967, inckl_z:0.182163
snr: 1.674418, var: 1.009301, inckl_gen:590.259033, inckl_eta:103.344482, inckl_z:0.300720
snr: 1.610776, var: 0.946606, inckl_gen:459.498535, inckl_eta:88.766464, inckl_z:0.200301
snr: 1.596076, var: 0.932144, inckl_gen:522.812378, inckl_eta:72.916603, inckl_z:0.231593
snr: 1.577106, var: 0.913728, inckl_gen:467.244049, inckl_eta:95.453331, inckl_z:0.205630
snr: 1.499280, var: 0.838852, inckl_gen:481.084961, inckl_eta:104.338211, inckl_z:0.230348
snr: 1.516697, var: 0.857060, inckl_gen:522.864258, inckl_eta:60.604321, inckl_z:0.229680
snr: 1.492528, var: 0.832322, inckl_gen:724.198242, inckl_eta:101.132843, inckl_z:0.214138
snr: 1.554649, var: 0.898818, inckl_gen:587.031433, inckl_eta:115.462975, inckl_z:0.310808
snr: 1.594234, var: 0.940162, inckl_gen:628.343384, inckl_eta:100.048363, inckl_z:0.178474
snr: 1.562418, var: 0.908327, inckl_gen:372.832611, inckl_eta:60.698986, inckl_z:0.096148
snr: 1.563551, var: 0.910702, inckl_gen:585.693970, inckl_eta:180.234695, inckl_z:0.212803
snr: 1.530778, var: 0.878877, inckl_gen:411.289886, inckl_eta:128.849442, inckl_z:0.131338
snr: 1.464890, var: 0.811518, inckl_gen:622.298706, inckl_eta:117.832291, inckl_z:0.187544
snr: 1.475915, var: 0.823207, inckl_gen:745.181458, inckl_eta:70.106377, inckl_z:0.214957
snr: 1.478348, var: 0.823765, inckl_gen:525.590027, inckl_eta:84.575371, inckl_z:0.146232
snr: 1.467801, var: 0.816071, inckl_gen:447.092010, inckl_eta:121.613762, inckl_z:0.160146
snr: 1.458434, var: 0.811538, inckl_gen:761.737122, inckl_eta:168.685547, inckl_z:0.203847
snr: 1.493487, var: 0.847432, inckl_gen:386.616058, inckl_eta:83.023682, inckl_z:0.145648
snr: 1.432842, var: 0.787974, inckl_gen:485.071442, inckl_eta:49.144592, inckl_z:0.110675
snr: 1.411376, var: 0.770431, inckl_gen:473.228333, inckl_eta:100.110817, inckl_z:0.133663
snr: 1.414625, var: 0.773554, inckl_gen:729.021851, inckl_eta:94.986389, inckl_z:0.152124
snr: 1.445663, var: 0.805834, inckl_gen:774.018127, inckl_eta:107.476990, inckl_z:0.193948
snr: 1.420921, var: 0.782766, inckl_gen:536.717712, inckl_eta:189.817459, inckl_z:0.199111
snr: 1.443793, var: 0.803456, inckl_gen:760.564148, inckl_eta:117.642998, inckl_z:0.170187
snr: 1.443981, var: 0.809765, inckl_gen:580.358093, inckl_eta:190.170578, inckl_z:0.177043
snr: 1.450788, var: 0.813762, inckl_gen:483.521576, inckl_eta:103.358086, inckl_z:0.144652
snr: 1.424261, var: 0.789928, inckl_gen:569.766235, inckl_eta:97.696449, inckl_z:0.118737
snr: 1.452300, var: 0.820819, inckl_gen:621.531921, inckl_eta:103.279823, inckl_z:0.134620
snr: 1.417310, var: 0.786365, inckl_gen:517.626709, inckl_eta:52.366150, inckl_z:0.098983
snr: 1.431609, var: 0.802218, inckl_gen:687.802429, inckl_eta:109.441399, inckl_z:0.157176
snr: 1.400022, var: 0.773788, inckl_gen:755.009277, inckl_eta:68.146423, inckl_z:0.150712
snr: 1.417671, var: 0.799508, inckl_gen:849.223633, inckl_eta:111.735374, inckl_z:0.209355
snr: 1.417921, var: 0.802134, inckl_gen:563.593140, inckl_eta:123.747246, inckl_z:0.215922
snr: 1.454911, var: 0.841869, inckl_gen:455.020844, inckl_eta:67.361725, inckl_z:0.151754
snr: 1.450716, var: 0.835066, inckl_gen:697.128845, inckl_eta:185.166046, inckl_z:0.273825
snr: 1.473163, var: 0.851880, inckl_gen:516.571289, inckl_eta:47.914639, inckl_z:0.106233
snr: 1.491778, var: 0.873032, inckl_gen:487.478973, inckl_eta:81.288284, inckl_z:0.124986
snr: 1.448849, var: 0.832476, inckl_gen:427.818359, inckl_eta:92.706566, inckl_z:0.113154
snr: 1.392324, var: 0.773582, inckl_gen:733.806335, inckl_eta:100.621071, inckl_z:0.163404
snr: 1.469502, var: 0.853020, inckl_gen:504.557953, inckl_eta:92.322960, inckl_z:0.166561
snr: 1.389899, var: 0.772974, inckl_gen:581.611755, inckl_eta:188.878784, inckl_z:0.180382
snr: 1.449071, var: 0.831589, inckl_gen:534.026123, inckl_eta:139.369461, inckl_z:0.169254
snr: 1.433440, var: 0.813498, inckl_gen:594.514282, inckl_eta:76.064819, inckl_z:0.110954
snr: 1.471341, var: 0.852441, inckl_gen:471.887360, inckl_eta:122.285378, inckl_z:0.170543
snr: 1.506187, var: 0.891232, inckl_gen:930.074341, inckl_eta:217.540359, inckl_z:0.214864
snr: 1.470908, var: 0.854942, inckl_gen:683.068359, inckl_eta:159.201462, inckl_z:0.222908
snr: 1.466967, var: 0.857529, inckl_gen:538.217590, inckl_eta:71.123962, inckl_z:0.107732
snr: 1.427828, var: 0.813881, inckl_gen:485.670563, inckl_eta:72.867821, inckl_z:0.114330
snr: 1.417876, var: 0.804346, inckl_gen:784.471008, inckl_eta:125.881584, inckl_z:0.177171
snr: 1.422869, var: 0.810851, inckl_gen:520.179871, inckl_eta:97.194054, inckl_z:0.143899
snr: 1.412631, var: 0.805553, inckl_gen:529.918579, inckl_eta:71.857414, inckl_z:0.079043
snr: 1.431579, var: 0.823156, inckl_gen:477.077362, inckl_eta:67.979820, inckl_z:0.097689
snr: 1.398627, var: 0.792616, inckl_gen:408.176971, inckl_eta:52.189442, inckl_z:0.087024
snr: 1.410189, var: 0.808111, inckl_gen:614.834961, inckl_eta:73.224266, inckl_z:0.149441
snr: 1.400111, var: 0.800864, inckl_gen:497.425598, inckl_eta:89.785027, inckl_z:0.141707
snr: 1.429490, var: 0.828999, inckl_gen:643.556824, inckl_eta:121.515800, inckl_z:0.128386
snr: 1.427211, var: 0.826604, inckl_gen:496.308807, inckl_eta:106.310112, inckl_z:0.152003
snr: 1.379088, var: 0.782636, inckl_gen:529.513855, inckl_eta:120.744751, inckl_z:0.171771
snr: 1.426503, var: 0.830452, inckl_gen:555.163940, inckl_eta:83.172180, inckl_z:0.178386
