snr: 1.479511, var: 0.803467, inckl_gen:252.672028, inckl_eta:63.013210, inckl_z:0.637031
snr: 1.782871, var: 1.104175, inckl_gen:171.320877, inckl_eta:41.313690, inckl_z:0.461972
snr: 1.864638, var: 1.186739, inckl_gen:219.742584, inckl_eta:34.768257, inckl_z:0.456748
snr: 1.871064, var: 1.195198, inckl_gen:169.176117, inckl_eta:41.211277, inckl_z:0.412793
snr: 1.719215, var: 1.042694, inckl_gen:222.683548, inckl_eta:31.028168, inckl_z:0.343443
snr: 1.664175, var: 0.998769, inckl_gen:213.866501, inckl_eta:36.324856, inckl_z:0.320794
snr: 1.684202, var: 1.017440, inckl_gen:279.393890, inckl_eta:68.417183, inckl_z:0.351987
snr: 1.628296, var: 0.964154, inckl_gen:341.787201, inckl_eta:50.139240, inckl_z:0.262452
snr: 1.609803, var: 0.947728, inckl_gen:213.168777, inckl_eta:40.946636, inckl_z:0.209269
snr: 1.532970, var: 0.871976, inckl_gen:315.162567, inckl_eta:55.370083, inckl_z:0.193444
snr: 1.530453, var: 0.871376, inckl_gen:287.761444, inckl_eta:60.191040, inckl_z:0.224791
snr: 1.559297, var: 0.905000, inckl_gen:336.907532, inckl_eta:45.890560, inckl_z:0.218702
snr: 1.529089, var: 0.874652, inckl_gen:324.480682, inckl_eta:18.261362, inckl_z:0.096485
snr: 1.616766, var: 0.967067, inckl_gen:275.000366, inckl_eta:61.490852, inckl_z:0.159575
snr: 1.596685, var: 0.945396, inckl_gen:395.517517, inckl_eta:30.982527, inckl_z:0.072489
snr: 1.572218, var: 0.926005, inckl_gen:466.205566, inckl_eta:35.962048, inckl_z:0.181950
snr: 1.482358, var: 0.834550, inckl_gen:309.302948, inckl_eta:53.413754, inckl_z:0.138408
snr: 1.500277, var: 0.855039, inckl_gen:181.580475, inckl_eta:36.432339, inckl_z:0.124961
snr: 1.542480, var: 0.900992, inckl_gen:569.653198, inckl_eta:85.177483, inckl_z:0.174396
snr: 1.456764, var: 0.815477, inckl_gen:358.681702, inckl_eta:26.283300, inckl_z:0.105384
snr: 1.484557, var: 0.845211, inckl_gen:311.863525, inckl_eta:21.145521, inckl_z:0.106408
snr: 1.508796, var: 0.872788, inckl_gen:462.675293, inckl_eta:40.183392, inckl_z:0.064267
snr: 1.521851, var: 0.882295, inckl_gen:386.902283, inckl_eta:81.648415, inckl_z:0.166198
snr: 1.520086, var: 0.884084, inckl_gen:499.908997, inckl_eta:93.374466, inckl_z:0.191054
snr: 1.500469, var: 0.866415, inckl_gen:457.124908, inckl_eta:67.128410, inckl_z:0.114538
snr: 1.443267, var: 0.816960, inckl_gen:406.479706, inckl_eta:57.341896, inckl_z:0.077771
snr: 1.498839, var: 0.873899, inckl_gen:460.664612, inckl_eta:77.731804, inckl_z:0.092835
snr: 1.461466, var: 0.835361, inckl_gen:360.722473, inckl_eta:81.622742, inckl_z:0.143735
snr: 1.482058, var: 0.856578, inckl_gen:280.746002, inckl_eta:57.245819, inckl_z:0.081244
snr: 1.495446, var: 0.870389, inckl_gen:326.140228, inckl_eta:26.871313, inckl_z:0.102284
snr: 1.506791, var: 0.881709, inckl_gen:539.011719, inckl_eta:98.155983, inckl_z:0.117757
snr: 1.463438, var: 0.840885, inckl_gen:1009.009460, inckl_eta:189.353928, inckl_z:0.130098
snr: 1.503565, var: 0.880823, inckl_gen:742.055420, inckl_eta:187.851517, inckl_z:0.157193
snr: 1.491287, var: 0.869337, inckl_gen:517.225098, inckl_eta:57.008007, inckl_z:0.080574
snr: 1.488950, var: 0.866817, inckl_gen:562.878662, inckl_eta:116.120995, inckl_z:0.053092
snr: 1.487272, var: 0.871330, inckl_gen:440.289032, inckl_eta:84.484764, inckl_z:0.145353
snr: 1.459128, var: 0.841473, inckl_gen:368.869781, inckl_eta:40.223877, inckl_z:0.051313
snr: 1.493510, var: 0.881023, inckl_gen:492.122375, inckl_eta:66.309319, inckl_z:0.059524
snr: 1.439598, var: 0.824948, inckl_gen:352.704834, inckl_eta:64.477440, inckl_z:0.067577
snr: 1.466839, var: 0.847425, inckl_gen:615.550293, inckl_eta:65.945549, inckl_z:0.110907
snr: 1.475864, var: 0.863115, inckl_gen:324.313629, inckl_eta:66.194740, inckl_z:0.083171
snr: 1.474472, var: 0.861946, inckl_gen:376.871643, inckl_eta:44.445950, inckl_z:0.107981
snr: 1.510337, var: 0.894376, inckl_gen:409.587708, inckl_eta:60.201874, inckl_z:0.091111
snr: 1.550941, var: 0.936216, inckl_gen:323.956970, inckl_eta:66.200333, inckl_z:0.077446
snr: 1.514976, var: 0.898522, inckl_gen:434.095428, inckl_eta:131.071152, inckl_z:0.135509
snr: 1.420015, var: 0.797810, inckl_gen:473.715424, inckl_eta:58.121925, inckl_z:0.135647
