snr: 1.359423, var: 0.681256, inckl_gen:309.583130, inckl_eta:98.424736, inckl_z:0.684864
snr: 1.661720, var: 0.984943, inckl_gen:193.286087, inckl_eta:62.295300, inckl_z:0.497145
snr: 1.731994, var: 1.055328, inckl_gen:353.650482, inckl_eta:52.718178, inckl_z:0.381214
snr: 1.701937, var: 1.026923, inckl_gen:531.788086, inckl_eta:138.808182, inckl_z:0.460096
snr: 1.614689, var: 0.942760, inckl_gen:297.828278, inckl_eta:70.738457, inckl_z:0.254821
snr: 1.620982, var: 0.943488, inckl_gen:513.058044, inckl_eta:117.223686, inckl_z:0.361066
snr: 1.728106, var: 1.053755, inckl_gen:358.915375, inckl_eta:50.784542, inckl_z:0.242695
snr: 1.606164, var: 0.934089, inckl_gen:552.608093, inckl_eta:112.579979, inckl_z:0.321161
snr: 1.580561, var: 0.914123, inckl_gen:567.161743, inckl_eta:98.270439, inckl_z:0.282427
snr: 1.517643, var: 0.853141, inckl_gen:708.750122, inckl_eta:169.796951, inckl_z:0.370905
snr: 1.552262, var: 0.884995, inckl_gen:516.775818, inckl_eta:153.497192, inckl_z:0.249902
snr: 1.569493, var: 0.911931, inckl_gen:458.370941, inckl_eta:91.213402, inckl_z:0.167735
snr: 1.540897, var: 0.878555, inckl_gen:498.042877, inckl_eta:93.392944, inckl_z:0.209636
snr: 1.502431, var: 0.845096, inckl_gen:724.039368, inckl_eta:121.613625, inckl_z:0.209687
snr: 1.489030, var: 0.836053, inckl_gen:678.855896, inckl_eta:117.923027, inckl_z:0.200935
snr: 1.497784, var: 0.849797, inckl_gen:448.362885, inckl_eta:97.615898, inckl_z:0.155132
snr: 1.590672, var: 0.944933, inckl_gen:572.397583, inckl_eta:95.004372, inckl_z:0.146384
snr: 1.512005, var: 0.868863, inckl_gen:539.708252, inckl_eta:62.978981, inckl_z:0.129451
snr: 1.470502, var: 0.827721, inckl_gen:677.776794, inckl_eta:124.547340, inckl_z:0.223277
snr: 1.472518, var: 0.834229, inckl_gen:709.605835, inckl_eta:245.114822, inckl_z:0.320183
snr: 1.550451, var: 0.910321, inckl_gen:689.393494, inckl_eta:92.979576, inckl_z:0.147845
snr: 1.552760, var: 0.916749, inckl_gen:789.054626, inckl_eta:82.456902, inckl_z:0.157926
snr: 1.602707, var: 0.970670, inckl_gen:902.489746, inckl_eta:106.459038, inckl_z:0.115528
snr: 1.517633, var: 0.888635, inckl_gen:659.421204, inckl_eta:77.936272, inckl_z:0.117824
snr: 1.559508, var: 0.929529, inckl_gen:567.626465, inckl_eta:80.495293, inckl_z:0.113936
snr: 1.543927, var: 0.910797, inckl_gen:636.132629, inckl_eta:142.682968, inckl_z:0.177769
snr: 1.507230, var: 0.877161, inckl_gen:477.005859, inckl_eta:61.142040, inckl_z:0.100640
snr: 1.562239, var: 0.938792, inckl_gen:671.437439, inckl_eta:128.679367, inckl_z:0.146252
snr: 1.525797, var: 0.903013, inckl_gen:645.616333, inckl_eta:203.132523, inckl_z:0.173235
snr: 1.488051, var: 0.861086, inckl_gen:618.813843, inckl_eta:104.730103, inckl_z:0.121776
snr: 1.478229, var: 0.853444, inckl_gen:744.362488, inckl_eta:110.256004, inckl_z:0.103057
snr: 1.471715, var: 0.842631, inckl_gen:768.498047, inckl_eta:307.117889, inckl_z:0.266242
snr: 1.445828, var: 0.827239, inckl_gen:765.543945, inckl_eta:257.686005, inckl_z:0.204341
snr: 1.515963, var: 0.897486, inckl_gen:778.641479, inckl_eta:99.043793, inckl_z:0.171604
snr: 1.481885, var: 0.870955, inckl_gen:566.180664, inckl_eta:123.032814, inckl_z:0.098384
snr: 1.508478, var: 0.896372, inckl_gen:841.894958, inckl_eta:169.712128, inckl_z:0.214917
snr: 1.536706, var: 0.927675, inckl_gen:822.890076, inckl_eta:83.839127, inckl_z:0.083731
snr: 1.413686, var: 0.815436, inckl_gen:625.977478, inckl_eta:147.695602, inckl_z:0.150164
snr: 1.480875, var: 0.890251, inckl_gen:850.132507, inckl_eta:98.438110, inckl_z:0.171059
snr: 1.570738, var: 0.986433, inckl_gen:648.611511, inckl_eta:178.156662, inckl_z:0.191470
snr: 1.494022, var: 0.905729, inckl_gen:733.221863, inckl_eta:113.843895, inckl_z:0.217393
snr: 1.469853, var: 0.904574, inckl_gen:705.861633, inckl_eta:151.617477, inckl_z:0.151112
snr: 1.503556, var: 0.950180, inckl_gen:720.932434, inckl_eta:173.152710, inckl_z:0.168850
snr: 1.448795, var: 0.890167, inckl_gen:555.091980, inckl_eta:72.864494, inckl_z:0.105703
snr: 1.469130, var: 0.905591, inckl_gen:623.971863, inckl_eta:150.130783, inckl_z:0.128597
snr: 1.411836, var: 0.857358, inckl_gen:493.955383, inckl_eta:144.085510, inckl_z:0.127437
snr: 1.437985, var: 0.894809, inckl_gen:779.690857, inckl_eta:82.088356, inckl_z:0.128300
snr: 1.437322, var: 0.899144, inckl_gen:824.651001, inckl_eta:137.088272, inckl_z:0.174599
snr: 1.425154, var: 0.900647, inckl_gen:641.758606, inckl_eta:90.321426, inckl_z:0.108842
snr: 1.430446, var: 0.904068, inckl_gen:977.198059, inckl_eta:177.284821, inckl_z:0.206018
snr: 1.394709, var: 0.872136, inckl_gen:605.912598, inckl_eta:157.232788, inckl_z:0.161729
snr: 1.425441, var: 0.913030, inckl_gen:1079.539917, inckl_eta:208.314377, inckl_z:0.181145
snr: 1.434577, var: 0.923659, inckl_gen:639.397461, inckl_eta:79.284065, inckl_z:0.077788
snr: 1.394894, var: 0.880662, inckl_gen:1103.212280, inckl_eta:451.691498, inckl_z:0.253469
snr: 1.397769, var: 0.880738, inckl_gen:585.494690, inckl_eta:86.584221, inckl_z:0.121475
snr: 1.431458, var: 0.910422, inckl_gen:523.050964, inckl_eta:113.998253, inckl_z:0.107215
snr: 1.423120, var: 0.905088, inckl_gen:681.017029, inckl_eta:160.689682, inckl_z:0.108557
snr: 1.337974, var: 0.827856, inckl_gen:677.094421, inckl_eta:234.609497, inckl_z:0.183756
snr: 1.402868, var: 0.884838, inckl_gen:446.799316, inckl_eta:75.251694, inckl_z:0.100707
snr: 1.385734, var: 0.873166, inckl_gen:799.415344, inckl_eta:191.476364, inckl_z:0.193384
snr: 1.438233, var: 0.931472, inckl_gen:587.000305, inckl_eta:86.664452, inckl_z:0.113967
snr: 1.396454, var: 0.893711, inckl_gen:585.283997, inckl_eta:137.151688, inckl_z:0.119739
snr: 1.381990, var: 0.884128, inckl_gen:652.317993, inckl_eta:235.636230, inckl_z:0.132211
snr: 1.389460, var: 0.879392, inckl_gen:752.154236, inckl_eta:252.318649, inckl_z:0.162007
snr: 1.403824, var: 0.903875, inckl_gen:565.325623, inckl_eta:126.268166, inckl_z:0.115265
snr: 1.425864, var: 0.935313, inckl_gen:630.020630, inckl_eta:165.234329, inckl_z:0.164280
snr: 1.387582, var: 0.897924, inckl_gen:585.545044, inckl_eta:222.885239, inckl_z:0.179568
snr: 1.400811, var: 0.921541, inckl_gen:613.205078, inckl_eta:125.090591, inckl_z:0.099940
snr: 1.413597, var: 0.934392, inckl_gen:972.653137, inckl_eta:140.501266, inckl_z:0.182146
snr: 1.358071, var: 0.876306, inckl_gen:531.166443, inckl_eta:113.478409, inckl_z:0.116329
snr: 1.349191, var: 0.865486, inckl_gen:588.903381, inckl_eta:110.765625, inckl_z:0.137458
snr: 1.415974, var: 0.951343, inckl_gen:708.019409, inckl_eta:248.729111, inckl_z:0.149495
snr: 1.342796, var: 0.867857, inckl_gen:588.791199, inckl_eta:119.415359, inckl_z:0.110631
snr: 1.343421, var: 0.857097, inckl_gen:605.465027, inckl_eta:121.565727, inckl_z:0.122203
snr: 1.360649, var: 0.883223, inckl_gen:546.671082, inckl_eta:127.283997, inckl_z:0.098497
snr: 1.355332, var: 0.880642, inckl_gen:729.569214, inckl_eta:240.352448, inckl_z:0.184007
snr: 1.309752, var: 0.818664, inckl_gen:553.311829, inckl_eta:184.234283, inckl_z:0.163896
snr: 1.335862, var: 0.850024, inckl_gen:849.310242, inckl_eta:174.254349, inckl_z:0.188870
snr: 1.332855, var: 0.856109, inckl_gen:770.464539, inckl_eta:230.571442, inckl_z:0.201581
snr: 1.360342, var: 0.872416, inckl_gen:846.974609, inckl_eta:196.177536, inckl_z:0.217620
snr: 1.347251, var: 0.876357, inckl_gen:508.863281, inckl_eta:83.734306, inckl_z:0.086415
snr: 1.324894, var: 0.846441, inckl_gen:692.507202, inckl_eta:106.980591, inckl_z:0.112204
snr: 1.338802, var: 0.848842, inckl_gen:731.282532, inckl_eta:166.948135, inckl_z:0.129558
snr: 1.424587, var: 0.945587, inckl_gen:493.148041, inckl_eta:141.414597, inckl_z:0.158153
snr: 1.321276, var: 0.821489, inckl_gen:460.215546, inckl_eta:120.984123, inckl_z:0.097355
snr: 1.372859, var: 0.878436, inckl_gen:431.174133, inckl_eta:83.325722, inckl_z:0.095967
snr: 1.476810, var: 0.967562, inckl_gen:637.187317, inckl_eta:137.619415, inckl_z:0.128897
snr: 1.358528, var: 0.867806, inckl_gen:453.846161, inckl_eta:70.292580, inckl_z:0.079477
snr: 1.353594, var: 0.864071, inckl_gen:422.314514, inckl_eta:71.925125, inckl_z:0.085278
snr: 1.291380, var: 0.807487, inckl_gen:498.802948, inckl_eta:80.328697, inckl_z:0.098616
snr: 1.246859, var: 0.751432, inckl_gen:387.990936, inckl_eta:104.720543, inckl_z:0.081416
snr: 1.271985, var: 0.787122, inckl_gen:608.012024, inckl_eta:139.548340, inckl_z:0.172710
snr: 1.284012, var: 0.799584, inckl_gen:446.352753, inckl_eta:97.168007, inckl_z:0.069360
snr: 1.249275, var: 0.774430, inckl_gen:495.349701, inckl_eta:98.332413, inckl_z:0.096290
snr: 1.248104, var: 0.774094, inckl_gen:451.561249, inckl_eta:67.185402, inckl_z:0.111994
snr: 1.280395, var: 0.821921, inckl_gen:530.501709, inckl_eta:127.584183, inckl_z:0.087036
snr: 1.248682, var: 0.782859, inckl_gen:670.378052, inckl_eta:205.912674, inckl_z:0.223969
snr: 1.277282, var: 0.801221, inckl_gen:385.602753, inckl_eta:61.408119, inckl_z:0.096096
snr: 1.298446, var: 0.838291, inckl_gen:609.241882, inckl_eta:147.141754, inckl_z:0.168807
snr: 1.246114, var: 0.762249, inckl_gen:491.535065, inckl_eta:143.501648, inckl_z:0.119637
snr: 1.233189, var: 0.743820, inckl_gen:530.162781, inckl_eta:94.588196, inckl_z:0.124505
snr: 1.255512, var: 0.763895, inckl_gen:673.233643, inckl_eta:125.460083, inckl_z:0.100272
snr: 1.239325, var: 0.762986, inckl_gen:446.368225, inckl_eta:92.319481, inckl_z:0.095148
snr: 1.220993, var: 0.734252, inckl_gen:727.994507, inckl_eta:230.907669, inckl_z:0.182241
snr: 1.235756, var: 0.767169, inckl_gen:573.182068, inckl_eta:168.313766, inckl_z:0.194017
snr: 1.253375, var: 0.772180, inckl_gen:544.178833, inckl_eta:90.371178, inckl_z:0.099840
