snr: 1.686624, var: 0.990723, inckl_gen:143.146637, inckl_eta:47.025143, inckl_z:0.689043
snr: 1.998359, var: 1.285802, inckl_gen:207.898758, inckl_eta:52.659523, inckl_z:0.673675
snr: 1.944767, var: 1.227005, inckl_gen:143.704514, inckl_eta:41.597286, inckl_z:0.424990
snr: 1.815659, var: 1.102745, inckl_gen:216.077499, inckl_eta:37.608662, inckl_z:0.499371
snr: 1.782228, var: 1.077136, inckl_gen:292.718994, inckl_eta:24.913046, inckl_z:0.422777
snr: 1.767704, var: 1.074542, inckl_gen:222.113083, inckl_eta:40.648876, inckl_z:0.443533
snr: 1.699542, var: 1.010800, inckl_gen:206.367905, inckl_eta:30.207937, inckl_z:0.252003
snr: 1.656624, var: 0.975564, inckl_gen:293.943207, inckl_eta:37.683830, inckl_z:0.260687
snr: 1.579598, var: 0.906800, inckl_gen:306.923981, inckl_eta:43.584198, inckl_z:0.239802
snr: 1.564333, var: 0.893095, inckl_gen:396.255981, inckl_eta:39.423622, inckl_z:0.231549
snr: 1.611076, var: 0.939253, inckl_gen:464.251862, inckl_eta:54.797848, inckl_z:0.189013
snr: 1.575225, var: 0.905044, inckl_gen:366.759827, inckl_eta:63.195034, inckl_z:0.168661
snr: 1.499237, var: 0.831316, inckl_gen:236.969238, inckl_eta:8.149969, inckl_z:0.098049
snr: 1.489575, var: 0.821485, inckl_gen:345.467255, inckl_eta:30.050455, inckl_z:0.120021
snr: 1.483198, var: 0.815244, inckl_gen:268.545654, inckl_eta:32.180298, inckl_z:0.167603
snr: 1.500024, var: 0.837801, inckl_gen:359.768707, inckl_eta:73.567802, inckl_z:0.170915
snr: 1.468840, var: 0.808057, inckl_gen:549.093689, inckl_eta:37.145420, inckl_z:0.152989
snr: 1.507514, var: 0.849804, inckl_gen:274.700806, inckl_eta:44.424255, inckl_z:0.135854
snr: 1.548706, var: 0.894826, inckl_gen:471.437592, inckl_eta:36.986755, inckl_z:0.128888
snr: 1.570928, var: 0.919499, inckl_gen:344.401855, inckl_eta:40.970181, inckl_z:0.097810
snr: 1.504531, var: 0.851130, inckl_gen:414.646790, inckl_eta:55.746956, inckl_z:0.181869
snr: 1.543111, var: 0.892563, inckl_gen:289.863770, inckl_eta:53.453560, inckl_z:0.106153
snr: 1.483048, var: 0.830720, inckl_gen:312.020721, inckl_eta:54.634724, inckl_z:0.131811
snr: 1.482088, var: 0.831661, inckl_gen:295.950806, inckl_eta:18.910376, inckl_z:0.086782
snr: 1.464939, var: 0.814452, inckl_gen:448.318756, inckl_eta:52.646545, inckl_z:0.137187
snr: 1.524333, var: 0.876262, inckl_gen:288.907043, inckl_eta:16.330196, inckl_z:0.105676
snr: 1.547970, var: 0.902167, inckl_gen:573.602844, inckl_eta:75.431023, inckl_z:0.067644
snr: 1.567937, var: 0.923855, inckl_gen:487.480865, inckl_eta:82.075569, inckl_z:0.143131
snr: 1.529676, var: 0.885134, inckl_gen:435.825592, inckl_eta:83.143257, inckl_z:0.107378
snr: 1.500487, var: 0.860463, inckl_gen:325.163177, inckl_eta:32.053722, inckl_z:0.081978
snr: 1.540301, var: 0.900161, inckl_gen:397.609406, inckl_eta:73.935387, inckl_z:0.112254
snr: 1.439824, var: 0.799104, inckl_gen:470.544830, inckl_eta:38.032665, inckl_z:0.086751
snr: 1.438249, var: 0.793065, inckl_gen:468.467377, inckl_eta:70.272560, inckl_z:0.129887
snr: 1.548849, var: 0.908210, inckl_gen:422.066406, inckl_eta:86.214485, inckl_z:0.184798
snr: 1.553229, var: 0.911480, inckl_gen:296.018982, inckl_eta:42.749329, inckl_z:0.105973
snr: 1.483604, var: 0.842320, inckl_gen:450.768707, inckl_eta:50.854481, inckl_z:0.105341
snr: 1.478210, var: 0.835524, inckl_gen:315.781708, inckl_eta:38.117382, inckl_z:0.078593
snr: 1.428455, var: 0.785205, inckl_gen:516.242432, inckl_eta:160.068085, inckl_z:0.113681
snr: 1.422444, var: 0.782786, inckl_gen:651.648071, inckl_eta:67.975739, inckl_z:0.139854
snr: 1.468046, var: 0.826920, inckl_gen:514.483337, inckl_eta:55.205811, inckl_z:0.072882
snr: 1.448284, var: 0.806960, inckl_gen:446.963531, inckl_eta:63.538734, inckl_z:0.091867
snr: 1.423382, var: 0.786926, inckl_gen:419.587402, inckl_eta:66.091026, inckl_z:0.100491
snr: 1.483572, var: 0.845500, inckl_gen:373.316254, inckl_eta:82.232971, inckl_z:0.136976
snr: 1.495696, var: 0.857800, inckl_gen:370.001312, inckl_eta:84.883522, inckl_z:0.138516
snr: 1.508028, var: 0.870659, inckl_gen:545.311523, inckl_eta:95.043068, inckl_z:0.105021
snr: 1.443943, var: 0.803330, inckl_gen:491.377289, inckl_eta:32.956997, inckl_z:0.088698
snr: 1.462093, var: 0.821336, inckl_gen:348.129120, inckl_eta:61.825325, inckl_z:0.102995
snr: 1.406744, var: 0.770012, inckl_gen:367.547577, inckl_eta:72.179283, inckl_z:0.106798
snr: 1.403357, var: 0.763173, inckl_gen:480.071106, inckl_eta:41.164593, inckl_z:0.055853
snr: 1.482869, var: 0.844281, inckl_gen:420.569489, inckl_eta:113.848244, inckl_z:0.158356
snr: 1.510429, var: 0.874062, inckl_gen:351.292603, inckl_eta:35.327526, inckl_z:0.062705
snr: 1.565849, var: 0.927632, inckl_gen:649.121704, inckl_eta:66.033691, inckl_z:0.165066
snr: 1.498936, var: 0.859634, inckl_gen:508.110901, inckl_eta:41.613613, inckl_z:0.074647
snr: 1.462147, var: 0.824775, inckl_gen:582.192444, inckl_eta:136.428665, inckl_z:0.152078
snr: 1.514003, var: 0.880321, inckl_gen:478.363983, inckl_eta:35.356197, inckl_z:0.093284
snr: 1.446080, var: 0.807913, inckl_gen:416.620209, inckl_eta:90.476593, inckl_z:0.102142
snr: 1.454435, var: 0.818028, inckl_gen:538.399231, inckl_eta:61.378933, inckl_z:0.090355
snr: 1.465155, var: 0.831777, inckl_gen:554.537109, inckl_eta:67.248695, inckl_z:0.082914
snr: 1.456149, var: 0.823382, inckl_gen:539.249939, inckl_eta:39.816036, inckl_z:0.098415
snr: 1.502681, var: 0.867691, inckl_gen:268.536469, inckl_eta:29.526617, inckl_z:0.043249
snr: 1.410090, var: 0.773939, inckl_gen:416.257782, inckl_eta:114.798195, inckl_z:0.106908
snr: 1.402114, var: 0.767618, inckl_gen:577.218933, inckl_eta:68.840370, inckl_z:0.124875
snr: 1.428115, var: 0.797206, inckl_gen:453.614807, inckl_eta:47.157104, inckl_z:0.101557
snr: 1.434522, var: 0.799875, inckl_gen:338.214752, inckl_eta:46.989872, inckl_z:0.066157
snr: 1.402933, var: 0.770784, inckl_gen:341.036469, inckl_eta:31.598921, inckl_z:0.075180
snr: 1.399977, var: 0.769403, inckl_gen:449.896576, inckl_eta:26.458235, inckl_z:0.062340
snr: 1.356722, var: 0.723886, inckl_gen:632.478699, inckl_eta:76.161858, inckl_z:0.104140
snr: 1.420470, var: 0.791175, inckl_gen:406.084442, inckl_eta:35.161572, inckl_z:0.060045
snr: 1.387321, var: 0.759312, inckl_gen:290.748260, inckl_eta:11.542251, inckl_z:0.046489
snr: 1.399338, var: 0.766660, inckl_gen:339.225006, inckl_eta:38.330383, inckl_z:0.067840
snr: 1.405699, var: 0.776411, inckl_gen:565.933777, inckl_eta:57.961758, inckl_z:0.100785
snr: 1.415801, var: 0.786995, inckl_gen:391.484283, inckl_eta:46.317364, inckl_z:0.103628
snr: 1.376700, var: 0.746293, inckl_gen:441.905975, inckl_eta:31.098761, inckl_z:0.059907
snr: 1.396528, var: 0.767111, inckl_gen:414.363525, inckl_eta:41.098114, inckl_z:0.081636
snr: 1.411860, var: 0.785424, inckl_gen:264.757782, inckl_eta:84.812660, inckl_z:0.092593
snr: 1.410484, var: 0.784761, inckl_gen:407.018311, inckl_eta:22.271103, inckl_z:0.066345
snr: 1.387832, var: 0.766890, inckl_gen:529.776001, inckl_eta:72.005249, inckl_z:0.129917
snr: 1.398495, var: 0.775599, inckl_gen:323.020966, inckl_eta:34.975582, inckl_z:0.063551
snr: 1.408810, var: 0.782267, inckl_gen:445.538483, inckl_eta:72.478882, inckl_z:0.126054
