snr: 2.054255, var: 1.363270, inckl_gen:185.594604, inckl_eta:71.218140, inckl_z:0.680922
snr: 2.288444, var: 1.589154, inckl_gen:185.635086, inckl_eta:41.479969, inckl_z:0.503124
snr: 2.154501, var: 1.459039, inckl_gen:226.459427, inckl_eta:36.082336, inckl_z:0.485333
snr: 2.028630, var: 1.331458, inckl_gen:191.468124, inckl_eta:27.438490, inckl_z:0.355857
snr: 1.908292, var: 1.216694, inckl_gen:253.674347, inckl_eta:38.401653, inckl_z:0.363981
snr: 1.911354, var: 1.200317, inckl_gen:206.795029, inckl_eta:35.641994, inckl_z:0.293827
snr: 1.841112, var: 1.155098, inckl_gen:249.913742, inckl_eta:25.574167, inckl_z:0.243846
snr: 1.761627, var: 1.078378, inckl_gen:269.659424, inckl_eta:34.103008, inckl_z:0.230103
snr: 1.770505, var: 1.089787, inckl_gen:265.312012, inckl_eta:34.796032, inckl_z:0.197828
snr: 1.691911, var: 1.012013, inckl_gen:353.822723, inckl_eta:58.753906, inckl_z:0.216450
snr: 1.626167, var: 0.952469, inckl_gen:266.796722, inckl_eta:34.640514, inckl_z:0.179537
snr: 1.658435, var: 0.988904, inckl_gen:294.044983, inckl_eta:39.120571, inckl_z:0.120585
snr: 1.569786, var: 0.901309, inckl_gen:332.638306, inckl_eta:40.653938, inckl_z:0.124913
snr: 1.589177, var: 0.926228, inckl_gen:334.328644, inckl_eta:59.081524, inckl_z:0.166436
snr: 1.578062, var: 0.917443, inckl_gen:520.516113, inckl_eta:50.207897, inckl_z:0.150853
snr: 1.540958, var: 0.880055, inckl_gen:419.441864, inckl_eta:42.386562, inckl_z:0.163763
snr: 1.596916, var: 0.931982, inckl_gen:404.283752, inckl_eta:133.028473, inckl_z:0.196630
snr: 1.588438, var: 0.930571, inckl_gen:509.710175, inckl_eta:99.727745, inckl_z:0.194177
snr: 1.521673, var: 0.869799, inckl_gen:500.316956, inckl_eta:61.327198, inckl_z:0.058744
snr: 1.554866, var: 0.903330, inckl_gen:375.810211, inckl_eta:52.462429, inckl_z:0.170111
snr: 1.533142, var: 0.882859, inckl_gen:549.318359, inckl_eta:42.328682, inckl_z:0.095579
snr: 1.535259, var: 0.885387, inckl_gen:743.950500, inckl_eta:87.292313, inckl_z:0.192042
snr: 1.472048, var: 0.822880, inckl_gen:411.377655, inckl_eta:52.843487, inckl_z:0.083325
snr: 1.540483, var: 0.894962, inckl_gen:665.963318, inckl_eta:80.079048, inckl_z:0.139155
snr: 1.487204, var: 0.845566, inckl_gen:386.752350, inckl_eta:42.312702, inckl_z:0.126251
snr: 1.515975, var: 0.874214, inckl_gen:366.188232, inckl_eta:56.375832, inckl_z:0.089779
snr: 1.522085, var: 0.884763, inckl_gen:359.960114, inckl_eta:53.905262, inckl_z:0.130032
snr: 1.440695, var: 0.798703, inckl_gen:524.810242, inckl_eta:101.972351, inckl_z:0.071049
snr: 1.482433, var: 0.844821, inckl_gen:397.019226, inckl_eta:60.290615, inckl_z:0.096896
snr: 1.487385, var: 0.853292, inckl_gen:516.165222, inckl_eta:139.168076, inckl_z:0.111113
snr: 1.450852, var: 0.816455, inckl_gen:662.680847, inckl_eta:74.937386, inckl_z:0.049679
snr: 1.444967, var: 0.808985, inckl_gen:480.029694, inckl_eta:86.554344, inckl_z:0.090001
snr: 1.503544, var: 0.868540, inckl_gen:334.548096, inckl_eta:105.496964, inckl_z:0.099137
snr: 1.476704, var: 0.843989, inckl_gen:374.656769, inckl_eta:84.688896, inckl_z:0.122815
snr: 1.430978, var: 0.799301, inckl_gen:367.337494, inckl_eta:75.329247, inckl_z:0.118141
snr: 1.485423, var: 0.853921, inckl_gen:352.101776, inckl_eta:43.979153, inckl_z:0.058319
snr: 1.461973, var: 0.830174, inckl_gen:447.605865, inckl_eta:37.727840, inckl_z:0.091807
snr: 1.471869, var: 0.841850, inckl_gen:319.235321, inckl_eta:24.338896, inckl_z:0.085782
snr: 1.455500, var: 0.825943, inckl_gen:351.824097, inckl_eta:51.180172, inckl_z:0.053389
snr: 1.427894, var: 0.803566, inckl_gen:493.944244, inckl_eta:49.116783, inckl_z:0.055685
snr: 1.455237, var: 0.830754, inckl_gen:352.959961, inckl_eta:56.731873, inckl_z:0.057168
snr: 1.425157, var: 0.802128, inckl_gen:586.310852, inckl_eta:76.525925, inckl_z:0.112281
snr: 1.445213, var: 0.822377, inckl_gen:292.790741, inckl_eta:43.247921, inckl_z:0.061311
snr: 1.428868, var: 0.803396, inckl_gen:405.748230, inckl_eta:29.099325, inckl_z:0.086169
snr: 1.460994, var: 0.831602, inckl_gen:254.700363, inckl_eta:28.138599, inckl_z:0.059873
snr: 1.436388, var: 0.810356, inckl_gen:799.113770, inckl_eta:372.425995, inckl_z:0.121442
snr: 1.447834, var: 0.829607, inckl_gen:340.718903, inckl_eta:59.296658, inckl_z:0.118579
snr: 1.457338, var: 0.835684, inckl_gen:415.104706, inckl_eta:80.020630, inckl_z:0.153875
snr: 1.424001, var: 0.805532, inckl_gen:379.453796, inckl_eta:58.573036, inckl_z:0.041911
snr: 1.416407, var: 0.800463, inckl_gen:541.640564, inckl_eta:63.573841, inckl_z:0.119736
snr: 1.443946, var: 0.825658, inckl_gen:312.046143, inckl_eta:28.554688, inckl_z:0.065848
snr: 1.506811, var: 0.892151, inckl_gen:452.917542, inckl_eta:83.862663, inckl_z:0.099008
snr: 1.473399, var: 0.856844, inckl_gen:261.100891, inckl_eta:28.866510, inckl_z:0.049611
snr: 1.446323, var: 0.830837, inckl_gen:373.621033, inckl_eta:42.767830, inckl_z:0.057111
snr: 1.392398, var: 0.775099, inckl_gen:335.001556, inckl_eta:67.904053, inckl_z:0.099467
snr: 1.454689, var: 0.837772, inckl_gen:378.249573, inckl_eta:33.506195, inckl_z:0.079885
snr: 1.462430, var: 0.843436, inckl_gen:423.128265, inckl_eta:83.344749, inckl_z:0.101520
snr: 1.426252, var: 0.810158, inckl_gen:316.155975, inckl_eta:49.147121, inckl_z:0.056013
snr: 1.449433, var: 0.831146, inckl_gen:324.114410, inckl_eta:59.863472, inckl_z:0.070811
snr: 1.392282, var: 0.779499, inckl_gen:349.576019, inckl_eta:31.549437, inckl_z:0.063644
snr: 1.421482, var: 0.805432, inckl_gen:431.332336, inckl_eta:106.277527, inckl_z:0.056347
snr: 1.403669, var: 0.792089, inckl_gen:379.573334, inckl_eta:36.540279, inckl_z:0.062060
snr: 1.386613, var: 0.765619, inckl_gen:300.353668, inckl_eta:42.452248, inckl_z:0.041749
snr: 1.390348, var: 0.768376, inckl_gen:331.535004, inckl_eta:22.815228, inckl_z:0.050197
snr: 1.408512, var: 0.780966, inckl_gen:391.041901, inckl_eta:54.232143, inckl_z:0.101964
snr: 1.401841, var: 0.781850, inckl_gen:356.920471, inckl_eta:26.552280, inckl_z:0.059298
snr: 1.417467, var: 0.799357, inckl_gen:451.038544, inckl_eta:62.606544, inckl_z:0.107026
snr: 1.496767, var: 0.882385, inckl_gen:240.801712, inckl_eta:45.878429, inckl_z:0.036199
snr: 1.395776, var: 0.782638, inckl_gen:378.988678, inckl_eta:47.915722, inckl_z:0.105907
snr: 1.396958, var: 0.784653, inckl_gen:465.109222, inckl_eta:65.260605, inckl_z:0.065099
snr: 1.409090, var: 0.798722, inckl_gen:480.426117, inckl_eta:27.375479, inckl_z:0.059472
snr: 1.407544, var: 0.793466, inckl_gen:348.614288, inckl_eta:39.039501, inckl_z:0.060979
snr: 1.400158, var: 0.789987, inckl_gen:206.317429, inckl_eta:22.462797, inckl_z:0.040716
snr: 1.370028, var: 0.764075, inckl_gen:360.003967, inckl_eta:83.068054, inckl_z:0.115943
snr: 1.389208, var: 0.784058, inckl_gen:220.172470, inckl_eta:15.348722, inckl_z:0.055032
snr: 1.401062, var: 0.794709, inckl_gen:273.839417, inckl_eta:33.503017, inckl_z:0.037212
snr: 1.423753, var: 0.823701, inckl_gen:349.981659, inckl_eta:29.328695, inckl_z:0.059195
snr: 1.360942, var: 0.753580, inckl_gen:392.261566, inckl_eta:43.948940, inckl_z:0.062464
snr: 1.344501, var: 0.736107, inckl_gen:296.908783, inckl_eta:28.198664, inckl_z:0.068470
snr: 1.371868, var: 0.765712, inckl_gen:265.611908, inckl_eta:27.223164, inckl_z:0.043510
snr: 1.367348, var: 0.762019, inckl_gen:251.787262, inckl_eta:23.421116, inckl_z:0.064282
snr: 1.371274, var: 0.767078, inckl_gen:429.824921, inckl_eta:83.991089, inckl_z:0.065059
snr: 1.376193, var: 0.765112, inckl_gen:234.714340, inckl_eta:15.639308, inckl_z:0.037347
snr: 1.337080, var: 0.727596, inckl_gen:319.473541, inckl_eta:37.238537, inckl_z:0.066647
snr: 1.363689, var: 0.752868, inckl_gen:402.945526, inckl_eta:59.505154, inckl_z:0.057174
snr: 1.411152, var: 0.800471, inckl_gen:393.803894, inckl_eta:53.563690, inckl_z:0.056851
snr: 1.342216, var: 0.729396, inckl_gen:245.785690, inckl_eta:24.623657, inckl_z:0.081098
snr: 1.349726, var: 0.739480, inckl_gen:309.153656, inckl_eta:33.769054, inckl_z:0.065505
snr: 1.367613, var: 0.765383, inckl_gen:231.808701, inckl_eta:49.920994, inckl_z:0.078583
snr: 1.363621, var: 0.761853, inckl_gen:342.271820, inckl_eta:21.449390, inckl_z:0.092523
snr: 1.336015, var: 0.725889, inckl_gen:345.661957, inckl_eta:42.883678, inckl_z:0.071874
snr: 1.353341, var: 0.746933, inckl_gen:341.930023, inckl_eta:62.011658, inckl_z:0.060615
snr: 1.322776, var: 0.719825, inckl_gen:489.092590, inckl_eta:61.642437, inckl_z:0.067745
snr: 1.367747, var: 0.768303, inckl_gen:302.131195, inckl_eta:16.818913, inckl_z:0.057131
snr: 1.346020, var: 0.751436, inckl_gen:211.773727, inckl_eta:20.564939, inckl_z:0.042867
snr: 1.362278, var: 0.767593, inckl_gen:300.826508, inckl_eta:34.645359, inckl_z:0.035707
snr: 1.370358, var: 0.777360, inckl_gen:342.822479, inckl_eta:45.684792, inckl_z:0.060702
snr: 1.291613, var: 0.694659, inckl_gen:196.355301, inckl_eta:30.681269, inckl_z:0.051247
snr: 1.343162, var: 0.744101, inckl_gen:270.612976, inckl_eta:22.405964, inckl_z:0.041900
snr: 1.282371, var: 0.681917, inckl_gen:274.154877, inckl_eta:13.544754, inckl_z:0.063193
snr: 1.337347, var: 0.739562, inckl_gen:202.789551, inckl_eta:27.494068, inckl_z:0.039821
snr: 1.339449, var: 0.746555, inckl_gen:317.247864, inckl_eta:15.029010, inckl_z:0.061702
snr: 1.340682, var: 0.754016, inckl_gen:232.685104, inckl_eta:21.658525, inckl_z:0.047283
snr: 1.291188, var: 0.702493, inckl_gen:277.668671, inckl_eta:41.531685, inckl_z:0.040265
snr: 1.298478, var: 0.710260, inckl_gen:216.022690, inckl_eta:16.378714, inckl_z:0.056009
snr: 1.292543, var: 0.706947, inckl_gen:371.626495, inckl_eta:21.747313, inckl_z:0.079702
snr: 1.312059, var: 0.724499, inckl_gen:217.214752, inckl_eta:36.155373, inckl_z:0.038682
snr: 1.321795, var: 0.751180, inckl_gen:209.695801, inckl_eta:15.637565, inckl_z:0.046773
snr: 1.325468, var: 0.760593, inckl_gen:308.214539, inckl_eta:37.387280, inckl_z:0.070457
snr: 1.320929, var: 0.741876, inckl_gen:198.077560, inckl_eta:15.540061, inckl_z:0.046579
snr: 1.293743, var: 0.715963, inckl_gen:242.646439, inckl_eta:13.410438, inckl_z:0.040063
snr: 1.319613, var: 0.744784, inckl_gen:247.937988, inckl_eta:27.369684, inckl_z:0.042417
snr: 1.344680, var: 0.770216, inckl_gen:298.886108, inckl_eta:15.147226, inckl_z:0.062014
snr: 1.347431, var: 0.768020, inckl_gen:218.541779, inckl_eta:19.571743, inckl_z:0.038952
snr: 1.379256, var: 0.807226, inckl_gen:198.911240, inckl_eta:12.384827, inckl_z:0.046328
snr: 1.279624, var: 0.715779, inckl_gen:188.261597, inckl_eta:11.216722, inckl_z:0.039788
snr: 1.336312, var: 0.760776, inckl_gen:193.026077, inckl_eta:15.403519, inckl_z:0.046895
snr: 1.340009, var: 0.763503, inckl_gen:353.112244, inckl_eta:15.038635, inckl_z:0.063532
snr: 1.333844, var: 0.765765, inckl_gen:181.773117, inckl_eta:12.772051, inckl_z:0.042825
snr: 1.274823, var: 0.703271, inckl_gen:217.810776, inckl_eta:8.486506, inckl_z:0.041403
snr: 1.319325, var: 0.750611, inckl_gen:218.828201, inckl_eta:9.624680, inckl_z:0.048750
snr: 1.284944, var: 0.724528, inckl_gen:227.117020, inckl_eta:13.784724, inckl_z:0.037661
snr: 1.300601, var: 0.737457, inckl_gen:191.099182, inckl_eta:13.305326, inckl_z:0.037071
snr: 1.304866, var: 0.754487, inckl_gen:278.308289, inckl_eta:14.111188, inckl_z:0.047108
snr: 1.267939, var: 0.708599, inckl_gen:315.415009, inckl_eta:14.515572, inckl_z:0.042961
snr: 1.287765, var: 0.729688, inckl_gen:189.907318, inckl_eta:8.940842, inckl_z:0.036885
snr: 1.256542, var: 0.692302, inckl_gen:159.085068, inckl_eta:13.122408, inckl_z:0.037466
snr: 1.307424, var: 0.746917, inckl_gen:202.287796, inckl_eta:14.495905, inckl_z:0.048622
snr: 1.326849, var: 0.761169, inckl_gen:215.937256, inckl_eta:10.783431, inckl_z:0.034556
snr: 1.384165, var: 0.816485, inckl_gen:238.890045, inckl_eta:16.750917, inckl_z:0.058805
snr: 1.345364, var: 0.799427, inckl_gen:322.760712, inckl_eta:12.011213, inckl_z:0.043605
snr: 1.301289, var: 0.745566, inckl_gen:190.202560, inckl_eta:11.277141, inckl_z:0.039691
snr: 1.299030, var: 0.755631, inckl_gen:220.827148, inckl_eta:11.216104, inckl_z:0.040613
snr: 1.301983, var: 0.764712, inckl_gen:162.316101, inckl_eta:13.921924, inckl_z:0.058603
snr: 1.301475, var: 0.756206, inckl_gen:261.315491, inckl_eta:9.421498, inckl_z:0.046786
