snr: 1.004435, var: 6.911532, inckl_gen:344.421875
snr: 1.005168, var: 6.681485, inckl_gen:412.036926
snr: 1.003884, var: 7.557972, inckl_gen:451.714355
snr: 1.005509, var: 7.072766, inckl_gen:250.641312
snr: 1.004537, var: 6.929337, inckl_gen:372.129059
snr: 1.003952, var: 6.826839, inckl_gen:501.802063
snr: 1.004631, var: 6.940582, inckl_gen:410.381256
snr: 1.004625, var: 6.417838, inckl_gen:365.825989
snr: 1.005934, var: 6.531947, inckl_gen:317.641388
snr: 1.004328, var: 6.328767, inckl_gen:372.721252
snr: 1.004128, var: 7.089539, inckl_gen:455.427948
snr: 1.003575, var: 6.774358, inckl_gen:354.639252
snr: 1.004501, var: 6.793354, inckl_gen:420.369232
snr: 1.003882, var: 7.061392, inckl_gen:484.346497
snr: 1.004454, var: 6.705837, inckl_gen:355.448395
snr: 1.003872, var: 6.372991, inckl_gen:456.451477
snr: 1.003737, var: 6.540658, inckl_gen:353.207581
snr: 1.004196, var: 6.998420, inckl_gen:282.770081
snr: 1.006017, var: 6.731707, inckl_gen:382.652802
snr: 1.004634, var: 6.616685, inckl_gen:362.228058
snr: 1.004288, var: 6.230314, inckl_gen:447.098389
snr: 1.005133, var: 6.552860, inckl_gen:473.514984
snr: 1.003210, var: 6.472819, inckl_gen:426.960602
snr: 1.003730, var: 6.377604, inckl_gen:381.705170
snr: 1.004818, var: 6.911785, inckl_gen:339.337555
snr: 1.005790, var: 6.767829, inckl_gen:343.741760
snr: 1.004428, var: 6.674274, inckl_gen:288.622284
snr: 1.005556, var: 6.488962, inckl_gen:463.794037
snr: 1.004045, var: 6.885006, inckl_gen:323.240082
snr: 1.003680, var: 6.630276, inckl_gen:453.189514
snr: 1.004950, var: 6.324655, inckl_gen:341.631989
snr: 1.005634, var: 6.140450, inckl_gen:466.758606
snr: 1.003948, var: 6.429825, inckl_gen:444.662445
snr: 1.004996, var: 6.313666, inckl_gen:376.225922
snr: 1.003066, var: 6.251318, inckl_gen:545.813538
snr: 1.003970, var: 6.310793, inckl_gen:473.625946
snr: 1.004668, var: 6.276596, inckl_gen:416.926575
snr: 1.004696, var: 6.262384, inckl_gen:400.670013
snr: 1.003061, var: 6.992820, inckl_gen:357.016205
snr: 1.003891, var: 6.488508, inckl_gen:279.499420
snr: 1.005417, var: 6.474289, inckl_gen:422.686035
snr: 1.003279, var: 6.518442, inckl_gen:413.882660
snr: 1.004151, var: 6.521509, inckl_gen:393.936005
snr: 1.005687, var: 6.653811, inckl_gen:422.075409
snr: 1.004701, var: 6.686131, inckl_gen:440.855194
snr: 1.003458, var: 6.629805, inckl_gen:243.705078
snr: 1.006292, var: 6.454391, inckl_gen:451.635162
snr: 1.005057, var: 6.211042, inckl_gen:384.325073
snr: 1.004146, var: 6.496721, inckl_gen:190.440720
snr: 1.006491, var: 6.595757, inckl_gen:381.061493
snr: 1.003649, var: 6.623678, inckl_gen:403.007324
snr: 1.007068, var: 6.746498, inckl_gen:347.208099
snr: 1.003665, var: 7.398510, inckl_gen:301.474335
snr: 1.005680, var: 6.606327, inckl_gen:358.163300
snr: 1.003719, var: 6.472068, inckl_gen:404.647186
snr: 1.003018, var: 6.169525, inckl_gen:331.841461
snr: 1.004090, var: 6.391786, inckl_gen:489.175110
snr: 1.004120, var: 5.880754, inckl_gen:437.587616
snr: 1.004681, var: 6.416436, inckl_gen:359.227692
snr: 1.005161, var: 6.690004, inckl_gen:403.714935
snr: 1.004394, var: 6.791962, inckl_gen:295.142273
snr: 1.004110, var: 6.773077, inckl_gen:380.866455
snr: 1.004485, var: 6.454296, inckl_gen:321.196381
snr: 1.004735, var: 6.656615, inckl_gen:318.882721
snr: 1.003056, var: 6.930208, inckl_gen:280.898163
snr: 1.002561, var: 6.377821, inckl_gen:244.948395
snr: 1.005439, var: 6.697887, inckl_gen:395.087738
snr: 1.004775, var: 6.503230, inckl_gen:393.271759
snr: 1.003474, var: 6.300805, inckl_gen:428.206696
snr: 1.004248, var: 5.909932, inckl_gen:368.064911
snr: 1.004542, var: 5.976412, inckl_gen:360.467621
snr: 1.005126, var: 6.192926, inckl_gen:442.635803
snr: 1.003582, var: 6.304102, inckl_gen:534.319946
snr: 1.003371, var: 6.258334, inckl_gen:374.228027
snr: 1.004498, var: 6.211728, inckl_gen:338.389648
snr: 1.005127, var: 6.426435, inckl_gen:514.611023
snr: 1.003193, var: 6.193525, inckl_gen:343.191956
snr: 1.004410, var: 6.822268, inckl_gen:488.241028
snr: 1.004239, var: 6.303260, inckl_gen:303.731720
snr: 1.005840, var: 6.519557, inckl_gen:445.942444
snr: 1.004212, var: 6.179364, inckl_gen:339.320618
snr: 1.005818, var: 6.387477, inckl_gen:338.037079
snr: 1.003525, var: 6.460708, inckl_gen:509.023254
snr: 1.005922, var: 6.064322, inckl_gen:445.357727
snr: 1.004455, var: 6.369152, inckl_gen:337.293976
snr: 1.003730, var: 6.051911, inckl_gen:453.200012
snr: 1.005777, var: 6.232374, inckl_gen:490.511230
snr: 1.003287, var: 6.312053, inckl_gen:400.741302
snr: 1.004354, var: 5.873274, inckl_gen:438.916260
snr: 1.003632, var: 6.101724, inckl_gen:373.962921
snr: 1.006658, var: 6.053894, inckl_gen:407.473480
snr: 1.004373, var: 6.197683, inckl_gen:482.156891
snr: 1.006387, var: 5.895491, inckl_gen:451.865143
snr: 1.004186, var: 5.994039, inckl_gen:355.267853
snr: 1.003444, var: 6.086935, inckl_gen:319.116913
snr: 1.003657, var: 6.197800, inckl_gen:332.332153
snr: 1.003507, var: 5.824753, inckl_gen:460.619537
snr: 1.005200, var: 5.853611, inckl_gen:352.334198
snr: 1.004299, var: 6.389719, inckl_gen:288.390717
snr: 1.004259, var: 7.088924, inckl_gen:447.793518
snr: 1.003200, var: 5.559066, inckl_gen:457.553802
snr: 1.005954, var: 6.262515, inckl_gen:344.034393
snr: 1.003434, var: 6.218823, inckl_gen:372.710052
snr: 1.004741, var: 6.071481, inckl_gen:291.754395
snr: 1.004737, var: 6.464528, inckl_gen:393.238678
snr: 1.004980, var: 6.106762, inckl_gen:407.798889
snr: 1.003886, var: 5.766290, inckl_gen:223.280869
snr: 1.004330, var: 5.889519, inckl_gen:381.985413
snr: 1.004744, var: 5.778340, inckl_gen:363.688568
