EUBO	ELBO	ESS
-269.485	-692.773	1.124
-260.491	-588.295	1.152
-256.068	-524.616	1.170
-252.173	-485.461	1.190
-248.552	-455.153	1.202
-246.588	-436.841	1.217
-243.812	-421.518	1.229
-241.437	-409.635	1.247
-239.379	-402.254	1.251
-237.127	-394.622	1.262
-235.022	-387.810	1.276
-233.972	-383.355	1.293
-232.678	-378.030	1.304
-232.154	-373.831	1.312
-230.831	-369.608	1.334
-229.612	-363.149	1.346
-229.485	-359.765	1.363
-228.982	-354.322	1.378
-228.591	-349.608	1.395
-228.259	-344.009	1.414
-227.930	-342.202	1.437
-227.331	-337.974	1.449
-227.009	-336.053	1.474
-226.329	-331.238	1.486
-225.966	-328.582	1.506
-225.393	-325.193	1.515
-224.881	-321.901	1.535
-224.344	-319.548	1.551
-224.347	-316.236	1.564
-223.222	-314.455	1.584
-222.900	-311.529	1.600
-222.558	-310.317	1.612
-222.394	-308.817	1.632
-221.660	-307.331	1.637
-221.150	-304.810	1.661
-220.636	-302.721	1.654
-220.613	-301.108	1.670
-219.883	-299.805	1.698
-219.926	-299.145	1.699
-219.559	-296.665	1.723
-218.320	-293.493	1.730
-218.274	-293.826	1.736
-218.371	-293.647	1.742
-217.725	-291.108	1.748
-217.703	-290.210	1.768
-216.754	-287.354	1.784
-216.654	-288.335	1.779
-216.574	-286.763	1.771
-216.547	-286.707	1.795
-215.672	-284.642	1.798
-216.171	-284.766	1.807
-215.750	-284.153	1.829
-215.514	-283.052	1.822
-215.092	-282.869	1.833
-214.899	-281.425	1.837
-214.568	-281.175	1.853
-214.296	-280.799	1.856
-214.196	-280.717	1.857
-213.999	-278.836	1.867
-213.954	-278.831	1.873
-213.719	-278.625	1.881
-213.520	-277.857	1.880
-213.126	-276.957	1.895
-212.630	-276.661	1.891
-212.778	-276.816	1.904
-212.514	-275.015	1.914
-212.405	-276.102	1.928
-212.261	-275.106	1.917
-212.283	-275.709	1.930
-211.828	-275.703	1.941
-211.691	-273.972	1.938
-211.584	-273.757	1.952
-211.600	-274.607	1.940
-211.264	-274.557	1.950
-211.387	-273.952	1.956
-211.144	-273.085	1.966
-210.862	-273.043	1.965
-210.635	-273.100	1.969
-210.872	-272.797	1.986
-210.889	-272.505	1.987
-210.777	-271.933	1.993
-210.394	-272.140	1.988
-210.724	-272.374	1.996
-210.802	-271.105	2.007
