EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-417.319	-541.278	5.228	29.859	20.660	6.549	3.624
-417.233	-541.288	5.228	30.884	20.671	6.546	3.587
-417.596	-541.585	5.230	29.836	20.139	6.586	3.608
-417.502	-541.002	5.239	29.042	20.248	6.415	3.546
-417.343	-540.643	5.238	29.321	20.437	6.478	3.564
-417.687	-540.544	5.237	29.812	20.554	6.521	3.596
-416.977	-540.786	5.228	29.460	20.404	6.576	3.610
-416.705	-540.596	5.232	30.000	20.179	6.540	3.582
-416.188	-539.820	5.228	29.428	20.311	6.461	3.564
-415.619	-539.690	5.233	28.818	20.336	6.515	3.543
-416.937	-539.703	5.241	28.710	20.200	6.354	3.529
-416.964	-539.559	5.241	28.579	20.183	6.330	3.479
-416.642	-539.183	5.242	29.238	20.513	6.334	3.488
-415.466	-538.715	5.237	29.256	20.240	6.330	3.473
-415.214	-538.518	5.235	29.100	20.156	6.332	3.496
-414.367	-538.242	5.236	28.811	20.479	6.262	3.449
-416.187	-538.296	5.248	28.334	20.142	6.256	3.481
-415.224	-537.995	5.239	29.603	20.191	6.234	3.447
-415.725	-537.819	5.242	29.068	20.304	6.247	3.463
-414.792	-537.770	5.232	28.919	20.154	6.311	3.485
-413.812	-537.379	5.232	28.731	20.421	6.326	3.504
-413.900	-537.103	5.233	28.422	20.153	6.212	3.475
-414.055	-536.990	5.237	28.989	20.138	6.244	3.474
-414.641	-536.633	5.241	28.002	20.080	6.051	3.414
-413.965	-536.954	5.238	27.856	19.928	6.183	3.445
-414.132	-537.016	5.243	28.543	20.099	6.214	3.409
-413.503	-536.745	5.232	28.543	19.882	6.196	3.416
-413.556	-536.696	5.234	29.093	20.090	6.228	3.444
-413.206	-536.394	5.244	28.672	20.110	6.124	3.415
-413.994	-536.299	5.238	28.488	19.968	6.085	3.388
-413.675	-535.628	5.251	27.778	20.155	6.005	3.329
-413.981	-535.671	5.251	27.302	19.839	5.912	3.309
-413.023	-535.319	5.245	27.827	19.924	6.015	3.358
-413.512	-535.411	5.249	27.148	19.689	6.019	3.336
EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-511.576	-927.278	3.473	204.654	17.432	77.613	23.266
-470.093	-672.674	4.518	81.262	20.255	26.102	10.604
-451.594	-606.498	4.956	52.785	20.814	14.061	6.521
-440.136	-577.536	5.093	39.729	19.590	10.387	5.213
-430.783	-561.960	5.140	35.149	19.050	8.957	4.699
-426.613	-553.879	5.173	32.050	19.268	8.164	4.298
-423.141	-549.347	5.185	31.267	19.236	7.770	4.164
-422.408	-545.795	5.234	29.724	19.965	7.047	3.824
-420.249	-543.988	5.237	29.089	20.119	6.537	3.602
-419.170	-542.384	5.250	28.135	20.626	6.365	3.525
-415.752	-539.107	5.254	27.647	20.563	5.957	3.342
-414.095	-537.449	5.254	27.055	20.898	5.960	3.339
-413.869	-537.550	5.265	27.407	20.748	5.727	3.234
-412.413	-535.527	5.267	26.897	20.514	5.583	3.197
-411.824	-534.342	5.276	26.626	21.053	5.412	3.120
-411.092	-534.170	5.255	25.959	20.390	5.525	3.191
-409.789	-532.695	5.263	26.191	20.441	5.441	3.120
-409.268	-531.625	5.269	25.483	20.309	5.323	3.065
-409.081	-530.410	5.287	25.414	20.234	5.108	2.968
-408.703	-530.597	5.263	25.431	19.619	5.203	3.039
-408.215	-529.390	5.286	24.760	19.983	5.027	2.929
-406.017	-527.466	5.277	24.266	19.513	5.002	2.923
-404.855	-525.862	5.278	24.613	19.382	5.006	2.912
-403.684	-523.601	5.289	24.581	19.091	4.923	2.827
-402.553	-522.211	5.291	23.669	19.179	4.894	2.830
-402.379	-521.762	5.285	24.401	19.322	4.957	2.873
-400.305	-519.416	5.292	23.410	18.790	4.905	2.831
-399.625	-519.367	5.275	24.035	18.260	4.959	2.847
-399.495	-517.467	5.280	23.073	17.940	4.815	2.757
-398.035	-514.825	5.299	22.575	18.286	4.751	2.690
-397.548	-514.744	5.289	22.622	17.438	4.848	2.744
-397.158	-514.497	5.282	22.489	17.161	4.855	2.752
-396.357	-511.311	5.304	21.148	16.791	4.657	2.637
-394.082	-508.329	5.303	21.384	16.486	4.548	2.558
-393.987	-507.730	5.300	20.766	15.993	4.625	2.592
-392.079	-506.510	5.296	20.965	15.940	4.687	2.611
-392.406	-504.727	5.319	20.982	15.880	4.519	2.486
-392.566	-503.503	5.319	19.923	15.885	4.557	2.532
-391.295	-501.995	5.324	19.950	15.016	4.497	2.470
-389.886	-501.191	5.318	19.654	15.583	4.451	2.471
-389.118	-499.303	5.325	19.344	14.904	4.364	2.448
-389.505	-498.274	5.330	18.763	14.988	4.355	2.444
-390.255	-499.055	5.342	18.996	15.127	4.299	2.409
-388.617	-496.825	5.332	18.586	14.542	4.282	2.353
-388.467	-496.619	5.338	18.476	14.243	4.283	2.387
-387.162	-493.770	5.347	18.150	14.157	4.182	2.303
-387.381	-493.888	5.350	17.868	14.146	4.151	2.293
-386.123	-493.654	5.333	18.215	13.976	4.164	2.297
-386.563	-492.353	5.344	17.365	13.808	4.050	2.244
-384.956	-491.453	5.340	17.711	14.072	4.108	2.298
-386.059	-492.678	5.340	18.700	14.542	4.065	2.267
-385.038	-491.644	5.338	17.673	13.703	4.092	2.276
-384.768	-492.176	5.328	18.518	13.528	4.062	2.232
-385.607	-491.942	5.351	17.842	13.872	3.991	2.236
-385.818	-490.976	5.349	17.957	13.745	3.980	2.246
-384.427	-490.407	5.339	17.258	13.477	3.944	2.223
-385.328	-491.374	5.348	17.805	13.774	3.949	2.207
-384.646	-490.166	5.337	17.146	13.151	3.994	2.273
-384.103	-488.687	5.351	16.759	13.221	3.933	2.232
-384.676	-490.423	5.340	17.835	13.997	3.944	2.222
-384.979	-490.129	5.347	17.246	13.498	3.962	2.206
-384.794	-489.836	5.350	17.762	13.473	3.874	2.206
-383.986	-489.272	5.340	17.076	13.214	3.923	2.199
-383.922	-488.870	5.342	16.765	13.510	3.887	2.216
-382.860	-485.835	5.355	15.910	12.890	3.785	2.187
-382.759	-489.315	5.344	17.187	13.264	3.921	2.267
-383.088	-487.127	5.350	17.323	13.187	3.859	2.197
-383.756	-487.391	5.348	20.245	12.925	3.887	2.174
-382.356	-485.224	5.352	16.262	13.211	3.883	2.182
-382.284	-486.056	5.352	17.375	13.307	3.869	2.171
-383.263	-485.279	5.365	16.072	12.864	3.780	2.120
-382.853	-485.374	5.354	16.340	13.171	3.801	2.143
-383.021	-486.011	5.353	16.581	13.225	3.841	2.196
-381.616	-485.164	5.337	16.212	13.133	3.882	2.188
-382.712	-485.307	5.356	15.951	13.153	3.863	2.162
-381.410	-485.004	5.340	16.154	13.176	3.851	2.215
-382.212	-483.723	5.355	15.796	12.614	3.794	2.155
-381.605	-484.021	5.346	15.878	12.903	3.825	2.200
-382.302	-484.327	5.355	15.701	12.810	3.761	2.106
-383.254	-485.730	5.353	16.053	12.879	3.786	2.149
-383.442	-484.118	5.371	16.476	12.893	3.731	2.118
-380.893	-484.247	5.333	16.291	13.035	3.820	2.152
-381.866	-484.853	5.348	16.585	13.215	3.700	2.117
-382.535	-483.870	5.367	15.584	13.348	3.740	2.090
-382.501	-483.456	5.371	16.337	13.103	3.685	2.129
-381.731	-482.859	5.352	15.390	13.072	3.736	2.201
-382.772	-482.948	5.374	15.586	13.500	3.651	2.098
-381.920	-482.078	5.372	14.870	12.789	3.636	2.086
-381.623	-483.130	5.353	16.191	12.908	3.715	2.147
-381.845	-480.935	5.385	15.441	12.812	3.528	2.019
-382.499	-484.028	5.375	15.773	13.852	3.622	2.071
-381.884	-482.893	5.365	15.079	12.918	3.635	2.068
-380.865	-481.323	5.368	15.142	12.629	3.621	2.020
-381.414	-482.102	5.373	16.145	12.976	3.597	2.052
-380.508	-481.747	5.349	15.595	12.494	3.618	2.066
-381.003	-482.116	5.361	14.852	12.066	3.596	2.055
-380.647	-481.349	5.359	15.038	12.162	3.554	2.066
-380.801	-481.826	5.366	15.489	12.741	3.518	2.018
-380.193	-481.875	5.359	15.121	12.662	3.591	2.058
-380.490	-480.580	5.364	15.182	12.345	3.527	2.046
-380.942	-482.452	5.365	15.542	12.467	3.594	2.042
-380.375	-482.013	5.351	14.920	12.228	3.591	2.059
-380.991	-480.840	5.380	15.064	12.260	3.467	1.993
EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
