snr: 0.655857, var: 0.958025
snr: 0.653714, var: 0.954663
snr: 0.664838, var: 0.973657
snr: 0.647489, var: 0.941503
snr: 0.646218, var: 0.944118
snr: 0.655507, var: 0.936593
snr: 0.673833, var: 1.002109
snr: 0.651468, var: 0.978370
snr: 0.642900, var: 0.931630
snr: 0.663033, var: 0.942404
snr: 0.676929, var: 0.952683
snr: 0.702098, var: 0.982293
snr: 0.659064, var: 0.926511
snr: 0.691795, var: 0.993784
snr: 0.686463, var: 1.012782
snr: 0.657977, var: 0.936380
snr: 0.653830, var: 0.931300
snr: 0.695895, var: 0.982083
snr: 0.666857, var: 0.927072
snr: 0.676717, var: 0.953844
snr: 0.707122, var: 0.984102
snr: 0.726599, var: 0.966638
snr: 0.739202, var: 1.013572
snr: 0.709024, var: 0.987186
snr: 0.756101, var: 1.025915
snr: 0.677089, var: 0.935802
snr: 0.728032, var: 0.984940
snr: 0.714644, var: 0.968787
snr: 0.717295, var: 0.985907
snr: 0.701475, var: 0.951739
snr: 0.763009, var: 1.017947
snr: 0.747933, var: 0.958871
snr: 0.739146, var: 0.962756
snr: 0.746069, var: 0.981354
snr: 0.794608, var: 1.039716
snr: 0.792138, var: 0.994396
snr: 0.772482, var: 0.996106
snr: 0.746186, var: 0.951902
snr: 0.774828, var: 0.984936
snr: 0.808359, var: 1.034597
snr: 0.831534, var: 1.020108
snr: 0.859387, var: 1.056996
snr: 0.812978, var: 1.051790
snr: 0.797938, var: 1.030178
snr: 0.794969, var: 0.996518
snr: 0.785599, var: 0.992919
snr: 0.794792, var: 0.982729
snr: 0.820030, var: 0.988485
snr: 0.810969, var: 0.982446
snr: 0.802938, var: 0.964574
snr: 0.837842, var: 0.998450
snr: 0.888558, var: 1.077798
snr: 0.875557, var: 1.058721
snr: 0.846140, var: 1.014465
snr: 0.835603, var: 1.035438
snr: 0.869600, var: 1.042623
snr: 0.852331, var: 1.025727
snr: 0.858916, var: 1.033032
snr: 0.880719, var: 1.068906
snr: 0.854527, var: 1.022963
snr: 0.917747, var: 1.086917
snr: 0.857812, var: 1.009766
snr: 0.844225, var: 0.989541
snr: 0.836916, var: 0.971342
snr: 0.887083, var: 1.035946
snr: 0.875473, var: 1.027761
snr: 0.880389, var: 1.033313
snr: 0.845560, var: 1.007862
snr: 0.919970, var: 1.069281
snr: 0.879489, var: 1.045674
snr: 0.907684, var: 1.043543
snr: 0.911561, var: 1.052582
snr: 0.924335, var: 1.068029
snr: 0.928226, var: 1.050973
snr: 0.909935, var: 1.032507
snr: 0.903370, var: 1.025521
snr: 0.903802, var: 1.036797
snr: 0.893869, var: 1.008272
snr: 0.900056, var: 1.015103
snr: 0.943714, var: 1.053711
