snr: 0.397383, var: 0.954979
snr: 0.396493, var: 1.001591
snr: 0.422557, var: 1.046082
snr: 0.422795, var: 1.031249
snr: 0.412652, var: 1.023261
snr: 0.438679, var: 1.046723
snr: 0.426398, var: 0.990193
snr: 0.453352, var: 1.040851
snr: 0.445429, var: 1.013482
snr: 0.440332, var: 0.986605
snr: 0.438119, var: 1.000491
snr: 0.436156, var: 1.020931
snr: 0.449140, var: 1.140148
snr: 0.433669, var: 1.030984
snr: 0.458528, var: 1.126984
snr: 0.414470, var: 1.060945
snr: 0.444655, var: 1.154262
snr: 0.427311, var: 1.052683
snr: 0.436352, var: 1.039640
snr: 0.425275, var: 0.984204
snr: 0.422820, var: 1.012890
snr: 0.419482, var: 1.002182
snr: 0.430931, var: 1.038269
snr: 0.441681, var: 1.038560
snr: 0.417728, var: 1.140574
snr: 0.412105, var: 1.000377
snr: 0.418456, var: 0.948218
snr: 0.413867, var: 1.035930
snr: 0.409887, var: 0.915645
snr: 0.399836, var: 1.018525
snr: 0.403798, var: 1.007608
snr: 0.435993, var: 1.061951
snr: 0.422684, var: 1.006171
snr: 0.424099, var: 1.001444
snr: 0.414544, var: 0.964698
snr: 0.428789, var: 0.987051
snr: 0.458306, var: 0.985382
snr: 0.439357, var: 1.010134
snr: 0.416988, var: 0.986776
snr: 0.429760, var: 1.059063
snr: 0.434499, var: 1.065194
snr: 0.434084, var: 1.060263
snr: 0.448706, var: 1.021642
snr: 0.432354, var: 0.993605
snr: 0.426441, var: 1.003166
snr: 0.425553, var: 0.969369
snr: 0.403167, var: 0.964459
snr: 0.450855, var: 1.074997
snr: 0.423159, var: 1.007536
snr: 0.423415, var: 1.023602
snr: 0.449234, var: 1.001481
snr: 0.445322, var: 0.993277
snr: 0.431117, var: 1.133270
snr: 0.433315, var: 1.060668
snr: 0.423069, var: 1.009073
snr: 0.415016, var: 0.936906
snr: 0.425270, var: 0.916437
snr: 0.463809, var: 0.994652
snr: 0.433071, var: 0.941235
snr: 0.465114, var: 0.942361
snr: 0.434267, var: 0.920197
snr: 0.482458, var: 1.060121
snr: 0.484075, var: 1.007282
snr: 0.493993, var: 1.081339
snr: 0.431335, var: 0.948648
snr: 0.471702, var: 1.113723
snr: 0.460440, var: 1.050436
snr: 0.444284, var: 1.018041
snr: 0.430458, var: 0.928559
snr: 0.417141, var: 0.956366
snr: 0.440902, var: 1.004125
snr: 0.435402, var: 0.916821
snr: 0.468499, var: 1.012419
snr: 0.461125, var: 1.056855
snr: 0.424065, var: 0.970698
snr: 0.436818, var: 0.957885
snr: 0.438236, var: 0.972749
