(104s) loss: 12.431806,  ess_rws: 1.111873,  ess_eta: 9.859377,  ess_z: 9.890387,  density: -273.978707,  inckl_eta: 0.000238,  inckl_z: 0.708544
(107s) loss: 12.433475,  ess_rws: 1.109349,  ess_eta: 9.859814,  ess_z: 9.893305,  density: -274.216190,  inckl_eta: 0.000300,  inckl_z: 0.714046
(107s) loss: 12.432204,  ess_rws: 1.112978,  ess_eta: 9.860247,  ess_z: 9.895638,  density: -274.471959,  inckl_eta: 0.000197,  inckl_z: 0.718501
(106s) loss: 12.497999,  ess_rws: 1.111108,  ess_eta: 9.860492,  ess_z: 9.896842,  density: -274.757142,  inckl_eta: 0.000239,  inckl_z: 0.728016
(106s) loss: 12.547582,  ess_rws: 1.111959,  ess_eta: 9.860934,  ess_z: 9.898688,  density: -275.053256,  inckl_eta: 0.000265,  inckl_z: 0.739837
(104s) loss: 12.529122,  ess_rws: 1.114235,  ess_eta: 9.860994,  ess_z: 9.899896,  density: -275.183062,  inckl_eta: 0.000273,  inckl_z: 0.731947
(104s) loss: 12.496787,  ess_rws: 1.112457,  ess_eta: 9.859757,  ess_z: 9.899878,  density: -275.135077,  inckl_eta: 0.000262,  inckl_z: 0.738021
(106s) loss: 12.522198,  ess_rws: 1.112640,  ess_eta: 9.860637,  ess_z: 9.902581,  density: -275.130558,  inckl_eta: 0.000220,  inckl_z: 0.745766
(104s) loss: 12.530352,  ess_rws: 1.112941,  ess_eta: 9.860910,  ess_z: 9.905395,  density: -275.123664,  inckl_eta: 0.000253,  inckl_z: 0.745662
(106s) loss: 12.508426,  ess_rws: 1.113079,  ess_eta: 9.860964,  ess_z: 9.905520,  density: -275.057788,  inckl_eta: 0.000244,  inckl_z: 0.750079
(105s) loss: 12.566357,  ess_rws: 1.111195,  ess_eta: 9.861220,  ess_z: 9.908275,  density: -275.397811,  inckl_eta: 0.003415,  inckl_z: 0.751921
(105s) loss: 12.553576,  ess_rws: 1.114088,  ess_eta: 9.860741,  ess_z: 9.910559,  density: -275.222152,  inckl_eta: 0.002219,  inckl_z: 0.759649
(103s) loss: 12.526424,  ess_rws: 1.112934,  ess_eta: 9.861037,  ess_z: 9.910532,  density: -275.251193,  inckl_eta: 0.000253,  inckl_z: 0.768753
(104s) loss: 12.454751,  ess_rws: 1.113489,  ess_eta: 9.861000,  ess_z: 9.912375,  density: -274.859078,  inckl_eta: 0.000209,  inckl_z: 0.766066
(105s) loss: 12.499323,  ess_rws: 1.114666,  ess_eta: 9.861562,  ess_z: 9.914384,  density: -275.143678,  inckl_eta: 0.000244,  inckl_z: 0.759781
(107s) loss: 12.511394,  ess_rws: 1.114810,  ess_eta: 9.861477,  ess_z: 9.915088,  density: -275.091324,  inckl_eta: 0.000268,  inckl_z: 0.767961
(104s) loss: 12.493127,  ess_rws: 1.113374,  ess_eta: 9.860942,  ess_z: 9.914599,  density: -275.039820,  inckl_eta: 0.000263,  inckl_z: 0.768866
