snr: 0.430847, var: 0.573680
snr: 0.598107, var: 0.812506
snr: 0.607956, var: 0.871326
snr: 0.579067, var: 0.882525
snr: 0.527760, var: 0.885258
snr: 0.499504, var: 0.886444
snr: 0.461357, var: 0.841744
snr: 0.442831, var: 0.877887
snr: 0.442038, var: 0.938298
snr: 0.466317, var: 0.970666
snr: 0.455297, var: 1.037588
snr: 0.468755, var: 1.111171
snr: 0.465735, var: 1.160380
snr: 0.469168, var: 1.110374
snr: 0.458927, var: 1.094865
snr: 0.448346, var: 1.205230
snr: 0.479456, var: 1.266731
snr: 0.472755, var: 1.186441
snr: 0.462281, var: 1.236693
snr: 0.465551, var: 1.212508
snr: 0.473908, var: 1.127492
snr: 0.467780, var: 1.149467
snr: 0.472506, var: 1.095342
snr: 0.463676, var: 1.040505
snr: 0.462047, var: 1.136016
snr: 0.478630, var: 1.116096
snr: 0.455851, var: 1.065244
snr: 0.454876, var: 1.074266
snr: 0.486122, var: 1.048219
snr: 0.511532, var: 1.114806
snr: 0.529603, var: 1.095547
snr: 0.510107, var: 1.004767
snr: 0.503757, var: 0.990892
snr: 0.509183, var: 0.983315
snr: 0.496311, var: 0.959055
snr: 0.493798, var: 0.948211
snr: 0.505015, var: 0.961952
snr: 0.523016, var: 0.969290
snr: 0.550587, var: 0.988643
snr: 0.546129, var: 0.997712
snr: 0.536482, var: 0.968258
snr: 0.542964, var: 0.942377
snr: 0.535831, var: 0.913662
snr: 0.528025, var: 0.936569
snr: 0.521017, var: 0.862383
snr: 0.544579, var: 0.887256
snr: 0.567824, var: 0.911107
snr: 0.595639, var: 0.957897
snr: 0.561077, var: 0.936252
snr: 0.548667, var: 0.868704
snr: 0.579103, var: 0.930618
snr: 0.596443, var: 0.995183
snr: 0.535031, var: 0.939598
snr: 0.555308, var: 0.919232
snr: 0.557299, var: 0.895780
snr: 0.579028, var: 0.944727
snr: 0.547738, var: 0.886970
snr: 0.549351, var: 0.889430
snr: 0.640118, var: 0.984079
snr: 0.629017, var: 0.947525
snr: 0.626732, var: 0.951144
snr: 0.615585, var: 0.939116
snr: 0.605192, var: 0.934644
snr: 0.654394, var: 0.995295
snr: 0.635826, var: 0.923226
snr: 0.629798, var: 0.917718
snr: 0.614922, var: 0.903937
snr: 0.624673, var: 0.936448
snr: 0.613501, var: 0.913541
snr: 0.637772, var: 0.957009
snr: 0.601746, var: 0.860846
snr: 0.607822, var: 0.850518
snr: 0.624076, var: 0.870840
snr: 0.615479, var: 0.877163
snr: 0.615882, var: 0.859158
snr: 0.665260, var: 0.911742
snr: 0.617428, var: 0.842858
snr: 0.655880, var: 0.908275
snr: 0.644216, var: 0.928325
snr: 0.619726, var: 0.869710
snr: 0.614046, var: 0.851371
snr: 0.646998, var: 0.870388
snr: 0.638198, var: 0.868947
snr: 0.680035, var: 0.928303
snr: 0.669546, var: 0.915209
snr: 0.695459, var: 0.918382
snr: 0.684979, var: 0.907665
snr: 0.648063, var: 0.860604
snr: 0.669567, var: 0.901797
snr: 0.668759, var: 0.878670
snr: 0.629737, var: 0.821494
snr: 0.631724, var: 0.845817
snr: 0.664182, var: 0.863360
snr: 0.631150, var: 0.832608
snr: 0.661050, var: 0.873054
snr: 0.696101, var: 0.911424
snr: 0.743273, var: 0.923704
snr: 0.744260, var: 0.934851
snr: 0.733584, var: 0.928584
snr: 0.682974, var: 0.862833
snr: 0.684221, var: 0.837753
