snr: 0.811655, var: 0.865938
snr: 0.863712, var: 0.922475
snr: 0.807471, var: 0.868530
snr: 0.847153, var: 0.911653
snr: 0.933033, var: 1.017109
snr: 0.854168, var: 0.919674
snr: 0.843834, var: 0.901287
snr: 0.817576, var: 0.885565
snr: 0.829633, var: 0.911487
snr: 0.804764, var: 0.885023
snr: 0.790613, var: 0.853841
snr: 0.854676, var: 0.917605
snr: 0.811477, var: 0.871505
snr: 0.808862, var: 0.887000
snr: 0.827603, var: 0.901251
snr: 0.861019, var: 0.928692
snr: 0.791462, var: 0.856137
snr: 0.813990, var: 0.882422
snr: 0.893024, var: 0.981772
snr: 0.840706, var: 0.898819
snr: 0.841030, var: 0.909211
snr: 0.823092, var: 0.888019
snr: 0.886607, var: 0.960073
snr: 0.827909, var: 0.901546
snr: 0.840111, var: 0.901702
snr: 0.840466, var: 0.920266
snr: 0.803833, var: 0.868529
snr: 0.819153, var: 0.880578
snr: 0.810840, var: 0.902505
snr: 0.778387, var: 0.839542
snr: 0.819624, var: 0.880091
snr: 0.808617, var: 0.864944
snr: 0.888979, var: 0.962375
snr: 0.855292, var: 0.918622
snr: 0.863649, var: 0.921760
snr: 0.846793, var: 0.911565
snr: 0.857528, var: 0.916793
snr: 0.848413, var: 0.904031
snr: 0.865558, var: 0.933388
snr: 0.820693, var: 0.887651
snr: 0.855542, var: 0.929804
snr: 0.842597, var: 0.910340
snr: 0.875114, var: 0.939036
snr: 0.868868, var: 0.935807
snr: 0.847113, var: 0.908143
snr: 0.852813, var: 0.912400
snr: 0.870274, var: 0.921929
snr: 0.863474, var: 0.914327
snr: 0.861679, var: 0.921020
snr: 0.826742, var: 0.891020
snr: 0.853462, var: 0.919096
snr: 0.859419, var: 0.929085
snr: 0.835113, var: 0.907340
snr: 0.807315, var: 0.867932
snr: 0.827654, var: 0.890833
snr: 0.901865, var: 0.966271
snr: 0.863348, var: 0.919972
snr: 0.849291, var: 0.922171
snr: 0.911398, var: 0.982647
snr: 0.854758, var: 0.918458
snr: 0.902722, var: 0.965633
snr: 0.898090, var: 0.956727
snr: 0.876050, var: 0.943059
snr: 0.888445, var: 0.950651
snr: 0.888826, var: 0.949762
snr: 0.867758, var: 0.932710
snr: 0.909930, var: 0.981011
snr: 0.857605, var: 0.911881
snr: 0.906790, var: 0.956940
snr: 0.865810, var: 0.912829
snr: 0.882734, var: 0.934149
snr: 0.913986, var: 0.976243
snr: 0.916882, var: 0.988873
snr: 1.008897, var: 1.074381
snr: 0.951331, var: 1.000894
snr: 0.936858, var: 0.989447
snr: 0.934253, var: 0.985760
snr: 0.864065, var: 0.911607
snr: 0.903795, var: 0.953008
snr: 0.948278, var: 1.006942
snr: 0.928068, var: 0.989378
snr: 0.911144, var: 0.968755
snr: 0.875792, var: 0.933744
snr: 0.933016, var: 0.988698
snr: 0.878755, var: 0.933802
snr: 0.856053, var: 0.901337
snr: 0.931012, var: 0.981257
snr: 0.914407, var: 0.970459
snr: 0.854025, var: 0.919227
snr: 0.861912, var: 0.929853
snr: 0.869152, var: 0.921540
snr: 0.888290, var: 0.947453
snr: 0.905626, var: 0.958036
snr: 0.882007, var: 0.920869
snr: 0.911013, var: 0.954093
snr: 0.933109, var: 0.976015
snr: 0.906587, var: 0.954223
snr: 0.926172, var: 0.971761
snr: 0.864756, var: 0.912028
snr: 0.911787, var: 0.971885
snr: 0.952149, var: 1.008695
snr: 0.921065, var: 0.983924
snr: 0.942979, var: 1.002294
snr: 0.982694, var: 1.054957
snr: 0.980209, var: 1.038416
snr: 0.948353, var: 1.010158
snr: 0.918734, var: 0.966182
snr: 0.919116, var: 0.969052
snr: 0.906628, var: 0.962072
snr: 0.885288, var: 0.938705
snr: 0.967710, var: 1.034250
snr: 0.934339, var: 0.992896
snr: 0.897090, var: 0.958457
snr: 0.889705, var: 0.941053
snr: 0.892906, var: 0.948146
snr: 0.876456, var: 0.931764
snr: 0.949437, var: 1.010804
snr: 0.924049, var: 0.991084
snr: 0.989151, var: 1.051046
snr: 0.977697, var: 1.028600
snr: 0.953414, var: 1.002012
snr: 0.956420, var: 1.023614
snr: 0.922049, var: 0.975846
snr: 0.977270, var: 1.019923
snr: 0.930709, var: 0.983297
snr: 0.937903, var: 0.989594
snr: 0.922691, var: 0.982705
snr: 0.939400, var: 0.985998
snr: 0.957821, var: 1.017122
snr: 0.909023, var: 0.955878
snr: 0.874318, var: 0.914195
snr: 0.861901, var: 0.921784
snr: 0.852495, var: 0.905021
snr: 0.881073, var: 0.944184
snr: 0.927307, var: 0.993473
snr: 0.913029, var: 0.967533
snr: 0.978899, var: 1.058022
snr: 0.988512, var: 1.049411
snr: 0.911022, var: 0.967348
snr: 0.967380, var: 1.020610
snr: 0.941200, var: 0.995457
snr: 0.915503, var: 0.976464
snr: 0.896775, var: 0.943367
snr: 0.899286, var: 0.940269
snr: 0.879368, var: 0.923231
snr: 0.928376, var: 0.988695
snr: 0.921430, var: 0.968026
snr: 0.922824, var: 0.972372
snr: 0.921417, var: 0.968426
snr: 0.881570, var: 0.941125
snr: 0.899012, var: 0.962572
snr: 0.905970, var: 0.957489
snr: 0.876022, var: 0.918960
snr: 0.941893, var: 0.989794
snr: 0.888423, var: 0.950805
snr: 0.889871, var: 0.956866
snr: 0.921758, var: 0.980135
snr: 0.932352, var: 0.987290
snr: 0.929157, var: 0.967169
snr: 0.944298, var: 0.998081
snr: 0.901275, var: 0.937968
snr: 0.866047, var: 0.910205
snr: 0.940951, var: 0.990030
snr: 0.938653, var: 0.989530
snr: 0.931594, var: 0.980733
snr: 0.936816, var: 1.015759
snr: 0.980041, var: 1.043918
snr: 0.981021, var: 1.033564
snr: 0.968572, var: 1.048844
snr: 1.012742, var: 1.073994
snr: 0.946392, var: 0.994279
snr: 0.898268, var: 0.946346
snr: 0.925961, var: 0.989425
snr: 0.923468, var: 0.976473
snr: 0.953687, var: 1.018697
snr: 0.947728, var: 1.002776
snr: 0.951801, var: 0.997428
snr: 0.925120, var: 0.972263
snr: 0.934366, var: 1.000414
snr: 0.914519, var: 0.971094
snr: 0.958626, var: 1.003605
snr: 0.992948, var: 1.044217
snr: 0.946855, var: 1.022049
snr: 0.984961, var: 1.034482
snr: 0.936584, var: 0.983601
snr: 0.995566, var: 1.038452
snr: 0.942325, var: 0.987026
snr: 0.887907, var: 0.922873
snr: 0.930447, var: 0.984290
snr: 1.029077, var: 1.093663
snr: 0.989028, var: 1.046222
snr: 0.938074, var: 0.991368
snr: 0.952188, var: 1.010731
snr: 0.924442, var: 0.977483
snr: 0.945443, var: 0.987224
snr: 1.014633, var: 1.062262
snr: 1.018236, var: 1.093271
snr: 0.998674, var: 1.050423
snr: 0.901760, var: 0.948188
snr: 0.892963, var: 0.929026
snr: 0.921139, var: 0.959971
snr: 0.888992, var: 0.925636
snr: 0.901567, var: 0.954917
snr: 0.925263, var: 0.973334
snr: 0.947179, var: 0.996661
snr: 0.965161, var: 1.015335
snr: 1.006188, var: 1.051622
snr: 0.987601, var: 1.033555
snr: 0.941011, var: 0.983520
snr: 0.939971, var: 0.982580
snr: 0.940698, var: 0.980550
snr: 0.986568, var: 1.029532
