EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-140.346847534, -145.704696655, 2.59164643288, -144.773101807, -154.938964844, -139.641235352, -143.267608643, 23.777381897, 9.34582996368, 0.136484086514, 0.116740092635, 6.06803226471, 3.21558713913, 0.0828842893243, 0.0678179711103
-142.850112915, -149.962585449, 2.7621152401, -146.237350464, -161.159500122, -142.275192261, -149.25352478, 24.3888053894, 9.57044029236, 0.140869960189, 0.118457786739, 5.32331800461, 3.27250647545, 0.130962222815, 0.0704358592629
-136.968002319, -141.433959961, 2.79968905449, -139.833648682, -148.419723511, -136.231430054, -140.221008301, 18.9815692902, 7.87594366074, 0.100717917085, 0.0970691516995, 5.90591430664, 3.2730178833, 0.0829453244805, 0.0683395937085
-138.85105896, -145.702804565, 2.46415758133, -146.208389282, -158.572387695, -137.739730835, -142.898422241, 24.5135116577, 11.7225465775, 0.153303071856, 0.106910683215, 7.07946586609, 3.80413031578, 0.149144262075, 0.0575563274324
-137.077758789, -142.581832886, 2.87044620514, -143.013412476, -153.67414856, -136.269256592, -140.507614136, 25.6924972534, 8.58251571655, 0.594175159931, 0.133672744036, 6.19204044342, 3.17767572403, 0.0775087550282, 0.0605419687927
-142.987197876, -166.797698975, 2.59188985825, -148.701660156, -190.451309204, -142.275604248, -154.88243103, 31.6398925781, 9.94079875946, 0.391971707344, 0.298960149288, 8.92394065857, 3.31690359116, 0.128760114312, 0.0686360374093
-136.696960449, -141.457809448, 2.7729241848, -141.007064819, -149.614761353, -136.159439087, -139.506973267, 21.3973121643, 9.37497138977, 0.101991996169, 0.0782230347395, 4.61655044556, 2.68322896957, 0.0787174999714, 0.0542244538665
-136.649230957, -142.446289062, 2.68858981133, -141.377151489, -152.205108643, -135.807144165, -141.099319458, 20.5441436768, 9.57934188843, 0.273622334003, 0.0869480073452, 6.99520587921, 3.89700889587, 0.0834444016218, 0.0588584989309
-139.926300049, -144.20980835, 2.76156902313, -144.313110352, -152.010162354, -139.313278198, -142.700408936, 18.5647239685, 7.88392686844, 0.110506668687, 0.0973744988441, 4.87730503082, 2.90129303932, 0.0560591034591, 0.0431800186634
-139.170822144, -147.011535645, 2.76610088348, -144.352981567, -156.814849854, -138.320373535, -144.217300415, 25.9195842743, 10.4497299194, 0.141542926431, 0.138175576925, 8.34126281738, 3.56330728531, 0.081106223166, 0.0753633677959
-139.032867432, -143.615539551, 2.78178691864, -144.221160889, -153.612808228, -138.278930664, -141.416809082, 21.6023368835, 10.5676612854, 0.117669850588, 0.110330149531, 5.13361167908, 2.99229121208, 0.0682997554541, 0.0515243895352
-135.60546875, -140.363464355, 2.73958492279, -140.82321167, -149.23765564, -134.774383545, -138.139526367, 21.9510421753, 8.90269470215, 0.175429433584, 0.14650708437, 5.25051832199, 3.03288292885, 0.0876234024763, 0.0592336021364
-140.07244873, -144.968429565, 2.73682522774, -144.629241943, -156.009780884, -139.13684082, -143.190109253, 22.1352081299, 9.35054397583, 0.403958439827, 0.121930353343, 4.88543605804, 2.85608530045, 0.0876291245222, 0.0672822445631
-136.160003662, -141.131057739, 2.70344829559, -140.923110962, -153.187423706, -135.491897583, -139.412658691, 21.1975002289, 10.0665845871, 0.0750930011272, 0.0656607672572, 5.61318016052, 3.07495594025, 0.0727859288454, 0.0477516315877
-137.546615601, -142.493057251, 2.83609294891, -141.53692627, -151.329559326, -136.887496948, -140.727432251, 21.4087467194, 10.3126525879, 0.148893892765, 0.0851807668805, 5.34311103821, 3.0353064537, 0.0631107538939, 0.0546421036124
-135.763000488, -140.565948486, 2.70610260963, -140.626541138, -149.684356689, -134.893539429, -138.790313721, 22.4109516144, 9.18198776245, 0.179955497384, 0.103162907064, 5.18248558044, 3.13293027878, 0.0889919698238, 0.0520580820739
-137.876785278, -143.713119507, 2.5911231041, -143.190185547, -152.834915161, -136.99307251, -141.310211182, 24.5062103271, 11.3409957886, 0.177553534508, 0.167140290141, 6.65730333328, 3.41577267647, 0.0847058519721, 0.0703538581729
-138.061477661, -142.886001587, 2.75918889046, -142.429077148, -151.196578979, -137.237731934, -141.303756714, 21.3890838623, 8.55606174469, 0.0795914158225, 0.0740413442254, 4.47424173355, 2.70511603355, 0.0499601587653, 0.0371163636446
-139.102935791, -146.029464722, 2.64619016647, -144.149047852, -155.669967651, -138.095199585, -144.373245239, 22.9851398468, 10.1708211899, 0.228089660406, 0.13002961874, 7.80440425873, 3.31122136116, 0.0962219536304, 0.0612305700779
-140.110870361, -146.383773804, 2.65557861328, -146.083236694, -157.895294189, -138.861831665, -143.209976196, 28.4565525055, 11.0778903961, 0.201347738504, 0.173228934407, 5.40732383728, 2.97278141975, 0.0685124322772, 0.0491471290588
