EUBO_ave, ELBO_ave, ESS, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-532.3171997070312, -1126.0860595703125, 1.022042989730835, 850.4006958007812, 22.00412368774414, 245.12451171875, 22.728090286254883
-416.5645751953125, -883.48046875, 1.0003215074539185, 639.1599731445312, 22.990617752075195, 180.7008056640625, 22.239730834960938
-503.98321533203125, -1077.5791015625, 1.020401954650879, 778.2277221679688, 22.1954288482666, 309.032470703125, 23.905763626098633
-603.6419677734375, -1210.67431640625, 1.0342503786087036, 941.3656005859375, 24.258678436279297, 308.5237121582031, 25.819599151611328
-492.1214904785156, -1016.7734985351562, 1.0199741125106812, 743.804931640625, 22.99599838256836, 268.75543212890625, 22.310569763183594
-458.2764892578125, -1032.0986328125, 1.0179351568222046, 725.1212768554688, 24.401365280151367, 229.83872985839844, 22.47203826904297
-576.8778686523438, -1128.870361328125, 1.0151050090789795, 805.6261596679688, 27.075756072998047, 317.19110107421875, 24.721778869628906
-551.5869140625, -1085.0711669921875, 1.0394351482391357, 746.0198974609375, 25.985502243041992, 329.7050476074219, 24.5549373626709
-522.6836547851562, -1101.020263671875, 1.0001516342163086, 736.2119750976562, 25.399456024169922, 330.9042053222656, 23.38201904296875
-736.4618530273438, -1593.3143310546875, 1.0600805282592773, 1192.19873046875, 28.955881118774414, 495.8025817871094, 24.67221450805664
-788.2449951171875, -1583.1668701171875, 1.0005747079849243, 1142.1781005859375, 31.28912353515625, 539.712646484375, 25.404077529907227
-701.1017456054688, -1364.5938720703125, 1.0155165195465088, 1083.6243896484375, 29.524181365966797, 607.1671142578125, 24.839563369750977
-629.9927978515625, -1206.0797119140625, 1.000034213066101, 860.3851318359375, 32.504005432128906, 422.8957824707031, 25.222116470336914
-760.5452880859375, -1555.9228515625, 1.0393717288970947, 1035.53564453125, 36.71002197265625, 615.9093627929688, 26.972829818725586
-876.7614135742188, -1686.06298828125, 1.0045371055603027, 1166.3060302734375, 39.49853515625, 764.8922119140625, 26.088964462280273
