(282s) loss_phi: -332.445423,  loss_theta: 1122.808008,  ess_rws: inf,  ess_mu: 1.442317,  ess_local: 2.132931,  density: -6552.670106
(281s) loss_phi: -333.699325,  loss_theta: 1131.308586,  ess_rws: inf,  ess_mu: 1.431243,  ess_local: 2.135316,  density: -6560.606342
(282s) loss_phi: -332.979711,  loss_theta: 1133.011835,  ess_rws: inf,  ess_mu: 1.439615,  ess_local: 2.137379,  density: -6520.024414
(281s) loss_phi: -335.313821,  loss_theta: 1117.998489,  ess_rws: inf,  ess_mu: 1.440575,  ess_local: 2.142779,  density: -6479.140012
(279s) loss_phi: -342.945638,  loss_theta: 1130.826864,  ess_rws: inf,  ess_mu: 1.425222,  ess_local: 2.147741,  density: -6519.445946
(283s) loss_phi: -333.330443,  loss_theta: 1123.212816,  ess_rws: inf,  ess_mu: 1.443655,  ess_local: 2.146494,  density: -6437.421908
(281s) loss_phi: -330.504970,  loss_theta: 1092.865492,  ess_rws: inf,  ess_mu: 1.444518,  ess_local: 2.148028,  density: -6353.304918
(283s) loss_phi: -339.814757,  loss_theta: 1135.820336,  ess_rws: inf,  ess_mu: 1.441805,  ess_local: 2.150557,  density: -6471.766981
(281s) loss_phi: -334.184074,  loss_theta: 1098.749756,  ess_rws: inf,  ess_mu: 1.447579,  ess_local: 2.152950,  density: -6361.630349
(283s) loss_phi: -341.137898,  loss_theta: 1132.332675,  ess_rws: inf,  ess_mu: 1.436484,  ess_local: 2.156375,  density: -6404.341353
(279s) loss_phi: -339.001992,  loss_theta: 1141.360641,  ess_rws: inf,  ess_mu: 1.437728,  ess_local: 2.159751,  density: -6402.466688
(282s) loss_phi: -341.660877,  loss_theta: 1126.213116,  ess_rws: inf,  ess_mu: 1.432553,  ess_local: 2.156039,  density: -6431.427616
(282s) loss_phi: -346.877134,  loss_theta: 1127.158975,  ess_rws: inf,  ess_mu: 1.432879,  ess_local: 2.159758,  density: -6446.950304
(282s) loss_phi: -348.438523,  loss_theta: 1114.515169,  ess_rws: inf,  ess_mu: 1.439634,  ess_local: 2.163150,  density: -6445.548230
(281s) loss_phi: -348.546939,  loss_theta: 1117.806312,  ess_rws: inf,  ess_mu: 1.434984,  ess_local: 2.164974,  density: -6416.582190
(282s) loss_phi: -353.291662,  loss_theta: 1117.690646,  ess_rws: inf,  ess_mu: 1.440357,  ess_local: 2.165508,  density: -6441.629783
(281s) loss_phi: -348.964873,  loss_theta: 1125.748492,  ess_rws: inf,  ess_mu: 1.442220,  ess_local: 2.167034,  density: -6422.120210
(280s) loss_phi: -355.791100,  loss_theta: 1127.221707,  ess_rws: inf,  ess_mu: 1.437328,  ess_local: 2.176059,  density: -6396.044110
(277s) loss_phi: -347.692999,  loss_theta: 1113.491332,  ess_rws: inf,  ess_mu: 1.442705,  ess_local: 2.169467,  density: -6283.692491
(278s) loss_phi: -346.727826,  loss_theta: 1111.148233,  ess_rws: inf,  ess_mu: 1.441607,  ess_local: 2.167063,  density: -6334.449433
(281s) loss_phi: -351.793336,  loss_theta: 1125.934136,  ess_rws: inf,  ess_mu: 1.440051,  ess_local: 2.170042,  density: -6379.401461
(281s) loss_phi: -347.271388,  loss_theta: 1132.914792,  ess_rws: inf,  ess_mu: 1.437819,  ess_local: 2.169471,  density: -6325.946239
(280s) loss_phi: -348.360858,  loss_theta: 1096.639888,  ess_rws: inf,  ess_mu: 1.445163,  ess_local: 2.169704,  density: -6360.893991
(278s) loss_phi: -355.840008,  loss_theta: 1142.561484,  ess_rws: inf,  ess_mu: 1.429079,  ess_local: 2.178165,  density: -6432.553425
(280s) loss_phi: -358.173931,  loss_theta: 1109.228132,  ess_rws: inf,  ess_mu: 1.440930,  ess_local: 2.178169,  density: -6359.249092
(280s) loss_phi: -371.165512,  loss_theta: 1115.936672,  ess_rws: inf,  ess_mu: 1.442613,  ess_local: 2.186764,  density: -6438.950097
(281s) loss_phi: -366.856641,  loss_theta: 1172.870444,  ess_rws: inf,  ess_mu: 1.424865,  ess_local: 2.197191,  density: -6360.811295
(279s) loss_phi: -360.611204,  loss_theta: 1153.521730,  ess_rws: inf,  ess_mu: 1.430574,  ess_local: 2.186978,  density: -6384.605568
(280s) loss_phi: -359.064306,  loss_theta: 1122.602623,  ess_rws: inf,  ess_mu: 1.425653,  ess_local: 2.180287,  density: -6377.261955
(282s) loss_phi: -361.334260,  loss_theta: 1109.764606,  ess_rws: inf,  ess_mu: 1.425030,  ess_local: 2.183596,  density: -6362.360381
(278s) loss_phi: -360.080468,  loss_theta: 1146.627750,  ess_rws: inf,  ess_mu: 1.415508,  ess_local: 2.185323,  density: -6430.235308
(280s) loss_phi: -370.820551,  loss_theta: 1114.843092,  ess_rws: inf,  ess_mu: 1.437587,  ess_local: 2.195159,  density: -6436.764034
(279s) loss_phi: -367.063251,  loss_theta: 1118.718755,  ess_rws: inf,  ess_mu: 1.432597,  ess_local: 2.199776,  density: -6357.071062
(281s) loss_phi: -371.214093,  loss_theta: 1110.343090,  ess_rws: inf,  ess_mu: 1.435534,  ess_local: 2.197270,  density: -6411.156646
(282s) loss_phi: -370.626209,  loss_theta: 1114.004557,  ess_rws: inf,  ess_mu: 1.429912,  ess_local: 2.193145,  density: -6419.289588
(281s) loss_phi: -369.866182,  loss_theta: 1147.028032,  ess_rws: inf,  ess_mu: 1.426285,  ess_local: 2.195479,  density: -6442.112452
(281s) loss_phi: -370.119234,  loss_theta: 1132.763167,  ess_rws: inf,  ess_mu: 1.422279,  ess_local: 2.198376,  density: -6395.640083
(284s) loss_phi: -359.571593,  loss_theta: 1133.327530,  ess_rws: inf,  ess_mu: 1.431501,  ess_local: 2.197439,  density: -6387.204954
(282s) loss_phi: -361.254182,  loss_theta: 1094.759403,  ess_rws: inf,  ess_mu: 1.445838,  ess_local: 2.201309,  density: -6263.874926
(279s) loss_phi: -372.563908,  loss_theta: 1114.438960,  ess_rws: inf,  ess_mu: 1.435472,  ess_local: 2.208146,  density: -6331.819542
(282s) loss_phi: -363.964390,  loss_theta: 1106.313348,  ess_rws: inf,  ess_mu: 1.438520,  ess_local: 2.206302,  density: -6297.155004
(280s) loss_phi: -376.010205,  loss_theta: 1083.968539,  ess_rws: inf,  ess_mu: 1.447145,  ess_local: 2.216456,  density: -6283.222426
(281s) loss_phi: -372.573695,  loss_theta: 1129.970182,  ess_rws: inf,  ess_mu: 1.430598,  ess_local: 2.216705,  density: -6275.334910
(281s) loss_phi: -367.945861,  loss_theta: 1128.895984,  ess_rws: inf,  ess_mu: 1.422370,  ess_local: 2.210018,  density: -6303.207815
(282s) loss_phi: -367.411362,  loss_theta: 1131.314943,  ess_rws: inf,  ess_mu: 1.436261,  ess_local: 2.216045,  density: -6314.757511
(278s) loss_phi: -364.240461,  loss_theta: 1108.087348,  ess_rws: inf,  ess_mu: 1.437448,  ess_local: 2.211535,  density: -6264.610571
(280s) loss_phi: -366.260022,  loss_theta: 1119.520607,  ess_rws: inf,  ess_mu: 1.443507,  ess_local: 2.220345,  density: -6154.101498
(283s) loss_phi: -371.103018,  loss_theta: 1077.740215,  ess_rws: inf,  ess_mu: 1.453311,  ess_local: 2.227130,  density: -6173.812934
(278s) loss_phi: -378.580535,  loss_theta: 1094.548481,  ess_rws: inf,  ess_mu: 1.445486,  ess_local: 2.228860,  density: -6274.522059
(280s) loss_phi: -373.584766,  loss_theta: 1080.125427,  ess_rws: inf,  ess_mu: 1.453878,  ess_local: 2.225497,  density: -6186.240668
(282s) loss_phi: -377.733208,  loss_theta: 1096.734134,  ess_rws: inf,  ess_mu: 1.452365,  ess_local: 2.230297,  density: -6161.565049
(281s) loss_phi: -372.880481,  loss_theta: 1082.263918,  ess_rws: inf,  ess_mu: 1.448386,  ess_local: 2.228128,  density: -6148.623342
(280s) loss_phi: -364.105455,  loss_theta: 1083.057065,  ess_rws: inf,  ess_mu: 1.448993,  ess_local: 2.226473,  density: -6124.296247
(280s) loss_phi: -366.667278,  loss_theta: 1064.289882,  ess_rws: inf,  ess_mu: 1.465782,  ess_local: 2.230115,  density: -6084.009614
(274s) loss_phi: -365.054998,  loss_theta: 1081.108135,  ess_rws: inf,  ess_mu: 1.455891,  ess_local: 2.235385,  density: -6052.834738
(273s) loss_phi: -368.790152,  loss_theta: 1075.096411,  ess_rws: inf,  ess_mu: 1.458333,  ess_local: 2.234051,  density: -6035.699235
(275s) loss_phi: -363.061965,  loss_theta: 1069.791499,  ess_rws: inf,  ess_mu: 1.445600,  ess_local: 2.226741,  density: -6034.932593
(277s) loss_phi: -367.706294,  loss_theta: 1077.502832,  ess_rws: inf,  ess_mu: 1.444550,  ess_local: 2.232264,  density: -6069.531751
(277s) loss_phi: -374.485697,  loss_theta: 1062.951995,  ess_rws: inf,  ess_mu: 1.454582,  ess_local: 2.234176,  density: -6090.311336
(290s) loss_phi: -369.714249,  loss_theta: 1051.279296,  ess_rws: inf,  ess_mu: 1.464101,  ess_local: 2.229632,  density: -5958.767733
(278s) loss_phi: -363.806415,  loss_theta: 1053.949543,  ess_rws: inf,  ess_mu: 1.454797,  ess_local: 2.233319,  density: -5984.904008
(278s) loss_phi: -361.092693,  loss_theta: 1064.557104,  ess_rws: inf,  ess_mu: 1.451392,  ess_local: 2.227886,  density: -6005.619225
(278s) loss_phi: -366.499753,  loss_theta: 1048.003195,  ess_rws: inf,  ess_mu: 1.458021,  ess_local: 2.233428,  density: -5969.738978
(277s) loss_phi: -366.050647,  loss_theta: 1063.927821,  ess_rws: inf,  ess_mu: 1.462972,  ess_local: 2.240362,  density: -5967.606951
(278s) loss_phi: -372.099508,  loss_theta: 1047.678356,  ess_rws: inf,  ess_mu: 1.467105,  ess_local: 2.244977,  density: -5943.558646
(278s) loss_phi: -372.708137,  loss_theta: 1047.391801,  ess_rws: inf,  ess_mu: 1.460749,  ess_local: 2.248523,  density: -5930.799150
(277s) loss_phi: -372.471422,  loss_theta: 1035.087441,  ess_rws: inf,  ess_mu: 1.463839,  ess_local: 2.248028,  density: -5895.368028
(277s) loss_phi: -372.582460,  loss_theta: 1039.712366,  ess_rws: inf,  ess_mu: 1.463777,  ess_local: 2.246848,  density: -5925.461226
(277s) loss_phi: -372.028568,  loss_theta: 1081.039171,  ess_rws: inf,  ess_mu: 1.448906,  ess_local: 2.248721,  density: -5940.157496
(277s) loss_phi: -371.975381,  loss_theta: 1030.036561,  ess_rws: inf,  ess_mu: 1.462482,  ess_local: 2.249491,  density: -5854.460417
(278s) loss_phi: -369.163922,  loss_theta: 1045.870904,  ess_rws: inf,  ess_mu: 1.466433,  ess_local: 2.247164,  density: -5876.238460
(278s) loss_phi: -370.084737,  loss_theta: 1060.247517,  ess_rws: inf,  ess_mu: 1.462819,  ess_local: 2.250979,  density: -5822.400901
