(869s) loss_phi: -98.519089,  loss_theta: 1059.515719,  ess_rws: 1.268204,  ess_mu: 2.215540,  ess_local: 1.507996,  density: -846.411532
(868s) loss_phi: -98.612946,  loss_theta: 1059.309625,  ess_rws: 1.262494,  ess_mu: 2.209589,  ess_local: 1.513850,  density: -846.255222
(869s) loss_phi: -98.822186,  loss_theta: 1059.030552,  ess_rws: 1.273196,  ess_mu: 2.205611,  ess_local: 1.507671,  density: -846.085919
(869s) loss_phi: -98.826763,  loss_theta: 1058.904046,  ess_rws: 1.273034,  ess_mu: 2.204451,  ess_local: 1.506819,  density: -846.083239
(865s) loss_phi: -98.837325,  loss_theta: 1058.823079,  ess_rws: 1.268554,  ess_mu: 2.210762,  ess_local: 1.502190,  density: -845.870129
(865s) loss_phi: -98.927037,  loss_theta: 1058.963511,  ess_rws: 1.268493,  ess_mu: 2.208330,  ess_local: 1.501755,  density: -845.909856
(865s) loss_phi: -99.116960,  loss_theta: 1058.370500,  ess_rws: 1.268661,  ess_mu: 2.212998,  ess_local: 1.509055,  density: -845.557894
(868s) loss_phi: -99.198394,  loss_theta: 1058.291039,  ess_rws: 1.270279,  ess_mu: 2.205303,  ess_local: 1.505726,  density: -845.506380
(868s) loss_phi: -99.124815,  loss_theta: 1058.436398,  ess_rws: 1.265591,  ess_mu: 2.215542,  ess_local: 1.510373,  density: -845.578176
(868s) loss_phi: -99.318239,  loss_theta: 1058.056040,  ess_rws: 1.265071,  ess_mu: 2.207772,  ess_local: 1.511967,  density: -845.323349
(866s) loss_phi: -99.307754,  loss_theta: 1058.248588,  ess_rws: 1.271334,  ess_mu: 2.209268,  ess_local: 1.514461,  density: -845.278106
(869s) loss_phi: -99.505901,  loss_theta: 1058.013412,  ess_rws: 1.274533,  ess_mu: 2.216593,  ess_local: 1.515048,  density: -845.068440
(869s) loss_phi: -99.547775,  loss_theta: 1057.764509,  ess_rws: 1.267330,  ess_mu: 2.212872,  ess_local: 1.517763,  density: -844.876602
(869s) loss_phi: -99.552536,  loss_theta: 1057.729338,  ess_rws: 1.270994,  ess_mu: 2.209816,  ess_local: 1.516056,  density: -844.835409
(867s) loss_phi: -99.576295,  loss_theta: 1057.762297,  ess_rws: 1.265783,  ess_mu: 2.218596,  ess_local: 1.511958,  density: -844.878279
(868s) loss_phi: -99.626815,  loss_theta: 1057.526500,  ess_rws: 1.269720,  ess_mu: 2.216187,  ess_local: 1.507618,  density: -844.726890
(867s) loss_phi: -99.703515,  loss_theta: 1057.554330,  ess_rws: 1.263996,  ess_mu: 2.217684,  ess_local: 1.518096,  density: -844.712428
(868s) loss_phi: -99.643691,  loss_theta: 1057.368012,  ess_rws: 1.265813,  ess_mu: 2.199055,  ess_local: 1.504571,  density: -844.676075
(868s) loss_phi: -99.924091,  loss_theta: 1057.134737,  ess_rws: 1.269962,  ess_mu: 2.209725,  ess_local: 1.522915,  density: -844.376451
(867s) loss_phi: -99.817666,  loss_theta: 1057.049050,  ess_rws: 1.272784,  ess_mu: 2.223687,  ess_local: 1.509819,  density: -844.398496
(868s) loss_phi: -99.893993,  loss_theta: 1057.187159,  ess_rws: 1.269213,  ess_mu: 2.204486,  ess_local: 1.510387,  density: -844.420760
(869s) loss_phi: -99.921240,  loss_theta: 1056.800965,  ess_rws: 1.265719,  ess_mu: 2.218479,  ess_local: 1.514944,  density: -844.296785
