(386s) loss_phi: -514.573703,  loss_theta: 588.174038,  ess_rws: 1.015665,  ess_mu: 1.230849,  ess_local: 1.022443,  density: -926.238938
(384s) loss_phi: -513.819097,  loss_theta: 581.619526,  ess_rws: 1.015842,  ess_mu: 1.230419,  ess_local: 1.025207,  density: -921.785093
(388s) loss_phi: -513.917646,  loss_theta: 576.893926,  ess_rws: 1.014384,  ess_mu: 1.228417,  ess_local: 1.024760,  density: -917.481496
(389s) loss_phi: -514.629960,  loss_theta: 570.619024,  ess_rws: 1.015076,  ess_mu: 1.230796,  ess_local: 1.023980,  density: -913.226749
(388s) loss_phi: -514.719461,  loss_theta: 570.511704,  ess_rws: 1.016391,  ess_mu: 1.235474,  ess_local: 1.024090,  density: -912.232194
(386s) loss_phi: -516.119584,  loss_theta: 569.549373,  ess_rws: 1.016351,  ess_mu: 1.236152,  ess_local: 1.025687,  density: -910.410538
(386s) loss_phi: -515.899328,  loss_theta: 565.046439,  ess_rws: 1.014006,  ess_mu: 1.234063,  ess_local: 1.023629,  density: -906.723176
(386s) loss_phi: -516.492599,  loss_theta: 562.659093,  ess_rws: 1.014853,  ess_mu: 1.232679,  ess_local: 1.023182,  density: -904.570303
(380s) loss_phi: -517.365877,  loss_theta: 559.207299,  ess_rws: 1.015726,  ess_mu: 1.236531,  ess_local: 1.024302,  density: -901.414053
(392s) loss_phi: -517.280195,  loss_theta: 557.449554,  ess_rws: 1.015443,  ess_mu: 1.234450,  ess_local: 1.024920,  density: -898.931419
(388s) loss_phi: -517.882034,  loss_theta: 558.407568,  ess_rws: 1.016639,  ess_mu: 1.237614,  ess_local: 1.025136,  density: -898.904686
(389s) loss_phi: -517.216954,  loss_theta: 550.862841,  ess_rws: 1.015711,  ess_mu: 1.233067,  ess_local: 1.022660,  density: -893.318101
(387s) loss_phi: -518.316863,  loss_theta: 552.059126,  ess_rws: 1.017391,  ess_mu: 1.236646,  ess_local: 1.026178,  density: -892.830395
(388s) loss_phi: -518.074111,  loss_theta: 547.520055,  ess_rws: 1.016539,  ess_mu: 1.232772,  ess_local: 1.023602,  density: -889.658488
(388s) loss_phi: -518.034080,  loss_theta: 542.957602,  ess_rws: 1.015213,  ess_mu: 1.230323,  ess_local: 1.022801,  density: -884.528333
(388s) loss_phi: -518.061922,  loss_theta: 539.962253,  ess_rws: 1.016386,  ess_mu: 1.239355,  ess_local: 1.025244,  density: -882.822951
(387s) loss_phi: -518.529513,  loss_theta: 540.194465,  ess_rws: 1.015709,  ess_mu: 1.233531,  ess_local: 1.023577,  density: -880.787887
(388s) loss_phi: -519.039165,  loss_theta: 537.413152,  ess_rws: 1.016971,  ess_mu: 1.241095,  ess_local: 1.024612,  density: -877.841324
(389s) loss_phi: -519.020423,  loss_theta: 532.057560,  ess_rws: 1.016491,  ess_mu: 1.234148,  ess_local: 1.025183,  density: -874.486475
(387s) loss_phi: -519.056794,  loss_theta: 530.479397,  ess_rws: 1.016089,  ess_mu: 1.234042,  ess_local: 1.024339,  density: -871.527139
(387s) loss_phi: -519.096427,  loss_theta: 525.472338,  ess_rws: 1.017411,  ess_mu: 1.240047,  ess_local: 1.025035,  density: -867.631321
(387s) loss_phi: -518.160927,  loss_theta: 523.890322,  ess_rws: 1.015979,  ess_mu: 1.236152,  ess_local: 1.025341,  density: -865.579986
(388s) loss_phi: -519.046562,  loss_theta: 522.048502,  ess_rws: 1.016396,  ess_mu: 1.240380,  ess_local: 1.025197,  density: -864.054432
(386s) loss_phi: -518.226740,  loss_theta: 516.858835,  ess_rws: 1.016007,  ess_mu: 1.235445,  ess_local: 1.025248,  density: -859.037310
(388s) loss_phi: -518.195470,  loss_theta: 516.126019,  ess_rws: 1.016544,  ess_mu: 1.234249,  ess_local: 1.024487,  density: -858.344678
(388s) loss_phi: -518.013868,  loss_theta: 515.889610,  ess_rws: 1.018227,  ess_mu: 1.234085,  ess_local: 1.025084,  density: -857.414996
(389s) loss_phi: -518.530781,  loss_theta: 512.220368,  ess_rws: 1.016472,  ess_mu: 1.241772,  ess_local: 1.024288,  density: -854.222151
(387s) loss_phi: -518.174979,  loss_theta: 508.402226,  ess_rws: 1.016429,  ess_mu: 1.241001,  ess_local: 1.026014,  density: -850.602656
(388s) loss_phi: -518.334237,  loss_theta: 507.148983,  ess_rws: 1.016651,  ess_mu: 1.242026,  ess_local: 1.027775,  density: -848.354640
(383s) loss_phi: -517.830769,  loss_theta: 501.948083,  ess_rws: 1.017377,  ess_mu: 1.243061,  ess_local: 1.025764,  density: -844.896438
(381s) loss_phi: -517.175128,  loss_theta: 502.093071,  ess_rws: 1.018643,  ess_mu: 1.239874,  ess_local: 1.024898,  density: -843.808943
(389s) loss_phi: -517.592526,  loss_theta: 501.108421,  ess_rws: 1.015691,  ess_mu: 1.245776,  ess_local: 1.025882,  density: -842.698353
(384s) loss_phi: -517.563895,  loss_theta: 498.178844,  ess_rws: 1.016838,  ess_mu: 1.244656,  ess_local: 1.026579,  density: -838.656446
(388s) loss_phi: -517.186654,  loss_theta: 491.782901,  ess_rws: 1.017655,  ess_mu: 1.240068,  ess_local: 1.023951,  density: -835.570562
(388s) loss_phi: -516.893160,  loss_theta: 492.499384,  ess_rws: 1.017778,  ess_mu: 1.238226,  ess_local: 1.027226,  density: -835.043672
(388s) loss_phi: -516.575150,  loss_theta: 488.763940,  ess_rws: 1.017237,  ess_mu: 1.243605,  ess_local: 1.026569,  density: -832.304146
(388s) loss_phi: -516.669576,  loss_theta: 490.923594,  ess_rws: 1.017708,  ess_mu: 1.241371,  ess_local: 1.025359,  density: -832.123843
(387s) loss_phi: -516.443069,  loss_theta: 486.876171,  ess_rws: 1.017080,  ess_mu: 1.246141,  ess_local: 1.025742,  density: -828.936515
(387s) loss_phi: -516.133360,  loss_theta: 486.470482,  ess_rws: 1.017132,  ess_mu: 1.247454,  ess_local: 1.027066,  density: -827.772830
(388s) loss_phi: -516.505984,  loss_theta: 485.781696,  ess_rws: 1.018486,  ess_mu: 1.248108,  ess_local: 1.025463,  density: -826.598185
(388s) loss_phi: -515.512877,  loss_theta: 481.668123,  ess_rws: 1.017153,  ess_mu: 1.250361,  ess_local: 1.025877,  density: -823.325282
(388s) loss_phi: -515.482061,  loss_theta: 482.137562,  ess_rws: 1.017736,  ess_mu: 1.245389,  ess_local: 1.026888,  density: -822.568043
(389s) loss_phi: -515.059285,  loss_theta: 478.200856,  ess_rws: 1.018075,  ess_mu: 1.250037,  ess_local: 1.025321,  density: -820.500388
(388s) loss_phi: -514.498257,  loss_theta: 475.362841,  ess_rws: 1.017322,  ess_mu: 1.244346,  ess_local: 1.026524,  density: -817.979216
(388s) loss_phi: -514.452689,  loss_theta: 474.577379,  ess_rws: 1.017095,  ess_mu: 1.249077,  ess_local: 1.026529,  density: -816.746909
(387s) loss_phi: -512.941419,  loss_theta: 471.197850,  ess_rws: 1.017800,  ess_mu: 1.250797,  ess_local: 1.025338,  density: -814.736351
(383s) loss_phi: -512.951796,  loss_theta: 468.317550,  ess_rws: 1.017811,  ess_mu: 1.248891,  ess_local: 1.028851,  density: -811.292061
(388s) loss_phi: -512.933673,  loss_theta: 469.888352,  ess_rws: 1.018128,  ess_mu: 1.250760,  ess_local: 1.026623,  density: -812.205077
(388s) loss_phi: -512.590360,  loss_theta: 468.180681,  ess_rws: 1.018339,  ess_mu: 1.244857,  ess_local: 1.027404,  density: -810.593905
(388s) loss_phi: -512.621872,  loss_theta: 466.563803,  ess_rws: 1.017204,  ess_mu: 1.250523,  ess_local: 1.026677,  density: -809.516207
(388s) loss_phi: -512.549054,  loss_theta: 466.016660,  ess_rws: 1.017082,  ess_mu: 1.250908,  ess_local: 1.026651,  density: -808.065354
(388s) loss_phi: -511.502987,  loss_theta: 462.039927,  ess_rws: 1.018639,  ess_mu: 1.249858,  ess_local: 1.026753,  density: -805.652640
(389s) loss_phi: -511.728096,  loss_theta: 463.910903,  ess_rws: 1.018650,  ess_mu: 1.250672,  ess_local: 1.027608,  density: -805.251883
(386s) loss_phi: -511.443545,  loss_theta: 463.658142,  ess_rws: 1.018234,  ess_mu: 1.255017,  ess_local: 1.027394,  density: -804.979316
(388s) loss_phi: -511.685918,  loss_theta: 465.029719,  ess_rws: 1.018155,  ess_mu: 1.254834,  ess_local: 1.025886,  density: -805.135334
(388s) loss_phi: -511.293950,  loss_theta: 461.516276,  ess_rws: 1.018785,  ess_mu: 1.249591,  ess_local: 1.027800,  density: -802.520090
(387s) loss_phi: -511.531023,  loss_theta: 461.250608,  ess_rws: 1.018738,  ess_mu: 1.251325,  ess_local: 1.026048,  density: -802.000608
(388s) loss_phi: -511.158727,  loss_theta: 458.123196,  ess_rws: 1.017119,  ess_mu: 1.251989,  ess_local: 1.027691,  density: -799.316547
(388s) loss_phi: -510.742953,  loss_theta: 460.880235,  ess_rws: 1.018665,  ess_mu: 1.250994,  ess_local: 1.025823,  density: -799.606749
(387s) loss_phi: -510.444196,  loss_theta: 457.269553,  ess_rws: 1.019200,  ess_mu: 1.251803,  ess_local: 1.027305,  density: -798.163264
(388s) loss_phi: -509.120220,  loss_theta: 451.960137,  ess_rws: 1.017546,  ess_mu: 1.254273,  ess_local: 1.027307,  density: -794.890809
(387s) loss_phi: -509.322460,  loss_theta: 450.245771,  ess_rws: 1.017729,  ess_mu: 1.255612,  ess_local: 1.027010,  density: -792.616622
(389s) loss_phi: -508.537219,  loss_theta: 450.125691,  ess_rws: 1.019322,  ess_mu: 1.246909,  ess_local: 1.028513,  density: -792.220858
(388s) loss_phi: -507.805829,  loss_theta: 447.079841,  ess_rws: 1.018320,  ess_mu: 1.255140,  ess_local: 1.026212,  density: -790.438867
