EUBO_ave, ELBO_ave, ESS, Loss, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-225.139633179, -345.57131958, 1.05725371838, -88167.1015625, 157.36946106, 21.2159194946, 38.9241218567, 11.9726819992
-210.842956543, -300.069580078, 1.08702385426, -70067.4921875, 127.659065247, 22.1907939911, 31.2230224609, 11.6181373596
-240.596405029, -370.657775879, 1.06342291832, -118587.351562, 175.93800354, 21.9513530731, 49.9766120911, 13.118771553
-218.827926636, -309.30480957, 1.06935155392, -65734.8515625, 124.497848511, 18.7610797882, 28.4137916565, 11.1463918686
-230.681274414, -369.825897217, 1.0692858696, -116891.640625, 200.543731689, 18.4165687561, 29.8334770203, 11.8020544052
-213.552734375, -299.346893311, 1.08879995346, -75548.578125, 134.996383667, 19.8856296539, 29.8161258698, 10.605670929
-229.554550171, -356.12677002, 1.10142993927, -95569.828125, 167.11857605, 21.9943561554, 30.0217056274, 11.6113615036
-218.014389038, -305.931030273, 1.17116057873, -67876.140625, 128.32244873, 18.7432975769, 27.1228923798, 11.5235261917
-220.087112427, -322.092376709, 1.0816988945, -80214.4453125, 143.165237427, 20.8086833954, 31.8901977539, 12.5714550018
-220.657562256, -298.234375, 1.04908442497, -57419.7265625, 115.896949768, 17.8835163116, 26.3060626984, 11.6877002716
-210.475585938, -286.651062012, 1.12031567097, -58745.8515625, 117.595802307, 17.4605045319, 22.93633461, 10.7808971405
-223.315078735, -311.883178711, 1.10673725605, -73700.9921875, 133.420501709, 18.9584197998, 34.3097915649, 12.202829361
-229.179611206, -316.284301758, 1.04038286209, -68349.125, 134.133239746, 20.1020107269, 28.6468524933, 12.50593853
-220.128158569, -302.212402344, 1.05184650421, -56948.2890625, 122.564338684, 18.6688327789, 24.1954689026, 10.2152385712
-228.084259033, -305.126495361, 1.07168102264, -64525.8242188, 123.562004089, 17.3056564331, 43.6010932922, 12.2203073502
-222.25932312, -315.263214111, 1.09153199196, -71676.3828125, 137.051559448, 20.9164714813, 27.9243488312, 11.5602016449
-216.5887146, -284.72567749, 1.18669033051, -52313.546875, 105.36139679, 18.1566543579, 23.1782054901, 10.7311487198
-220.028305054, -291.583740234, 1.14885699749, -56847.25, 126.877433777, 20.5478687286, 23.8653030396, 11.0372018814
-228.219299316, -305.360961914, 1.05412328243, -59433.2109375, 122.657676697, 23.0078372955, 29.135635376, 11.2781791687
-218.419616699, -290.257629395, 1.13371956348, -58747.078125, 119.839935303, 20.9749088287, 19.9646835327, 10.7495689392
-214.693939209, -290.697601318, 1.06116640568, -68490.203125, 127.458778381, 18.9531497955, 28.141620636, 9.78246116638
-218.737930298, -288.833618164, 1.08088994026, -50851.9453125, 110.286895752, 20.1751670837, 20.2388381958, 10.8728666306
-212.915115356, -283.247161865, 1.03679692745, -53495.75, 107.990936279, 19.258140564, 23.1721172333, 10.7172431946
-240.35760498, -338.027740479, 1.10632932186, -73949.953125, 144.340805054, 20.8461284637, 35.2130737305, 11.8235263824
-220.421966553, -282.816741943, 1.09908938408, -47027.921875, 104.535377502, 20.1697540283, 23.530128479, 11.064863205
-211.705032349, -274.290130615, 1.08267247677, -44361.8242188, 95.2395324707, 17.3770885468, 17.3011398315, 10.028254509
-217.865661621, -301.034240723, 1.10907638073, -63647.4960938, 125.016624451, 20.794303894, 23.2625484467, 9.9511680603
-215.184387207, -277.467803955, 1.03478360176, -50456.671875, 103.014984131, 20.9221744537, 23.4010848999, 10.1222343445
