(279s) Epoch=1, Group=2, loss_phi: -175.158908,  loss_theta: 5069.535799,  ess_rws: 1.028958,  density: -2590.044781
(280s) Epoch=1, Group=3, loss_phi: -176.279511,  loss_theta: 5040.422603,  ess_rws: 1.024564,  density: -2581.193204
(280s) Epoch=1, Group=4, loss_phi: -176.628435,  loss_theta: 5012.613451,  ess_rws: 1.023809,  density: -2561.946310
(279s) Epoch=1, Group=5, loss_phi: -175.493477,  loss_theta: 5186.640988,  ess_rws: 1.025744,  density: -2651.563199
(279s) Epoch=1, Group=6, loss_phi: -176.429863,  loss_theta: 5021.358258,  ess_rws: 1.026954,  density: -2565.936286
(281s) Epoch=1, Group=7, loss_phi: -178.189788,  loss_theta: 5012.925299,  ess_rws: 1.031304,  density: -2573.052085
(280s) Epoch=1, Group=8, loss_phi: -178.649219,  loss_theta: 5067.305279,  ess_rws: 1.027781,  density: -2592.478566
(280s) Epoch=1, Group=9, loss_phi: -179.025173,  loss_theta: 4990.222736,  ess_rws: 1.026922,  density: -2576.585855
(280s) Epoch=1, Group=10, loss_phi: -176.641960,  loss_theta: 5106.488871,  ess_rws: 1.024745,  density: -2651.928354
(280s) Epoch=1, Group=11, loss_phi: -175.674120,  loss_theta: 5101.268165,  ess_rws: 1.025309,  density: -2652.132757
(279s) Epoch=1, Group=12, loss_phi: -176.816539,  loss_theta: 5067.203434,  ess_rws: 1.025983,  density: -2616.229989
(280s) Epoch=1, Group=13, loss_phi: -176.027135,  loss_theta: 5036.428408,  ess_rws: 1.026470,  density: -2592.598565
(280s) Epoch=1, Group=14, loss_phi: -177.028792,  loss_theta: 5104.410132,  ess_rws: 1.028321,  density: -2631.518090
(281s) Epoch=1, Group=15, loss_phi: -176.807352,  loss_theta: 5029.041400,  ess_rws: 1.032020,  density: -2595.044794
(281s) Epoch=1, Group=16, loss_phi: -176.476228,  loss_theta: 5015.967343,  ess_rws: 1.027927,  density: -2579.249459
(270s) Epoch=1, Group=17, loss_phi: -177.330234,  loss_theta: 5048.201972,  ess_rws: 1.026381,  density: -2609.840494
