time:3796, inckl:31.146116
time:3812, inckl:25.975809
time:3829, inckl:30.555613
time:3845, inckl:26.668513
time:3862, inckl:26.103272
time:3878, inckl:27.542100
time:3894, inckl:28.323006
time:3911, inckl:31.180003
time:3927, inckl:28.931614
time:3944, inckl:28.724317
time:3960, inckl:30.320053
time:3976, inckl:24.773516
time:3992, inckl:26.675739
time:4009, inckl:24.740899
time:4025, inckl:24.005702
time:4041, inckl:26.090892
time:4058, inckl:28.529108
time:4074, inckl:23.408590
