snr: 53.806992, var: 12.175685, inckl_gen:0.000534
snr: 59.724216, var: 12.472064, inckl_gen:0.000449
snr: 62.521603, var: 12.331842, inckl_gen:0.000356
snr: 55.948616, var: 12.585917, inckl_gen:0.000272
snr: 67.690651, var: 13.391371, inckl_gen:0.000263
snr: 69.584915, var: 11.899051, inckl_gen:0.000294
snr: 62.863358, var: 11.892152, inckl_gen:0.000390
snr: 64.708153, var: 11.203464, inckl_gen:0.000281
snr: 66.279739, var: 11.841847, inckl_gen:0.000257
snr: 64.854271, var: 13.721366, inckl_gen:0.000150
snr: 48.039433, var: 13.340875, inckl_gen:0.000267
snr: 65.001274, var: 12.100453, inckl_gen:0.000831
snr: 56.776562, var: 12.373294, inckl_gen:0.001040
snr: 61.647758, var: 12.138521, inckl_gen:0.002828
snr: 62.384254, var: 11.838403, inckl_gen:0.000368
snr: 60.287991, var: 12.158075, inckl_gen:0.001516
snr: 63.001152, var: 12.816691, inckl_gen:0.000091
snr: 45.656742, var: 12.994820, inckl_gen:0.000360
snr: 69.080025, var: 12.343965, inckl_gen:0.000657
snr: 57.284359, var: 12.115726, inckl_gen:0.000155
snr: 56.832367, var: 13.032771, inckl_gen:0.000689
snr: 65.447411, var: 12.400564, inckl_gen:0.000362
snr: 62.114510, var: 12.388776, inckl_gen:0.001076
snr: 69.925385, var: 12.030073, inckl_gen:0.000346
snr: 53.408913, var: 13.515670, inckl_gen:0.000315
snr: 66.588287, var: 12.611804, inckl_gen:0.000632
snr: 62.384674, var: 12.534929, inckl_gen:0.000718
snr: 66.977905, var: 13.728451, inckl_gen:0.000979
snr: 52.677151, var: 14.323451, inckl_gen:0.000227
snr: 58.928219, var: 12.751950, inckl_gen:0.000558
snr: 56.442299, var: 12.462972, inckl_gen:0.000291
snr: 58.928162, var: 13.901572, inckl_gen:0.000306
snr: 55.304611, var: 13.639500, inckl_gen:0.000296
snr: 60.993259, var: 12.206592, inckl_gen:0.000750
snr: 55.732067, var: 12.743578, inckl_gen:0.001497
snr: 61.647331, var: 13.084973, inckl_gen:0.000253
snr: 61.383724, var: 14.401794, inckl_gen:0.000723
snr: 69.246552, var: 13.024602, inckl_gen:0.000953
snr: 54.262806, var: 12.387226, inckl_gen:0.000391
snr: 57.057941, var: 12.312671, inckl_gen:0.000590
snr: 63.772003, var: 13.753141, inckl_gen:0.000584
snr: 57.513958, var: 13.590385, inckl_gen:0.000193
snr: 64.563164, var: 13.384945, inckl_gen:0.000285
snr: 64.709305, var: 14.490104, inckl_gen:0.000376
snr: 54.365562, var: 13.066054, inckl_gen:0.000337
snr: 56.777374, var: 13.348207, inckl_gen:0.001303
snr: 61.515671, var: 13.688888, inckl_gen:0.000513
snr: 56.443733, var: 12.422410, inckl_gen:0.000249
snr: 57.804054, var: 13.940602, inckl_gen:0.001270
snr: 58.332413, var: 13.583026, inckl_gen:0.000861
snr: 63.141964, var: 13.564551, inckl_gen:0.000229
snr: 63.140038, var: 13.946591, inckl_gen:0.000499
