(118s) phi_loss: -724.833,  theta_loss: 961.948,  ess: 3.814
(116s) phi_loss: -723.855,  theta_loss: 973.770,  ess: 3.848
(118s) phi_loss: -725.363,  theta_loss: 959.906,  ess: 3.812
(119s) phi_loss: -726.204,  theta_loss: 970.976,  ess: 3.836
(123s) phi_loss: -727.570,  theta_loss: 966.579,  ess: 3.808
(123s) phi_loss: -727.706,  theta_loss: 971.347,  ess: 3.806
(121s) phi_loss: -727.021,  theta_loss: 966.659,  ess: 3.840
(119s) phi_loss: -727.081,  theta_loss: 983.043,  ess: 3.861
(121s) phi_loss: -726.971,  theta_loss: 975.195,  ess: 3.857
(121s) phi_loss: -730.150,  theta_loss: 968.210,  ess: 3.820
(124s) phi_loss: -730.314,  theta_loss: 965.477,  ess: 3.849
(123s) phi_loss: -730.407,  theta_loss: 971.309,  ess: 3.847
(121s) phi_loss: -732.216,  theta_loss: 969.030,  ess: 3.847
(120s) phi_loss: -731.594,  theta_loss: 960.178,  ess: 3.876
(119s) phi_loss: -731.956,  theta_loss: 979.112,  ess: 3.875
(121s) phi_loss: -732.281,  theta_loss: 961.752,  ess: 3.869
(121s) phi_loss: -734.038,  theta_loss: 970.832,  ess: 3.858
(120s) phi_loss: -731.982,  theta_loss: 962.518,  ess: 3.871
(121s) phi_loss: -732.057,  theta_loss: 973.415,  ess: 3.886
(121s) phi_loss: -735.022,  theta_loss: 958.102,  ess: 3.872
(121s) phi_loss: -735.465,  theta_loss: 960.817,  ess: 3.886
(116s) phi_loss: -731.480,  theta_loss: 986.149,  ess: 3.881
(119s) phi_loss: -735.169,  theta_loss: 973.424,  ess: 3.911
(119s) phi_loss: -734.297,  theta_loss: 971.734,  ess: 3.898
(119s) phi_loss: -737.772,  theta_loss: 955.896,  ess: 3.868
(119s) phi_loss: -735.756,  theta_loss: 962.548,  ess: 3.902
(119s) phi_loss: -739.212,  theta_loss: 949.706,  ess: 3.864
(116s) phi_loss: -736.496,  theta_loss: 963.008,  ess: 3.895
(116s) phi_loss: -737.734,  theta_loss: 957.939,  ess: 3.909
(116s) phi_loss: -737.984,  theta_loss: 952.871,  ess: 3.919
(116s) phi_loss: -738.474,  theta_loss: 967.030,  ess: 3.898
(121s) phi_loss: -738.380,  theta_loss: 963.905,  ess: 3.917
(119s) phi_loss: -737.548,  theta_loss: 972.843,  ess: 3.908
(121s) phi_loss: -739.389,  theta_loss: 971.463,  ess: 3.910
(117s) phi_loss: -740.975,  theta_loss: 958.075,  ess: 3.898
(119s) phi_loss: -736.642,  theta_loss: 969.824,  ess: 3.924
(121s) phi_loss: -740.364,  theta_loss: 958.805,  ess: 3.934
(120s) phi_loss: -737.356,  theta_loss: 974.344,  ess: 3.942
(118s) phi_loss: -740.588,  theta_loss: 958.269,  ess: 3.925
