(335s) phi_loss: -866.690,  theta_loss: 1330.021,  ess: 3.582
(335s) phi_loss: -865.187,  theta_loss: 1323.594,  ess: 3.584
(336s) phi_loss: -864.087,  theta_loss: 1324.599,  ess: 3.582
(335s) phi_loss: -864.576,  theta_loss: 1320.583,  ess: 3.585
(336s) phi_loss: -863.441,  theta_loss: 1331.720,  ess: 3.584
(336s) phi_loss: -862.869,  theta_loss: 1333.096,  ess: 3.587
(335s) phi_loss: -861.340,  theta_loss: 1328.029,  ess: 3.587
(335s) phi_loss: -860.226,  theta_loss: 1331.027,  ess: 3.598
(335s) phi_loss: -860.316,  theta_loss: 1327.108,  ess: 3.590
(336s) phi_loss: -859.172,  theta_loss: 1326.307,  ess: 3.593
(336s) phi_loss: -859.231,  theta_loss: 1324.696,  ess: 3.596
(335s) phi_loss: -860.115,  theta_loss: 1332.217,  ess: 3.604
(336s) phi_loss: -858.391,  theta_loss: 1329.347,  ess: 3.598
(335s) phi_loss: -857.673,  theta_loss: 1334.100,  ess: 3.604
(336s) phi_loss: -855.976,  theta_loss: 1329.429,  ess: 3.607
(336s) phi_loss: -856.969,  theta_loss: 1327.304,  ess: 3.605
(335s) phi_loss: -855.881,  theta_loss: 1321.947,  ess: 3.606
(336s) phi_loss: -855.243,  theta_loss: 1338.088,  ess: 3.611
(336s) phi_loss: -855.328,  theta_loss: 1328.233,  ess: 3.611
(336s) phi_loss: -854.883,  theta_loss: 1329.490,  ess: 3.614
(336s) phi_loss: -854.037,  theta_loss: 1323.520,  ess: 3.615
(336s) phi_loss: -851.877,  theta_loss: 1331.244,  ess: 3.614
(336s) phi_loss: -852.859,  theta_loss: 1329.326,  ess: 3.619
(336s) phi_loss: -852.253,  theta_loss: 1335.479,  ess: 3.619
(336s) phi_loss: -852.098,  theta_loss: 1326.343,  ess: 3.626
(335s) phi_loss: -851.231,  theta_loss: 1333.527,  ess: 3.624
(335s) phi_loss: -849.258,  theta_loss: 1333.594,  ess: 3.629
(337s) phi_loss: -850.041,  theta_loss: 1334.617,  ess: 3.630
(336s) phi_loss: -850.006,  theta_loss: 1337.955,  ess: 3.629
(336s) phi_loss: -849.612,  theta_loss: 1329.947,  ess: 3.634
(336s) phi_loss: -849.352,  theta_loss: 1337.726,  ess: 3.642
(335s) phi_loss: -848.496,  theta_loss: 1335.337,  ess: 3.640
(336s) phi_loss: -847.230,  theta_loss: 1342.513,  ess: 3.641
(336s) phi_loss: -846.749,  theta_loss: 1332.740,  ess: 3.640
(335s) phi_loss: -847.349,  theta_loss: 1330.835,  ess: 3.647
(335s) phi_loss: -846.151,  theta_loss: 1334.959,  ess: 3.644
(335s) phi_loss: -845.735,  theta_loss: 1334.937,  ess: 3.646
(335s) phi_loss: -845.030,  theta_loss: 1338.380,  ess: 3.648
(335s) phi_loss: -844.246,  theta_loss: 1329.559,  ess: 3.656
(335s) phi_loss: -844.157,  theta_loss: 1343.084,  ess: 3.648
(336s) phi_loss: -844.176,  theta_loss: 1327.590,  ess: 3.654
(337s) phi_loss: -844.007,  theta_loss: 1331.084,  ess: 3.654
(336s) phi_loss: -843.103,  theta_loss: 1334.505,  ess: 3.657
(336s) phi_loss: -841.826,  theta_loss: 1331.535,  ess: 3.660
(336s) phi_loss: -840.751,  theta_loss: 1337.455,  ess: 3.655
(336s) phi_loss: -840.122,  theta_loss: 1334.477,  ess: 3.660
(336s) phi_loss: -841.344,  theta_loss: 1330.591,  ess: 3.660
(337s) phi_loss: -840.969,  theta_loss: 1337.441,  ess: 3.663
(335s) phi_loss: -839.789,  theta_loss: 1335.002,  ess: 3.665
(335s) phi_loss: -838.705,  theta_loss: 1333.160,  ess: 3.666
(336s) phi_loss: -838.880,  theta_loss: 1340.141,  ess: 3.664
(336s) phi_loss: -838.591,  theta_loss: 1333.564,  ess: 3.668
(335s) phi_loss: -838.789,  theta_loss: 1333.705,  ess: 3.668
(335s) phi_loss: -839.110,  theta_loss: 1330.749,  ess: 3.668
(335s) phi_loss: -839.228,  theta_loss: 1330.722,  ess: 3.674
(335s) phi_loss: -837.666,  theta_loss: 1337.373,  ess: 3.673
(336s) phi_loss: -836.795,  theta_loss: 1335.763,  ess: 3.675
(336s) phi_loss: -836.598,  theta_loss: 1333.758,  ess: 3.674
(335s) phi_loss: -838.084,  theta_loss: 1327.639,  ess: 3.676
(335s) phi_loss: -837.211,  theta_loss: 1333.855,  ess: 3.675
(335s) phi_loss: -836.871,  theta_loss: 1330.193,  ess: 3.681
(335s) phi_loss: -836.453,  theta_loss: 1330.445,  ess: 3.678
(335s) phi_loss: -835.599,  theta_loss: 1333.297,  ess: 3.681
(335s) phi_loss: -836.450,  theta_loss: 1332.248,  ess: 3.681
(335s) phi_loss: -836.163,  theta_loss: 1339.308,  ess: 3.681
(335s) phi_loss: -835.733,  theta_loss: 1331.022,  ess: 3.687
(335s) phi_loss: -835.143,  theta_loss: 1337.519,  ess: 3.686
(336s) phi_loss: -834.530,  theta_loss: 1333.834,  ess: 3.687
(336s) phi_loss: -835.000,  theta_loss: 1332.556,  ess: 3.691
(335s) phi_loss: -834.254,  theta_loss: 1333.920,  ess: 3.687
(336s) phi_loss: -834.033,  theta_loss: 1332.987,  ess: 3.690
(335s) phi_loss: -833.704,  theta_loss: 1343.932,  ess: 3.690
(335s) phi_loss: -835.301,  theta_loss: 1328.818,  ess: 3.690
(335s) phi_loss: -835.343,  theta_loss: 1332.199,  ess: 3.694
(335s) phi_loss: -833.614,  theta_loss: 1336.497,  ess: 3.697
(335s) phi_loss: -832.994,  theta_loss: 1342.327,  ess: 3.694
(336s) phi_loss: -832.738,  theta_loss: 1334.798,  ess: 3.697
(336s) phi_loss: -831.606,  theta_loss: 1333.270,  ess: 3.699
(335s) phi_loss: -832.739,  theta_loss: 1334.072,  ess: 3.697
(335s) phi_loss: -832.158,  theta_loss: 1334.417,  ess: 3.701
(336s) phi_loss: -832.107,  theta_loss: 1331.072,  ess: 3.704
(337s) phi_loss: -832.614,  theta_loss: 1325.925,  ess: 3.702
(335s) phi_loss: -832.467,  theta_loss: 1336.062,  ess: 3.700
(335s) phi_loss: -832.411,  theta_loss: 1333.282,  ess: 3.700
(335s) phi_loss: -832.510,  theta_loss: 1329.021,  ess: 3.708
(335s) phi_loss: -831.227,  theta_loss: 1328.563,  ess: 3.706
(335s) phi_loss: -830.741,  theta_loss: 1331.903,  ess: 3.704
(336s) phi_loss: -831.529,  theta_loss: 1320.039,  ess: 3.707
(336s) phi_loss: -831.449,  theta_loss: 1333.171,  ess: 3.712
(335s) phi_loss: -831.281,  theta_loss: 1325.529,  ess: 3.712
(337s) phi_loss: -830.736,  theta_loss: 1324.804,  ess: 3.711
(336s) phi_loss: -829.938,  theta_loss: 1329.878,  ess: 3.710
(335s) phi_loss: -831.037,  theta_loss: 1321.413,  ess: 3.710
(336s) phi_loss: -830.128,  theta_loss: 1325.715,  ess: 3.708
(335s) phi_loss: -830.367,  theta_loss: 1337.928,  ess: 3.710
(336s) phi_loss: -830.546,  theta_loss: 1328.028,  ess: 3.712
(335s) phi_loss: -830.393,  theta_loss: 1331.142,  ess: 3.712
(336s) phi_loss: -830.266,  theta_loss: 1330.771,  ess: 3.714
(336s) phi_loss: -829.635,  theta_loss: 1327.495,  ess: 3.715
(336s) phi_loss: -829.922,  theta_loss: 1323.157,  ess: 3.717
(336s) phi_loss: -829.713,  theta_loss: 1327.668,  ess: 3.717
(334s) phi_loss: -831.243,  theta_loss: 1328.886,  ess: 3.715
(326s) phi_loss: -830.287,  theta_loss: 1323.864,  ess: 3.718
(322s) phi_loss: -829.603,  theta_loss: 1330.135,  ess: 3.714
(319s) phi_loss: -829.416,  theta_loss: 1336.759,  ess: 3.716
(318s) phi_loss: -830.294,  theta_loss: 1330.884,  ess: 3.716
(319s) phi_loss: -829.767,  theta_loss: 1317.883,  ess: 3.720
(326s) phi_loss: -828.599,  theta_loss: 1325.133,  ess: 3.721
(335s) phi_loss: -829.530,  theta_loss: 1328.961,  ess: 3.716
(337s) phi_loss: -828.728,  theta_loss: 1330.964,  ess: 3.720
(322s) phi_loss: -828.921,  theta_loss: 1326.915,  ess: 3.720
(323s) phi_loss: -828.401,  theta_loss: 1328.425,  ess: 3.719
(317s) phi_loss: -828.198,  theta_loss: 1330.150,  ess: 3.719
(322s) phi_loss: -829.994,  theta_loss: 1321.061,  ess: 3.726
(327s) phi_loss: -829.031,  theta_loss: 1327.293,  ess: 3.724
(334s) phi_loss: -829.065,  theta_loss: 1324.470,  ess: 3.724
(337s) phi_loss: -828.676,  theta_loss: 1334.516,  ess: 3.719
(319s) phi_loss: -829.426,  theta_loss: 1332.543,  ess: 3.723
(319s) phi_loss: -830.248,  theta_loss: 1322.654,  ess: 3.753
(325s) phi_loss: -831.042,  theta_loss: 1320.387,  ess: 3.760
(322s) phi_loss: -831.263,  theta_loss: 1318.113,  ess: 3.761
(325s) phi_loss: -831.793,  theta_loss: 1320.001,  ess: 3.764
(320s) phi_loss: -831.080,  theta_loss: 1318.314,  ess: 3.765
(328s) phi_loss: -831.327,  theta_loss: 1316.980,  ess: 3.763
(329s) phi_loss: -831.554,  theta_loss: 1318.703,  ess: 3.766
(321s) phi_loss: -831.504,  theta_loss: 1320.830,  ess: 3.764
(319s) phi_loss: -830.878,  theta_loss: 1323.921,  ess: 3.764
(318s) phi_loss: -831.206,  theta_loss: 1316.004,  ess: 3.768
(317s) phi_loss: -830.830,  theta_loss: 1317.641,  ess: 3.768
(316s) phi_loss: -830.988,  theta_loss: 1316.973,  ess: 3.763
(317s) phi_loss: -831.914,  theta_loss: 1316.265,  ess: 3.769
(316s) phi_loss: -830.513,  theta_loss: 1317.347,  ess: 3.765
(317s) phi_loss: -831.159,  theta_loss: 1321.376,  ess: 3.766
(322s) phi_loss: -831.163,  theta_loss: 1319.587,  ess: 3.766
(319s) phi_loss: -831.159,  theta_loss: 1317.363,  ess: 3.768
(317s) phi_loss: -830.711,  theta_loss: 1316.394,  ess: 3.768
(316s) phi_loss: -830.510,  theta_loss: 1312.998,  ess: 3.765
(321s) phi_loss: -830.136,  theta_loss: 1321.751,  ess: 3.770
(324s) phi_loss: -831.144,  theta_loss: 1316.148,  ess: 3.768
(317s) phi_loss: -830.996,  theta_loss: 1311.259,  ess: 3.771
(317s) phi_loss: -830.612,  theta_loss: 1316.571,  ess: 3.769
(323s) phi_loss: -831.277,  theta_loss: 1312.671,  ess: 3.767
(319s) phi_loss: -830.772,  theta_loss: 1307.011,  ess: 3.771
(322s) phi_loss: -830.474,  theta_loss: 1318.579,  ess: 3.771
(320s) phi_loss: -830.613,  theta_loss: 1308.929,  ess: 3.768
(319s) phi_loss: -830.896,  theta_loss: 1319.002,  ess: 3.772
(315s) phi_loss: -831.291,  theta_loss: 1312.685,  ess: 3.771
(315s) phi_loss: -831.246,  theta_loss: 1321.014,  ess: 3.770
(317s) phi_loss: -830.887,  theta_loss: 1311.556,  ess: 3.774
(323s) phi_loss: -830.896,  theta_loss: 1315.871,  ess: 3.771
(321s) phi_loss: -831.562,  theta_loss: 1308.637,  ess: 3.772
(320s) phi_loss: -831.560,  theta_loss: 1311.508,  ess: 3.772
(322s) phi_loss: -831.351,  theta_loss: 1309.541,  ess: 3.772
(322s) phi_loss: -831.399,  theta_loss: 1312.961,  ess: 3.772
