(818s) phi_loss: -968.950,  theta_loss: 1225.656,  ess: 3.196
(874s) phi_loss: -1642.939,  theta_loss: 1976.257,  ess: 3.161
(820s) phi_loss: -970.483,  theta_loss: 1223.743,  ess: 3.203
(872s) phi_loss: -1644.703,  theta_loss: 1973.105,  ess: 3.168
(819s) phi_loss: -970.337,  theta_loss: 1217.314,  ess: 3.205
(873s) phi_loss: -1642.733,  theta_loss: 1976.205,  ess: 3.183
(819s) phi_loss: -970.229,  theta_loss: 1221.019,  ess: 3.213
(873s) phi_loss: -1644.120,  theta_loss: 1967.924,  ess: 3.187
(819s) phi_loss: -969.962,  theta_loss: 1220.906,  ess: 3.222
(873s) phi_loss: -1644.035,  theta_loss: 1977.872,  ess: 3.191
(820s) phi_loss: -970.252,  theta_loss: 1220.142,  ess: 3.227
(872s) phi_loss: -1643.099,  theta_loss: 1971.006,  ess: 3.200
(820s) phi_loss: -970.040,  theta_loss: 1224.200,  ess: 3.234
(872s) phi_loss: -1644.616,  theta_loss: 1964.937,  ess: 3.212
(819s) phi_loss: -967.985,  theta_loss: 1223.167,  ess: 3.239
(872s) phi_loss: -1642.458,  theta_loss: 1979.044,  ess: 3.214
(818s) phi_loss: -968.438,  theta_loss: 1214.421,  ess: 3.244
(872s) phi_loss: -1642.170,  theta_loss: 1970.541,  ess: 3.219
(820s) phi_loss: -969.010,  theta_loss: 1215.708,  ess: 3.249
