(121s) phi_loss: -585.822,  theta_loss: 755.722,  ess: 3.661
(120s) phi_loss: -581.451,  theta_loss: 769.019,  ess: 3.644
(117s) phi_loss: -579.411,  theta_loss: 840.221,  ess: 3.562
(117s) phi_loss: -587.392,  theta_loss: 742.687,  ess: 3.679
(121s) phi_loss: -584.116,  theta_loss: 733.269,  ess: 3.616
(118s) phi_loss: -581.420,  theta_loss: 874.464,  ess: 3.515
(113s) phi_loss: -577.435,  theta_loss: 1119.217,  ess: 3.436
(115s) phi_loss: -583.571,  theta_loss: 750.565,  ess: 3.783
(113s) phi_loss: -581.568,  theta_loss: 758.596,  ess: 3.689
(115s) phi_loss: -580.071,  theta_loss: 758.466,  ess: 3.611
(120s) phi_loss: -583.879,  theta_loss: 794.842,  ess: 3.629
(121s) phi_loss: -582.657,  theta_loss: 763.704,  ess: 3.642
(120s) phi_loss: -584.192,  theta_loss: 753.025,  ess: 3.730
(120s) phi_loss: -587.628,  theta_loss: 748.657,  ess: 3.727
(116s) phi_loss: -586.579,  theta_loss: 758.639,  ess: 3.607
(113s) phi_loss: -587.623,  theta_loss: 769.208,  ess: 3.660
(113s) phi_loss: -585.707,  theta_loss: 763.909,  ess: 3.630
(114s) phi_loss: -589.070,  theta_loss: 753.676,  ess: 3.755
(120s) phi_loss: -581.043,  theta_loss: 820.777,  ess: 3.559
(114s) phi_loss: -586.867,  theta_loss: 797.568,  ess: 3.787
(113s) phi_loss: -585.073,  theta_loss: 777.145,  ess: 3.707
(113s) phi_loss: -586.847,  theta_loss: 832.485,  ess: 3.750
(112s) phi_loss: -589.274,  theta_loss: 767.835,  ess: 3.753
(113s) phi_loss: -588.561,  theta_loss: 748.110,  ess: 3.676
(114s) phi_loss: -584.922,  theta_loss: 779.872,  ess: 3.686
(121s) phi_loss: -589.196,  theta_loss: 758.521,  ess: 3.775
(117s) phi_loss: -588.546,  theta_loss: 768.198,  ess: 3.809
(116s) phi_loss: -584.200,  theta_loss: 870.588,  ess: 3.667
(122s) phi_loss: -584.023,  theta_loss: 777.879,  ess: 3.676
(127s) phi_loss: -595.063,  theta_loss: 735.630,  ess: 3.822
(127s) phi_loss: -587.948,  theta_loss: 769.518,  ess: 3.727
(127s) phi_loss: -588.778,  theta_loss: 743.613,  ess: 3.718
(126s) phi_loss: -591.478,  theta_loss: 811.944,  ess: 3.778
(126s) phi_loss: -598.556,  theta_loss: 738.477,  ess: 4.023
(126s) phi_loss: -598.542,  theta_loss: 741.365,  ess: 4.023
(127s) phi_loss: -598.786,  theta_loss: 740.299,  ess: 4.012
(126s) phi_loss: -599.894,  theta_loss: 742.363,  ess: 4.033
(121s) phi_loss: -602.556,  theta_loss: 755.078,  ess: 3.972
(115s) phi_loss: -600.998,  theta_loss: 747.426,  ess: 4.011
(127s) phi_loss: -603.483,  theta_loss: 748.556,  ess: 4.007
(127s) phi_loss: -604.744,  theta_loss: 748.007,  ess: 4.005
(126s) phi_loss: -602.599,  theta_loss: 759.851,  ess: 4.016
(126s) phi_loss: -604.317,  theta_loss: 758.742,  ess: 3.994
(127s) phi_loss: -607.118,  theta_loss: 742.304,  ess: 3.956
(127s) phi_loss: -604.519,  theta_loss: 744.522,  ess: 4.015
(127s) phi_loss: -603.479,  theta_loss: 749.372,  ess: 4.047
(127s) phi_loss: -604.655,  theta_loss: 754.425,  ess: 4.068
(126s) phi_loss: -604.699,  theta_loss: 748.777,  ess: 4.055
(127s) phi_loss: -604.260,  theta_loss: 752.615,  ess: 4.072
(127s) phi_loss: -605.539,  theta_loss: 750.754,  ess: 4.064
(127s) phi_loss: -605.056,  theta_loss: 744.903,  ess: 4.055
(126s) phi_loss: -607.398,  theta_loss: 737.033,  ess: 4.042
(126s) phi_loss: -606.071,  theta_loss: 742.973,  ess: 4.072
(127s) phi_loss: -605.190,  theta_loss: 760.970,  ess: 4.071
(127s) phi_loss: -606.212,  theta_loss: 745.920,  ess: 4.079
(128s) phi_loss: -608.279,  theta_loss: 739.790,  ess: 4.021
(127s) phi_loss: -605.612,  theta_loss: 756.050,  ess: 4.097
(125s) phi_loss: -606.954,  theta_loss: 745.789,  ess: 4.074
(126s) phi_loss: -606.161,  theta_loss: 748.780,  ess: 4.106
(126s) phi_loss: -606.805,  theta_loss: 750.972,  ess: 4.096
(125s) phi_loss: -607.547,  theta_loss: 756.980,  ess: 4.079
(126s) phi_loss: -606.857,  theta_loss: 757.158,  ess: 4.075
(127s) phi_loss: -606.036,  theta_loss: 745.209,  ess: 4.103
(126s) phi_loss: -606.932,  theta_loss: 755.160,  ess: 4.117
(127s) phi_loss: -607.787,  theta_loss: 747.632,  ess: 4.113
(127s) phi_loss: -609.735,  theta_loss: 748.710,  ess: 4.077
(127s) phi_loss: -610.098,  theta_loss: 738.079,  ess: 4.082
(127s) phi_loss: -607.845,  theta_loss: 749.395,  ess: 4.072
(128s) phi_loss: -610.064,  theta_loss: 748.164,  ess: 4.109
(126s) phi_loss: -610.038,  theta_loss: 743.966,  ess: 4.096
(126s) phi_loss: -607.507,  theta_loss: 744.158,  ess: 4.106
(125s) phi_loss: -609.360,  theta_loss: 744.316,  ess: 4.104
(126s) phi_loss: -610.529,  theta_loss: 746.460,  ess: 4.094
(116s) phi_loss: -607.032,  theta_loss: 751.363,  ess: 4.093
(113s) phi_loss: -609.161,  theta_loss: 746.814,  ess: 4.107
(112s) phi_loss: -613.112,  theta_loss: 739.311,  ess: 4.062
(112s) phi_loss: -613.064,  theta_loss: 749.278,  ess: 4.066
(115s) phi_loss: -612.113,  theta_loss: 746.504,  ess: 4.125
(119s) phi_loss: -608.956,  theta_loss: 760.370,  ess: 4.150
(117s) phi_loss: -610.856,  theta_loss: 737.307,  ess: 4.128
(117s) phi_loss: -610.303,  theta_loss: 750.018,  ess: 4.122
(119s) phi_loss: -610.252,  theta_loss: 747.209,  ess: 4.138
(119s) phi_loss: -608.811,  theta_loss: 758.711,  ess: 4.106
(119s) phi_loss: -608.564,  theta_loss: 752.586,  ess: 4.144
(119s) phi_loss: -609.766,  theta_loss: 755.121,  ess: 4.150
(118s) phi_loss: -610.433,  theta_loss: 748.026,  ess: 4.146
(119s) phi_loss: -608.647,  theta_loss: 762.851,  ess: 4.128
(119s) phi_loss: -609.648,  theta_loss: 754.076,  ess: 4.146
(117s) phi_loss: -610.007,  theta_loss: 748.388,  ess: 4.137
(115s) phi_loss: -610.835,  theta_loss: 748.519,  ess: 4.150
(119s) phi_loss: -611.175,  theta_loss: 741.679,  ess: 4.112
(116s) phi_loss: -614.092,  theta_loss: 743.036,  ess: 4.134
(118s) phi_loss: -611.869,  theta_loss: 748.583,  ess: 4.134
(118s) phi_loss: -609.330,  theta_loss: 754.897,  ess: 4.157
(119s) phi_loss: -611.518,  theta_loss: 746.914,  ess: 4.126
(114s) phi_loss: -612.621,  theta_loss: 754.319,  ess: 4.146
(112s) phi_loss: -612.847,  theta_loss: 748.032,  ess: 4.127
(112s) phi_loss: -611.501,  theta_loss: 751.163,  ess: 4.133
(117s) phi_loss: -613.933,  theta_loss: 740.848,  ess: 4.145
(123s) phi_loss: -609.473,  theta_loss: 753.156,  ess: 4.144
(118s) phi_loss: -609.868,  theta_loss: 754.578,  ess: 4.162
(119s) phi_loss: -612.136,  theta_loss: 740.819,  ess: 4.167
(119s) phi_loss: -612.341,  theta_loss: 747.642,  ess: 4.164
(119s) phi_loss: -611.504,  theta_loss: 745.834,  ess: 4.186
(119s) phi_loss: -609.696,  theta_loss: 756.524,  ess: 4.180
(115s) phi_loss: -612.477,  theta_loss: 755.776,  ess: 4.167
(118s) phi_loss: -610.312,  theta_loss: 758.909,  ess: 4.169
(113s) phi_loss: -609.302,  theta_loss: 760.788,  ess: 4.159
(112s) phi_loss: -608.639,  theta_loss: 769.984,  ess: 4.148
(116s) phi_loss: -610.301,  theta_loss: 751.743,  ess: 4.180
(112s) phi_loss: -610.038,  theta_loss: 750.217,  ess: 4.166
(112s) phi_loss: -613.356,  theta_loss: 747.935,  ess: 4.155
(112s) phi_loss: -612.087,  theta_loss: 761.309,  ess: 4.172
(112s) phi_loss: -611.691,  theta_loss: 758.148,  ess: 4.160
(112s) phi_loss: -609.451,  theta_loss: 760.557,  ess: 4.187
(112s) phi_loss: -611.102,  theta_loss: 748.303,  ess: 4.166
(116s) phi_loss: -612.827,  theta_loss: 750.729,  ess: 4.187
(117s) phi_loss: -612.356,  theta_loss: 755.814,  ess: 4.164
(113s) phi_loss: -611.407,  theta_loss: 749.572,  ess: 4.170
(118s) phi_loss: -610.878,  theta_loss: 752.876,  ess: 4.180
(118s) phi_loss: -610.500,  theta_loss: 752.118,  ess: 4.177
(119s) phi_loss: -613.260,  theta_loss: 750.730,  ess: 4.198
