DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
182.794,  40.125,  -1037.668,  4.799,  376.740,  260.232,  22.480,  8.314
131.432,  20.959,  -861.405,  5.040,  231.975,  357.672,  9.555,  4.526
147.809,  18.925,  -836.083,  5.093,  236.762,  395.834,  9.272,  4.353
153.109,  17.499,  -830.585,  5.134,  241.342,  405.687,  8.676,  4.071
155.454,  16.221,  -829.059,  5.168,  242.337,  415.383,  8.023,  3.797
155.029,  14.952,  -830.126,  5.206,  242.586,  420.072,  7.372,  3.503
154.188,  14.148,  -829.949,  5.231,  241.647,  429.282,  6.687,  3.209
154.141,  13.328,  -829.614,  5.256,  242.003,  434.543,  6.208,  2.934
152.560,  12.677,  -829.145,  5.285,  239.903,  444.532,  5.747,  2.696
150.500,  11.717,  -827.576,  5.312,  237.683,  446.700,  5.282,  2.472
149.308,  11.165,  -825.571,  5.336,  235.378,  433.001,  4.905,  2.252
151.110,  11.018,  -823.792,  5.354,  237.093,  435.130,  4.700,  2.117
153.012,  10.671,  -823.346,  5.377,  239.705,  439.002,  4.751,  2.025
158.104,  10.817,  -823.641,  5.394,  244.621,  432.922,  4.923,  1.976
162.795,  11.338,  -823.109,  5.407,  251.911,  431.915,  5.227,  1.885
168.511,  11.628,  -821.173,  5.430,  260.769,  430.988,  5.624,  1.982
184.509,  11.146,  -822.097,  5.465,  277.044,  421.933,  6.538,  2.110
169.786,  10.077,  -794.502,  5.513,  254.048,  361.905,  6.482,  1.957
93.541,  4.626,  -704.096,  5.623,  140.851,  213.904,  2.160,  0.865
52.721,  3.870,  -618.017,  5.665,  74.681,  163.769,  1.129,  1.323
52.598,  4.742,  -596.483,  5.636,  73.574,  150.115,  1.460,  1.647
43.306,  4.026,  -581.614,  5.695,  63.179,  123.521,  1.187,  1.097
37.342,  3.560,  -562.139,  5.747,  54.067,  99.085,  1.029,  0.859
32.190,  3.572,  -543.613,  5.788,  45.498,  75.306,  0.976,  0.763
25.296,  3.421,  -525.974,  5.850,  34.288,  55.104,  0.919,  0.672
17.790,  2.992,  -505.606,  5.965,  22.549,  39.177,  0.762,  0.530
12.433,  2.490,  -492.191,  6.143,  15.092,  33.684,  0.510,  0.340
9.183,  2.284,  -474.477,  6.480,  10.260,  23.494,  0.503,  0.282
5.896,  2.201,  -463.272,  7.094,  3.446,  6.341,  0.457,  0.231
4.106,  2.272,  -461.466,  7.607,  1.094,  1.660,  0.428,  0.197
3.124,  2.218,  -462.176,  7.972,  0.318,  0.431,  0.382,  0.180
2.702,  2.234,  -462.604,  8.166,  0.092,  0.110,  0.365,  0.168
2.472,  1.938,  -463.088,  8.252,  0.032,  0.035,  0.359,  0.153
2.460,  1.916,  -463.364,  8.292,  0.015,  0.015,  0.338,  0.145
2.446,  1.915,  -463.606,  8.311,  0.010,  0.008,  0.337,  0.140
2.355,  1.891,  -463.256,  8.325,  0.008,  0.006,  0.339,  0.132
2.368,  1.899,  -463.731,  8.330,  0.010,  0.007,  0.334,  0.130
2.360,  1.869,  -463.723,  8.332,  0.008,  0.006,  0.329,  0.126
2.401,  1.754,  -463.991,  8.339,  0.008,  0.006,  0.326,  0.119
2.460,  1.896,  -463.940,  8.338,  0.008,  0.006,  0.306,  0.118
2.384,  1.678,  -463.803,  8.334,  0.007,  0.005,  0.298,  0.116
2.409,  1.610,  -463.773,  8.333,  0.008,  0.006,  0.291,  0.112
2.362,  1.978,  -463.480,  8.337,  0.008,  0.006,  0.290,  0.114
2.340,  1.715,  -463.934,  8.349,  0.008,  0.006,  0.286,  0.109
2.388,  1.665,  -464.020,  8.344,  0.008,  0.006,  0.286,  0.106
2.418,  1.623,  -463.395,  8.338,  0.008,  0.006,  0.271,  0.105
2.418,  1.732,  -463.824,  8.337,  0.007,  0.005,  0.267,  0.103
2.439,  1.690,  -463.523,  8.343,  0.007,  0.005,  0.265,  0.103
2.368,  1.582,  -463.840,  8.340,  0.008,  0.006,  0.258,  0.100
2.423,  1.622,  -463.528,  8.347,  0.008,  0.006,  0.250,  0.099
2.334,  1.492,  -463.623,  8.344,  0.008,  0.006,  0.252,  0.100
2.348,  1.601,  -463.876,  8.344,  0.008,  0.005,  0.246,  0.095
2.365,  1.615,  -464.093,  8.348,  0.008,  0.006,  0.259,  0.097
2.414,  1.652,  -464.310,  8.342,  0.008,  0.006,  0.247,  0.095
2.355,  1.447,  -463.961,  8.351,  0.009,  0.006,  0.254,  0.097
2.382,  1.480,  -463.641,  8.343,  0.007,  0.005,  0.246,  0.092
2.379,  1.579,  -463.731,  8.338,  0.008,  0.006,  0.239,  0.092
2.375,  1.513,  -463.736,  8.342,  0.007,  0.005,  0.241,  0.091
2.391,  1.551,  -463.693,  8.346,  0.007,  0.005,  0.237,  0.090
2.389,  1.494,  -463.365,  8.349,  0.008,  0.006,  0.232,  0.090
2.322,  1.613,  -463.784,  8.350,  0.009,  0.006,  0.234,  0.090
2.350,  1.379,  -463.667,  8.348,  0.008,  0.006,  0.231,  0.089
2.434,  1.523,  -463.334,  8.339,  0.008,  0.006,  0.224,  0.086
2.391,  1.431,  -463.345,  8.347,  0.008,  0.005,  0.228,  0.087
2.415,  1.355,  -463.706,  8.339,  0.008,  0.006,  0.229,  0.086
2.392,  1.424,  -463.840,  8.344,  0.009,  0.006,  0.214,  0.085
2.397,  1.346,  -463.960,  8.349,  0.008,  0.006,  0.214,  0.084
2.363,  1.335,  -464.125,  8.343,  0.009,  0.006,  0.222,  0.084
2.350,  1.403,  -463.982,  8.350,  0.007,  0.005,  0.211,  0.080
2.381,  1.384,  -463.672,  8.345,  0.008,  0.006,  0.213,  0.082
2.396,  1.323,  -463.512,  8.348,  0.008,  0.006,  0.211,  0.079
2.654,  1.385,  -463.508,  8.346,  0.008,  0.006,  0.211,  0.079
2.395,  1.378,  -463.627,  8.347,  0.007,  0.005,  0.206,  0.079
2.344,  1.240,  -463.450,  8.346,  0.008,  0.006,  0.204,  0.077
2.520,  1.596,  -463.960,  8.346,  0.008,  0.006,  0.207,  0.080
2.381,  1.579,  -463.659,  8.352,  0.008,  0.006,  0.202,  0.079
2.446,  1.284,  -463.445,  8.351,  0.008,  0.006,  0.189,  0.077
2.337,  1.309,  -463.627,  8.353,  0.009,  0.006,  0.202,  0.076
