DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
62.478,  18.611,  -697.302,  5.279,  128.448,  98.516,  9.748,  5.517
12.728,  7.069,  -502.284,  6.116,  16.284,  33.322,  1.997,  1.069
8.999,  6.135,  -483.612,  6.486,  9.911,  22.246,  1.668,  0.738
9.227,  5.150,  -481.080,  6.416,  10.821,  27.607,  1.485,  0.622
7.380,  4.391,  -465.541,  6.729,  6.031,  12.131,  1.282,  0.469
5.105,  4.274,  -459.897,  7.256,  2.050,  3.497,  1.202,  0.406
3.636,  4.238,  -458.675,  7.715,  0.628,  0.917,  1.166,  0.378
2.906,  4.151,  -458.861,  8.006,  0.177,  0.250,  1.091,  0.347
2.560,  3.931,  -458.930,  8.156,  0.052,  0.063,  1.018,  0.321
2.480,  4.044,  -459.078,  8.222,  0.018,  0.021,  0.946,  0.300
2.357,  3.365,  -459.294,  8.254,  0.010,  0.010,  0.860,  0.276
2.395,  3.248,  -459.219,  8.267,  0.008,  0.007,  0.783,  0.257
2.340,  3.376,  -459.485,  8.278,  0.006,  0.006,  0.735,  0.243
2.341,  3.099,  -459.355,  8.283,  0.007,  0.006,  0.691,  0.231
2.348,  3.059,  -459.402,  8.288,  0.007,  0.006,  0.642,  0.218
2.333,  2.985,  -459.583,  8.293,  0.006,  0.006,  0.598,  0.206
2.342,  2.782,  -459.588,  8.291,  0.007,  0.006,  0.576,  0.200
2.347,  2.542,  -459.363,  8.299,  0.007,  0.006,  0.552,  0.185
2.345,  2.995,  -459.795,  8.298,  0.007,  0.006,  0.528,  0.184
2.311,  2.483,  -459.733,  8.305,  0.007,  0.006,  0.503,  0.176
2.359,  2.314,  -459.553,  8.297,  0.007,  0.006,  0.489,  0.172
2.445,  2.249,  -459.584,  8.301,  0.007,  0.006,  0.469,  0.165
2.337,  2.415,  -459.659,  8.304,  0.007,  0.006,  0.452,  0.162
2.342,  2.502,  -459.733,  8.307,  0.007,  0.006,  0.445,  0.159
2.368,  2.228,  -459.815,  8.307,  0.007,  0.006,  0.425,  0.153
2.335,  2.155,  -459.810,  8.304,  0.007,  0.006,  0.417,  0.152
2.328,  2.037,  -459.583,  8.305,  0.007,  0.006,  0.407,  0.146
2.325,  1.961,  -459.733,  8.308,  0.007,  0.006,  0.396,  0.145
2.391,  2.211,  -459.882,  8.308,  0.007,  0.006,  0.401,  0.144
2.339,  2.092,  -459.917,  8.316,  0.007,  0.006,  0.377,  0.140
2.336,  2.065,  -459.906,  8.312,  0.006,  0.006,  0.384,  0.138
2.351,  1.897,  -459.959,  8.314,  0.007,  0.006,  0.372,  0.138
2.313,  1.781,  -459.722,  8.314,  0.007,  0.006,  0.361,  0.131
2.326,  1.973,  -459.957,  8.320,  0.007,  0.006,  0.354,  0.133
2.357,  1.725,  -459.732,  8.315,  0.007,  0.006,  0.355,  0.129
2.351,  1.675,  -459.864,  8.310,  0.007,  0.006,  0.351,  0.128
2.332,  1.894,  -459.892,  8.313,  0.007,  0.006,  0.342,  0.126
2.345,  1.737,  -460.227,  8.318,  0.008,  0.006,  0.346,  0.126
2.374,  1.677,  -460.051,  8.312,  0.007,  0.006,  0.345,  0.124
2.330,  1.698,  -459.944,  8.322,  0.008,  0.007,  0.333,  0.124
2.355,  1.627,  -460.281,  8.316,  0.007,  0.006,  0.317,  0.118
2.345,  1.715,  -460.139,  8.322,  0.007,  0.006,  0.322,  0.117
2.355,  1.690,  -460.175,  8.316,  0.008,  0.006,  0.316,  0.117
2.373,  1.798,  -460.332,  8.319,  0.007,  0.006,  0.317,  0.115
2.326,  1.723,  -460.121,  8.320,  0.007,  0.006,  0.304,  0.112
2.383,  1.647,  -460.060,  8.320,  0.007,  0.006,  0.294,  0.110
2.351,  1.701,  -459.786,  8.318,  0.007,  0.006,  0.300,  0.108
2.396,  1.827,  -460.081,  8.316,  0.007,  0.006,  0.302,  0.107
2.320,  1.721,  -460.130,  8.324,  0.007,  0.006,  0.298,  0.106
2.374,  1.721,  -459.837,  8.326,  0.008,  0.006,  0.286,  0.106
2.357,  1.615,  -459.874,  8.321,  0.007,  0.006,  0.284,  0.103
2.355,  1.646,  -459.956,  8.322,  0.007,  0.006,  0.277,  0.103
2.330,  1.712,  -460.040,  8.326,  0.007,  0.006,  0.277,  0.101
2.328,  1.675,  -459.855,  8.321,  0.007,  0.006,  0.268,  0.098
2.358,  1.489,  -460.054,  8.326,  0.008,  0.006,  0.268,  0.100
2.370,  1.527,  -459.999,  8.323,  0.007,  0.006,  0.263,  0.098
2.333,  1.595,  -460.012,  8.328,  0.007,  0.006,  0.261,  0.099
2.380,  1.582,  -460.087,  8.325,  0.007,  0.006,  0.263,  0.098
2.345,  1.517,  -459.821,  8.321,  0.007,  0.006,  0.247,  0.092
2.353,  1.415,  -459.870,  8.328,  0.007,  0.006,  0.252,  0.095
2.351,  1.546,  -459.943,  8.318,  0.007,  0.006,  0.247,  0.095
2.317,  1.435,  -460.361,  8.328,  0.007,  0.006,  0.245,  0.093
2.327,  1.296,  -459.934,  8.328,  0.007,  0.006,  0.241,  0.091
2.323,  1.411,  -460.075,  8.328,  0.007,  0.006,  0.243,  0.092
2.413,  1.309,  -459.867,  8.325,  0.007,  0.006,  0.243,  0.091
2.352,  1.443,  -460.121,  8.329,  0.007,  0.006,  0.228,  0.089
2.353,  1.361,  -460.026,  8.333,  0.008,  0.006,  0.235,  0.091
2.325,  1.302,  -460.076,  8.337,  0.007,  0.006,  0.228,  0.088
2.326,  1.335,  -459.983,  8.333,  0.007,  0.006,  0.220,  0.085
2.371,  1.342,  -460.129,  8.332,  0.007,  0.006,  0.220,  0.086
