DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.355,  1.843,  -463.526,  8.350,  0.008,  0.006,  0.205,  0.092
2.346,  1.504,  -463.789,  8.347,  0.008,  0.006,  0.205,  0.091
2.381,  1.520,  -463.636,  8.348,  0.008,  0.006,  0.207,  0.091
2.381,  1.846,  -463.805,  8.348,  0.008,  0.006,  0.203,  0.090
2.406,  1.702,  -463.959,  8.349,  0.009,  0.006,  0.200,  0.089
2.395,  1.546,  -463.413,  8.351,  0.009,  0.006,  0.202,  0.089
2.414,  1.873,  -463.555,  8.345,  0.008,  0.006,  0.198,  0.087
2.364,  1.554,  -463.533,  8.344,  0.008,  0.006,  0.195,  0.088
2.376,  1.645,  -463.462,  8.344,  0.008,  0.006,  0.203,  0.088
2.434,  1.524,  -463.383,  8.338,  0.008,  0.006,  0.197,  0.088
2.367,  1.579,  -463.276,  8.347,  0.008,  0.006,  0.194,  0.084
2.456,  1.742,  -463.707,  8.344,  0.008,  0.006,  0.194,  0.087
2.379,  1.606,  -463.915,  8.348,  0.008,  0.006,  0.196,  0.087
2.459,  1.701,  -463.663,  8.352,  0.009,  0.006,  0.187,  0.086
2.371,  1.467,  -463.400,  8.345,  0.009,  0.006,  0.190,  0.085
2.449,  1.761,  -462.959,  8.348,  0.007,  0.005,  0.180,  0.084
2.401,  1.508,  -463.578,  8.346,  0.008,  0.006,  0.185,  0.085
2.691,  2.079,  -463.394,  8.343,  0.009,  0.006,  0.189,  0.084
2.362,  1.610,  -463.378,  8.346,  0.008,  0.006,  0.184,  0.083
2.327,  1.528,  -463.529,  8.354,  0.008,  0.006,  0.186,  0.085
2.377,  1.369,  -463.614,  8.347,  0.008,  0.006,  0.183,  0.082
2.483,  1.548,  -463.506,  8.349,  0.009,  0.006,  0.183,  0.082
2.462,  1.687,  -463.689,  8.349,  0.009,  0.006,  0.180,  0.083
2.418,  1.544,  -463.835,  8.347,  0.008,  0.006,  0.183,  0.082
2.476,  1.609,  -463.527,  8.346,  0.008,  0.006,  0.181,  0.081
2.345,  1.586,  -463.493,  8.353,  0.008,  0.006,  0.183,  0.082
2.416,  1.473,  -463.773,  8.349,  0.008,  0.005,  0.176,  0.079
2.389,  1.393,  -463.510,  8.355,  0.007,  0.005,  0.171,  0.078
2.363,  1.480,  -463.504,  8.351,  0.008,  0.006,  0.172,  0.079
2.368,  1.473,  -463.585,  8.350,  0.008,  0.006,  0.171,  0.078
2.366,  1.552,  -463.752,  8.354,  0.008,  0.006,  0.171,  0.078
2.432,  1.272,  -463.676,  8.345,  0.009,  0.006,  0.174,  0.077
2.384,  1.486,  -463.998,  8.357,  0.007,  0.005,  0.170,  0.077
2.362,  1.272,  -463.400,  8.353,  0.009,  0.006,  0.169,  0.075
2.382,  2.000,  -463.770,  8.349,  0.009,  0.006,  0.166,  0.077
2.364,  1.367,  -463.725,  8.352,  0.007,  0.005,  0.166,  0.076
2.352,  1.403,  -463.593,  8.351,  0.008,  0.006,  0.167,  0.075
2.433,  1.217,  -463.870,  8.350,  0.008,  0.005,  0.163,  0.075
2.447,  1.442,  -464.001,  8.352,  0.008,  0.005,  0.159,  0.075
2.518,  1.634,  -463.518,  8.347,  0.008,  0.006,  0.163,  0.074
2.396,  1.234,  -463.586,  8.346,  0.007,  0.005,  0.161,  0.074
2.396,  1.767,  -463.437,  8.354,  0.008,  0.006,  0.161,  0.074
2.404,  1.319,  -463.487,  8.349,  0.008,  0.005,  0.159,  0.073
2.354,  1.280,  -463.287,  8.351,  0.007,  0.005,  0.157,  0.071
2.376,  1.410,  -463.356,  8.353,  0.008,  0.006,  0.158,  0.072
2.390,  1.311,  -463.791,  8.354,  0.008,  0.005,  0.156,  0.071
2.444,  1.554,  -463.640,  8.355,  0.008,  0.006,  0.160,  0.072
2.351,  1.380,  -463.304,  8.358,  0.007,  0.005,  0.161,  0.071
2.373,  1.699,  -463.446,  8.354,  0.007,  0.005,  0.157,  0.070
2.380,  1.444,  -463.560,  8.348,  0.007,  0.006,  0.156,  0.072
2.391,  1.328,  -463.354,  8.353,  0.008,  0.006,  0.154,  0.070
2.455,  1.251,  -463.577,  8.354,  0.009,  0.006,  0.152,  0.070
2.361,  1.177,  -463.454,  8.352,  0.007,  0.005,  0.149,  0.070
