DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
168.241,  44.427,  -958.226,  4.895,  342.121,  208.664,  31.463,  11.845
64.209,  16.087,  -750.503,  5.319,  125.003,  243.733,  7.212,  3.212
58.547,  14.023,  -730.885,  5.394,  115.411,  236.418,  5.990,  2.790
61.304,  14.597,  -717.672,  5.400,  115.578,  222.869,  6.199,  2.844
65.528,  15.467,  -706.681,  5.387,  119.120,  216.421,  7.074,  3.133
70.528,  17.308,  -695.150,  5.373,  122.918,  219.141,  7.797,  3.325
72.166,  17.103,  -681.523,  5.392,  121.368,  223.863,  7.904,  3.244
72.872,  16.778,  -670.301,  5.413,  116.857,  226.483,  7.655,  3.037
73.077,  16.921,  -662.251,  5.429,  112.758,  220.233,  7.285,  2.726
71.660,  15.807,  -656.081,  5.452,  108.780,  220.639,  6.601,  2.463
70.079,  14.023,  -651.238,  5.478,  105.143,  217.383,  5.950,  2.207
68.205,  13.298,  -647.017,  5.499,  102.465,  211.228,  5.437,  2.028
64.912,  12.345,  -644.587,  5.517,  97.934,  209.033,  4.698,  1.779
63.713,  11.254,  -644.486,  5.536,  96.161,  200.503,  4.377,  1.684
61.928,  9.878,  -643.653,  5.562,  96.084,  191.878,  3.880,  1.627
65.019,  10.139,  -645.060,  5.612,  108.386,  178.283,  3.641,  1.469
35.454,  5.345,  -584.620,  5.744,  60.643,  155.551,  1.537,  0.851
23.232,  3.449,  -548.963,  5.826,  43.725,  139.078,  0.929,  0.547
17.297,  4.137,  -529.741,  5.973,  33.623,  149.830,  1.079,  0.633
13.728,  5.774,  -516.444,  6.249,  26.028,  144.209,  1.374,  0.758
10.398,  5.994,  -508.365,  6.733,  21.609,  123.248,  1.363,  0.649
9.612,  5.229,  -503.655,  7.003,  19.967,  96.917,  1.219,  0.539
9.314,  4.445,  -497.317,  7.150,  17.906,  68.437,  0.992,  0.441
9.108,  4.025,  -487.930,  7.239,  14.802,  40.535,  0.834,  0.369
7.854,  3.122,  -472.752,  7.300,  8.452,  14.843,  0.669,  0.294
3.948,  2.885,  -460.347,  7.740,  1.216,  1.539,  0.549,  0.243
2.492,  2.923,  -459.395,  8.221,  0.043,  0.052,  0.514,  0.228
2.390,  2.594,  -459.532,  8.258,  0.014,  0.016,  0.510,  0.225
2.365,  2.859,  -459.393,  8.275,  0.008,  0.008,  0.490,  0.216
2.341,  2.609,  -459.792,  8.284,  0.007,  0.007,  0.459,  0.206
2.316,  2.526,  -459.723,  8.291,  0.007,  0.006,  0.448,  0.204
2.319,  2.696,  -459.660,  8.292,  0.007,  0.011,  0.443,  0.196
2.382,  2.365,  -459.476,  8.294,  0.007,  0.006,  0.426,  0.192
2.384,  2.567,  -459.687,  8.296,  0.006,  0.006,  0.415,  0.185
2.358,  2.421,  -459.450,  8.300,  0.007,  0.006,  0.409,  0.179
2.372,  2.763,  -459.549,  8.298,  0.008,  0.007,  0.398,  0.174
2.344,  2.276,  -459.860,  8.302,  0.007,  0.006,  0.394,  0.170
2.344,  2.272,  -459.562,  8.301,  0.007,  0.006,  0.401,  0.169
2.351,  2.434,  -459.826,  8.299,  0.007,  0.006,  0.396,  0.163
2.324,  2.174,  -459.477,  8.298,  0.007,  0.006,  0.390,  0.156
2.351,  2.460,  -459.818,  8.308,  0.006,  0.006,  0.389,  0.156
2.368,  2.464,  -459.823,  8.303,  0.007,  0.006,  0.390,  0.152
2.329,  2.355,  -459.591,  8.306,  0.007,  0.006,  0.387,  0.150
2.352,  2.262,  -459.544,  8.302,  0.007,  0.006,  0.385,  0.146
2.441,  2.437,  -459.761,  8.311,  0.007,  0.006,  0.384,  0.145
2.329,  2.221,  -459.577,  8.314,  0.006,  0.006,  0.375,  0.141
2.338,  2.097,  -459.708,  8.309,  0.007,  0.006,  0.379,  0.141
2.317,  1.913,  -460.023,  8.315,  0.007,  0.006,  0.372,  0.139
2.353,  1.976,  -459.871,  8.314,  0.006,  0.006,  0.377,  0.137
2.444,  2.234,  -459.712,  8.306,  0.007,  0.006,  0.356,  0.132
2.345,  2.004,  -459.910,  8.316,  0.007,  0.006,  0.361,  0.133
2.359,  1.940,  -459.784,  8.315,  0.008,  0.006,  0.350,  0.127
2.313,  2.226,  -459.938,  8.319,  0.007,  0.006,  0.362,  0.130
2.344,  1.888,  -459.704,  8.315,  0.007,  0.006,  0.342,  0.127
2.333,  1.858,  -459.965,  8.313,  0.007,  0.006,  0.332,  0.125
2.333,  2.005,  -460.094,  8.320,  0.007,  0.006,  0.345,  0.122
2.337,  1.857,  -459.877,  8.306,  0.006,  0.006,  0.344,  0.122
2.315,  1.768,  -459.752,  8.317,  0.007,  0.006,  0.338,  0.120
2.315,  1.690,  -459.809,  8.326,  0.007,  0.006,  0.331,  0.121
2.363,  1.686,  -459.894,  8.309,  0.008,  0.006,  0.332,  0.120
2.396,  1.922,  -460.125,  8.319,  0.007,  0.006,  0.316,  0.116
2.354,  1.574,  -460.028,  8.321,  0.006,  0.006,  0.317,  0.116
2.366,  1.819,  -459.537,  8.317,  0.008,  0.007,  0.311,  0.113
2.361,  1.737,  -459.717,  8.315,  0.007,  0.006,  0.311,  0.114
2.315,  1.596,  -460.065,  8.324,  0.007,  0.006,  0.304,  0.112
2.306,  1.684,  -459.966,  8.323,  0.007,  0.006,  0.299,  0.111
2.345,  2.670,  -460.119,  8.322,  0.007,  0.006,  0.307,  0.111
2.352,  1.745,  -460.028,  8.317,  0.007,  0.006,  0.295,  0.106
2.365,  1.735,  -459.903,  8.313,  0.007,  0.006,  0.296,  0.106
2.309,  1.653,  -459.788,  8.326,  0.006,  0.006,  0.284,  0.106
2.343,  1.647,  -459.865,  8.321,  0.007,  0.006,  0.281,  0.103
2.312,  1.503,  -459.812,  8.324,  0.007,  0.006,  0.277,  0.102
2.329,  1.781,  -459.754,  8.325,  0.007,  0.006,  0.277,  0.101
2.342,  1.656,  -460.041,  8.319,  0.007,  0.006,  0.267,  0.101
2.378,  1.817,  -459.996,  8.321,  0.007,  0.006,  0.279,  0.103
2.346,  1.646,  -459.932,  8.326,  0.007,  0.006,  0.270,  0.099
2.347,  1.765,  -459.837,  8.324,  0.007,  0.006,  0.270,  0.099
2.439,  1.582,  -459.718,  8.318,  0.008,  0.006,  0.268,  0.096
2.364,  1.882,  -460.199,  8.327,  0.007,  0.006,  0.263,  0.097
2.337,  1.849,  -459.972,  8.323,  0.007,  0.006,  0.256,  0.094
2.339,  1.770,  -459.856,  8.326,  0.007,  0.006,  0.262,  0.092
2.328,  1.649,  -459.975,  8.331,  0.007,  0.006,  0.259,  0.093
2.323,  1.679,  -460.055,  8.324,  0.007,  0.006,  0.253,  0.096
2.378,  1.805,  -459.984,  8.322,  0.007,  0.006,  0.243,  0.090
2.368,  1.849,  -459.831,  8.329,  0.007,  0.006,  0.245,  0.090
2.366,  2.953,  -460.032,  8.321,  0.007,  0.006,  0.249,  0.090
2.335,  1.615,  -460.316,  8.332,  0.007,  0.006,  0.246,  0.090
2.350,  2.219,  -459.751,  8.332,  0.007,  0.006,  0.245,  0.087
2.368,  1.991,  -460.053,  8.328,  0.007,  0.006,  0.245,  0.088
2.307,  2.221,  -460.040,  8.338,  0.007,  0.006,  0.246,  0.087
2.333,  2.007,  -459.943,  8.333,  0.007,  0.006,  0.240,  0.087
2.333,  2.016,  -459.747,  8.329,  0.007,  0.006,  0.239,  0.086
2.346,  1.573,  -459.892,  8.334,  0.007,  0.006,  0.239,  0.085
2.334,  1.645,  -460.053,  8.333,  0.007,  0.006,  0.230,  0.083
2.352,  2.623,  -460.022,  8.336,  0.007,  0.006,  0.236,  0.084
2.408,  1.985,  -460.284,  8.331,  0.007,  0.006,  0.230,  0.082
2.307,  1.725,  -459.744,  8.333,  0.007,  0.006,  0.226,  0.083
2.349,  1.822,  -459.756,  8.336,  0.007,  0.006,  0.216,  0.081
2.346,  1.744,  -459.658,  8.331,  0.008,  0.006,  0.214,  0.078
2.348,  3.332,  -460.111,  8.331,  0.008,  0.006,  0.221,  0.083
2.382,  1.892,  -459.832,  8.326,  0.007,  0.006,  0.212,  0.078
2.338,  1.651,  -460.153,  8.336,  0.007,  0.006,  0.217,  0.079
2.372,  1.810,  -460.133,  8.330,  0.007,  0.006,  0.220,  0.078
2.343,  3.022,  -460.455,  8.334,  0.007,  0.006,  0.214,  0.079
2.376,  1.474,  -460.062,  8.335,  0.007,  0.006,  0.216,  0.078
2.342,  1.738,  -459.813,  8.334,  0.007,  0.006,  0.212,  0.078
2.337,  1.971,  -459.788,  8.335,  0.007,  0.006,  0.201,  0.075
2.430,  1.720,  -460.240,  8.330,  0.007,  0.006,  0.208,  0.075
2.294,  1.867,  -460.010,  8.342,  0.007,  0.006,  0.209,  0.077
2.369,  2.812,  -460.110,  8.338,  0.007,  0.006,  0.211,  0.075
2.354,  1.405,  -459.636,  8.333,  0.007,  0.006,  0.204,  0.075
2.346,  2.511,  -460.231,  8.332,  0.007,  0.006,  0.208,  0.075
2.373,  1.826,  -459.807,  8.334,  0.007,  0.006,  0.203,  0.076
2.317,  1.810,  -460.162,  8.337,  0.007,  0.006,  0.199,  0.075
2.340,  2.138,  -459.688,  8.338,  0.007,  0.006,  0.198,  0.073
2.355,  1.811,  -460.025,  8.338,  0.007,  0.006,  0.190,  0.069
2.357,  1.539,  -460.116,  8.343,  0.008,  0.006,  0.193,  0.073
2.347,  1.802,  -459.810,  8.330,  0.007,  0.006,  0.195,  0.072
2.348,  2.793,  -459.793,  8.337,  0.007,  0.006,  0.198,  0.073
2.349,  1.859,  -460.025,  8.341,  0.007,  0.006,  0.194,  0.073
2.331,  1.914,  -460.094,  8.338,  0.007,  0.006,  0.195,  0.070
2.336,  1.624,  -459.799,  8.336,  0.007,  0.006,  0.193,  0.071
2.327,  1.615,  -460.102,  8.339,  0.008,  0.006,  0.196,  0.071
2.384,  1.751,  -459.987,  8.332,  0.008,  0.007,  0.194,  0.072
2.343,  1.814,  -459.964,  8.338,  0.007,  0.006,  0.191,  0.070
2.382,  1.769,  -459.828,  8.339,  0.008,  0.007,  0.192,  0.069
2.345,  1.605,  -460.049,  8.342,  0.008,  0.006,  0.189,  0.069
2.351,  1.957,  -460.135,  8.336,  0.007,  0.006,  0.194,  0.072
2.337,  1.551,  -459.814,  8.335,  0.007,  0.006,  0.187,  0.068
2.350,  1.966,  -460.062,  8.341,  0.007,  0.006,  0.185,  0.068
2.374,  1.463,  -459.786,  8.325,  0.007,  0.006,  0.184,  0.069
2.337,  2.263,  -460.018,  8.338,  0.007,  0.006,  0.181,  0.067
2.370,  1.549,  -459.783,  8.340,  0.007,  0.006,  0.180,  0.067
2.344,  1.548,  -460.298,  8.340,  0.007,  0.006,  0.177,  0.067
2.371,  1.882,  -460.008,  8.329,  0.007,  0.006,  0.182,  0.067
2.346,  2.039,  -460.018,  8.336,  0.007,  0.006,  0.179,  0.068
