DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
179.645,  35.853,  -1009.319,  4.998,  374.048,  209.968,  19.381,  15.653
65.594,  14.145,  -765.767,  5.323,  136.377,  245.705,  5.913,  2.949
60.599,  12.783,  -740.802,  5.384,  123.533,  263.938,  5.530,  2.826
68.629,  14.616,  -732.824,  5.377,  134.069,  272.153,  6.525,  3.219
76.898,  16.216,  -728.072,  5.355,  142.925,  271.558,  7.623,  3.629
83.732,  17.853,  -725.321,  5.360,  150.657,  270.346,  8.468,  3.689
89.174,  18.372,  -722.165,  5.376,  154.394,  266.203,  8.937,  3.550
90.432,  18.070,  -716.810,  5.404,  153.357,  261.561,  8.634,  3.238
88.473,  17.405,  -708.651,  5.445,  150.097,  252.162,  7.943,  2.923
86.644,  16.111,  -701.429,  5.479,  144.719,  239.756,  7.296,  2.667
82.828,  14.768,  -691.355,  5.504,  137.130,  231.751,  6.432,  2.407
80.265,  13.757,  -683.634,  5.528,  131.420,  222.014,  5.933,  2.197
74.965,  12.400,  -674.112,  5.550,  123.354,  219.161,  5.317,  1.993
72.050,  10.611,  -667.648,  5.569,  117.730,  213.529,  4.754,  1.814
70.774,  10.121,  -661.285,  5.582,  114.328,  205.705,  4.442,  1.669
68.797,  9.444,  -657.054,  5.595,  109.923,  203.367,  4.147,  1.539
66.327,  8.641,  -654.578,  5.611,  108.169,  206.872,  4.048,  1.421
63.079,  8.287,  -650.242,  5.619,  102.588,  204.385,  3.359,  1.300
60.302,  7.541,  -646.415,  5.629,  99.548,  197.006,  3.209,  1.204
54.469,  6.911,  -639.337,  5.675,  94.021,  190.456,  2.974,  1.079
46.440,  5.681,  -609.915,  5.759,  76.462,  163.943,  2.180,  1.161
23.588,  3.105,  -555.295,  5.858,  43.683,  151.615,  1.048,  0.652
16.576,  3.950,  -531.424,  6.106,  31.210,  161.958,  1.027,  0.631
13.961,  4.560,  -520.052,  6.408,  25.084,  145.449,  1.156,  0.657
10.725,  4.262,  -511.757,  6.801,  21.705,  125.707,  1.156,  0.543
9.908,  3.894,  -507.574,  7.018,  20.170,  100.838,  1.018,  0.435
9.574,  3.425,  -502.154,  7.166,  18.651,  76.012,  0.939,  0.392
9.433,  3.302,  -493.820,  7.279,  16.892,  54.150,  0.822,  0.343
8.820,  2.789,  -480.813,  7.361,  12.647,  27.631,  0.684,  0.285
6.453,  2.589,  -465.740,  7.461,  4.949,  7.071,  0.575,  0.231
2.882,  2.314,  -458.942,  8.060,  0.243,  0.284,  0.468,  0.187
2.435,  2.284,  -458.849,  8.253,  0.019,  0.020,  0.446,  0.175
2.389,  2.074,  -459.123,  8.277,  0.009,  0.009,  0.417,  0.163
2.377,  2.539,  -458.943,  8.295,  0.007,  0.006,  0.380,  0.151
2.359,  2.108,  -459.095,  8.296,  0.006,  0.005,  0.369,  0.145
2.404,  2.043,  -459.308,  8.302,  0.007,  0.005,  0.350,  0.137
2.369,  1.756,  -459.016,  8.309,  0.006,  0.005,  0.326,  0.129
2.376,  1.844,  -459.092,  8.306,  0.006,  0.005,  0.306,  0.123
2.348,  1.658,  -459.193,  8.307,  0.006,  0.005,  0.297,  0.125
2.413,  1.662,  -459.207,  8.308,  0.006,  0.005,  0.296,  0.122
2.328,  1.793,  -459.031,  8.315,  0.006,  0.005,  0.284,  0.121
2.371,  1.674,  -459.285,  8.312,  0.006,  0.005,  0.269,  0.115
2.382,  1.662,  -459.075,  8.311,  0.007,  0.005,  0.267,  0.113
2.338,  1.486,  -459.127,  8.315,  0.006,  0.005,  0.261,  0.111
2.370,  1.600,  -459.224,  8.312,  0.006,  0.005,  0.262,  0.111
2.435,  1.598,  -459.385,  8.311,  0.006,  0.005,  0.262,  0.109
2.350,  1.550,  -459.256,  8.312,  0.007,  0.006,  0.249,  0.105
2.361,  1.478,  -459.128,  8.316,  0.006,  0.005,  0.240,  0.106
2.368,  1.536,  -459.209,  8.311,  0.006,  0.005,  0.244,  0.105
2.368,  1.446,  -459.215,  8.312,  0.006,  0.005,  0.240,  0.103
2.360,  1.616,  -459.228,  8.317,  0.006,  0.005,  0.243,  0.100
2.373,  1.580,  -459.434,  8.314,  0.007,  0.005,  0.235,  0.100
2.380,  1.388,  -459.400,  8.316,  0.007,  0.006,  0.227,  0.098
2.434,  1.559,  -459.263,  8.323,  0.007,  0.006,  0.229,  0.099
2.356,  1.495,  -459.541,  8.322,  0.006,  0.005,  0.229,  0.099
2.380,  1.596,  -459.355,  8.314,  0.006,  0.005,  0.225,  0.099
