symKL_DB_eta: 2.355,  symKL_DB_z: 1.976,  loss: -459.809,  ess: 8.306,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.331,  kl_z_in: 0.130
symKL_DB_eta: 2.356,  symKL_DB_z: 1.878,  loss: -459.826,  ess: 8.313,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.320,  kl_z_in: 0.126
symKL_DB_eta: 2.315,  symKL_DB_z: 1.873,  loss: -460.042,  ess: 8.318,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.308,  kl_z_in: 0.121
symKL_DB_eta: 2.328,  symKL_DB_z: 1.812,  loss: -459.905,  ess: 8.317,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.305,  kl_z_in: 0.120
symKL_DB_eta: 2.321,  symKL_DB_z: 1.966,  loss: -459.996,  ess: 8.316,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.292,  kl_z_in: 0.116
symKL_DB_eta: 2.363,  symKL_DB_z: 1.573,  loss: -460.194,  ess: 8.317,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.281,  kl_z_in: 0.113
symKL_DB_eta: 2.369,  symKL_DB_z: 1.593,  loss: -459.957,  ess: 8.319,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.276,  kl_z_in: 0.110
symKL_DB_eta: 2.379,  symKL_DB_z: 1.580,  loss: -460.001,  ess: 8.319,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.268,  kl_z_in: 0.107
symKL_DB_eta: 2.347,  symKL_DB_z: 1.662,  loss: -460.300,  ess: 8.325,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.264,  kl_z_in: 0.107
symKL_DB_eta: 2.373,  symKL_DB_z: 1.772,  loss: -460.056,  ess: 8.319,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.255,  kl_z_in: 0.103
symKL_DB_eta: 2.351,  symKL_DB_z: 1.636,  loss: -460.097,  ess: 8.327,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.249,  kl_z_in: 0.105
symKL_DB_eta: 2.336,  symKL_DB_z: 1.826,  loss: -460.239,  ess: 8.324,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.242,  kl_z_in: 0.100
symKL_DB_eta: 2.352,  symKL_DB_z: 1.545,  loss: -460.125,  ess: 8.324,  kl_eta_ex: 0.008,  kl_eta_in: 0.007,  kl_z_ex: 0.238,  kl_z_in: 0.098
symKL_DB_eta: 2.340,  symKL_DB_z: 1.671,  loss: -460.133,  ess: 8.327,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.235,  kl_z_in: 0.097
symKL_DB_eta: 2.343,  symKL_DB_z: 1.515,  loss: -459.890,  ess: 8.323,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.238,  kl_z_in: 0.096
symKL_DB_eta: 2.330,  symKL_DB_z: 1.747,  loss: -460.241,  ess: 8.326,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.238,  kl_z_in: 0.095
symKL_DB_eta: 2.331,  symKL_DB_z: 1.786,  loss: -460.024,  ess: 8.324,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.235,  kl_z_in: 0.094
symKL_DB_eta: 2.363,  symKL_DB_z: 1.537,  loss: -460.099,  ess: 8.329,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.226,  kl_z_in: 0.090
symKL_DB_eta: 2.315,  symKL_DB_z: 1.488,  loss: -459.987,  ess: 8.324,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.216,  kl_z_in: 0.089
symKL_DB_eta: 2.322,  symKL_DB_z: 1.671,  loss: -459.786,  ess: 8.327,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.215,  kl_z_in: 0.088
symKL_DB_eta: 2.345,  symKL_DB_z: 1.476,  loss: -459.833,  ess: 8.332,  kl_eta_ex: 0.006,  kl_eta_in: 0.006,  kl_z_ex: 0.206,  kl_z_in: 0.086
symKL_DB_eta: 2.362,  symKL_DB_z: 1.622,  loss: -459.890,  ess: 8.328,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.212,  kl_z_in: 0.087
symKL_DB_eta: 2.305,  symKL_DB_z: 1.636,  loss: -459.835,  ess: 8.338,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.210,  kl_z_in: 0.085
symKL_DB_eta: 2.359,  symKL_DB_z: 1.652,  loss: -459.991,  ess: 8.333,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.202,  kl_z_in: 0.084
symKL_DB_eta: 2.341,  symKL_DB_z: 1.636,  loss: -460.288,  ess: 8.332,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.202,  kl_z_in: 0.084
symKL_DB_eta: 2.323,  symKL_DB_z: 1.588,  loss: -460.262,  ess: 8.332,  kl_eta_ex: 0.006,  kl_eta_in: 0.006,  kl_z_ex: 0.198,  kl_z_in: 0.082
symKL_DB_eta: 2.337,  symKL_DB_z: 1.541,  loss: -459.867,  ess: 8.328,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.195,  kl_z_in: 0.081
symKL_DB_eta: 2.395,  symKL_DB_z: 1.430,  loss: -460.077,  ess: 8.333,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.191,  kl_z_in: 0.080
symKL_DB_eta: 2.375,  symKL_DB_z: 1.471,  loss: -460.212,  ess: 8.325,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.184,  kl_z_in: 0.079
symKL_DB_eta: 2.332,  symKL_DB_z: 1.420,  loss: -459.908,  ess: 8.330,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.184,  kl_z_in: 0.079
symKL_DB_eta: 2.348,  symKL_DB_z: 1.395,  loss: -460.039,  ess: 8.331,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.179,  kl_z_in: 0.077
