DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
301.293,  65.626,  -1315.532,  4.822,  654.950,  288.020,  48.964,  9.736
115.431,  29.058,  -889.209,  5.012,  236.554,  468.943,  14.741,  5.662
116.558,  23.795,  -834.503,  5.161,  217.883,  602.117,  12.821,  4.582
123.073,  20.099,  -822.707,  5.232,  216.782,  628.531,  10.660,  3.820
125.265,  18.376,  -815.090,  5.293,  215.271,  651.075,  9.192,  3.225
126.065,  16.091,  -806.670,  5.351,  212.852,  661.183,  8.069,  2.759
124.361,  14.760,  -795.081,  5.400,  209.027,  666.188,  7.238,  2.404
125.892,  13.396,  -787.500,  5.440,  207.258,  622.243,  6.672,  2.081
100.400,  10.151,  -753.148,  5.499,  167.340,  457.419,  4.747,  1.628
84.107,  8.056,  -719.676,  5.570,  131.515,  243.043,  3.974,  1.298
94.684,  8.224,  -675.282,  5.595,  136.443,  136.405,  4.566,  1.436
50.443,  6.141,  -591.009,  5.650,  71.061,  105.455,  2.411,  1.504
35.035,  5.285,  -554.172,  5.756,  49.651,  91.448,  1.759,  1.079
28.206,  4.648,  -534.351,  5.840,  40.279,  72.179,  1.524,  0.862
23.270,  4.095,  -515.904,  5.940,  31.033,  54.121,  1.230,  0.710
18.488,  3.297,  -499.987,  6.082,  22.752,  39.257,  0.889,  0.521
13.334,  2.459,  -483.062,  6.333,  13.997,  22.416,  0.664,  0.367
8.092,  2.178,  -467.813,  6.772,  5.516,  8.111,  0.504,  0.252
3.862,  1.927,  -461.803,  7.693,  0.901,  1.351,  0.399,  0.197
2.875,  1.745,  -461.047,  8.131,  0.228,  0.365,  0.350,  0.171
2.605,  1.687,  -461.115,  8.236,  0.131,  0.111,  0.323,  0.155
2.446,  1.554,  -461.172,  8.291,  0.044,  0.068,  0.301,  0.146
2.397,  1.610,  -461.175,  8.312,  0.043,  0.026,  0.295,  0.139
2.410,  1.511,  -461.329,  8.317,  0.036,  0.022,  0.281,  0.134
2.385,  1.577,  -461.291,  8.325,  0.027,  0.020,  0.278,  0.132
2.357,  1.611,  -461.389,  8.335,  0.023,  0.019,  0.270,  0.129
2.402,  1.424,  -461.318,  8.331,  0.022,  0.018,  0.259,  0.124
2.407,  1.437,  -461.416,  8.334,  0.020,  0.019,  0.256,  0.123
2.335,  1.413,  -461.444,  8.339,  0.020,  0.018,  0.249,  0.120
2.420,  1.330,  -461.133,  8.336,  0.025,  0.342,  0.241,  0.116
2.351,  1.525,  -461.386,  8.337,  0.019,  0.016,  0.239,  0.114
2.383,  1.363,  -461.253,  8.343,  0.026,  0.162,  0.229,  0.109
2.361,  1.325,  -461.431,  8.339,  0.024,  0.017,  0.229,  0.109
2.344,  1.295,  -461.580,  8.344,  0.018,  0.016,  0.222,  0.105
2.335,  1.358,  -461.366,  8.342,  0.018,  0.016,  0.220,  0.104
2.333,  1.357,  -461.295,  8.337,  0.019,  0.016,  0.218,  0.102
2.333,  1.337,  -461.408,  8.346,  0.018,  0.016,  0.215,  0.102
2.370,  1.232,  -461.427,  8.343,  0.019,  0.016,  0.208,  0.099
2.383,  1.198,  -461.356,  8.343,  0.019,  0.016,  0.210,  0.097
2.386,  1.225,  -461.578,  8.358,  0.019,  0.017,  0.210,  0.098
2.312,  1.397,  -461.345,  8.349,  0.019,  0.017,  0.201,  0.095
2.339,  1.326,  -461.550,  8.348,  0.019,  0.017,  0.197,  0.093
2.347,  1.223,  -461.172,  8.342,  0.018,  0.016,  0.196,  0.091
2.336,  1.171,  -461.526,  8.350,  0.019,  0.017,  0.194,  0.090
2.356,  1.201,  -461.506,  8.348,  0.018,  0.016,  0.192,  0.090
2.363,  1.199,  -461.179,  8.349,  0.018,  0.016,  0.187,  0.089
2.369,  1.162,  -461.623,  8.339,  0.019,  0.017,  0.189,  0.086
2.392,  1.196,  -461.533,  8.344,  0.018,  0.017,  0.184,  0.086
2.418,  1.148,  -461.446,  8.353,  0.018,  0.016,  0.183,  0.085
2.308,  1.070,  -461.501,  8.351,  0.018,  0.016,  0.185,  0.088
2.373,  1.147,  -461.453,  8.344,  0.018,  0.016,  0.176,  0.084
2.339,  1.079,  -461.446,  8.350,  0.017,  0.016,  0.173,  0.081
2.336,  1.049,  -461.528,  8.348,  0.018,  0.016,  0.170,  0.082
2.290,  1.212,  -461.479,  8.355,  0.018,  0.016,  0.170,  0.080
2.320,  1.096,  -461.485,  8.353,  0.018,  0.016,  0.171,  0.080
2.362,  1.038,  -461.574,  8.348,  0.019,  0.016,  0.172,  0.080
2.336,  1.137,  -461.508,  8.356,  0.019,  0.016,  0.171,  0.080
2.401,  1.064,  -461.476,  8.349,  0.019,  0.017,  0.164,  0.078
2.372,  1.073,  -461.550,  8.348,  0.018,  0.016,  0.162,  0.078
2.372,  1.077,  -461.419,  8.350,  0.017,  0.016,  0.164,  0.079
2.393,  1.363,  -461.404,  8.345,  0.018,  0.016,  0.159,  0.076
2.558,  1.058,  -461.619,  8.349,  0.018,  0.016,  0.163,  0.077
2.334,  1.088,  -461.320,  8.353,  0.018,  0.016,  0.156,  0.075
2.403,  1.139,  -461.408,  8.350,  0.018,  0.016,  0.157,  0.075
2.366,  1.095,  -461.516,  8.348,  0.018,  0.016,  0.159,  0.075
2.403,  1.038,  -461.478,  8.351,  0.018,  0.016,  0.155,  0.074
2.379,  1.041,  -461.454,  8.354,  0.019,  0.017,  0.157,  0.074
2.360,  0.983,  -461.383,  8.354,  0.018,  0.016,  0.155,  0.074
2.370,  0.965,  -461.351,  8.351,  0.019,  0.016,  0.155,  0.073
2.367,  0.996,  -461.273,  8.357,  0.019,  0.016,  0.150,  0.072
2.327,  0.939,  -461.329,  8.349,  0.018,  0.016,  0.147,  0.071
2.309,  0.930,  -461.412,  8.356,  0.017,  0.015,  0.149,  0.072
2.411,  1.093,  -461.639,  8.346,  0.018,  0.016,  0.150,  0.073
2.377,  0.968,  -461.525,  8.361,  0.019,  0.016,  0.151,  0.072
2.374,  0.895,  -461.358,  8.359,  0.018,  0.016,  0.147,  0.072
2.353,  0.933,  -461.545,  8.347,  0.018,  0.016,  0.148,  0.070
2.400,  0.904,  -461.401,  8.361,  0.018,  0.016,  0.149,  0.071
2.426,  0.994,  -461.704,  8.356,  0.018,  0.016,  0.146,  0.071
2.358,  0.949,  -461.533,  8.347,  0.018,  0.016,  0.146,  0.070
2.387,  0.929,  -461.591,  8.357,  0.018,  0.016,  0.143,  0.071
2.386,  0.906,  -461.535,  8.354,  0.018,  0.015,  0.143,  0.071
2.368,  0.926,  -461.518,  8.349,  0.018,  0.016,  0.148,  0.070
2.371,  0.845,  -461.555,  8.355,  0.018,  0.016,  0.140,  0.068
2.463,  0.937,  -461.480,  8.358,  0.018,  0.016,  0.144,  0.069
2.444,  0.902,  -461.446,  8.356,  0.018,  0.016,  0.144,  0.069
2.344,  0.927,  -461.428,  8.348,  0.018,  0.016,  0.140,  0.069
2.369,  1.022,  -461.668,  8.358,  0.018,  0.016,  0.141,  0.068
2.365,  0.942,  -461.632,  8.356,  0.019,  0.016,  0.141,  0.068
2.366,  0.858,  -461.494,  8.351,  0.018,  0.016,  0.139,  0.067
2.400,  0.955,  -461.507,  8.353,  0.018,  0.016,  0.140,  0.067
2.423,  0.906,  -461.650,  8.357,  0.019,  0.016,  0.139,  0.067
2.361,  0.940,  -461.527,  8.354,  0.019,  0.017,  0.136,  0.066
2.343,  0.860,  -461.635,  8.351,  0.019,  0.016,  0.136,  0.067
2.360,  0.877,  -461.592,  8.358,  0.018,  0.016,  0.134,  0.066
2.367,  0.894,  -461.326,  8.359,  0.019,  0.016,  0.130,  0.065
