snr: 1.330196, var: 1.517715, inckl_gen:293.025238, inckl_eta:54.574135, inckl_z:0.066645
snr: 1.326307, var: 1.409916, inckl_gen:366.181335, inckl_eta:49.771923, inckl_z:0.087650
snr: 1.307964, var: 1.435853, inckl_gen:347.270630, inckl_eta:42.777714, inckl_z:0.074461
snr: 1.328230, var: 1.530581, inckl_gen:510.239471, inckl_eta:105.682983, inckl_z:0.143224
snr: 1.362220, var: 1.556182, inckl_gen:502.715240, inckl_eta:80.874290, inckl_z:0.177711
snr: 1.339394, var: 1.494153, inckl_gen:248.347733, inckl_eta:41.049297, inckl_z:0.151769
snr: 1.305125, var: 1.364227, inckl_gen:323.630493, inckl_eta:46.656017, inckl_z:0.063120
snr: 1.305878, var: 1.337685, inckl_gen:380.558563, inckl_eta:61.032467, inckl_z:0.063020
snr: 1.327150, var: 1.383909, inckl_gen:292.554352, inckl_eta:31.377348, inckl_z:0.061655
snr: 1.288263, var: 1.363728, inckl_gen:277.424652, inckl_eta:57.302959, inckl_z:0.073724
snr: 1.325918, var: 1.462495, inckl_gen:250.658981, inckl_eta:54.675488, inckl_z:0.062567
snr: 1.320500, var: 1.671276, inckl_gen:316.240295, inckl_eta:53.019520, inckl_z:0.090409
snr: 1.324049, var: 1.475076, inckl_gen:276.961151, inckl_eta:51.117256, inckl_z:0.065845
snr: 1.411255, var: 1.629577, inckl_gen:295.078857, inckl_eta:55.720093, inckl_z:0.117466
snr: 1.373428, var: 1.560553, inckl_gen:154.379074, inckl_eta:61.917568, inckl_z:0.029911
snr: 1.319832, var: 1.413193, inckl_gen:203.849350, inckl_eta:37.873119, inckl_z:0.042391
snr: 1.315237, var: 1.420083, inckl_gen:253.763428, inckl_eta:29.256306, inckl_z:0.051030
snr: 1.342707, var: 1.467491, inckl_gen:260.382965, inckl_eta:48.466457, inckl_z:0.044058
snr: 1.303072, var: 1.486561, inckl_gen:271.053192, inckl_eta:45.855602, inckl_z:0.062465
snr: 1.343161, var: 1.575570, inckl_gen:195.128281, inckl_eta:30.265320, inckl_z:0.045971
snr: 1.334231, var: 1.363768, inckl_gen:239.667587, inckl_eta:46.657681, inckl_z:0.103547
snr: 1.313820, var: 1.364091, inckl_gen:289.122955, inckl_eta:46.296326, inckl_z:0.042666
snr: 1.268170, var: 1.354643, inckl_gen:205.731400, inckl_eta:32.469006, inckl_z:0.049635
snr: 1.284010, var: 1.342782, inckl_gen:204.058212, inckl_eta:23.165926, inckl_z:0.086765
snr: 1.294332, var: 1.283673, inckl_gen:140.287918, inckl_eta:29.386030, inckl_z:0.074526
snr: 1.279609, var: 1.209521, inckl_gen:241.265045, inckl_eta:39.383862, inckl_z:0.035653
snr: 1.336975, var: 1.344260, inckl_gen:266.905273, inckl_eta:67.365776, inckl_z:0.052491
snr: 1.303858, var: 1.270625, inckl_gen:248.523071, inckl_eta:24.257830, inckl_z:0.049912
snr: 1.325179, var: 1.417148, inckl_gen:198.874237, inckl_eta:40.731533, inckl_z:0.047169
snr: 1.302411, var: 1.289013, inckl_gen:278.221069, inckl_eta:45.823364, inckl_z:0.030374
snr: 1.333555, var: 1.243697, inckl_gen:200.432297, inckl_eta:32.333797, inckl_z:0.020059
snr: 1.285918, var: 1.141908, inckl_gen:165.683060, inckl_eta:35.810558, inckl_z:0.035578
snr: 1.278414, var: 1.210840, inckl_gen:351.748230, inckl_eta:32.835217, inckl_z:0.100603
snr: 1.313183, var: 1.286075, inckl_gen:148.582993, inckl_eta:38.935043, inckl_z:0.026035
snr: 1.351188, var: 1.200053, inckl_gen:123.218826, inckl_eta:19.915766, inckl_z:0.019534
snr: 1.347893, var: 1.240902, inckl_gen:274.705627, inckl_eta:26.068048, inckl_z:0.037223
snr: 1.360306, var: 1.273833, inckl_gen:156.301910, inckl_eta:14.796165, inckl_z:0.015308
snr: 1.403495, var: 1.264461, inckl_gen:288.767914, inckl_eta:39.764362, inckl_z:0.351147
snr: 1.343436, var: 1.084036, inckl_gen:199.504471, inckl_eta:24.846159, inckl_z:0.011160
snr: 1.388263, var: 1.123360, inckl_gen:322.620453, inckl_eta:17.408903, inckl_z:0.022515
snr: 1.341416, var: 1.055105, inckl_gen:134.239365, inckl_eta:27.234217, inckl_z:0.082900
snr: 1.411111, var: 1.211019, inckl_gen:571.378235, inckl_eta:31.647718, inckl_z:0.681666
snr: 1.410015, var: 1.251450, inckl_gen:144.090637, inckl_eta:21.199633, inckl_z:0.020588
snr: 1.387477, var: 1.151828, inckl_gen:238.877686, inckl_eta:18.852232, inckl_z:0.014234
snr: 1.379299, var: 1.073776, inckl_gen:194.169830, inckl_eta:27.075186, inckl_z:0.069085
snr: 1.436049, var: 1.100470, inckl_gen:321.087372, inckl_eta:21.729073, inckl_z:0.122935
snr: 1.399093, var: 1.027647, inckl_gen:332.684357, inckl_eta:20.394730, inckl_z:0.180779
snr: 1.366573, var: 0.960808, inckl_gen:480.032928, inckl_eta:18.522858, inckl_z:0.467377
snr: 1.402313, var: 1.002074, inckl_gen:340.087555, inckl_eta:19.726154, inckl_z:0.066864
snr: 1.368927, var: 0.939653, inckl_gen:267.341705, inckl_eta:19.713888, inckl_z:0.136847
snr: 1.359372, var: 0.952026, inckl_gen:150.439072, inckl_eta:17.305326, inckl_z:0.010898
snr: 1.264042, var: 0.830502, inckl_gen:334.274811, inckl_eta:32.253418, inckl_z:0.482131
snr: 1.307920, var: 0.891445, inckl_gen:473.879639, inckl_eta:24.998667, inckl_z:0.334610
snr: 1.329049, var: 0.957762, inckl_gen:239.603378, inckl_eta:25.197941, inckl_z:0.095247
snr: 1.284503, var: 0.836699, inckl_gen:424.781158, inckl_eta:29.779825, inckl_z:0.640187
snr: 1.334040, var: 0.867709, inckl_gen:362.868744, inckl_eta:32.517345, inckl_z:0.047245
snr: 1.351405, var: 0.912359, inckl_gen:278.461853, inckl_eta:23.305851, inckl_z:0.054397
snr: 1.284452, var: 0.823019, inckl_gen:259.751740, inckl_eta:15.313570, inckl_z:0.078966
snr: 1.304941, var: 0.886241, inckl_gen:441.198456, inckl_eta:25.192453, inckl_z:0.226193
snr: 1.297641, var: 0.846743, inckl_gen:306.895966, inckl_eta:12.433939, inckl_z:0.475898
snr: 1.307554, var: 0.856250, inckl_gen:424.532532, inckl_eta:13.509391, inckl_z:0.142598
snr: 1.314998, var: 0.883186, inckl_gen:377.981049, inckl_eta:29.455915, inckl_z:0.631535
snr: 1.294661, var: 0.863907, inckl_gen:387.247131, inckl_eta:10.339445, inckl_z:0.201114
snr: 1.319846, var: 0.892571, inckl_gen:286.535767, inckl_eta:10.251946, inckl_z:0.064853
snr: 1.332732, var: 0.892843, inckl_gen:128.226425, inckl_eta:11.437325, inckl_z:0.070343
snr: 1.363707, var: 0.893741, inckl_gen:499.184723, inckl_eta:15.823441, inckl_z:0.370466
snr: 1.282437, var: 0.823809, inckl_gen:205.945557, inckl_eta:9.130195, inckl_z:0.281040
snr: 1.342463, var: 0.867329, inckl_gen:434.877777, inckl_eta:12.000804, inckl_z:0.139730
snr: 1.346098, var: 0.875496, inckl_gen:221.553467, inckl_eta:10.976087, inckl_z:0.006824
snr: 1.306271, var: 0.811573, inckl_gen:444.785858, inckl_eta:12.445287, inckl_z:0.323312
snr: 1.285416, var: 0.794802, inckl_gen:83.744446, inckl_eta:9.655457, inckl_z:0.082927
snr: 1.291505, var: 0.775067, inckl_gen:62.909767, inckl_eta:11.773898, inckl_z:0.089552
snr: 1.325380, var: 0.867858, inckl_gen:185.955658, inckl_eta:10.051994, inckl_z:0.058756
snr: 1.313537, var: 0.830058, inckl_gen:215.134521, inckl_eta:6.607809, inckl_z:0.198126
snr: 1.296375, var: 0.815678, inckl_gen:386.668793, inckl_eta:9.401419, inckl_z:0.572621
snr: 1.342762, var: 0.862051, inckl_gen:348.992065, inckl_eta:6.632659, inckl_z:0.477821
snr: 1.326479, var: 0.813231, inckl_gen:104.116661, inckl_eta:5.979909, inckl_z:0.031292
snr: 1.329171, var: 0.812911, inckl_gen:143.549759, inckl_eta:7.087524, inckl_z:0.135660
snr: 1.310406, var: 0.794364, inckl_gen:159.336914, inckl_eta:9.623801, inckl_z:0.020843
snr: 1.305136, var: 0.783401, inckl_gen:241.286407, inckl_eta:11.839267, inckl_z:0.205338
snr: 1.319569, var: 0.839755, inckl_gen:198.165665, inckl_eta:5.136618, inckl_z:0.054202
snr: 1.314825, var: 0.819224, inckl_gen:191.747467, inckl_eta:8.554263, inckl_z:0.439390
snr: 1.239810, var: 0.753839, inckl_gen:117.182472, inckl_eta:5.616317, inckl_z:0.007228
snr: 1.252178, var: 0.734120, inckl_gen:304.949951, inckl_eta:12.339874, inckl_z:0.424638
snr: 1.295425, var: 0.759766, inckl_gen:389.466095, inckl_eta:5.513132, inckl_z:0.698703
snr: 1.311772, var: 0.774863, inckl_gen:235.537796, inckl_eta:3.301772, inckl_z:0.250667
snr: 1.302233, var: 0.771556, inckl_gen:102.854546, inckl_eta:5.775267, inckl_z:0.033453
snr: 1.298306, var: 0.771822, inckl_gen:181.855942, inckl_eta:3.101906, inckl_z:0.645750
snr: 1.316928, var: 0.804985, inckl_gen:150.355789, inckl_eta:3.708735, inckl_z:0.359194
snr: 1.331697, var: 0.799111, inckl_gen:134.365219, inckl_eta:3.585243, inckl_z:0.095968
snr: 1.281433, var: 0.730447, inckl_gen:143.899246, inckl_eta:3.585438, inckl_z:0.360562
snr: 1.252164, var: 0.710297, inckl_gen:325.197571, inckl_eta:11.712930, inckl_z:0.552192
snr: 1.256974, var: 0.721269, inckl_gen:68.375702, inckl_eta:8.894053, inckl_z:0.723774
snr: 1.258879, var: 0.705681, inckl_gen:143.114166, inckl_eta:3.471389, inckl_z:0.051036
snr: 1.265948, var: 0.696802, inckl_gen:239.666489, inckl_eta:2.327619, inckl_z:0.590343
snr: 1.221343, var: 0.648552, inckl_gen:267.163849, inckl_eta:2.572027, inckl_z:1.220773
snr: 1.160874, var: 0.590485, inckl_gen:100.825356, inckl_eta:1.616800, inckl_z:0.130399
snr: 1.125169, var: 0.574538, inckl_gen:69.388527, inckl_eta:2.552380, inckl_z:0.072614
snr: 1.150796, var: 0.591289, inckl_gen:189.110962, inckl_eta:0.591514, inckl_z:0.554571
snr: 1.110511, var: 0.548070, inckl_gen:70.155556, inckl_eta:0.687735, inckl_z:0.095099
snr: 1.092179, var: 0.524772, inckl_gen:212.145752, inckl_eta:1.141419, inckl_z:0.670124
snr: 1.048894, var: 0.468430, inckl_gen:234.332520, inckl_eta:2.736558, inckl_z:1.495890
snr: 1.014929, var: 0.432482, inckl_gen:17.985260, inckl_eta:0.337668, inckl_z:0.199186
snr: 0.973621, var: 0.395581, inckl_gen:67.004753, inckl_eta:0.351054, inckl_z:0.483981
snr: 0.953950, var: 0.399241, inckl_gen:4.996366, inckl_eta:0.188913, inckl_z:0.414649
snr: 0.929167, var: 0.359975, inckl_gen:8.049832, inckl_eta:0.157275, inckl_z:0.271968
snr: 0.950475, var: 0.381068, inckl_gen:14.678291, inckl_eta:0.206846, inckl_z:0.247529
snr: 0.924936, var: 0.377234, inckl_gen:44.578304, inckl_eta:0.423853, inckl_z:0.490828
snr: 0.904133, var: 0.337878, inckl_gen:30.960855, inckl_eta:0.476620, inckl_z:0.166029
snr: 0.894545, var: 0.321275, inckl_gen:55.146156, inckl_eta:0.346894, inckl_z:0.159757
snr: 0.894714, var: 0.313360, inckl_gen:6.467924, inckl_eta:0.688365, inckl_z:0.084656
snr: 0.891318, var: 0.302155, inckl_gen:39.954941, inckl_eta:0.150352, inckl_z:0.650886
snr: 0.872327, var: 0.283078, inckl_gen:1.102655, inckl_eta:0.078939, inckl_z:0.068169
snr: 0.874909, var: 0.290264, inckl_gen:15.837802, inckl_eta:0.139197, inckl_z:0.003477
snr: 0.856599, var: 0.282247, inckl_gen:16.395805, inckl_eta:0.068808, inckl_z:0.092100
snr: 0.859743, var: 0.282031, inckl_gen:14.449958, inckl_eta:0.147532, inckl_z:0.105543
snr: 0.855065, var: 0.266715, inckl_gen:1.953643, inckl_eta:0.041378, inckl_z:0.437950
snr: 0.846280, var: 0.255128, inckl_gen:10.027568, inckl_eta:0.149499, inckl_z:0.912998
snr: 0.846329, var: 0.261706, inckl_gen:1.826176, inckl_eta:0.057429, inckl_z:0.194087
snr: 0.846884, var: 0.256213, inckl_gen:10.897822, inckl_eta:0.062632, inckl_z:0.210188
snr: 0.835845, var: 0.261300, inckl_gen:6.396988, inckl_eta:0.022913, inckl_z:0.221678
snr: 0.831625, var: 0.248085, inckl_gen:21.101263, inckl_eta:0.027195, inckl_z:0.468334
snr: 0.844304, var: 0.268391, inckl_gen:6.379066, inckl_eta:0.050614, inckl_z:0.480052
snr: 0.835697, var: 0.265919, inckl_gen:2.546411, inckl_eta:0.057154, inckl_z:0.082136
snr: 0.809585, var: 0.224140, inckl_gen:11.166348, inckl_eta:0.033966, inckl_z:1.169353
snr: 0.816679, var: 0.231135, inckl_gen:0.696238, inckl_eta:0.011772, inckl_z:0.319443
snr: 0.804265, var: 0.222363, inckl_gen:1.661715, inckl_eta:0.006132, inckl_z:0.074723
snr: 0.805997, var: 0.225326, inckl_gen:5.429705, inckl_eta:0.034714, inckl_z:1.351495
snr: 0.802586, var: 0.221542, inckl_gen:66.336761, inckl_eta:0.025957, inckl_z:0.802148
snr: 0.814779, var: 0.224346, inckl_gen:0.055860, inckl_eta:0.031727, inckl_z:0.429445
snr: 0.828115, var: 0.252728, inckl_gen:0.824441, inckl_eta:0.008927, inckl_z:0.378343
snr: 0.803785, var: 0.217505, inckl_gen:1.552106, inckl_eta:0.011306, inckl_z:0.609085
snr: 0.804541, var: 0.220353, inckl_gen:1.472901, inckl_eta:0.009586, inckl_z:0.025805
snr: 0.805161, var: 0.220534, inckl_gen:1.363656, inckl_eta:0.037939, inckl_z:1.016561
snr: 0.810814, var: 0.225431, inckl_gen:2.778350, inckl_eta:0.025226, inckl_z:0.254699
snr: 0.804470, var: 0.221929, inckl_gen:0.417917, inckl_eta:0.002892, inckl_z:0.254829
snr: 0.797563, var: 0.214631, inckl_gen:1.934667, inckl_eta:0.021565, inckl_z:0.472809
snr: 0.797162, var: 0.217465, inckl_gen:4.499334, inckl_eta:0.001986, inckl_z:0.755115
snr: 0.791988, var: 0.207277, inckl_gen:0.459885, inckl_eta:0.002402, inckl_z:0.093552
snr: 0.799438, var: 0.231194, inckl_gen:3.428779, inckl_eta:0.004373, inckl_z:0.770239
snr: 0.795050, var: 0.210463, inckl_gen:1.538637, inckl_eta:0.022959, inckl_z:0.069962
snr: 0.783199, var: 0.193839, inckl_gen:0.185804, inckl_eta:0.002215, inckl_z:0.080552
snr: 0.779395, var: 0.190281, inckl_gen:0.426698, inckl_eta:0.019439, inckl_z:0.239198
snr: 0.796988, var: 0.208105, inckl_gen:11.840091, inckl_eta:0.006016, inckl_z:0.309801
snr: 0.785415, var: 0.199975, inckl_gen:0.056173, inckl_eta:0.006301, inckl_z:0.457900
snr: 0.792966, var: 0.213591, inckl_gen:1.399758, inckl_eta:0.002743, inckl_z:0.910343
snr: 0.797049, var: 0.212736, inckl_gen:1.887369, inckl_eta:0.007988, inckl_z:1.489838
