TrueKL=675.138090, loss: 29.694415,  ess_rws: 1.439824,  inckl_eta: 67.243708,  inckl_z: 3.097826
TrueKL=609.953662, loss: 28.911416,  ess_rws: 1.532815,  inckl_eta: 60.107155,  inckl_z: 2.892967
TrueKL=509.072678, loss: 27.873972,  ess_rws: 1.754492,  inckl_eta: 50.254178,  inckl_z: 2.615894
TrueKL=344.882924, loss: 26.517148,  ess_rws: 2.287539,  inckl_eta: 99.295889,  inckl_z: 2.491375
TrueKL=124.168866, loss: 24.266083,  ess_rws: 3.331488,  inckl_eta: 15.546688,  inckl_z: 2.203251
TrueKL=21.863621, loss: 22.891816,  ess_rws: 4.702425,  inckl_eta: 3.459337,  inckl_z: 1.796346
TrueKL=3.941956, loss: 22.391510,  ess_rws: 5.372670,  inckl_eta: 0.810936,  inckl_z: 1.622617
TrueKL=0.899255, loss: 22.267383,  ess_rws: 5.630672,  inckl_eta: 0.285982,  inckl_z: 1.521727
TrueKL=0.458500, loss: 22.082996,  ess_rws: 5.889655,  inckl_eta: 0.182993,  inckl_z: 1.403516
TrueKL=0.243874, loss: 22.148329,  ess_rws: 5.962572,  inckl_eta: 0.115158,  inckl_z: 1.315381
TrueKL=0.427491, loss: 22.083955,  ess_rws: 6.137083,  inckl_eta: 0.091339,  inckl_z: 1.240021
TrueKL=0.122654, loss: 21.913798,  ess_rws: 6.358177,  inckl_eta: 0.085132,  inckl_z: 1.192401
TrueKL=0.092642, loss: 21.993207,  ess_rws: 6.341944,  inckl_eta: 0.082604,  inckl_z: 1.143424
TrueKL=0.485001, loss: 21.829810,  ess_rws: 6.528595,  inckl_eta: 0.083280,  inckl_z: 1.089488
TrueKL=0.066574, loss: 21.732398,  ess_rws: 6.705742,  inckl_eta: 0.082165,  inckl_z: 1.068701
TrueKL=0.091933, loss: 21.772560,  ess_rws: 6.814373,  inckl_eta: 0.108138,  inckl_z: 1.029368
TrueKL=0.779402, loss: 21.860825,  ess_rws: 6.822191,  inckl_eta: 0.079202,  inckl_z: 0.994470
TrueKL=0.123128, loss: 21.770239,  ess_rws: 6.934199,  inckl_eta: 0.077238,  inckl_z: 0.964036
TrueKL=0.436705, loss: 21.830173,  ess_rws: 7.133276,  inckl_eta: 0.084580,  inckl_z: 0.943674
TrueKL=0.130607, loss: 21.891562,  ess_rws: 7.115898,  inckl_eta: 0.076418,  inckl_z: 0.914750
TrueKL=0.287723, loss: 21.736499,  ess_rws: 7.218120,  inckl_eta: 0.074141,  inckl_z: 0.911056
TrueKL=2.359988, loss: 21.703599,  ess_rws: 7.376565,  inckl_eta: 0.078513,  inckl_z: 0.901713
TrueKL=0.144154, loss: 21.670747,  ess_rws: 7.420197,  inckl_eta: 0.136944,  inckl_z: 0.879076
TrueKL=0.052623, loss: 21.645315,  ess_rws: 7.556609,  inckl_eta: 0.077542,  inckl_z: 0.856267
TrueKL=0.114120, loss: 21.725430,  ess_rws: 7.613603,  inckl_eta: 0.078630,  inckl_z: 0.841074
TrueKL=0.045401, loss: 21.596748,  ess_rws: 7.784584,  inckl_eta: 0.078698,  inckl_z: 0.836607
TrueKL=0.042891, loss: 21.596395,  ess_rws: 7.788478,  inckl_eta: 0.074422,  inckl_z: 0.807129
TrueKL=1.212120, loss: 21.724413,  ess_rws: 7.744762,  inckl_eta: 1.335866,  inckl_z: 0.796758
TrueKL=4.504947, loss: 21.571324,  ess_rws: 7.903583,  inckl_eta: 0.087403,  inckl_z: 0.806656
TrueKL=0.795387, loss: 21.712195,  ess_rws: 7.986266,  inckl_eta: 0.078072,  inckl_z: 0.780075
TrueKL=0.867641, loss: 21.823500,  ess_rws: 8.085438,  inckl_eta: 0.069545,  inckl_z: 0.766948
TrueKL=0.327862, loss: 21.739166,  ess_rws: 8.130441,  inckl_eta: 0.099415,  inckl_z: 0.758075
TrueKL=0.019244, loss: 21.622857,  ess_rws: 8.143898,  inckl_eta: 0.154405,  inckl_z: 0.753968
TrueKL=0.212591, loss: 21.389149,  ess_rws: 8.421902,  inckl_eta: 0.076676,  inckl_z: 0.736105
TrueKL=0.843987, loss: 21.464737,  ess_rws: 8.476218,  inckl_eta: 1.099543,  inckl_z: 0.726804
TrueKL=0.509808, loss: 21.558262,  ess_rws: 8.643794,  inckl_eta: 0.071171,  inckl_z: 0.718370
TrueKL=0.068553, loss: 21.585096,  ess_rws: 8.590370,  inckl_eta: 0.071952,  inckl_z: 0.718344
TrueKL=0.140431, loss: 21.515962,  ess_rws: 8.812108,  inckl_eta: 0.067973,  inckl_z: 0.714476
TrueKL=0.718272, loss: 21.457549,  ess_rws: 8.803080,  inckl_eta: 0.077187,  inckl_z: 0.695877
TrueKL=0.199510, loss: 21.432780,  ess_rws: 9.026352,  inckl_eta: 0.072575,  inckl_z: 0.684181
TrueKL=0.517108, loss: 21.505991,  ess_rws: 8.976506,  inckl_eta: 0.073255,  inckl_z: 0.682488
TrueKL=0.035638, loss: 21.498602,  ess_rws: 9.122645,  inckl_eta: 0.071917,  inckl_z: 0.672515
TrueKL=0.033365, loss: 21.542657,  ess_rws: 9.218134,  inckl_eta: 0.072717,  inckl_z: 0.672982
TrueKL=0.037991, loss: 21.431213,  ess_rws: 9.212200,  inckl_eta: 0.072999,  inckl_z: 0.652499
TrueKL=0.059251, loss: 21.369383,  ess_rws: 9.443919,  inckl_eta: 0.072926,  inckl_z: 0.645789
TrueKL=0.069044, loss: 21.554741,  ess_rws: 9.507949,  inckl_eta: 0.071293,  inckl_z: 0.632925
TrueKL=0.034103, loss: 21.618565,  ess_rws: 9.596804,  inckl_eta: 0.071043,  inckl_z: 0.628024
TrueKL=0.032079, loss: 21.498968,  ess_rws: 9.713510,  inckl_eta: 0.074510,  inckl_z: 0.611303
