EUBOs, ELBOs, ESSs, MCKls_exclusive, TrueKls_exclusive, MCKls_inclusive, TrueKls_inclusive
-1182422817530166.2, -4.588401714486379e+16, 1.0025131249427794, 2.5598632186555756e+16, 3878685423100914.5, -573189878331491.2, 265590904.33453125
-1452790158.8903217, -41957575257.11342, 1.003490217924118, 43790099740.442474, 10763344372.400503, -1152487653.9683673, 537793019.5406641
-3643906.03354126, -55588621.45041748, 1.0120267689228057, 47162303.033452146, 6518791.081985168, -3068519.567125244, 363224202.4298828
-10281.81018737793, -402208.5596472168, 1.0270498561859132, 328219.8279949951, 52469.08641082764, -6372.510580444336, 103977368.44310547
-1656.1000839233398, -22196.009881591795, 1.0190223741531372, 18268.251193237305, 2955.103492126465, -983.0116467285156, 209594035.7487793
-1178.9173828125, -9793.799497070313, 1.0359359693527221, 6961.624053344726, 1284.6577026367188, -700.1857681274414, 56809498952.86562
-1020.4005291748047, -3537.954782104492, 1.0395148146152495, 2553.3586083984374, 433.0430868530273, -569.0174896240235, 132879942684.84235
-940.8734271240235, -2168.2385498046874, 1.0488727581501007, 1381.1807769775392, 205.19185523986818, -529.6155194091797, 432884940389.2873
-948.9609484863281, -1963.3170733642578, 1.0391560614109039, 1212.9934820556641, 209.89816360473634, -538.6913256835937, 1444175191594.547
-830.9353866577148, -2233.819507446289, 1.032754158973694, 1497.1999807739257, 266.16181564331055, -466.0704815673828, 201995701118.2834
-771.536987915039, -2491.5792791748045, 1.0340638768672943, 1575.7337518310546, 252.3605248260498, -430.7856230163574, 7584940916.451494
-748.2494171142578, -1798.8420306396483, 1.0352358436584472, 1128.0368395996093, 193.94814254760743, -409.81751373291013, 3130408119.421383
-732.1262829589843, -1801.6623181152345, 1.0307205200195313, 1176.5883255004883, 190.19243354797362, -399.222301940918, 717080220.6636071
-713.9096002197266, -1727.348154296875, 1.0345008492469787, 1037.8323007202148, 170.84712409973145, -382.81151580810547, 748832736.4420117
-704.529183959961, -1598.081812133789, 1.02235156416893, 971.3061163330078, 171.01696060180663, -378.83144409179687, 718535283.9910889
-697.5228631591797, -1561.469464111328, 1.0333140003681183, 937.3444912719726, 158.27065391540526, -374.7567155456543, 843950679.8733155
-696.9634155273437, -1424.8595220947266, 1.0295243632793427, 850.4258862304688, 141.56732299804688, -372.56109222412107, 3692349881.32792
-701.3856823730468, -1551.9818231201173, 1.0248698377609253, 940.3526846313476, 146.0332871246338, -374.79106506347654, 2041478830.2091017
-674.5542227172851, -1401.457177734375, 1.0292466032505034, 830.4890072631836, 136.93854175567628, -357.56895751953124, 1408290631.9150367
-665.215920715332, -1328.7721704101561, 1.0264931964874267, 783.3310598754883, 130.81425045013427, -351.3760015869141, 703813029.8503845
-667.9506497192383, -1312.125728149414, 1.0290694916248322, 782.9866860961914, 129.79484489440918, -351.66327713012697, 117221954.7601062
-656.1317874145508, -1353.1074877929686, 1.0286598455905915, 793.3921014404297, 133.0560897064209, -345.806756439209, 76903953.09092683
-657.2235824584961, -1419.1005950927733, 1.0280296683311463, 836.5822805786133, 136.8524793624878, -349.1367329406738, 48391234.38402313
-657.418571472168, -1251.104990234375, 1.0274241960048676, 726.5417965698242, 119.15651992797852, -342.98650772094726, 32624533.256541137
-632.9963082885743, -1196.2621893310547, 1.0346644639968872, 701.3775439453125, 119.21895732879639, -331.506946105957, 65580042.07231293
-636.0324346923828, -1185.4441656494141, 1.0269264471530914, 691.5852136230469, 115.72752918243408, -331.09350509643554, 127681942.91071777
-636.6586651611328, -1232.0995922851562, 1.0264620673656464, 722.1527087402344, 119.79916778564453, -333.6589280700684, 207815029.6667859
-637.7655609130859, -1200.8393267822266, 1.0235438597202302, 695.7585815429687, 116.20715629577637, -330.0220651245117, 121242485.5490976
-628.4319491577148, -1174.3055883789064, 1.0320631432533265, 674.8456018066406, 110.52900588989257, -326.89582534790037, 18034617.993096925
-627.1057046508789, -1149.5925756835939, 1.0256023716926574, 669.6202142333984, 112.37779754638672, -325.6214263916016, 4412172.549301453
-623.1149353027344, -1138.7183929443358, 1.0334079241752625, 654.1260998535156, 109.90922088623047, -322.8746057128906, 2365083.7366687013
-622.1374447631836, -1192.8359393310548, 1.021307154893875, 687.5496075439453, 113.0402554321289, -321.54153228759765, 5110927.41866455
-619.4442565917968, -1177.7051153564453, 1.0231006848812103, 684.6361639404297, 112.98679077148438, -322.9721731567383, 2239911.95291275
-622.5709765625, -1144.3714520263673, 1.0302952909469605, 663.4640145874023, 109.37148513793946, -323.53150314331054, 1373866.0994400023
-618.9340719604493, -1134.7238137817383, 1.0246101307868958, 658.5936260986329, 109.91767475128174, -320.27483573913577, 128607.07185272216
-609.3646237182617, -1150.4684356689454, 1.0234927117824555, 657.879725036621, 108.6395027923584, -315.0135754394531, 48526.3290398407
-612.6468215942383, -1141.2988055419921, 1.0223182702064515, 654.2602056884766, 106.74062812805175, -316.59705085754393, 91821.80972549439
-600.7923580932617, -1119.2724658203124, 1.0291189551353455, 645.5056314086914, 108.10339496612549, -308.94216384887693, 80127.95921966553
-602.7635366821289, -1064.6262677001953, 1.025470086336136, 606.7604550170898, 102.27392013549805, -310.81584732055666, 17386.009011383056
-598.8655255126953, -1119.3110345458983, 1.0271486341953278, 642.9280102539062, 106.78567581176758, -308.39610107421873, 17108.26759025574
-599.4446057128906, -1087.479727783203, 1.023267993927002, 620.026580505371, 103.40949615478516, -308.8020701599121, 28836.680082511903
-591.0645257568359, -1069.754585876465, 1.029345475435257, 607.9580059814454, 102.84125625610352, -300.78927017211913, 7476.313120727539
-591.3067050170898, -1075.134594116211, 1.0211471438407898, 613.5744607543945, 102.9278426361084, -303.32567016601564, 2432.6434994888305
-591.8303842163086, -1048.56716796875, 1.0298792219161987, 596.4815008544922, 100.21792148590087, -302.467219543457, 1732.8975618171692
-579.091875, -1047.5911657714844, 1.0219059598445892, 596.538303527832, 100.30614105224609, -295.65189804077147, 2298.3880501174926
-578.734645690918, -1031.461348876953, 1.0237483632564546, 584.2561386108398, 98.81747936248779, -297.44501205444334, 1931.9380150032043
-576.3110446166992, -1035.9899682617188, 1.0266052854061127, 585.6642004394531, 97.81611507415772, -294.7105516052246, 804.5453318595886
-564.7762673950195, -1021.4210217285156, 1.0215680730342864, 576.5166738891602, 96.63877716064454, -287.3784132385254, 626.4859293079376
-566.3027252197265, -1001.7730810546875, 1.0299197483062743, 563.891443786621, 95.27094680786132, -288.8030093383789, 396.39550930976867
-572.1038879394531, -1026.1464050292968, 1.0230041646957397, 580.8133117675782, 96.51945190429687, -293.2509272766113, 484.39442523002623
-569.5979858398438, -1037.6456292724608, 1.0282280457019806, 585.2507406616211, 98.9559536743164, -289.28834930419924, 414.3116970348358
-568.6935595703125, -1007.3864569091797, 1.030715844631195, 562.3367657470703, 93.77065032958984, -289.22646362304687, 396.7758417224884
-569.937262878418, -1029.5083642578124, 1.02412251830101, 578.6638470458985, 96.5689189529419, -288.4370528411865, 371.27534368991854
-564.2235748291016, -1064.658724975586, 1.0191547679901123, 604.4635516357422, 100.5308464050293, -287.63691635131835, 601.2971964740753
-558.5513101196289, -1070.5445178222656, 1.0215877854824067, 607.594592590332, 101.35201015472413, -287.49447494506836, 197.207600107193
-552.716107788086, -1079.3875512695313, 1.0193903100490571, 612.4697647094727, 102.09513813018799, -283.34976776123045, 112.93193464279175
-558.1900384521484, -1043.0262359619142, 1.0228611505031586, 587.8685260009765, 97.9678971862793, -282.49903747558596, 117.0804516029358
-556.9687048339844, -1009.8909539794922, 1.0324005329608916, 565.6537631225586, 94.1113338470459, -283.32910873413084, 105.62515446662903
-550.9530938720703, -1012.3484118652344, 1.0231990933418273, 569.3584393310547, 94.55195377349854, -280.1327781677246, 81.09366854667664
