TrueKL=0.010412, loss: 14.167939,  ess_rws: 9.851675,  inckl_eta: 0.013483,  inckl_z: 0.392970
TrueKL=0.007105, loss: 14.061980,  ess_rws: 9.968916,  inckl_eta: 0.013432,  inckl_z: 0.367540
TrueKL=0.007140, loss: 14.004677,  ess_rws: 10.183588,  inckl_eta: 0.013450,  inckl_z: 0.337308
TrueKL=0.007245, loss: 14.112762,  ess_rws: 10.269702,  inckl_eta: 0.013251,  inckl_z: 0.322926
TrueKL=0.008230, loss: 14.052589,  ess_rws: 10.413000,  inckl_eta: 0.013207,  inckl_z: 0.322092
TrueKL=0.007090, loss: 14.060249,  ess_rws: 10.514547,  inckl_eta: 28.518258,  inckl_z: 0.312146
TrueKL=0.006606, loss: 14.019139,  ess_rws: 10.638217,  inckl_eta: 0.019748,  inckl_z: 0.306740
TrueKL=0.006088, loss: 14.053861,  ess_rws: 10.690924,  inckl_eta: 0.369492,  inckl_z: 0.295520
TrueKL=0.005903, loss: 14.059648,  ess_rws: 10.810327,  inckl_eta: 0.018765,  inckl_z: 0.313314
TrueKL=0.005594, loss: 14.026910,  ess_rws: 10.848171,  inckl_eta: 0.011733,  inckl_z: 0.296418
TrueKL=0.005860, loss: 14.024931,  ess_rws: 10.955098,  inckl_eta: 0.012111,  inckl_z: 0.277226
TrueKL=0.005672, loss: 14.126701,  ess_rws: 10.897833,  inckl_eta: 0.012417,  inckl_z: 0.287625
TrueKL=0.645869, loss: 14.044596,  ess_rws: 11.066008,  inckl_eta: 1.108073,  inckl_z: 0.280825
TrueKL=1.888881, loss: 14.039691,  ess_rws: 11.085305,  inckl_eta: 0.012258,  inckl_z: 0.252691
TrueKL=17.658466, loss: 14.038122,  ess_rws: 11.157967,  inckl_eta: 45.755419,  inckl_z: 0.270010
TrueKL=15.845231, loss: 14.059086,  ess_rws: 11.144876,  inckl_eta: 0.011795,  inckl_z: 0.253531
TrueKL=8.057437, loss: 14.110431,  ess_rws: 11.222851,  inckl_eta: 0.011012,  inckl_z: 0.260553
TrueKL=5.185796, loss: 13.991991,  ess_rws: 11.313506,  inckl_eta: 0.012465,  inckl_z: 0.265620
TrueKL=17.834231, loss: 14.031779,  ess_rws: 11.351091,  inckl_eta: 0.013158,  inckl_z: 0.250703
TrueKL=7.621765, loss: 14.067199,  ess_rws: 11.340944,  inckl_eta: 13.513660,  inckl_z: 0.253506
TrueKL=16.945972, loss: 14.132553,  ess_rws: 11.385783,  inckl_eta: 3.662926,  inckl_z: 0.245845
TrueKL=1.105344, loss: 14.017825,  ess_rws: 11.490719,  inckl_eta: 0.011825,  inckl_z: 0.239904
TrueKL=1.037700, loss: 13.990856,  ess_rws: 11.479935,  inckl_eta: 0.149113,  inckl_z: 0.255550
TrueKL=4.974554, loss: 14.099714,  ess_rws: 11.474286,  inckl_eta: 0.010426,  inckl_z: 0.235031
TrueKL=4.457987, loss: 14.018650,  ess_rws: 11.590778,  inckl_eta: 0.010584,  inckl_z: 0.233249
TrueKL=19.399603, loss: 14.017847,  ess_rws: 11.591627,  inckl_eta: 0.013056,  inckl_z: 0.244096
TrueKL=14.545879, loss: 14.132454,  ess_rws: 11.533202,  inckl_eta: 30.351142,  inckl_z: 0.250462
TrueKL=17.284324, loss: 14.088079,  ess_rws: 11.600737,  inckl_eta: 0.012178,  inckl_z: 0.233695
TrueKL=1.866326, loss: 14.054676,  ess_rws: 11.630928,  inckl_eta: 0.172880,  inckl_z: 0.232994
TrueKL=9.081566, loss: 14.064698,  ess_rws: 11.687519,  inckl_eta: 15.579318,  inckl_z: 0.241583
TrueKL=18.258206, loss: 14.010085,  ess_rws: 11.725894,  inckl_eta: 33.608952,  inckl_z: 0.232902
TrueKL=5.550214, loss: 14.035274,  ess_rws: 11.711166,  inckl_eta: 0.010388,  inckl_z: 0.223362
TrueKL=17.488408, loss: 14.050670,  ess_rws: 11.695684,  inckl_eta: 42.113426,  inckl_z: 0.226543
TrueKL=1.561341, loss: 14.087895,  ess_rws: 11.740223,  inckl_eta: 3.123196,  inckl_z: 0.218894
TrueKL=6.336841, loss: 14.091673,  ess_rws: 11.764873,  inckl_eta: 0.011317,  inckl_z: 0.224777
TrueKL=20.405383, loss: 14.078901,  ess_rws: 11.857065,  inckl_eta: 0.013111,  inckl_z: 0.219955
TrueKL=21.572832, loss: 14.093689,  ess_rws: 11.833777,  inckl_eta: 0.010816,  inckl_z: 0.209044
TrueKL=5.867750, loss: 14.041122,  ess_rws: 11.797315,  inckl_eta: 1.086127,  inckl_z: 0.214871
TrueKL=19.105980, loss: 14.010724,  ess_rws: 11.918421,  inckl_eta: 34.172318,  inckl_z: 0.220230
TrueKL=17.419404, loss: 14.070648,  ess_rws: 11.866269,  inckl_eta: 0.012111,  inckl_z: 0.214921
TrueKL=4.116055, loss: 14.082095,  ess_rws: 11.916502,  inckl_eta: 1.884839,  inckl_z: 0.216148
TrueKL=12.898936, loss: 14.109783,  ess_rws: 11.973275,  inckl_eta: 24.578322,  inckl_z: 0.213094
TrueKL=0.042097, loss: 14.022387,  ess_rws: 12.006183,  inckl_eta: 0.011099,  inckl_z: 0.196966
TrueKL=0.004114, loss: 14.031989,  ess_rws: 12.044130,  inckl_eta: 0.010592,  inckl_z: 0.210566
TrueKL=0.037981, loss: 14.049805,  ess_rws: 12.131862,  inckl_eta: 0.035077,  inckl_z: 0.200329
TrueKL=1.256666, loss: 14.113583,  ess_rws: 12.086103,  inckl_eta: 0.010403,  inckl_z: 0.195030
TrueKL=23.982409, loss: 14.114818,  ess_rws: 12.080896,  inckl_eta: 60.490967,  inckl_z: 0.201038
TrueKL=20.243116, loss: 14.020264,  ess_rws: 12.170955,  inckl_eta: 51.068805,  inckl_z: 0.208197
