EUBO_ave, ELBO_ave, ESS, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-317.8348693847656, -643.082763671875, 1.0331743955612183, 467.47479248046875, 18.181716918945312, 114.84149169921875, 19.794889450073242
-327.25201416015625, -643.2166137695312, 1.056398630142212, 451.8885803222656, 17.587949752807617, 136.77874755859375, 19.160266876220703
-318.0235595703125, -646.6062622070312, 1.050315260887146, 491.09234619140625, 17.92612075805664, 113.25562286376953, 19.206727981567383
-310.5570983886719, -643.5125122070312, 1.0191901922225952, 470.2889099121094, 18.672988891601562, 94.02033233642578, 17.154918670654297
-299.20880126953125, -560.9432373046875, 1.0514618158340454, 378.97088623046875, 16.975486755371094, 94.30863189697266, 18.98447036743164
-307.4278869628906, -684.4595336914062, 1.0325744152069092, 495.29278564453125, 17.107654571533203, 111.47687530517578, 19.336271286010742
-352.4053955078125, -755.9678955078125, 1.0108965635299683, 552.4193115234375, 17.15134048461914, 157.09164428710938, 21.76276397705078
-339.0407409667969, -628.9180908203125, 1.030343770980835, 431.0152587890625, 16.94054412841797, 150.68157958984375, 21.475500106811523
-280.76495361328125, -558.8988037109375, 1.0391331911087036, 380.9617919921875, 16.571327209472656, 99.66787719726562, 19.024621963500977
-314.3177490234375, -599.347412109375, 1.0382453203201294, 440.1663818359375, 16.448123931884766, 115.283935546875, 20.714632034301758
-317.1081848144531, -630.593017578125, 1.0312273502349854, 450.91778564453125, 17.211772918701172, 130.35231018066406, 19.005859375
-318.8585510253906, -628.1502685546875, 1.0528018474578857, 444.55145263671875, 17.22876739501953, 130.6922607421875, 21.520734786987305
-258.40869140625, -497.4925537109375, 1.0148719549179077, 326.8238830566406, 15.638555526733398, 74.84587097167969, 18.148042678833008
-320.6399230957031, -663.4279174804688, 1.0090782642364502, 472.2760009765625, 17.684432983398438, 100.43236541748047, 19.768909454345703
-282.3179626464844, -550.56005859375, 1.0283983945846558, 374.4646911621094, 16.543102264404297, 94.12637329101562, 19.941856384277344
-295.158203125, -557.6221313476562, 1.002751111984253, 372.2265930175781, 16.073020935058594, 96.9664077758789, 18.93561553955078
-318.18060302734375, -654.1207275390625, 1.029677391052246, 464.448974609375, 17.453922271728516, 130.67848205566406, 21.420766830444336
-290.6383972167969, -623.9496459960938, 1.041516900062561, 467.4913635253906, 16.117687225341797, 91.8458480834961, 18.686548233032227
-307.65673828125, -615.572509765625, 1.0562617778778076, 407.4380187988281, 16.929903030395508, 107.00578308105469, 19.907054901123047
-311.53131103515625, -591.6649780273438, 1.0172382593154907, 414.91387939453125, 16.221094131469727, 98.03826904296875, 19.87274742126465
-325.52252197265625, -704.7586059570312, 1.0095921754837036, 505.84588623046875, 16.84368324279785, 158.36737060546875, 19.318950653076172
-317.5564880371094, -624.009521484375, 1.0194860696792603, 434.2485046386719, 17.069602966308594, 103.86000061035156, 19.560531616210938
-284.0735168457031, -539.7656860351562, 1.0425057411193848, 359.56317138671875, 16.28215217590332, 98.52684783935547, 19.471725463867188
-293.7290954589844, -569.4410400390625, 1.0639638900756836, 389.8455810546875, 16.2665958404541, 95.74673461914062, 18.521080017089844
-322.30511474609375, -639.5547485351562, 1.0305572748184204, 455.6279296875, 17.3751277923584, 119.73350524902344, 20.690881729125977
-306.3319091796875, -610.2619018554688, 1.0350085496902466, 439.95843505859375, 16.769437789916992, 120.9677505493164, 19.931150436401367
-319.5474548339844, -611.1949462890625, 1.0872081518173218, 420.9297180175781, 16.501432418823242, 140.1515655517578, 19.95139503479004
-302.95538330078125, -606.0045166015625, 1.0599277019500732, 433.27581787109375, 16.823339462280273, 115.18690490722656, 18.61731719970703
-345.62371826171875, -770.3164672851562, 1.0447964668273926, 572.8731689453125, 16.907865524291992, 149.28733825683594, 20.683992385864258
-311.05548095703125, -633.9927978515625, 1.066585898399353, 458.35467529296875, 17.089641571044922, 110.36296081542969, 19.513038635253906
-291.1671142578125, -587.168701171875, 1.007833480834961, 436.4273681640625, 15.887513160705566, 96.5685043334961, 19.201702117919922
-313.78656005859375, -620.6386108398438, 1.0018373727798462, 436.9355163574219, 16.38397979736328, 100.78962707519531, 20.28168296813965
-330.302978515625, -692.8113403320312, 1.0504889488220215, 506.1356506347656, 17.285608291625977, 147.82398986816406, 21.85391616821289
-288.9878845214844, -618.85986328125, 1.072466254234314, 495.09539794921875, 16.51655387878418, 118.56267547607422, 19.478605270385742
-292.5108337402344, -537.187255859375, 1.0588676929473877, 356.9791259765625, 16.056251525878906, 103.53271484375, 18.859630584716797
-277.7333679199219, -537.7103271484375, 1.025529384613037, 367.541015625, 16.167049407958984, 87.5825424194336, 18.89191246032715
