TrueKL=1695.141629, loss: 40.899743,  ess_rws: 1.117235,  inckl_eta: 230.972203,  inckl_z: 6.091713
TrueKL=1677.966166, loss: 40.810469,  ess_rws: 1.122360,  inckl_eta: 235.970836,  inckl_z: 6.000497
TrueKL=1673.234328, loss: 40.882597,  ess_rws: 1.118304,  inckl_eta: 240.677998,  inckl_z: 5.991532
TrueKL=1644.974641, loss: 40.741425,  ess_rws: 1.118362,  inckl_eta: 229.496828,  inckl_z: 5.829410
TrueKL=1634.965783, loss: 40.915697,  ess_rws: 1.116079,  inckl_eta: 230.251179,  inckl_z: 5.637557
TrueKL=1635.446069, loss: 40.789358,  ess_rws: 1.121545,  inckl_eta: 229.964232,  inckl_z: 5.628672
TrueKL=1605.930344, loss: 40.704045,  ess_rws: 1.119252,  inckl_eta: 232.612869,  inckl_z: 5.482667
TrueKL=1586.410418, loss: 40.540387,  ess_rws: 1.123078,  inckl_eta: 226.538117,  inckl_z: 5.350786
TrueKL=1587.266574, loss: 40.471143,  ess_rws: 1.121973,  inckl_eta: 220.631936,  inckl_z: 5.273626
TrueKL=1590.593478, loss: 40.232861,  ess_rws: 1.125400,  inckl_eta: 227.213622,  inckl_z: 5.193718
TrueKL=1565.409715, loss: 40.007287,  ess_rws: 1.126746,  inckl_eta: 221.711172,  inckl_z: 5.004195
TrueKL=1551.363382, loss: 39.457959,  ess_rws: 1.125119,  inckl_eta: 227.905025,  inckl_z: 4.944000
TrueKL=1537.547132, loss: 39.615479,  ess_rws: 1.124718,  inckl_eta: 226.185875,  inckl_z: 4.754132
TrueKL=1529.672410, loss: 39.421742,  ess_rws: 1.128424,  inckl_eta: 227.631768,  inckl_z: 4.737734
TrueKL=1514.711427, loss: 39.708465,  ess_rws: 1.126707,  inckl_eta: 218.715106,  inckl_z: 4.584010
TrueKL=1507.368688, loss: 39.596134,  ess_rws: 1.135253,  inckl_eta: 224.848406,  inckl_z: 4.496914
TrueKL=1473.687745, loss: 39.773201,  ess_rws: 1.132598,  inckl_eta: 211.893316,  inckl_z: 4.251497
TrueKL=1432.243912, loss: 39.647168,  ess_rws: 1.136739,  inckl_eta: 201.996685,  inckl_z: 4.113618
TrueKL=1406.932001, loss: 39.126847,  ess_rws: 1.130455,  inckl_eta: 208.573563,  inckl_z: 3.990374
TrueKL=1381.826226, loss: 38.659633,  ess_rws: 1.136638,  inckl_eta: 206.654632,  inckl_z: 3.925483
TrueKL=1362.670769, loss: 38.275905,  ess_rws: 1.140205,  inckl_eta: 210.535467,  inckl_z: 3.857783
TrueKL=1344.406583, loss: 38.342031,  ess_rws: 1.141664,  inckl_eta: 206.694715,  inckl_z: 3.746468
TrueKL=1332.760140, loss: 37.754939,  ess_rws: 1.144796,  inckl_eta: 212.950650,  inckl_z: 3.666678
TrueKL=1295.778517, loss: 37.567441,  ess_rws: 1.147131,  inckl_eta: 202.782995,  inckl_z: 3.672191
TrueKL=1246.046129, loss: 37.299688,  ess_rws: 1.155763,  inckl_eta: 191.522177,  inckl_z: 3.372549
