(484s) Epoch=0, Group=36loss_phi: -199.064965,  loss_theta: 10151.348599,  ess_rws: 1.013283,  ess_what: 1.104517,  ess_where: 1.249754,  density: -5275.284565
(488s) Epoch=0, Group=37loss_phi: -200.867096,  loss_theta: 10212.972471,  ess_rws: 1.018684,  ess_what: 1.117765,  ess_where: 1.256497,  density: -5301.595560
(487s) Epoch=0, Group=38loss_phi: -202.097338,  loss_theta: 10292.209880,  ess_rws: 1.024448,  ess_what: 1.116631,  ess_where: 1.263681,  density: -5362.289948
(487s) Epoch=0, Group=39loss_phi: -201.744566,  loss_theta: 10516.986819,  ess_rws: 1.012629,  ess_what: 1.116911,  ess_where: 1.250834,  density: -5472.110325
(484s) Epoch=0, Group=40loss_phi: -202.135162,  loss_theta: 10647.392905,  ess_rws: 1.014608,  ess_what: 1.114851,  ess_where: 1.256457,  density: -5518.321812
(486s) Epoch=0, Group=41loss_phi: -203.938056,  loss_theta: 10340.990339,  ess_rws: 1.019568,  ess_what: 1.124662,  ess_where: 1.257877,  density: -5363.262169
(482s) Epoch=0, Group=42loss_phi: -203.918667,  loss_theta: 10120.146802,  ess_rws: 1.016470,  ess_what: 1.115774,  ess_where: 1.252987,  density: -5260.381632
(489s) Epoch=0, Group=43loss_phi: -205.473295,  loss_theta: 10263.629814,  ess_rws: 1.013879,  ess_what: 1.115857,  ess_where: 1.239752,  density: -5335.027269
(487s) Epoch=0, Group=44loss_phi: -206.486788,  loss_theta: 10197.913362,  ess_rws: 1.013440,  ess_what: 1.106440,  ess_where: 1.257254,  density: -5302.994286
(486s) Epoch=0, Group=45loss_phi: -203.137316,  loss_theta: 10339.532039,  ess_rws: 1.020121,  ess_what: 1.111489,  ess_where: 1.249433,  density: -5374.046569
(487s) Epoch=0, Group=46loss_phi: -205.790129,  loss_theta: 9960.671375,  ess_rws: 1.016881,  ess_what: 1.114325,  ess_where: 1.264242,  density: -5188.246119
