(329s) loss: 639.953400,  ess_sis: 1.068709
(336s) loss: 615.541522,  ess_sis: 1.362833
(345s) loss: 608.918402,  ess_sis: 1.659572
(338s) loss: 608.260501,  ess_sis: 1.873439
(342s) loss: 608.376821,  ess_sis: 1.848984
(319s) loss: 608.166480,  ess_sis: 1.864144
(328s) loss: 607.997874,  ess_sis: 1.855816
(343s) loss: 607.838792,  ess_sis: 1.864177
(338s) loss: 607.929555,  ess_sis: 1.818963
(344s) loss: 606.706453,  ess_sis: 1.756891
(335s) loss: 598.684396,  ess_sis: 1.617512
(346s) loss: 512.582681,  ess_sis: 1.370611
(346s) loss: 330.287003,  ess_sis: 1.309333
(331s) loss: 218.754196,  ess_sis: 1.359127
(341s) loss: 164.566657,  ess_sis: 1.388162
(324s) loss: 137.907234,  ess_sis: 1.407408
(323s) loss: 119.323244,  ess_sis: 1.416640
(317s) loss: 108.048407,  ess_sis: 1.426282
(317s) loss: 96.738628,  ess_sis: 1.423511
(322s) loss: 91.047135,  ess_sis: 1.431728
(317s) loss: 87.965184,  ess_sis: 1.444892
(301s) loss: 84.980641,  ess_sis: 1.441864
(292s) loss: 82.843507,  ess_sis: 1.452894
(313s) loss: 81.865031,  ess_sis: 1.459819
(312s) loss: 83.015576,  ess_sis: 1.465626
(311s) loss: 81.496647,  ess_sis: 1.471816
(310s) loss: 84.540116,  ess_sis: 1.472845
(311s) loss: 89.104556,  ess_sis: 1.479931
(311s) loss: 87.843956,  ess_sis: 1.485793
(311s) loss: 87.652357,  ess_sis: 1.488509
