symKL_DB_eta: 17.632,  symKL_DB_z: 3.906,  loss: -517.647,  ess: 6.435,  kl_eta_ex: 23.373,  kl_eta_in: 50.008,  kl_z_ex: 1.018,  kl_z_in: 0.441
symKL_DB_eta: 16.328,  symKL_DB_z: 3.554,  loss: -507.983,  ess: 6.356,  kl_eta_ex: 20.594,  kl_eta_in: 39.171,  kl_z_ex: 0.896,  kl_z_in: 0.404
symKL_DB_eta: 14.104,  symKL_DB_z: 3.082,  loss: -495.682,  ess: 6.382,  kl_eta_ex: 16.579,  kl_eta_in: 30.082,  kl_z_ex: 0.763,  kl_z_in: 0.343
symKL_DB_eta: 10.562,  symKL_DB_z: 2.859,  loss: -485.475,  ess: 6.632,  kl_eta_ex: 11.690,  kl_eta_in: 23.079,  kl_z_ex: 0.649,  kl_z_in: 0.284
symKL_DB_eta: 7.373,  symKL_DB_z: 2.634,  loss: -469.891,  ess: 6.935,  kl_eta_ex: 5.970,  kl_eta_in: 11.590,  kl_z_ex: 0.583,  kl_z_in: 0.251
symKL_DB_eta: 4.155,  symKL_DB_z: 2.523,  loss: -462.887,  ess: 7.609,  kl_eta_ex: 1.501,  kl_eta_in: 2.735,  kl_z_ex: 0.525,  kl_z_in: 0.222
symKL_DB_eta: 3.153,  symKL_DB_z: 2.465,  loss: -462.415,  ess: 7.941,  kl_eta_ex: 0.468,  kl_eta_in: 0.742,  kl_z_ex: 0.500,  kl_z_in: 0.211
symKL_DB_eta: 2.724,  symKL_DB_z: 2.455,  loss: -462.496,  ess: 8.131,  kl_eta_ex: 0.145,  kl_eta_in: 0.196,  kl_z_ex: 0.473,  kl_z_in: 0.201
symKL_DB_eta: 2.501,  symKL_DB_z: 2.494,  loss: -462.751,  ess: 8.236,  kl_eta_ex: 0.048,  kl_eta_in: 0.059,  kl_z_ex: 0.457,  kl_z_in: 0.194
symKL_DB_eta: 2.438,  symKL_DB_z: 2.376,  loss: -462.854,  ess: 8.279,  kl_eta_ex: 0.020,  kl_eta_in: 0.021,  kl_z_ex: 0.426,  kl_z_in: 0.189
symKL_DB_eta: 2.380,  symKL_DB_z: 2.179,  loss: -462.934,  ess: 8.303,  kl_eta_ex: 0.010,  kl_eta_in: 0.009,  kl_z_ex: 0.418,  kl_z_in: 0.182
symKL_DB_eta: 2.509,  symKL_DB_z: 2.252,  loss: -462.949,  ess: 8.308,  kl_eta_ex: 0.008,  kl_eta_in: 0.007,  kl_z_ex: 0.403,  kl_z_in: 0.179
symKL_DB_eta: 2.374,  symKL_DB_z: 2.221,  loss: -463.063,  ess: 8.310,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.400,  kl_z_in: 0.176
symKL_DB_eta: 2.429,  symKL_DB_z: 2.101,  loss: -462.888,  ess: 8.307,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.384,  kl_z_in: 0.169
symKL_DB_eta: 2.386,  symKL_DB_z: 2.125,  loss: -463.353,  ess: 8.326,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.378,  kl_z_in: 0.167
