(168s) loss: 10.979,  ess: 9.837,  kl_eta_ex: 0.003,  kl_eta_in: 0.004,  kl_z_ex: 0.003,  kl_z_in: 0.001
(167s) loss: 10.946,  ess: 9.868,  kl_eta_ex: 0.002,  kl_eta_in: 0.002,  kl_z_ex: 0.003,  kl_z_in: 0.001
(167s) loss: 10.976,  ess: 9.881,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(160s) loss: 10.918,  ess: 9.887,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(168s) loss: 10.978,  ess: 9.891,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(170s) loss: 10.974,  ess: 9.894,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(172s) loss: 10.978,  ess: 9.896,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(173s) loss: 10.951,  ess: 9.898,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(171s) loss: 10.924,  ess: 9.899,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(172s) loss: 10.984,  ess: 9.899,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(166s) loss: 10.937,  ess: 9.900,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(157s) loss: 10.956,  ess: 9.901,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(160s) loss: 10.968,  ess: 9.901,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(171s) loss: 10.960,  ess: 9.901,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
(174s) loss: 10.942,  ess: 9.902,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.002,  kl_z_in: 0.001
