symKL_DB_eta: 135.987,  symKL_DB_z: 31.124,  loss: -755.294,  ess: 5.241,  kl_eta_ex: 216.722,  kl_eta_in: 319.509,  kl_z_ex: 15.559,  kl_z_in: 4.143
symKL_DB_eta: 135.212,  symKL_DB_z: 29.916,  loss: -751.893,  ess: 5.258,  kl_eta_ex: 216.640,  kl_eta_in: 318.811,  kl_z_ex: 14.822,  kl_z_in: 3.991
symKL_DB_eta: 136.825,  symKL_DB_z: 29.482,  loss: -752.129,  ess: 5.269,  kl_eta_ex: 216.676,  kl_eta_in: 316.498,  kl_z_ex: 14.456,  kl_z_in: 3.861
symKL_DB_eta: 136.732,  symKL_DB_z: 28.944,  loss: -751.267,  ess: 5.284,  kl_eta_ex: 215.574,  kl_eta_in: 313.734,  kl_z_ex: 13.829,  kl_z_in: 3.741
symKL_DB_eta: 135.310,  symKL_DB_z: 27.890,  loss: -748.512,  ess: 5.300,  kl_eta_ex: 216.413,  kl_eta_in: 312.505,  kl_z_ex: 13.616,  kl_z_in: 3.659
symKL_DB_eta: 135.466,  symKL_DB_z: 27.579,  loss: -747.206,  ess: 5.315,  kl_eta_ex: 216.158,  kl_eta_in: 311.741,  kl_z_ex: 12.961,  kl_z_in: 3.506
symKL_DB_eta: 136.804,  symKL_DB_z: 26.696,  loss: -746.536,  ess: 5.325,  kl_eta_ex: 213.849,  kl_eta_in: 306.461,  kl_z_ex: 12.505,  kl_z_in: 3.387
symKL_DB_eta: 133.586,  symKL_DB_z: 26.044,  loss: -742.412,  ess: 5.344,  kl_eta_ex: 212.983,  kl_eta_in: 304.012,  kl_z_ex: 12.035,  kl_z_in: 3.293
symKL_DB_eta: 132.150,  symKL_DB_z: 25.502,  loss: -739.373,  ess: 5.358,  kl_eta_ex: 211.528,  kl_eta_in: 298.445,  kl_z_ex: 11.643,  kl_z_in: 3.168
symKL_DB_eta: 133.710,  symKL_DB_z: 25.101,  loss: -737.991,  ess: 5.374,  kl_eta_ex: 211.260,  kl_eta_in: 297.042,  kl_z_ex: 11.176,  kl_z_in: 3.065
symKL_DB_eta: 132.213,  symKL_DB_z: 24.843,  loss: -736.605,  ess: 5.383,  kl_eta_ex: 208.322,  kl_eta_in: 291.047,  kl_z_ex: 10.681,  kl_z_in: 2.943
symKL_DB_eta: 129.900,  symKL_DB_z: 24.231,  loss: -734.595,  ess: 5.399,  kl_eta_ex: 209.723,  kl_eta_in: 291.122,  kl_z_ex: 10.452,  kl_z_in: 2.884
symKL_DB_eta: 129.812,  symKL_DB_z: 23.396,  loss: -731.682,  ess: 5.414,  kl_eta_ex: 205.756,  kl_eta_in: 284.003,  kl_z_ex: 10.165,  kl_z_in: 2.780
symKL_DB_eta: 128.482,  symKL_DB_z: 23.335,  loss: -730.581,  ess: 5.422,  kl_eta_ex: 205.256,  kl_eta_in: 283.090,  kl_z_ex: 9.853,  kl_z_in: 2.691
symKL_DB_eta: 129.453,  symKL_DB_z: 22.893,  loss: -728.742,  ess: 5.434,  kl_eta_ex: 206.438,  kl_eta_in: 283.546,  kl_z_ex: 9.668,  kl_z_in: 2.626
symKL_DB_eta: 128.045,  symKL_DB_z: 22.137,  loss: -727.232,  ess: 5.451,  kl_eta_ex: 202.501,  kl_eta_in: 277.765,  kl_z_ex: 9.284,  kl_z_in: 2.549
symKL_DB_eta: 127.023,  symKL_DB_z: 22.402,  loss: -724.164,  ess: 5.456,  kl_eta_ex: 203.580,  kl_eta_in: 277.569,  kl_z_ex: 9.004,  kl_z_in: 2.450
symKL_DB_eta: 127.639,  symKL_DB_z: 21.111,  loss: -719.614,  ess: 5.472,  kl_eta_ex: 200.960,  kl_eta_in: 272.543,  kl_z_ex: 8.634,  kl_z_in: 2.378
symKL_DB_eta: 125.280,  symKL_DB_z: 21.403,  loss: -718.358,  ess: 5.479,  kl_eta_ex: 199.826,  kl_eta_in: 270.864,  kl_z_ex: 8.380,  kl_z_in: 2.297
symKL_DB_eta: 125.068,  symKL_DB_z: 20.905,  loss: -717.467,  ess: 5.489,  kl_eta_ex: 198.230,  kl_eta_in: 266.964,  kl_z_ex: 8.283,  kl_z_in: 2.248
symKL_DB_eta: 122.842,  symKL_DB_z: 20.169,  loss: -714.571,  ess: 5.501,  kl_eta_ex: 196.327,  kl_eta_in: 264.107,  kl_z_ex: 8.076,  kl_z_in: 2.195
symKL_DB_eta: 122.142,  symKL_DB_z: 20.065,  loss: -711.802,  ess: 5.504,  kl_eta_ex: 194.698,  kl_eta_in: 262.550,  kl_z_ex: 7.846,  kl_z_in: 2.119
symKL_DB_eta: 122.520,  symKL_DB_z: 19.932,  loss: -710.828,  ess: 5.513,  kl_eta_ex: 192.968,  kl_eta_in: 259.519,  kl_z_ex: 7.460,  kl_z_in: 2.059
symKL_DB_eta: 121.094,  symKL_DB_z: 19.479,  loss: -707.679,  ess: 5.529,  kl_eta_ex: 192.985,  kl_eta_in: 258.468,  kl_z_ex: 7.359,  kl_z_in: 2.005
symKL_DB_eta: 120.757,  symKL_DB_z: 19.180,  loss: -705.566,  ess: 5.536,  kl_eta_ex: 191.960,  kl_eta_in: 257.247,  kl_z_ex: 7.078,  kl_z_in: 1.933
symKL_DB_eta: 122.701,  symKL_DB_z: 19.064,  loss: -706.482,  ess: 5.539,  kl_eta_ex: 191.649,  kl_eta_in: 256.427,  kl_z_ex: 6.987,  kl_z_in: 1.906
symKL_DB_eta: 120.351,  symKL_DB_z: 18.855,  loss: -703.010,  ess: 5.546,  kl_eta_ex: 190.018,  kl_eta_in: 252.838,  kl_z_ex: 6.841,  kl_z_in: 1.866
symKL_DB_eta: 120.197,  symKL_DB_z: 18.325,  loss: -700.326,  ess: 5.557,  kl_eta_ex: 189.033,  kl_eta_in: 252.115,  kl_z_ex: 6.536,  kl_z_in: 1.800
symKL_DB_eta: 118.652,  symKL_DB_z: 18.110,  loss: -699.284,  ess: 5.563,  kl_eta_ex: 187.045,  kl_eta_in: 248.491,  kl_z_ex: 6.386,  kl_z_in: 1.742
symKL_DB_eta: 119.063,  symKL_DB_z: 17.985,  loss: -697.468,  ess: 5.568,  kl_eta_ex: 186.393,  kl_eta_in: 248.966,  kl_z_ex: 6.187,  kl_z_in: 1.714
symKL_DB_eta: 119.866,  symKL_DB_z: 17.978,  loss: -695.476,  ess: 5.567,  kl_eta_ex: 184.943,  kl_eta_in: 246.935,  kl_z_ex: 6.023,  kl_z_in: 1.668
