EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-211.265	-220.706	6.562	2.391	2.323	2.347	2.446
-211.351	-220.779	6.566	2.421	2.331	2.363	2.452
-211.318	-220.758	6.561	2.393	2.329	2.342	2.452
-211.266	-220.669	6.566	2.369	2.294	2.326	2.434
-211.245	-220.680	6.565	2.388	2.362	2.327	2.473
-211.303	-220.744	6.564	2.378	2.322	2.337	2.482
-211.374	-220.790	6.565	2.398	2.354	2.347	2.502
-211.355	-220.817	6.562	2.437	2.337	2.384	2.485
-211.413	-220.876	6.561	2.443	2.339	2.368	2.492
-211.322	-220.780	6.564	2.415	2.408	2.370	2.504
-211.299	-220.732	6.563	2.355	2.303	2.317	2.462
-211.287	-220.708	6.567	2.378	2.324	2.339	2.481
-211.308	-220.734	6.562	2.393	2.330	2.343	2.470
-211.296	-220.733	6.563	2.369	2.319	2.342	2.499
-211.321	-220.731	6.565	2.368	2.357	2.330	2.491
-211.379	-220.795	6.565	2.362	2.315	2.336	2.470
-211.329	-220.750	6.562	2.368	2.334	2.333	2.485
-211.391	-220.824	6.564	2.387	2.328	2.337	2.476
-211.336	-220.809	6.565	2.437	2.365	2.359	2.505
-211.353	-220.800	6.564	2.374	2.332	2.323	2.486
-211.391	-220.829	6.565	2.392	2.353	2.341	2.508
-211.361	-220.772	6.564	2.377	2.319	2.329	2.488
-211.392	-220.793	6.566	2.375	2.336	2.333	2.490
-211.312	-220.749	6.565	2.388	2.338	2.333	2.498
-211.299	-220.728	6.563	2.380	2.334	2.337	2.512
-211.405	-220.821	6.566	2.364	2.302	2.323	2.491
-211.360	-220.796	6.566	2.368	2.363	2.325	2.497
-211.249	-220.683	6.567	2.368	2.334	2.326	2.485
-211.384	-220.802	6.566	2.400	2.361	2.342	2.520
-211.410	-220.804	6.567	2.415	2.363	2.373	2.532
-211.375	-220.793	6.564	2.414	2.389	2.367	2.531
-211.326	-220.756	6.567	2.408	2.363	2.337	2.515
-211.435	-220.863	6.561	2.387	2.328	2.342	2.528
-211.397	-220.847	6.562	2.405	2.336	2.337	2.516
-211.340	-220.765	6.566	2.424	2.335	2.342	2.520
-211.392	-220.799	6.566	2.392	2.353	2.337	2.534
-211.392	-220.784	6.565	2.370	2.321	2.323	2.497
-211.331	-220.741	6.566	2.354	2.309	2.329	2.512
-211.365	-220.797	6.565	2.401	2.367	2.348	2.529
-211.336	-220.752	6.567	2.352	2.298	2.316	2.496
-211.337	-220.786	6.562	2.377	2.317	2.334	2.514
-211.313	-220.714	6.567	2.354	2.366	2.314	2.506
-211.356	-220.805	6.565	2.380	2.359	2.320	2.529
-211.354	-220.768	6.566	2.378	2.318	2.336	2.520
-211.321	-220.739	6.566	2.348	2.323	2.316	2.517
-211.332	-220.746	6.566	2.380	2.318	2.332	2.532
-211.304	-220.700	6.567	2.399	2.312	2.322	2.498
-211.335	-220.747	6.566	2.363	2.312	2.327	2.517
-211.343	-220.728	6.566	2.366	2.305	2.316	2.501
-211.305	-220.697	6.567	2.359	2.328	2.295	2.503
-211.333	-220.715	6.569	2.339	2.314	2.315	2.516
-211.327	-220.739	6.568	2.417	2.335	2.357	2.536
-211.410	-220.805	6.564	2.354	2.318	2.320	2.528
-211.327	-220.766	6.567	2.375	2.325	2.307	2.514
