symKL_DB_eta: 97.391,  symKL_DB_z: 21.353,  loss: -713.731,  ess: 5.198,  kl_eta_ex: 174.636,  kl_eta_in: 403.062,  kl_z_ex: 10.023,  kl_z_in: 3.835
symKL_DB_eta: 94.342,  symKL_DB_z: 19.831,  loss: -707.123,  ess: 5.221,  kl_eta_ex: 166.809,  kl_eta_in: 386.376,  kl_z_ex: 8.960,  kl_z_in: 3.569
symKL_DB_eta: 91.028,  symKL_DB_z: 18.675,  loss: -699.324,  ess: 5.242,  kl_eta_ex: 159.581,  kl_eta_in: 370.347,  kl_z_ex: 8.229,  kl_z_in: 3.396
symKL_DB_eta: 87.836,  symKL_DB_z: 17.534,  loss: -692.415,  ess: 5.261,  kl_eta_ex: 153.223,  kl_eta_in: 353.832,  kl_z_ex: 7.590,  kl_z_in: 3.210
symKL_DB_eta: 83.947,  symKL_DB_z: 16.408,  loss: -685.932,  ess: 5.278,  kl_eta_ex: 145.381,  kl_eta_in: 332.079,  kl_z_ex: 6.904,  kl_z_in: 3.034
symKL_DB_eta: 81.380,  symKL_DB_z: 15.572,  loss: -682.300,  ess: 5.300,  kl_eta_ex: 139.574,  kl_eta_in: 311.807,  kl_z_ex: 6.511,  kl_z_in: 2.877
symKL_DB_eta: 79.110,  symKL_DB_z: 14.983,  loss: -678.091,  ess: 5.310,  kl_eta_ex: 134.828,  kl_eta_in: 290.970,  kl_z_ex: 6.113,  kl_z_in: 2.721
symKL_DB_eta: 75.784,  symKL_DB_z: 14.269,  loss: -671.893,  ess: 5.329,  kl_eta_ex: 131.062,  kl_eta_in: 270.337,  kl_z_ex: 5.829,  kl_z_in: 2.597
symKL_DB_eta: 73.868,  symKL_DB_z: 14.350,  loss: -670.197,  ess: 5.340,  kl_eta_ex: 129.298,  kl_eta_in: 251.740,  kl_z_ex: 5.604,  kl_z_in: 2.516
symKL_DB_eta: 74.420,  symKL_DB_z: 13.928,  loss: -669.447,  ess: 5.356,  kl_eta_ex: 129.808,  kl_eta_in: 236.491,  kl_z_ex: 5.590,  kl_z_in: 2.478
symKL_DB_eta: 76.160,  symKL_DB_z: 14.115,  loss: -671.581,  ess: 5.360,  kl_eta_ex: 132.461,  kl_eta_in: 226.158,  kl_z_ex: 5.824,  kl_z_in: 2.547
symKL_DB_eta: 79.961,  symKL_DB_z: 14.502,  loss: -678.371,  ess: 5.368,  kl_eta_ex: 138.161,  kl_eta_in: 220.645,  kl_z_ex: 6.205,  kl_z_in: 2.618
symKL_DB_eta: 87.269,  symKL_DB_z: 15.230,  loss: -690.511,  ess: 5.376,  kl_eta_ex: 150.152,  kl_eta_in: 222.910,  kl_z_ex: 6.837,  kl_z_in: 2.779
symKL_DB_eta: 99.292,  symKL_DB_z: 16.248,  loss: -708.783,  ess: 5.384,  kl_eta_ex: 168.422,  kl_eta_in: 237.172,  kl_z_ex: 7.899,  kl_z_in: 3.018
symKL_DB_eta: 114.638,  symKL_DB_z: 16.836,  loss: -727.252,  ess: 5.405,  kl_eta_ex: 193.550,  kl_eta_in: 256.942,  kl_z_ex: 9.642,  kl_z_in: 3.291
