symKL_DB_eta: 16.986,  symKL_DB_z: 6.026,  loss: -458.855,  ess: 5.916,  kl_eta_ex: 22.493,  kl_eta_in: 35.080,  kl_z_ex: 2.175,  kl_z_in: 0.985
symKL_DB_eta: 16.558,  symKL_DB_z: 5.853,  loss: -457.374,  ess: 5.941,  kl_eta_ex: 21.893,  kl_eta_in: 35.233,  kl_z_ex: 2.036,  kl_z_in: 0.925
symKL_DB_eta: 16.324,  symKL_DB_z: 5.474,  loss: -455.859,  ess: 5.952,  kl_eta_ex: 21.486,  kl_eta_in: 34.701,  kl_z_ex: 1.875,  kl_z_in: 0.866
symKL_DB_eta: 16.059,  symKL_DB_z: 5.172,  loss: -453.848,  ess: 5.966,  kl_eta_ex: 21.111,  kl_eta_in: 34.265,  kl_z_ex: 1.769,  kl_z_in: 0.806
symKL_DB_eta: 15.810,  symKL_DB_z: 4.981,  loss: -451.994,  ess: 5.985,  kl_eta_ex: 20.628,  kl_eta_in: 33.522,  kl_z_ex: 1.703,  kl_z_in: 0.753
symKL_DB_eta: 15.270,  symKL_DB_z: 4.593,  loss: -449.305,  ess: 6.024,  kl_eta_ex: 19.820,  kl_eta_in: 32.776,  kl_z_ex: 1.601,  kl_z_in: 0.689
symKL_DB_eta: 14.391,  symKL_DB_z: 4.299,  loss: -445.464,  ess: 6.084,  kl_eta_ex: 17.894,  kl_eta_in: 28.681,  kl_z_ex: 1.472,  kl_z_in: 0.613
symKL_DB_eta: 13.480,  symKL_DB_z: 4.062,  loss: -441.388,  ess: 6.158,  kl_eta_ex: 15.611,  kl_eta_in: 24.211,  kl_z_ex: 1.396,  kl_z_in: 0.561
symKL_DB_eta: 12.498,  symKL_DB_z: 3.956,  loss: -437.748,  ess: 6.245,  kl_eta_ex: 13.345,  kl_eta_in: 19.962,  kl_z_ex: 1.317,  kl_z_in: 0.519
symKL_DB_eta: 11.533,  symKL_DB_z: 3.786,  loss: -434.351,  ess: 6.329,  kl_eta_ex: 11.083,  kl_eta_in: 15.806,  kl_z_ex: 1.283,  kl_z_in: 0.485
symKL_DB_eta: 10.569,  symKL_DB_z: 3.627,  loss: -431.206,  ess: 6.414,  kl_eta_ex: 8.983,  kl_eta_in: 12.262,  kl_z_ex: 1.215,  kl_z_in: 0.454
symKL_DB_eta: 9.505,  symKL_DB_z: 3.535,  loss: -428.264,  ess: 6.512,  kl_eta_ex: 7.014,  kl_eta_in: 9.246,  kl_z_ex: 1.155,  kl_z_in: 0.423
symKL_DB_eta: 8.363,  symKL_DB_z: 3.385,  loss: -426.040,  ess: 6.629,  kl_eta_ex: 5.204,  kl_eta_in: 6.610,  kl_z_ex: 1.118,  kl_z_in: 0.403
symKL_DB_eta: 7.240,  symKL_DB_z: 3.247,  loss: -423.796,  ess: 6.767,  kl_eta_ex: 3.679,  kl_eta_in: 4.578,  kl_z_ex: 1.063,  kl_z_in: 0.367
symKL_DB_eta: 6.052,  symKL_DB_z: 3.233,  loss: -422.648,  ess: 6.960,  kl_eta_ex: 2.408,  kl_eta_in: 2.946,  kl_z_ex: 1.038,  kl_z_in: 0.355
symKL_DB_eta: 4.958,  symKL_DB_z: 3.055,  loss: -421.479,  ess: 7.208,  kl_eta_ex: 1.462,  kl_eta_in: 1.774,  kl_z_ex: 1.001,  kl_z_in: 0.337
symKL_DB_eta: 4.024,  symKL_DB_z: 3.013,  loss: -420.777,  ess: 7.527,  kl_eta_ex: 0.838,  kl_eta_in: 1.021,  kl_z_ex: 0.967,  kl_z_in: 0.319
symKL_DB_eta: 3.524,  symKL_DB_z: 3.033,  loss: -420.596,  ess: 7.768,  kl_eta_ex: 0.520,  kl_eta_in: 0.632,  kl_z_ex: 0.938,  kl_z_in: 0.306
symKL_DB_eta: 3.247,  symKL_DB_z: 2.823,  loss: -420.310,  ess: 7.887,  kl_eta_ex: 0.379,  kl_eta_in: 0.451,  kl_z_ex: 0.901,  kl_z_in: 0.295
symKL_DB_eta: 3.049,  symKL_DB_z: 2.776,  loss: -420.237,  ess: 7.958,  kl_eta_ex: 0.283,  kl_eta_in: 0.329,  kl_z_ex: 0.879,  kl_z_in: 0.280
symKL_DB_eta: 2.906,  symKL_DB_z: 2.726,  loss: -420.421,  ess: 8.027,  kl_eta_ex: 0.211,  kl_eta_in: 0.241,  kl_z_ex: 0.878,  kl_z_in: 0.273
symKL_DB_eta: 2.787,  symKL_DB_z: 2.676,  loss: -420.493,  ess: 8.081,  kl_eta_ex: 0.157,  kl_eta_in: 0.176,  kl_z_ex: 0.844,  kl_z_in: 0.266
symKL_DB_eta: 2.674,  symKL_DB_z: 2.629,  loss: -420.246,  ess: 8.130,  kl_eta_ex: 0.119,  kl_eta_in: 0.132,  kl_z_ex: 0.808,  kl_z_in: 0.251
symKL_DB_eta: 2.602,  symKL_DB_z: 2.595,  loss: -420.503,  ess: 8.165,  kl_eta_ex: 0.091,  kl_eta_in: 0.099,  kl_z_ex: 0.794,  kl_z_in: 0.248
symKL_DB_eta: 2.527,  symKL_DB_z: 2.498,  loss: -420.446,  ess: 8.196,  kl_eta_ex: 0.069,  kl_eta_in: 0.073,  kl_z_ex: 0.776,  kl_z_in: 0.238
symKL_DB_eta: 2.485,  symKL_DB_z: 2.554,  loss: -420.365,  ess: 8.229,  kl_eta_ex: 0.053,  kl_eta_in: 0.056,  kl_z_ex: 0.754,  kl_z_in: 0.233
symKL_DB_eta: 2.394,  symKL_DB_z: 2.329,  loss: -420.395,  ess: 8.261,  kl_eta_ex: 0.042,  kl_eta_in: 0.043,  kl_z_ex: 0.708,  kl_z_in: 0.220
symKL_DB_eta: 2.357,  symKL_DB_z: 2.333,  loss: -420.535,  ess: 8.275,  kl_eta_ex: 0.032,  kl_eta_in: 0.033,  kl_z_ex: 0.698,  kl_z_in: 0.215
symKL_DB_eta: 2.327,  symKL_DB_z: 2.309,  loss: -420.741,  ess: 8.299,  kl_eta_ex: 0.027,  kl_eta_in: 0.026,  kl_z_ex: 0.683,  kl_z_in: 0.212
symKL_DB_eta: 2.326,  symKL_DB_z: 2.311,  loss: -420.512,  ess: 8.298,  kl_eta_ex: 0.021,  kl_eta_in: 0.021,  kl_z_ex: 0.670,  kl_z_in: 0.205
symKL_DB_eta: 2.305,  symKL_DB_z: 2.319,  loss: -420.611,  ess: 8.318,  kl_eta_ex: 0.018,  kl_eta_in: 0.017,  kl_z_ex: 0.663,  kl_z_in: 0.203
symKL_DB_eta: 2.267,  symKL_DB_z: 2.220,  loss: -420.788,  ess: 8.333,  kl_eta_ex: 0.014,  kl_eta_in: 0.013,  kl_z_ex: 0.655,  kl_z_in: 0.198
symKL_DB_eta: 2.282,  symKL_DB_z: 2.165,  loss: -420.598,  ess: 8.344,  kl_eta_ex: 0.013,  kl_eta_in: 0.011,  kl_z_ex: 0.625,  kl_z_in: 0.191
symKL_DB_eta: 2.266,  symKL_DB_z: 2.098,  loss: -420.374,  ess: 8.343,  kl_eta_ex: 0.011,  kl_eta_in: 0.009,  kl_z_ex: 0.607,  kl_z_in: 0.185
symKL_DB_eta: 2.255,  symKL_DB_z: 2.045,  loss: -420.774,  ess: 8.346,  kl_eta_ex: 0.010,  kl_eta_in: 0.008,  kl_z_ex: 0.602,  kl_z_in: 0.184
symKL_DB_eta: 2.264,  symKL_DB_z: 2.022,  loss: -420.630,  ess: 8.354,  kl_eta_ex: 0.009,  kl_eta_in: 0.007,  kl_z_ex: 0.576,  kl_z_in: 0.178
symKL_DB_eta: 2.255,  symKL_DB_z: 1.967,  loss: -420.435,  ess: 8.355,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.563,  kl_z_in: 0.174
symKL_DB_eta: 2.236,  symKL_DB_z: 1.938,  loss: -420.897,  ess: 8.366,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.540,  kl_z_in: 0.170
symKL_DB_eta: 2.214,  symKL_DB_z: 1.843,  loss: -420.772,  ess: 8.372,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.534,  kl_z_in: 0.166
