loss: 13.942104,  ess: 19.949026, KL=0.000609
loss: 13.963963,  ess: 19.947886, KL=0.047184
loss: 14.005772,  ess: 19.951481, KL=0.000950
loss: 14.027827,  ess: 19.949539, KL=0.000638
loss: 14.019034,  ess: 19.942313, KL=0.000685
loss: 13.963195,  ess: 19.946030, KL=0.000626
loss: 14.028117,  ess: 19.944642, KL=0.000648
loss: 13.987005,  ess: 19.948595, KL=0.000598
loss: 14.024546,  ess: 19.946823, KL=0.000672
loss: 14.056341,  ess: 19.943024, KL=0.000693
loss: 13.938158,  ess: 19.945838, KL=0.000640
loss: 13.973238,  ess: 19.945471, KL=0.113071
loss: 14.008918,  ess: 19.944954, KL=0.000685
loss: 13.945056,  ess: 19.949634, KL=0.000602
loss: 14.023164,  ess: 19.949777, KL=0.000571
loss: 13.937906,  ess: 19.946968, KL=0.000603
loss: 14.013740,  ess: 19.942984, KL=0.000681
loss: 14.018721,  ess: 19.948405, KL=0.000602
loss: 13.972148,  ess: 19.946380, KL=0.000629
loss: 13.969206,  ess: 19.946682, KL=0.000980
loss: 14.034179,  ess: 19.943284, KL=0.000676
loss: 14.069120,  ess: 19.946780, KL=0.000613
loss: 13.983313,  ess: 19.946035, KL=0.000618
loss: 14.032537,  ess: 19.945417, KL=0.000637
loss: 13.978365,  ess: 19.948810, KL=0.000586
loss: 14.078006,  ess: 19.944718, KL=0.000658
loss: 14.078988,  ess: 19.945860, KL=0.000630
loss: 13.984017,  ess: 19.948526, KL=0.000589
loss: 14.044633,  ess: 19.946563, KL=0.000616
loss: 13.998962,  ess: 19.949323, KL=0.000570
loss: 13.991719,  ess: 19.945488, KL=0.000639
loss: 13.985008,  ess: 19.941091, KL=0.000693
loss: 13.938168,  ess: 19.944604, KL=0.000652
loss: 13.959290,  ess: 19.945407, KL=0.000641
loss: 14.049956,  ess: 19.948346, KL=1.496386
loss: 13.971396,  ess: 19.947660, KL=0.015630
loss: 13.983957,  ess: 19.947116, KL=0.029199
loss: 14.015228,  ess: 19.946442, KL=0.000980
loss: 14.004959,  ess: 19.949169, KL=0.000572
loss: 13.951933,  ess: 19.942847, KL=0.000687
loss: 13.987222,  ess: 19.945479, KL=0.001029
loss: 13.922146,  ess: 19.947488, KL=0.000830
