symKL_DB_eta: 174.061,  symKL_DB_z: 237.012,  loss: -2289.089,  ess: 1.270,  kl_eta_ex: 1203.185,  kl_eta_in: 192.001,  kl_z_ex: 313.123,  kl_z_in: 36.994
symKL_DB_eta: 67.525,  symKL_DB_z: 39.272,  loss: -1249.147,  ess: 1.376,  kl_eta_ex: 386.817,  kl_eta_in: 183.715,  kl_z_ex: 58.970,  kl_z_in: 18.148
symKL_DB_eta: 44.163,  symKL_DB_z: 21.037,  loss: -1040.966,  ess: 1.428,  kl_eta_ex: 251.559,  kl_eta_in: 230.784,  kl_z_ex: 28.219,  kl_z_in: 11.893
symKL_DB_eta: 34.460,  symKL_DB_z: 14.853,  loss: -962.953,  ess: 1.458,  kl_eta_ex: 202.531,  kl_eta_in: 297.326,  kl_z_ex: 18.290,  kl_z_in: 9.089
symKL_DB_eta: 29.304,  symKL_DB_z: 12.137,  loss: -933.063,  ess: 1.474,  kl_eta_ex: 182.471,  kl_eta_in: 348.967,  kl_z_ex: 14.304,  kl_z_in: 7.735
symKL_DB_eta: 27.880,  symKL_DB_z: 10.809,  loss: -920.055,  ess: 1.481,  kl_eta_ex: 173.714,  kl_eta_in: 367.632,  kl_z_ex: 12.422,  kl_z_in: 6.998
symKL_DB_eta: 26.956,  symKL_DB_z: 10.168,  loss: -912.578,  ess: 1.483,  kl_eta_ex: 169.058,  kl_eta_in: 361.063,  kl_z_ex: 11.323,  kl_z_in: 6.544
symKL_DB_eta: 26.449,  symKL_DB_z: 9.720,  loss: -908.233,  ess: 1.488,  kl_eta_ex: 165.811,  kl_eta_in: 350.428,  kl_z_ex: 10.747,  kl_z_in: 6.221
symKL_DB_eta: 26.649,  symKL_DB_z: 9.205,  loss: -903.349,  ess: 1.491,  kl_eta_ex: 162.807,  kl_eta_in: 331.314,  kl_z_ex: 9.893,  kl_z_in: 5.804
symKL_DB_eta: 26.550,  symKL_DB_z: 8.660,  loss: -899.344,  ess: 1.494,  kl_eta_ex: 159.680,  kl_eta_in: 320.566,  kl_z_ex: 9.056,  kl_z_in: 5.321
symKL_DB_eta: 26.400,  symKL_DB_z: 8.055,  loss: -894.816,  ess: 1.499,  kl_eta_ex: 156.965,  kl_eta_in: 311.377,  kl_z_ex: 8.191,  kl_z_in: 4.824
symKL_DB_eta: 26.442,  symKL_DB_z: 7.549,  loss: -893.031,  ess: 1.504,  kl_eta_ex: 154.139,  kl_eta_in: 304.381,  kl_z_ex: 7.438,  kl_z_in: 4.423
symKL_DB_eta: 26.616,  symKL_DB_z: 6.946,  loss: -888.430,  ess: 1.508,  kl_eta_ex: 151.805,  kl_eta_in: 300.065,  kl_z_ex: 6.619,  kl_z_in: 4.008
symKL_DB_eta: 26.043,  symKL_DB_z: 6.343,  loss: -884.318,  ess: 1.513,  kl_eta_ex: 148.759,  kl_eta_in: 295.589,  kl_z_ex: 5.870,  kl_z_in: 3.564
symKL_DB_eta: 26.025,  symKL_DB_z: 5.729,  loss: -879.917,  ess: 1.516,  kl_eta_ex: 146.596,  kl_eta_in: 297.675,  kl_z_ex: 5.211,  kl_z_in: 3.222
symKL_DB_eta: 25.961,  symKL_DB_z: 5.213,  loss: -874.457,  ess: 1.521,  kl_eta_ex: 144.212,  kl_eta_in: 290.520,  kl_z_ex: 4.629,  kl_z_in: 2.863
symKL_DB_eta: 26.326,  symKL_DB_z: 4.876,  loss: -871.601,  ess: 1.525,  kl_eta_ex: 143.174,  kl_eta_in: 290.939,  kl_z_ex: 4.229,  kl_z_in: 2.610
symKL_DB_eta: 25.759,  symKL_DB_z: 4.432,  loss: -868.998,  ess: 1.528,  kl_eta_ex: 141.724,  kl_eta_in: 289.914,  kl_z_ex: 3.854,  kl_z_in: 2.405
symKL_DB_eta: 25.761,  symKL_DB_z: 4.021,  loss: -864.269,  ess: 1.532,  kl_eta_ex: 138.759,  kl_eta_in: 286.974,  kl_z_ex: 3.478,  kl_z_in: 2.163
symKL_DB_eta: 25.561,  symKL_DB_z: 3.754,  loss: -861.531,  ess: 1.534,  kl_eta_ex: 137.469,  kl_eta_in: 287.212,  kl_z_ex: 3.181,  kl_z_in: 1.975
symKL_DB_eta: 25.403,  symKL_DB_z: 3.417,  loss: -855.956,  ess: 1.538,  kl_eta_ex: 134.646,  kl_eta_in: 286.129,  kl_z_ex: 2.935,  kl_z_in: 1.785
symKL_DB_eta: 25.411,  symKL_DB_z: 3.231,  loss: -854.971,  ess: 1.540,  kl_eta_ex: 134.250,  kl_eta_in: 285.588,  kl_z_ex: 2.820,  kl_z_in: 1.683
