(384s) loss: 27.216,  ess: 6.438,  kl_eta_ex: 3.101,  kl_eta_in: 1.263,  kl_z_ex: 0.015,  kl_z_in: 0.003
(384s) loss: 27.134,  ess: 6.446,  kl_eta_ex: 3.022,  kl_eta_in: 1.255,  kl_z_ex: 0.014,  kl_z_in: 0.003
(383s) loss: 27.151,  ess: 6.452,  kl_eta_ex: 2.977,  kl_eta_in: 1.245,  kl_z_ex: 0.014,  kl_z_in: 0.003
(383s) loss: 27.133,  ess: 6.465,  kl_eta_ex: 2.912,  kl_eta_in: 1.235,  kl_z_ex: 0.014,  kl_z_in: 0.003
(383s) loss: 27.044,  ess: 6.479,  kl_eta_ex: 2.863,  kl_eta_in: 1.223,  kl_z_ex: 0.014,  kl_z_in: 0.003
(383s) loss: 26.962,  ess: 6.488,  kl_eta_ex: 2.816,  kl_eta_in: 1.210,  kl_z_ex: 0.013,  kl_z_in: 0.003
(383s) loss: 26.994,  ess: 6.496,  kl_eta_ex: 2.765,  kl_eta_in: 1.198,  kl_z_ex: 0.013,  kl_z_in: 0.003
(384s) loss: 26.912,  ess: 6.511,  kl_eta_ex: 2.728,  kl_eta_in: 1.190,  kl_z_ex: 0.013,  kl_z_in: 0.003
(383s) loss: 27.040,  ess: 6.521,  kl_eta_ex: 2.684,  kl_eta_in: 1.178,  kl_z_ex: 0.013,  kl_z_in: 0.003
(384s) loss: 26.972,  ess: 6.530,  kl_eta_ex: 2.650,  kl_eta_in: 1.165,  kl_z_ex: 0.012,  kl_z_in: 0.003
(382s) loss: 26.955,  ess: 6.540,  kl_eta_ex: 2.618,  kl_eta_in: 1.147,  kl_z_ex: 0.012,  kl_z_in: 0.003
(382s) loss: 26.947,  ess: 6.550,  kl_eta_ex: 2.594,  kl_eta_in: 1.139,  kl_z_ex: 0.012,  kl_z_in: 0.003
(383s) loss: 26.876,  ess: 6.557,  kl_eta_ex: 2.572,  kl_eta_in: 1.120,  kl_z_ex: 0.012,  kl_z_in: 0.003
