EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-334.415	-386.296	5.455	125.790	277.959	20.448	15.934
-335.689	-387.560	5.456	127.116	282.799	20.847	16.191
-336.040	-387.451	5.458	127.594	286.090	20.338	16.155
-336.132	-387.247	5.458	127.081	282.991	20.102	16.131
-335.634	-387.399	5.462	127.187	276.919	20.777	16.332
-336.480	-387.249	5.461	126.292	281.100	20.120	16.283
-334.400	-385.847	5.465	125.907	277.877	19.734	16.304
-335.852	-387.166	5.466	126.425	280.351	19.746	15.978
-334.751	-386.489	5.467	126.759	280.709	20.335	16.705
-334.248	-386.002	5.468	127.048	281.059	20.623	16.647
-335.612	-386.414	5.470	125.890	277.082	20.744	16.379
-335.508	-386.640	5.470	126.922	278.898	20.284	16.662
-334.946	-386.257	5.470	126.158	279.869	20.534	16.476
-334.463	-385.461	5.472	125.265	278.814	20.283	16.384
-335.021	-385.664	5.472	124.963	279.305	20.008	16.401
-334.221	-385.130	5.475	125.514	277.614	20.780	16.641
-333.696	-384.295	5.475	125.607	274.678	19.920	16.582
-334.203	-384.967	5.477	126.513	277.943	20.359	16.638
-333.999	-384.575	5.475	125.235	279.376	20.428	16.588
-334.381	-385.002	5.475	124.870	276.326	20.093	16.841
-334.436	-384.929	5.481	124.320	279.588	19.479	16.699
-333.539	-384.333	5.481	124.489	274.805	20.801	16.834
-333.810	-384.768	5.483	125.757	274.089	20.438	16.803
-333.501	-384.279	5.483	126.178	271.395	20.679	17.013
-333.609	-384.114	5.483	125.379	271.112	19.897	16.397
-334.371	-384.541	5.486	125.289	270.977	19.602	16.390
-334.019	-384.354	5.483	125.371	271.701	20.766	16.900
-333.338	-383.794	5.487	125.407	273.928	19.698	16.673
-333.406	-383.990	5.487	125.511	271.010	20.986	17.230
-332.968	-382.846	5.489	124.419	270.873	20.028	16.680
-332.953	-383.334	5.489	124.210	274.255	19.758	16.638
-333.506	-384.045	5.488	124.651	267.971	20.050	16.653
-332.269	-382.486	5.492	124.331	277.124	20.525	17.322
-332.394	-382.758	5.491	124.211	273.663	19.904	16.493
-332.364	-382.870	5.490	125.333	273.929	20.248	16.940
-333.073	-383.590	5.493	124.352	269.319	20.009	16.856
-332.756	-383.029	5.492	124.248	271.369	19.834	16.654
-333.469	-383.730	5.494	125.470	270.002	20.521	17.122
-332.301	-382.617	5.494	123.231	273.235	19.699	16.546
-332.648	-382.824	5.496	124.010	268.342	19.998	16.996
-332.840	-383.129	5.495	124.414	268.073	19.201	16.418
-332.628	-382.762	5.493	124.541	267.597	19.938	16.517
-332.441	-382.150	5.495	124.393	265.692	19.029	16.140
-333.017	-382.696	5.497	124.936	265.362	20.109	16.733
-332.255	-381.963	5.497	124.510	261.113	19.732	16.742
-333.391	-382.994	5.498	125.045	269.091	19.616	16.683
-331.861	-382.066	5.497	124.814	263.599	20.100	16.659
-333.649	-383.754	5.497	124.576	264.636	20.150	16.893
-330.654	-380.422	5.500	123.472	259.885	19.873	17.188
-331.578	-381.026	5.500	122.679	263.793	19.363	16.663
-331.348	-381.121	5.502	123.331	263.414	19.572	16.782
-330.973	-380.345	5.504	123.145	263.431	19.244	16.682
-331.844	-381.716	5.501	124.482	263.512	19.947	17.043
-331.187	-380.532	5.504	122.959	264.160	19.728	16.861
-330.329	-379.623	5.504	122.083	257.808	18.919	16.653
-331.139	-381.465	5.504	124.155	264.331	20.328	17.061
-330.575	-380.235	5.504	122.326	261.909	19.449	16.938
-329.547	-379.335	5.506	121.704	262.592	19.117	16.796
-330.339	-379.923	5.505	122.576	261.010	19.024	16.652
-330.053	-379.728	5.506	123.520	254.627	19.547	17.056
-332.456	-381.791	5.507	123.266	259.347	19.441	16.504
-330.198	-379.755	5.507	123.483	257.285	19.440	17.103
-330.169	-379.897	5.506	122.214	257.729	18.836	16.929
-329.909	-379.107	5.507	121.740	254.401	19.278	17.086
-331.025	-380.670	5.509	122.700	255.709	19.601	16.449
-330.675	-379.956	5.508	122.689	254.791	19.790	17.042
-330.177	-380.060	5.508	122.592	253.557	18.961	17.295
-330.380	-379.864	5.509	122.303	257.612	19.235	16.966
-331.000	-379.903	5.509	122.525	255.252	19.779	17.310
-330.142	-379.130	5.509	120.893	251.002	18.179	16.405
-329.541	-379.040	5.511	121.921	250.097	19.313	16.868
-328.789	-378.463	5.510	121.737	254.369	19.645	16.993
-329.302	-378.882	5.511	122.221	256.044	19.201	17.085
-328.988	-377.772	5.511	121.158	252.967	19.211	17.072
-329.476	-378.798	5.512	121.195	254.870	18.898	17.423
-329.801	-379.152	5.512	123.056	252.570	19.476	17.537
-328.933	-377.796	5.512	121.407	251.614	18.845	16.933
-329.355	-378.534	5.511	120.613	253.926	18.910	17.039
-328.763	-377.633	5.514	120.120	248.045	18.751	16.831
-329.136	-378.322	5.514	121.091	256.593	19.724	17.145
-328.797	-377.646	5.516	121.159	247.564	19.548	17.072
-330.128	-379.084	5.512	122.278	249.709	19.577	17.031
-329.708	-378.112	5.516	121.436	251.931	18.695	16.696
-328.844	-377.237	5.512	119.469	243.206	18.397	16.400
-327.966	-376.098	5.513	119.205	247.307	18.237	16.648
-328.043	-376.901	5.515	120.704	249.754	19.116	16.504
-328.043	-376.912	5.515	120.234	248.500	18.771	17.033
-328.186	-377.110	5.515	121.215	246.708	19.324	17.308
-328.078	-376.819	5.515	120.820	251.067	19.502	17.791
-326.939	-375.485	5.514	119.699	245.984	18.980	16.610
-327.191	-376.139	5.516	119.650	246.085	18.908	17.336
-327.537	-376.750	5.515	119.822	241.266	19.092	16.748
-327.699	-375.706	5.517	120.128	245.036	18.990	16.970
-326.169	-375.492	5.515	119.608	249.117	19.003	17.212
-325.515	-373.974	5.514	119.119	241.030	18.961	16.766
-325.729	-374.593	5.515	120.758	245.468	18.988	17.193
-328.058	-376.796	5.519	120.159	243.493	19.627	16.971
-327.521	-375.841	5.517	119.899	244.431	18.510	16.885
-327.253	-375.681	5.516	119.596	238.362	19.304	16.821
-327.422	-376.115	5.513	119.675	244.198	18.822	17.055
-326.252	-374.340	5.519	118.197	241.419	18.325	16.380
-326.284	-374.427	5.520	117.236	243.393	18.512	16.973
-326.172	-374.727	5.520	119.054	246.796	18.382	16.902
-326.614	-374.733	5.518	119.027	240.353	19.425	17.145
-325.144	-373.035	5.521	117.331	242.511	18.552	16.794
-326.702	-375.137	5.522	119.080	243.083	18.503	17.114
-325.644	-373.572	5.518	118.491	242.619	18.531	17.178
-325.184	-373.074	5.519	118.745	238.941	18.985	16.911
-324.720	-373.207	5.520	118.157	240.979	19.031	16.986
-325.630	-373.618	5.520	117.732	239.678	18.126	16.492
-325.558	-373.411	5.517	118.508	239.115	18.842	16.675
-324.572	-372.720	5.518	118.116	242.877	18.783	17.213
-325.080	-373.524	5.521	118.655	243.729	19.921	17.297
-326.186	-374.122	5.521	118.876	241.013	18.867	17.220
-324.802	-372.806	5.521	117.972	240.017	19.093	17.167
-324.867	-373.167	5.521	119.573	238.489	19.140	17.027
-323.954	-371.039	5.520	115.882	244.003	17.909	16.637
-325.268	-373.685	5.520	119.166	237.697	19.182	16.716
-323.843	-371.953	5.520	117.059	235.840	19.091	17.010
-323.744	-371.952	5.521	116.888	238.362	18.292	16.822
-323.714	-372.219	5.520	117.563	240.398	19.305	17.345
-324.158	-372.527	5.520	118.254	239.984	19.711	17.323
-323.230	-370.488	5.521	116.599	236.245	18.855	17.102
-323.482	-371.536	5.520	117.365	238.606	18.988	16.741
-323.755	-371.885	5.522	117.664	239.752	18.497	16.794
-323.182	-370.954	5.522	117.324	238.817	18.905	17.018
-323.110	-370.394	5.522	116.142	243.090	18.556	16.653
-323.881	-371.663	5.524	117.280	235.900	19.789	17.350
-322.945	-370.765	5.523	116.349	236.345	18.729	16.959
-323.716	-370.918	5.523	116.214	238.753	18.445	17.534
-323.094	-370.476	5.523	116.853	232.927	19.392	17.295
-322.404	-370.088	5.524	116.629	240.053	19.008	17.481
-323.424	-371.560	5.522	119.432	239.463	18.697	17.346
-322.401	-369.400	5.523	116.222	233.990	18.223	16.699
-323.158	-371.123	5.524	116.705	240.255	18.610	17.377
-322.101	-369.527	5.523	117.651	233.703	19.457	17.091
-322.414	-370.032	5.524	116.992	237.884	18.893	17.300
-320.860	-367.927	5.523	115.870	235.638	18.133	17.246
-321.982	-369.339	5.525	116.446	236.093	18.484	16.917
-322.153	-369.334	5.522	115.854	235.925	18.571	16.498
-321.076	-367.799	5.524	115.625	236.912	18.731	17.586
-321.777	-369.489	5.524	116.615	238.143	18.929	17.374
-321.421	-368.328	5.524	114.957	239.939	18.209	16.851
-323.081	-370.481	5.524	117.840	234.004	19.297	17.283
-320.551	-368.028	5.524	116.163	233.927	19.115	16.961
-321.815	-369.915	5.522	116.349	237.846	19.130	16.518
-321.199	-368.475	5.527	116.106	236.472	19.024	16.752
-321.453	-369.154	5.525	117.576	237.009	19.942	17.193
-320.435	-368.072	5.525	114.584	234.509	19.054	16.946
-319.492	-366.353	5.526	114.453	234.692	18.843	16.875
-320.035	-367.195	5.524	114.958	235.612	18.761	17.192
-319.969	-366.559	5.524	113.608	238.171	18.644	17.187
-320.308	-367.580	5.527	116.276	231.016	19.467	17.049
-318.711	-365.313	5.526	114.738	232.530	19.656	16.710
-320.772	-367.304	5.525	115.296	238.464	19.004	17.087
-320.175	-366.951	5.526	116.176	237.038	19.385	16.695
-320.478	-367.883	5.523	115.737	239.268	19.370	16.932
-320.422	-366.824	5.527	114.370	234.156	19.001	16.654
-319.933	-367.125	5.525	116.290	240.340	19.514	17.058
-319.184	-365.884	5.525	114.301	234.893	19.511	17.459
-320.999	-367.612	5.526	116.391	237.173	19.600	17.178
-319.915	-366.821	5.525	114.261	237.080	18.736	16.407
-320.483	-367.715	5.526	115.464	237.241	19.186	16.599
-319.113	-366.430	5.525	117.139	234.048	19.662	17.374
-318.882	-364.642	5.527	113.778	233.109	18.983	16.914
-319.555	-366.700	5.528	116.412	234.835	20.128	17.457
-320.031	-367.126	5.526	117.796	236.906	20.796	17.265
-318.808	-365.565	5.528	116.132	235.473	19.521	17.301
-318.646	-365.239	5.524	115.482	233.984	19.363	16.951
-319.943	-367.067	5.527	117.773	233.497	20.113	16.687
-318.531	-364.779	5.527	115.253	235.168	19.588	16.630
-318.476	-364.857	5.525	114.890	228.280	19.297	16.516
-318.068	-364.974	5.527	116.255	231.931	20.045	17.458
-318.619	-365.776	5.527	116.562	235.478	20.020	16.947
-318.151	-365.351	5.526	117.793	232.078	20.284	17.460
-318.001	-365.405	5.527	117.156	234.873	20.499	17.552
-317.727	-364.562	5.526	115.258	227.105	19.664	17.324
-316.287	-362.934	5.527	114.196	232.833	19.916	16.763
-316.970	-363.057	5.528	114.667	229.601	20.113	17.045
-319.562	-367.091	5.527	118.278	233.481	20.604	16.917
-317.403	-363.840	5.527	114.543	227.624	19.571	16.560
-317.192	-364.076	5.528	116.935	229.860	20.805	17.155
-317.766	-364.651	5.527	118.176	230.949	20.941	17.523
-317.539	-364.030	5.526	116.377	227.292	20.025	16.986
-316.894	-363.710	5.529	116.303	228.432	20.982	17.562
-316.488	-363.254	5.527	117.285	227.895	19.988	17.564
