symKL_DB_eta: 214.668,  symKL_DB_z: 52.945,  loss: -918.832,  ess: 4.723,  kl_eta_ex: 313.705,  kl_eta_in: 784.893,  kl_z_ex: 18.112,  kl_z_in: 5.363
symKL_DB_eta: 215.507,  symKL_DB_z: 51.654,  loss: -917.530,  ess: 4.764,  kl_eta_ex: 317.933,  kl_eta_in: 766.732,  kl_z_ex: 17.127,  kl_z_in: 5.073
symKL_DB_eta: 217.518,  symKL_DB_z: 50.205,  loss: -914.151,  ess: 4.791,  kl_eta_ex: 322.613,  kl_eta_in: 750.892,  kl_z_ex: 16.445,  kl_z_in: 4.868
symKL_DB_eta: 219.371,  symKL_DB_z: 49.306,  loss: -911.273,  ess: 4.810,  kl_eta_ex: 325.694,  kl_eta_in: 732.899,  kl_z_ex: 15.905,  kl_z_in: 4.720
symKL_DB_eta: 218.828,  symKL_DB_z: 47.144,  loss: -910.438,  ess: 4.835,  kl_eta_ex: 324.235,  kl_eta_in: 710.601,  kl_z_ex: 15.526,  kl_z_in: 4.658
symKL_DB_eta: 216.880,  symKL_DB_z: 45.933,  loss: -903.140,  ess: 4.861,  kl_eta_ex: 324.137,  kl_eta_in: 693.481,  kl_z_ex: 15.077,  kl_z_in: 4.556
symKL_DB_eta: 214.335,  symKL_DB_z: 44.000,  loss: -896.209,  ess: 4.878,  kl_eta_ex: 320.270,  kl_eta_in: 671.551,  kl_z_ex: 14.686,  kl_z_in: 4.481
symKL_DB_eta: 208.956,  symKL_DB_z: 42.462,  loss: -886.472,  ess: 4.905,  kl_eta_ex: 311.620,  kl_eta_in: 641.310,  kl_z_ex: 14.304,  kl_z_in: 4.429
symKL_DB_eta: 200.864,  symKL_DB_z: 40.715,  loss: -873.719,  ess: 4.923,  kl_eta_ex: 304.207,  kl_eta_in: 612.001,  kl_z_ex: 13.907,  kl_z_in: 4.375
symKL_DB_eta: 193.907,  symKL_DB_z: 37.929,  loss: -863.257,  ess: 4.956,  kl_eta_ex: 296.171,  kl_eta_in: 580.748,  kl_z_ex: 13.475,  kl_z_in: 4.317
symKL_DB_eta: 185.549,  symKL_DB_z: 35.988,  loss: -849.947,  ess: 4.990,  kl_eta_ex: 285.988,  kl_eta_in: 543.796,  kl_z_ex: 13.158,  kl_z_in: 4.270
symKL_DB_eta: 180.364,  symKL_DB_z: 34.002,  loss: -842.913,  ess: 5.015,  kl_eta_ex: 281.334,  kl_eta_in: 519.067,  kl_z_ex: 12.658,  kl_z_in: 4.169
symKL_DB_eta: 174.464,  symKL_DB_z: 32.760,  loss: -831.689,  ess: 5.044,  kl_eta_ex: 273.374,  kl_eta_in: 484.167,  kl_z_ex: 12.544,  kl_z_in: 4.127
symKL_DB_eta: 170.072,  symKL_DB_z: 31.330,  loss: -821.776,  ess: 5.076,  kl_eta_ex: 266.289,  kl_eta_in: 453.461,  kl_z_ex: 12.372,  kl_z_in: 4.079
symKL_DB_eta: 160.505,  symKL_DB_z: 29.616,  loss: -811.572,  ess: 5.106,  kl_eta_ex: 258.677,  kl_eta_in: 422.850,  kl_z_ex: 12.369,  kl_z_in: 4.081
symKL_DB_eta: 155.381,  symKL_DB_z: 28.506,  loss: -800.099,  ess: 5.140,  kl_eta_ex: 252.986,  kl_eta_in: 398.462,  kl_z_ex: 12.728,  kl_z_in: 4.139
symKL_DB_eta: 149.145,  symKL_DB_z: 28.181,  loss: -790.963,  ess: 5.168,  kl_eta_ex: 246.703,  kl_eta_in: 376.082,  kl_z_ex: 12.929,  kl_z_in: 4.127
symKL_DB_eta: 143.561,  symKL_DB_z: 27.408,  loss: -780.152,  ess: 5.200,  kl_eta_ex: 240.285,  kl_eta_in: 355.675,  kl_z_ex: 13.614,  kl_z_in: 4.212
symKL_DB_eta: 138.486,  symKL_DB_z: 26.550,  loss: -771.722,  ess: 5.229,  kl_eta_ex: 235.946,  kl_eta_in: 338.843,  kl_z_ex: 13.845,  kl_z_in: 4.196
symKL_DB_eta: 137.905,  symKL_DB_z: 26.041,  loss: -771.440,  ess: 5.270,  kl_eta_ex: 233.930,  kl_eta_in: 326.552,  kl_z_ex: 13.838,  kl_z_in: 4.169
symKL_DB_eta: 137.651,  symKL_DB_z: 25.590,  loss: -767.723,  ess: 5.295,  kl_eta_ex: 231.586,  kl_eta_in: 316.770,  kl_z_ex: 13.228,  kl_z_in: 3.951
symKL_DB_eta: 136.160,  symKL_DB_z: 24.936,  loss: -765.239,  ess: 5.312,  kl_eta_ex: 230.433,  kl_eta_in: 311.718,  kl_z_ex: 12.775,  kl_z_in: 3.793
