eubo: -401.877,  elbo: -439.959,  ess: 1.335
eubo: -395.203,  elbo: -431.802,  ess: 1.346
eubo: -400.595,  elbo: -436.746,  ess: 1.342
eubo: -403.093,  elbo: -443.473,  ess: 1.323
eubo: -401.141,  elbo: -440.028,  ess: 1.301
eubo: -395.528,  elbo: -433.216,  ess: 1.340
eubo: -399.508,  elbo: -439.482,  ess: 1.318
eubo: -395.508,  elbo: -435.130,  ess: 1.317
eubo: -401.162,  elbo: -441.315,  ess: 1.282
eubo: -396.692,  elbo: -434.716,  ess: 1.299
eubo: -396.657,  elbo: -436.492,  ess: 1.325
eubo: -398.296,  elbo: -440.461,  ess: 1.310
eubo: -388.391,  elbo: -425.890,  ess: 1.301
eubo: -403.419,  elbo: -446.994,  ess: 1.263
eubo: -389.258,  elbo: -426.966,  ess: 1.288
eubo: -398.461,  elbo: -440.773,  ess: 1.290
eubo: -397.989,  elbo: -438.242,  ess: 1.304
eubo: -396.700,  elbo: -437.153,  ess: 1.273
eubo: -394.677,  elbo: -435.801,  ess: 1.274
eubo: -396.271,  elbo: -437.641,  ess: 1.284
eubo: -399.161,  elbo: -441.423,  ess: 1.286
eubo: -398.326,  elbo: -440.193,  ess: 1.269
eubo: -398.973,  elbo: -440.679,  ess: 1.262
eubo: -390.557,  elbo: -429.054,  ess: 1.293
eubo: -394.615,  elbo: -438.110,  ess: 1.266
eubo: -390.047,  elbo: -430.089,  ess: 1.268
eubo: -394.464,  elbo: -436.637,  ess: 1.265
eubo: -395.401,  elbo: -436.354,  ess: 1.257
eubo: -395.910,  elbo: -438.503,  ess: 1.246
eubo: -392.944,  elbo: -435.229,  ess: 1.254
eubo: -397.068,  elbo: -442.739,  ess: 1.263
eubo: -398.858,  elbo: -446.973,  ess: 1.259
eubo: -389.548,  elbo: -433.199,  ess: 1.255
eubo: -389.200,  elbo: -430.799,  ess: 1.266
eubo: -388.245,  elbo: -428.352,  ess: 1.308
eubo: -399.222,  elbo: -442.157,  ess: 1.242
eubo: -389.552,  elbo: -430.888,  ess: 1.292
eubo: -387.947,  elbo: -429.861,  ess: 1.251
eubo: -391.201,  elbo: -435.638,  ess: 1.259
eubo: -391.348,  elbo: -432.894,  ess: 1.247
eubo: -394.938,  elbo: -439.416,  ess: 1.224
eubo: -394.009,  elbo: -439.071,  ess: 1.239
eubo: -391.396,  elbo: -435.921,  ess: 1.253
eubo: -398.184,  elbo: -443.483,  ess: 1.247
eubo: -392.971,  elbo: -440.568,  ess: 1.230
eubo: -387.856,  elbo: -432.050,  ess: 1.239
eubo: -394.931,  elbo: -439.365,  ess: 1.232
eubo: -391.323,  elbo: -437.462,  ess: 1.239
eubo: -393.561,  elbo: -438.323,  ess: 1.253
eubo: -388.860,  elbo: -432.756,  ess: 1.232
eubo: -392.012,  elbo: -437.178,  ess: 1.234
eubo: -398.260,  elbo: -446.215,  ess: 1.236
eubo: -393.468,  elbo: -441.634,  ess: 1.213
eubo: -383.689,  elbo: -427.422,  ess: 1.227
eubo: -393.000,  elbo: -437.153,  ess: 1.239
eubo: -391.404,  elbo: -437.374,  ess: 1.220
eubo: -392.330,  elbo: -440.352,  ess: 1.218
eubo: -391.409,  elbo: -437.728,  ess: 1.208
eubo: -385.736,  elbo: -428.915,  ess: 1.199
eubo: -390.011,  elbo: -435.870,  ess: 1.208
eubo: -392.852,  elbo: -437.754,  ess: 1.200
eubo: -393.915,  elbo: -440.769,  ess: 1.220
eubo: -384.865,  elbo: -428.672,  ess: 1.203
eubo: -381.668,  elbo: -425.040,  ess: 1.178
eubo: -392.010,  elbo: -438.485,  ess: 1.201
eubo: -386.163,  elbo: -430.269,  ess: 1.206
eubo: -398.805,  elbo: -445.854,  ess: 1.198
eubo: -388.642,  elbo: -437.977,  ess: 1.205
eubo: -386.343,  elbo: -433.940,  ess: 1.195
eubo: -388.825,  elbo: -435.203,  ess: 1.182
eubo: -386.056,  elbo: -433.603,  ess: 1.189
eubo: -387.082,  elbo: -433.235,  ess: 1.190
eubo: -393.148,  elbo: -443.658,  ess: 1.181
eubo: -389.316,  elbo: -439.141,  ess: 1.169
eubo: -386.720,  elbo: -434.863,  ess: 1.190
eubo: -386.073,  elbo: -433.745,  ess: 1.178
eubo: -377.310,  elbo: -421.365,  ess: 1.181
eubo: -394.465,  elbo: -446.352,  ess: 1.167
eubo: -383.854,  elbo: -430.164,  ess: 1.153
eubo: -383.715,  elbo: -431.759,  ess: 1.181
eubo: -388.797,  elbo: -438.957,  ess: 1.182
eubo: -390.278,  elbo: -440.495,  ess: 1.174
eubo: -384.296,  elbo: -430.968,  ess: 1.160
eubo: -385.287,  elbo: -433.077,  ess: 1.175
eubo: -383.310,  elbo: -432.664,  ess: 1.157
eubo: -381.135,  elbo: -430.297,  ess: 1.157
eubo: -382.388,  elbo: -431.823,  ess: 1.166
eubo: -382.444,  elbo: -431.753,  ess: 1.172
eubo: -385.055,  elbo: -433.923,  ess: 1.153
eubo: -385.003,  elbo: -437.873,  ess: 1.153
eubo: -383.870,  elbo: -436.165,  ess: 1.141
eubo: -384.596,  elbo: -439.452,  ess: 1.146
eubo: -385.351,  elbo: -441.204,  ess: 1.128
eubo: -377.624,  elbo: -430.871,  ess: 1.163
eubo: -375.689,  elbo: -422.551,  ess: 1.156
eubo: -379.281,  elbo: -432.945,  ess: 1.121
eubo: -380.010,  elbo: -432.640,  ess: 1.133
eubo: -384.089,  elbo: -438.714,  ess: 1.147
eubo: -382.716,  elbo: -435.646,  ess: 1.128
eubo: -376.942,  elbo: -430.225,  ess: 1.148
eubo: -382.269,  elbo: -436.721,  ess: 1.126
eubo: -377.718,  elbo: -430.391,  ess: 1.141
eubo: -377.933,  elbo: -431.906,  ess: 1.139
eubo: -373.027,  elbo: -424.466,  ess: 1.143
eubo: -376.384,  elbo: -427.959,  ess: 1.127
eubo: -371.944,  elbo: -425.838,  ess: 1.118
eubo: -375.364,  elbo: -430.193,  ess: 1.117
eubo: -379.964,  elbo: -436.030,  ess: 1.116
eubo: -370.591,  elbo: -424.976,  ess: 1.132
eubo: -373.646,  elbo: -429.520,  ess: 1.123
eubo: -371.633,  elbo: -427.164,  ess: 1.124
eubo: -370.174,  elbo: -422.383,  ess: 1.138
eubo: -371.730,  elbo: -426.609,  ess: 1.121
eubo: -369.850,  elbo: -424.474,  ess: 1.135
eubo: -370.044,  elbo: -423.538,  ess: 1.127
eubo: -370.116,  elbo: -424.333,  ess: 1.117
eubo: -373.216,  elbo: -426.867,  ess: 1.132
eubo: -369.314,  elbo: -423.515,  ess: 1.127
eubo: -370.340,  elbo: -425.545,  ess: 1.112
eubo: -369.816,  elbo: -427.771,  ess: 1.099
eubo: -365.771,  elbo: -421.922,  ess: 1.127
eubo: -369.793,  elbo: -424.925,  ess: 1.130
eubo: -368.430,  elbo: -427.084,  ess: 1.118
eubo: -371.598,  elbo: -429.744,  ess: 1.115
eubo: -372.925,  elbo: -429.976,  ess: 1.108
eubo: -367.819,  elbo: -424.653,  ess: 1.110
eubo: -367.414,  elbo: -419.486,  ess: 1.106
eubo: -368.161,  elbo: -425.640,  ess: 1.095
eubo: -366.562,  elbo: -425.830,  ess: 1.102
eubo: -365.552,  elbo: -419.148,  ess: 1.114
eubo: -367.409,  elbo: -426.884,  ess: 1.102
eubo: -362.123,  elbo: -418.195,  ess: 1.108
eubo: -363.598,  elbo: -419.907,  ess: 1.119
eubo: -372.761,  elbo: -431.985,  ess: 1.097
eubo: -365.217,  elbo: -419.770,  ess: 1.115
eubo: -365.339,  elbo: -419.949,  ess: 1.107
eubo: -364.254,  elbo: -421.343,  ess: 1.127
eubo: -371.423,  elbo: -429.450,  ess: 1.132
eubo: -362.889,  elbo: -420.531,  ess: 1.093
eubo: -361.012,  elbo: -412.703,  ess: 1.096
eubo: -364.596,  elbo: -425.410,  ess: 1.111
eubo: -361.566,  elbo: -415.148,  ess: 1.136
eubo: -371.728,  elbo: -431.297,  ess: 1.099
eubo: -358.573,  elbo: -411.582,  ess: 1.106
eubo: -362.519,  elbo: -417.935,  ess: 1.119
eubo: -362.135,  elbo: -416.821,  ess: 1.101
eubo: -363.702,  elbo: -422.187,  ess: 1.117
eubo: -363.010,  elbo: -420.780,  ess: 1.109
eubo: -362.518,  elbo: -415.378,  ess: 1.144
eubo: -362.053,  elbo: -414.773,  ess: 1.105
eubo: -367.055,  elbo: -423.333,  ess: 1.109
eubo: -365.762,  elbo: -421.617,  ess: 1.116
eubo: -362.745,  elbo: -417.205,  ess: 1.125
eubo: -361.795,  elbo: -419.635,  ess: 1.106
eubo: -358.430,  elbo: -412.769,  ess: 1.124
eubo: -359.328,  elbo: -411.480,  ess: 1.121
eubo: -362.542,  elbo: -419.641,  ess: 1.112
eubo: -359.180,  elbo: -414.248,  ess: 1.114
eubo: -360.994,  elbo: -416.988,  ess: 1.102
eubo: -362.107,  elbo: -415.459,  ess: 1.113
eubo: -362.967,  elbo: -420.168,  ess: 1.103
eubo: -363.214,  elbo: -416.540,  ess: 1.116
eubo: -361.500,  elbo: -413.779,  ess: 1.112
eubo: -360.121,  elbo: -414.315,  ess: 1.102
eubo: -359.533,  elbo: -415.288,  ess: 1.113
eubo: -359.304,  elbo: -412.388,  ess: 1.113
eubo: -362.359,  elbo: -416.862,  ess: 1.115
eubo: -361.034,  elbo: -414.667,  ess: 1.109
eubo: -360.795,  elbo: -418.712,  ess: 1.102
eubo: -362.186,  elbo: -418.322,  ess: 1.107
eubo: -361.541,  elbo: -416.750,  ess: 1.122
eubo: -356.949,  elbo: -409.019,  ess: 1.121
